ID,英文名稱,中文名稱,圖片,更新日期
2502848,abnormal tide,異常潮,,2015-12-01
2502849,accommodation and power platform｛=APP｝,生活及動力平台,,2017-07-19
2502850,acoustic beacon,聲波標向裝置,,2015-12-01
2502851,acoustic positioning,聲波定位,,2015-12-01
2502852,added mass,附加質量,,2015-12-01
2502853,aerodynamic noise,氣動噪音,,2015-12-01
2502854,aerodynamics,空氣動力學,,2015-12-01
2502855,aerofoil section,翼剖面,,2015-12-01
2502856,aerogenerator,氣動發電機,,2015-12-01
2502857,after body,艉部,,2015-12-01
2502858,air bag,氣袋,,2015-12-01
2502859,air breakwater,空氣防波堤,,2015-12-01
2502860,air bubble screen,氣泡幕,,2015-12-01
2502861,air entraining,空氣捲入,,2015-12-01
2502862,air slider,空氣滑槽,,2015-12-01
2502863,airfoil,翼剖面；機翼,,2015-12-01
2502864,airlift excavation,氣昇力開挖,,2015-12-01
2502865,airlift pump,氣力揚升幫浦,,2015-12-01
2502866,Airy wave theory,微小振幅波理論,,2015-12-01
2502867,Aleutian depression,阿留申低氣壓,,2015-12-01
2502868,allowable stress,容許應力,,2015-12-01
2502869,amphidromic wave,無潮波,,2015-12-01
2502870,amplitude,振幅,,2015-12-01
2502871,amplitude spectrum,振幅譜,,2015-12-01
2502872,anchor deadweight,錨呆重,,2015-12-01
2502873,anchor holding capacity,錨碇能力,,2015-12-01
2502874,anchor pile,錨樁,,2015-12-01
2502875,anchor propellant,錨推進劑,,2015-12-01
2502876,anchor type wharf,錨碇式碼頭,,2015-12-01
2502877,anchor wall,錨碇牆,,2015-12-01
2502878,anchorage,錨碇,,2015-12-01
2502879,anemometer,風速計,,2015-12-01
2502880,angle of attack,攻角,,2015-12-01
2502881,angle of repose,安息角,,2015-12-01
2502882,angular frequency,角頻率,,2015-12-01
2502883,angular spreading,角度擴散,,2015-12-01
2502884,anomalous condition,異常狀態,,2015-12-01
2502885,antenna effect,天線效應,,2015-12-01
2502886,antinode,腹點；反節點,,2015-12-01
2502887,APP｛accommodation and power platform｝,生活及動力平台,,2017-07-19
2502888,apron,岸肩,,2015-12-01
2502889,aquafarm,海洋牧場,,2015-12-01
2502890,Arctic earthwork,北極土木工事,,2015-12-01
2502891,Arctic ecological considerations,北極生態考量,,2015-12-01
2502892,Arctic ice islands,北極冰層島嶼,,2015-12-01
2502893,Arctic ice pack,北極冰堆,,2015-12-01
2502894,Arctic icebreaking,北極破冰,,2015-12-01
2502895,Arctic logistics,北極物流,,2015-12-01
2502896,armor block breakwater,塊石堤,,2015-12-01
2502897,armor unit,防護塊,,2015-12-01
2502898,armour layer,塊石層,,2015-12-01
2502899,artficial seaweed,人工海草,,2015-12-01
2502900,artificial  reef,人工魚礁；人工潛礁,,2015-12-01
2502901,artificial sea forest,人工海中森林,,2015-12-01
2502902,artificial upwelling,人工湧升流,,2015-12-01
2502903,astronomical equinox,秋分點,,2015-12-01
2502904,astronomical fixation,天文定位,,2015-12-01
2502905,astronomical tide,天文潮,,2015-12-01
2502906,asymmetric mooring,非對稱繫留,,2015-12-01
2502907,atmospheric corrosion,大氣腐蝕,,2015-12-01
2502908,atmospheric icing,大氣冰凍,,2015-12-01
2502909,attenuation distance,減衰距離,,2015-12-01
2502910,attitude measurement,高程量測,,2015-12-01
2502911,autocorrelation function,自相關函數,,2015-12-01
2502912,autumnal equinox,秋分,,2015-12-01
2502913,auxiliary corrosion,輔助腐蝕,,2015-12-01
2502914,axial flow turbine,軸流渦輪,,2015-12-01
2502915,azimuth angle,方位角,,2015-12-01
2502916,backet dredger,抓斗式挖泥船,,2015-12-01
2502917,ballast,壓艙載,,2015-12-01
2502918,bar,沙洲,,2015-12-01
2502919,barge,駁船,,2015-12-01
2502920,barge bumper,防撞碰墊；靠船緩衝駁船,,2015-12-01
2502921,baroclinic,斜壓的,,2015-12-01
2502922,barotropic,正壓的,,2015-12-01
2502923,base line,基線,,2015-12-01
2502924,base raft,基礎筏,,2015-12-01
2502925,basin,港池,,2015-12-01
2502926,bathymetry,海域地形,,2015-12-01
2502927,bathystrophic storm tide,地轉暴潮,,2015-12-01
2502928,batter(raker) pile,斜樁,,2015-12-01
2502929,belled pile,鐘形樁,,2015-12-01
2502930,bench mark,水準點,,2015-12-01
2502931,bending moment,彎矩,,2015-12-01
2502932,benthos,底棲生物,,2015-12-01
2502933,berth,船席,,2015-12-01
2502934,berthing energy coefficient,靠岸能量係數,,2015-12-01
2502935,binary cycle,二元流體循環,,2015-12-01
2502936,biofouling,生物污垢,,2015-12-01
2502937,biological corosion,生物腐蝕,,2015-12-01
2502938,bitt,繫纜柱,,2015-12-01
2502939,blade pitch control,葉片間距控制,,2015-12-01
2502940,blue energy,海洋能,,2015-12-01
2502941,boatel,遊艇旅館,,2015-12-01
2502942,bollard,繫纜柱；曲柱,,2015-12-01
2502943,bora,怖風,,2015-12-01
2502944,bore,段波,,2015-12-01
2502945,boring,鑽探,,2015-12-01
2502946,bottom mapping system,海底測繪系統,,2015-12-01
2502947,brash ice,破冰,,2015-12-01
2502948,breakwater,防波堤,,2015-12-01
2502949,breasting dolphin,繫船臺,,2015-12-01
2502950,brittle fracture,脆性破裂,,2015-12-01
2502951,buffer zone,緩衝帶,,2015-12-01
2502952,bumper,緩衝器,,2015-12-01
2502953,bundled pipes,束管,,2015-12-01
2502954,buoy,浮標；浮球；浮筒,,2015-12-01
2502955,cable array,電纜陣列,,2015-12-01
2502956,cable function,電纜功能,,2015-12-01
2502957,cable laying,敷設電纜,,2015-12-01
2502958,cable plow,電纜犁,,2015-12-01
2502959,caisson,沉箱,,2015-12-01
2502960,caisson ballast forces,沉箱壓艙力,,2015-12-01
2502961,caisson cell,沉箱隔艙,,2015-12-01
2502962,caisson gravity base,沉箱重力基底,,2015-12-01
2502963,caisson overpressure,沉箱超壓,,2015-12-01
2502964,caisson type breakwater,沉箱式防波堤,,2015-12-01
2502965,caisson-retained islands,沉箱圍成島,,2015-12-01
2502966,calmness,靜穩度,,2015-12-01
2502967,cantilever type wharf,懸臂式碼頭,,2015-12-01
2502968,cap rock,蓋岩,,2015-12-01
2502969,carbon content,碳含量,,2015-12-01
2502970,carbon equivalent,碳當量,,2015-12-01
2502971,cargo handling machine,裝卸機械,,2015-12-01
2502972,catenary,懸垂線,,2015-12-01
2502973,catenary anchored platform,懸垂錨碇平台,,2015-12-01
2502974,cathodic protection,陰極保護,,2015-12-01
2502975,cavitation,穴蝕,,2015-12-01
2502976,cavity resonance,空腔共振,,2015-12-01
2502977,cell circulation system,封閉性環流,,2015-12-01
2502978,cellular block type breakwater,中空方塊防波堤,,2015-12-01
2502979,cellular cofferdam,細胞狀圍堰,,2015-12-01
2502980,cementation of soil,土壤固化,,2015-12-01
2502981,centralized power generating system,集中式發電系統,,2015-12-01
2502982,channel dredging,水道疏濬,,2015-12-01
2502983,characteristic time,特徵時間,,2015-12-01
2502984,chart,海圖,,2015-12-01
2502985,circulation current,環流,,2015-12-01
2502986,clam wave energy converter,蚌式波能轉換器,,2015-12-01
2502987,clamshell dredge,抓斗式浚渫,,2015-12-01
2502988,clamshell dredger,蚌殼式挖泥機,,2015-12-01
2502989,clapotis,重複波；駐波,,2015-12-01
2502990,closed cycle OTEC,封閉式海洋溫差發電,,2015-12-01
2502991,closed cycle system,封閉式循環系統,,2015-12-01
2502992,closed-loop feedback control,閉式回饋控制,,2015-12-01
2502993,closure depth,終端水深,,2015-12-01
2502994,cnoidal wave,橢圓函數波,,2015-12-01
2502995,coal slurry,煤漿,,2015-12-01
2502996,coatings for concrete,混凝土被覆,,2015-12-01
2502997,cofferdam,圍堰；堰艙,,2015-12-01
2502998,cold front,冷鋒,,2015-12-01
2502999,cold water pipe｛=CWP｝,冷水管,,2017-07-19
2503000,colloid,膠體,,2015-12-01
2503001,column alignment,柱狀排列,,2015-12-01
2503002,column end conditions,柱端條件,,2015-12-01
2503003,combined development of offshore oil-gas field group,海上油氣田群聯合開發,,2015-12-01
2503004,compensation current,補償流,,2015-12-01
2503005,compliant tower,順波塔,,2015-12-01
2503006,component tide,分潮,,2015-12-01
2503007,component wave,成份波,,2015-12-01
2503008,composite breakwater,混成堤,,2015-12-01
2503009,composite construction,複合構造,,2015-12-01
2503010,composite slope,複合坡度,,2015-12-01
2503011,compound coast,複合海岸,,2015-12-01
2503012,concentration,濃度；含固率,,2015-12-01
2503013,concentration cell corrosion,保留,,2015-12-01
2503014,concrete block breakwater,塊體堤,,2015-12-01
2503015,concrete bond,混凝土黏結,,2015-12-01
2503016,concrete grout,混凝土薄漿,,2015-12-01
2503017,concrete permeability,混凝土透水性,,2015-12-01
2503018,concrete placement,混凝土澆鑄,,2015-12-01
2503019,concrete sulfate resistance,混凝土抗硫,,2015-12-01
2503020,condenser,冷凝器,,2015-12-01
2503021,conservation of marine resources,海洋資源保護；海洋資源保育,,2015-12-01
2503022,consolidation,壓密；固結,,2015-12-01
2503023,constructibility,可建造性,,2015-12-01
2503024,construction joint,施工接頭；施工縫,,2015-12-01
2503025,construction tolerance,建築公差,,2015-12-01
2503026,contact pressure,接觸壓力,,2015-12-01
2503027,container ship,貨櫃船,,2015-12-01
2503028,continental shelf,大陸棚,,2015-12-01
2503029,continuous beam,連續樑,,2015-12-01
2503030,contour,等高線；等深線；等值線,,2015-12-01
2503031,conversion efficiency,轉換效率,,2015-12-01
2503032,conveyer,運輸帶；輸送機,,2015-12-01
2503033,coring vessel,岩心取樣船,,2015-12-01
2503034,Coriolis coefficient,柯氏係數,,2015-12-01
2503035,Coriolis force,柯氏力,,2015-12-01
2503036,corrosion  baracle,防蝕塊,,2015-12-01
2503037,corrosion allowance,腐蝕容許量,,2015-12-01
2503038,corrosion anode,腐蝕陽極,,2015-12-01
2503039,corrosion cathode,腐蝕陰極,,2015-12-01
2503040,corrosion coating,防蝕塗層,,2015-12-01
2503041,corrosion crevice,腐蝕縫隙,,2015-12-01
2503042,corrosion current density,腐蝕電流密度,,2015-12-01
2503043,corrosion fatigue,腐蝕疲勞,,2015-12-01
2503044,corrosion oxide film,腐蝕氧化膜,,2015-12-01
2503045,corrosion pitting,斑蝕,,2015-12-01
2503046,corrosion protection rectifier,防蝕保護整流器,,2015-12-01
2503047,corrosion tensile stress,腐蝕拉應力,,2015-12-01
2503048,counter weight,平衡重量,,2015-12-01
2503049,counter-rotating turbine,反向旋轉渦輪,,2015-12-01
2503050,crane barge,起重機駁船,,2015-12-01
2503051,crane operator,吊車操作員,,2015-12-01
2503052,crane pedestal,起重機基座,,2015-12-01
2503053,crasher,粉碎機,,2015-12-01
2503054,crew boat,交通艇,,2015-12-01
2503055,criteria consideration design,考慮規範之設計,,2015-12-01
2503056,critical damping,臨界阻尼,,2015-12-01
2503057,critical depth,臨界水深,,2015-12-01
2503058,critical velocity,臨界流速,,2015-12-01
2503059,cross flow turbine,橫流渦輪,,2015-12-01
2503060,cross-axis thrust,橫向推力,,2015-12-01
2503061,cross-flow turbine,橫流渦輪機,,2015-12-01
2503062,cumulative damage,累積破壞,,2015-12-01
2503063,curl,渦度,,2015-12-01
2503064,curtain wall breakwater,氣幕式防波堤,,2015-12-01
2503065,cut-in wind speed,切入風速,,2015-12-01
2503066,cut-out speed,切出速度,,2015-12-01
2503067,cutter,滾刀,,2015-12-01
2503068,CWP｛cold water pipe｝,冷水管,,2017-07-19
2503069,cyclic loads,往復荷載,,2015-12-01
2503070,cylinder group,圓柱群,,2015-12-01
2503071,cylinder pile,圓形樁,,2015-12-01
2503072,cylindrical shell,圓柱形薄殼,,2015-12-01
2503073,damage of coastal water conservancy project,近岸水域保全計畫的破壞,,2015-12-01
2503074,damped vibration,阻尼振動,,2015-12-01
2503075,damping coefficient,阻尼係數,,2015-12-01
2503076,damping factor,阻尼因子,,2015-12-01
2503077,dash pot,阻尼器,,2015-12-01
2503078,datum level,基準面,,2015-12-01
2503079,dead slow speed,最低速,,2015-12-01
2503080,decay distance,減衰距離,,2015-12-01
2503081,decompression,減壓,,2015-12-01
2503082,decontamination facilities,除汙設施,,2015-12-01
2503083,deep foundations,深基礎,,2015-12-01
2503084,deep penetration profiler,深層貫入剖面儀,,2015-12-01
2503085,deep water wave,深水波,,2015-12-01
2503086,deepwater reeling,深水電纜捲盤,,2015-12-01
2503087,deflection force,偏向力,,2015-12-01
2503088,deformation load,變形荷載,,2015-12-01
2503089,densification of underwater fills,水下填充加密,,2015-12-01
2503090,density current,密度流,,2015-12-01
2503091,depth profiles,水深剖面,,2015-12-01
2503092,derrick,塔架,,2015-12-01
2503093,descending node,降交點,,2015-12-01
2503094,design currents,設計海流,,2015-12-01
2503095,design typhoon,設計颱風,,2015-12-01
2503096,design wave,設計波浪,,2015-12-01
2503097,design wave spectrum,設計波譜,,2015-12-01
2503098,detached breakwater,離岸堤,,2015-12-01
2503099,detached wharf,離岸碼頭,,2015-12-01
2503100,developing sea,成長波域,,2015-12-01
2503101,deviation of tidal level,潮位偏差,,2015-12-01
2503102,diffraction,繞射,,2015-12-01
2503103,dipper dredger,鏟式挖泥船,,2015-12-01
2503104,direct-drive generator,直接驅動發電機,,2015-12-01
2503105,directional spreading function,方向分散函數,,2015-12-01
2503106,directional wave spectrum,方向波譜,,2015-12-01
2503107,dispersion relation,分散關係,,2015-12-01
2503108,displacement tonnage,排水噸位,,2015-12-01
2503109,distorted model,歪比模型,,2015-12-01
2503110,distortion ratio,歪比率,,2015-12-01
2503111,diurnal ineqality,潮汐不等,,2015-12-01
2503112,dolphin,繫船臺；繫船樁,,2015-12-01
2503113,double-acting turbine,雙作用渦輪,,2015-12-01
2503114,double-peaked spectrum,雙峰譜,,2015-12-01
2503115,down time,停機期,,2015-12-01
2503116,draft,吃水,,2015-12-01
2503117,drag coefficient,拖曳力係數,,2015-12-01
2503118,drag force,拖曳力,,2015-12-01
2503119,dredge barge,挖泥船,,2015-12-01
2503120,dredger,挖泥船,,2015-12-01
2503121,dredging,浚渫,,2015-12-01
2503122,drift current,漂流,,2015-12-01
2503123,drift sand,漂沙,,2015-12-01
2503124,drifting force,漂流力,,2015-12-01
2503125,drill string compensator｛=DSC｝,鑽柱運動補償器,,2017-07-19
2503126,drilling,鑽探；鑽井,,2015-12-01
2503127,drilling platform,鑽井平臺,,2015-12-01
2503128,drilling vessel,鑽井船；鑽探船,,2015-12-01
2503129,DSC｛drill string compensator｝,鑽柱運動補償器,,2017-07-19
2503130,ducted propeller,導罩螺槳,,2015-12-01
2503131,dumping truck,傾卸車,,2015-12-01
2503132,duration,延時,,2015-12-01
2503133,dynamic control,動態控制,,2015-12-01
2503134,dynamic equilibrium,動態平衡,,2015-12-01
2503135,dynamic positioning,動態定位,,2015-12-01
2503136,ebb,退潮,,2015-12-01
2503137,eccentric distance,偏心距離,,2015-12-01
2503138,echo sounder,測深儀,,2015-12-01
2503139,eddy,渦流,,2015-12-01
2503140,eddy viscosity,渦流黏性,,2015-12-01
2503141,edge wave,邊緣波,,2015-12-01
2503142,eductor dredging,噴射式疏濬,,2015-12-01
2503143,EEZ｛exclusive economic zone｝,專屬經濟水域,,2017-07-19
2503144,effective fetch length,有效吹風距離,,2015-12-01
2503145,electrochemical corrosion,電化腐蝕,,2015-12-01
2503146,embankment,護岸,,2015-12-01
2503147,embayment,海灣,,2015-12-01
2503148,embedment anchor,嵌入錨,,2015-12-01
2503149,enclosed propeller,封閉式螺槳,,2015-12-01
2503150,encounter period,遭遇週期,,2015-12-01
2503151,end bearing capacity,端點承受力,,2015-12-01
2503152,energy conversion,能源轉換,,2015-12-01
2503153,energy flux,能量通率,,2015-12-01
2503154,energy harbor,能源港,,2015-12-01
2503155,energy-intensive product,高耗能產品,,2015-12-01
2503156,environmental load,環境負荷,,2015-12-01
2503157,equinoctial tide,分點潮,,2015-12-01
2503158,eustatic movement,海面變化,,2015-12-01
2503159,exclusive economic zone｛=EEZ｝,專屬經濟水域,,2017-07-19
2503160,exploratory drilling,探勘鑽井,,2015-12-01
2503161,extraordinary high tide,異常高潮,,2015-12-01
2503162,extraordinary wave,異常波,,2015-12-01
2503163,extratropical cyclone,溫帶氣旋,,2015-12-01
2503164,fairlead,導纜器,,2015-12-01
2503165,fairway,航道,,2015-12-01
2503166,fathometer,測深儀,,2015-12-01
2503167,feeder boat,集散船,,2015-12-01
2503168,fender,防舷材,,2015-12-01
2503169,ferry boat,渡船,,2015-12-01
2503170,ferry terminal,渡輪港；水陸轉運站,,2015-12-01
2503171,fetch,吹風距離,,2015-12-01
2503172,finite amplitude wave theory,有限振幅波理論,,2015-12-01
2503173,fire engine,消防車,,2015-12-01
2503174,fireboat,消防船,,2015-12-01
2503175,fishery harbor,漁港,,2015-12-01
2503176,fixed artificial island,固定式人工島,,2015-12-01
2503177,fixed bed,定床,,2015-12-01
2503178,fixed drilling platform,固定式鑽井平臺,,2015-12-01
2503179,fixed oceanographic station,定點海洋觀測站,,2015-12-01
2503180,fixed platform,固定式平臺,,2015-12-01
2503181,fixed structure,固定式結構,,2015-12-01
2503182,fixed wave energy converter,固定波能轉換器,,2015-12-01
2503183,flare boom,燃燒塔,,2015-12-01
2503184,flexible pipelines,柔性管,,2015-12-01
2503185,FLNG｛floating liquid natural gas unit｝,浮式天然氣液化裝置,,2017-07-19
2503186,floater,浮標；浮筒,,2015-12-01
2503187,floating airport,浮式機場,,2015-12-01
2503188,floating artificial island,浮動式人工島,,2015-12-01
2503189,floating artificial reef,人工浮魚礁,,2015-12-01
2503190,floating breakwater,浮式防波堤,,2015-12-01
2503191,floating bridge ramp,浮橋式斜道,,2015-12-01
2503192,floating crane,浮式起重機,,2015-12-01
2503193,floating drilling rig,浮式鑽井平臺,,2015-12-01
2503194,floating liquid natural gas unit｛=FLNG｝,浮式天然氣液化裝置,,2017-07-19
2503195,floating oil production and storage unit｛=FPSO｝,浮式生產貯油船,,2017-07-19
2503196,floating pier,浮式突堤碼頭,,2015-12-01
2503197,floating pile driver,打樁船,,2015-12-01
2503198,floating production platform,浮式生產平臺,,2015-12-01
2503199,floating structure,浮式構架,,2015-12-01
2503200,floating wave power vessel｛=FWPV｝,浮動波能船舶,,2017-07-19
2503201,floating-type wharf,浮式碼頭,,2015-12-01
2503202,flood,漲潮,,2015-12-01
2503203,flooded member detection,滲水構件偵測,,2015-12-01
2503204,footing,[樁]基腳,,2015-12-01
2503205,forced vibration,強制振動,,2015-12-01
2503206,forced wave,強制波,,2015-12-01
2503207,fore body,艏部,,2015-12-01
2503208,forerunner,前驅湧,,2015-12-01
2503209,FPSO｛floating oil production and storage unit｝,浮式生產貯油船,,2017-07-19
2503210,framed platform,剛架式平台,,2015-12-01
2503211,freak wave,異常波[瘋狗浪],,2015-12-01
2503212,freak wave potential,異常波潛勢,,2015-12-01
2503213,free wave,自由波,,2015-12-01
2503214,freeboard,乾舷,,2015-12-01
2503215,freighter,貨輪,,2015-12-01
2503216,frequency spectrum,頻率譜,,2015-12-01
2503217,fresh breeze,清風,,2015-12-01
2503218,fully-developed sea,完全成熟波,,2015-12-01
2503219,FWPV｛floating wave power vessel ｝,浮動波能船舶,,2017-07-19
2503220,gale,疾風,,2015-12-01
2503221,garboard strake,龍骨翼板,,2015-12-01
2503222,gas-charged sediment,含氣沉積層,,2015-12-01
2503223,gentle breeze,軟風,,2015-12-01
2503224,geostrophic wind,地衡風,,2015-12-01
2503225,glacial eustasy,冰河期海面變化,,2015-12-01
2503226,global analysis,大域分析,,2015-12-01
2503227,glory hole,海床開挖,,2015-12-01
2503228,grab,抓斗,,2015-12-01
2503229,grab dredger,抓斗式挖泥船,,2015-12-01
2503230,gradient wind,梯度風,,2015-12-01
2503231,gravity platform,重力式平臺,,2015-12-01
2503232,gravity type foundation,重力式基礎,,2015-12-01
2503233,gravity type wharf,重力式碼頭,,2015-12-01
2503234,gravity wave,重力波,,2015-12-01
2503235,grid connection,電網連接,,2015-12-01
2503236,groin,突堤,,2015-12-01
2503237,gross tonnage（=GT）,總噸位,,2015-12-01
2503238,gross volume of offshore hydrocarbon resources,海洋油氣總資源量,,2015-12-01
2503239,ground chain,地鍊,,2015-12-01
2503240,group velocity,群波速度,,2015-12-01
2503241,growler,小冰山,,2015-12-01
2503242,Gulf Stream,[墨西哥]灣流,,2015-12-01
2503243,gust,陣風,,2015-12-01
2503244,guyed tower,繫纜塔,,2015-12-01
2503245,H.H.W.L.｛highest hight water level｝,最高高潮面,,2017-07-19
2503246,H.W.O.N.T.｛high water on neap tide｝,小潮平均高潮面,,2017-07-19
2503247,H.W.O.S.T. （=high water on spring tide）,大潮平均高潮面,,2015-12-01
2503248,harbor  entrance,港口,,2015-12-01
2503249,harbor paradox,港灣矛盾說,,2015-12-01
2503250,harmonic,調和波,,2015-12-01
2503251,harmonic analysis,調和分析,,2015-12-01
2503252,harmonic constant,調和常數,,2015-12-01
2503253,heat engine,熱機,,2015-12-01
2503254,heat exchanger,熱交換器,,2015-12-01
2503255,heat pollution,熱污染,,2015-12-01
2503256,heaving,浮沈,,2015-12-01
2503257,heavy lift carrier,重型貨物運輸船,,2015-12-01
2503258,high mound,高基座,,2015-12-01
2503259,high tide,高潮,,2015-12-01
2503260,high water on neap tide｛=H.W.O.N.T.｝,小潮平均高潮面,,2017-07-19
2503261,high water on spring tide （=high water on neap tide ）,大潮平均高潮面,,2015-12-01
2503262,high wind,疾風,,2015-12-01
2503263,highest hight water level｛=H.H.W.L｝,最高高潮位,,2017-07-19
2503264,hindcasting,後報,,2015-12-01
2503265,hopper,泥艙；[進料]斗,,2015-12-01
2503266,horizontal axis windmill,水平軸風車,,2015-12-01
2503267,hose pump wave energy converter,軟管泵波浪能量轉換器,,2015-12-01
2503268,hovercraft,氣墊船,,2015-12-01
2503269,hull,船體,,2015-12-01
2503270,hurricane,颶風,,2015-12-01
2503271,hybrid cycle system,混合動力循環,,2015-12-01
2503272,hydraulic dredge,水力浚渫,,2015-12-01
2503273,hydraulic model experiment,水工模型試驗,,2015-12-01
2503274,hydraulic piston corer,水力岩芯器,,2015-12-01
2503275,hydraulic transport,水力輸送,,2015-12-01
2503276,hydrofoil,水翼船,,2015-12-01
2503277,hydrostatic pressure,靜水壓,,2015-12-01
2503278,immersed zone,浸水區,,2015-12-01
2503279,impact force,衝擊力,,2015-12-01
2503280,impedance,阻抗,,2015-12-01
2503281,impressed current,外加電流,,2015-12-01
2503282,impulsive force,脈衝力,,2015-12-01
2503283,in situ testing,現地試驗,,2015-12-01
2503284,incident angle,入射角,,2015-12-01
2503285,incident wave,入射波,,2015-12-01
2503286,incipient motion,起始運動,,2015-12-01
2503287,inclination,傾度,,2015-12-01
2503288,industrial harbor,工業港,,2015-12-01
2503289,inertial coefficient,慣性係數,,2015-12-01
2503290,inertial force,慣性力,,2015-12-01
2503291,inflatable buoy,充氣式浮標,,2015-12-01
2503292,infragravity wave,亞重力波,,2015-12-01
2503293,inlet,潮口,,2015-12-01
2503294,insular breakwater,島堤,,2015-12-01
2503295,intake,取水口,,2015-12-01
2503296,interfacial wave,界面波,,2015-12-01
2503297,intermediate depth wave,中間水深波,,2015-12-01
2503298,internal wave,內波,,2015-12-01
2503299,irregular wave,不規則波,,2015-12-01
2503300,irrotational flow,非旋流,,2015-12-01
2503301,island mole,島堤,,2015-12-01
2503302,island tourism,海島觀光,,2015-12-01
2503303,isobar,等壓線,,2015-12-01
2503304,isolated breakwater,離岸堤；島式防波堤,,2015-12-01
2503305,jacket,套管架,,2015-12-01
2503306,jacket launching barge,套管架下水駁船,,2015-12-01
2503307,jacket leg,套管架腳柱,,2015-12-01
2503308,jacket lifting eye,套管架吊孔,,2015-12-01
2503309,jacket panel,套管架嵌板,,2015-12-01
2503310,jacket pile-driven platform,套管架樁基平臺,,2015-12-01
2503311,jacket positioning,套管架定位,,2015-12-01
2503312,jacket structure,夾套結構,,2015-12-01
2503313,Jack-up barge,升降式駁船,,2015-12-01
2503314,jack-up drilling rig,舉升式鑽井平臺,,2015-12-01
2503315,Jack-up platform,昇降式平台,,2015-12-01
2503316,Japan Current,日本海流,,2015-12-01
2503317,jetty,突堤,,2015-12-01
2503318,keel clearance,吃水餘裕,,2015-12-01
2503319,Kelvin wave,凱文波,,2015-12-01
2503320,Keulegan-Carpenter number,KC數,,2015-12-01
2503321,kinematic viscosity coefficient,運動黏滯係數,,2015-12-01
2503322,knot,節,,2015-12-01
2503323,Kuril Current,親潮,,2015-12-01
2503324,Kuroshio,黑潮,,2015-12-01
2503325,laybarge,佈管駁船；鋪管船；管線鋪設船,,2015-12-01
2503326,laybarge stinger,佈管船托架,,2015-12-01
2503327,leeward,下風側,,2015-12-01
2503328,linear wave,線性波,,2015-12-01
2503329,liquefaction,液化,,2015-12-01
2503330,liquefied natural gas ｛=LNG｝,液化天然氣,,2017-07-19
2503331,liquefied petroleum gas｛=LPG｝,液化石油氣,,2017-07-19
2503332,live load,活載重,,2015-12-01
2503333,living quarter,生活區,,2015-12-01
2503334,LNG｛liquefied natural gas｝,液化天然氣,,2017-07-19
2503335,load combination,載重組合,,2015-12-01
2503336,load factor,載重因子,,2015-12-01
2503337,load out,移載,,2015-12-01
2503338,local buckling,局部挫屈,,2015-12-01
2503339,local cavitation,局部穴蝕,,2015-12-01
2503340,local contact pressure,局部接觸壓力,,2015-12-01
2503341,local wave,當地波浪,,2015-12-01
2503342,local yielding,局部屈伏,,2015-12-01
2503343,locally forced current,局部強制流,,2015-12-01
2503344,long baseline,長基線,,2015-12-01
2503345,long wave,長波,,2015-12-01
2503346,long crested wave,長峰波,,2015-12-01
2503347,low mound breakwater,低基堤,,2015-12-01
2503348,LPG｛liquefied petroleum gas｝,液化石油氣,,2017-07-19
2503349,macroturbulence,大尺度亂流,,2015-12-01
2503350,marine crane,海上起重機,,2015-12-01
2503351,marine industry,海洋產業,,2015-12-01
2503352,marine information products,海洋資訊產品,,2015-12-01
2503353,marine information service,海洋資訊服務,,2015-12-01
2503354,marine information sharing,海洋資訊共享,,2015-12-01
2503355,marine information technology,海洋資訊技術,,2015-12-01
2503356,marine information transmission,海洋資訊傳輸,,2015-12-01
2503357,marine manufacturing industry,海洋製造業,,2015-12-01
2503358,marine oil spill,海上溢油,,2015-12-01
2503359,marine optic buoy,海洋光學浮標,,2015-12-01
2503360,marine positioning,海上定位,,2015-12-01
2503361,marine salvage,海上救難,,2015-12-01
