ID,英文名稱,中文名稱,圖片,更新日期
3356358,abalone,鮑魚；九孔,,2018-03-21
3356359,ablation,冰融,,2018-03-21
3356360,ablation breccia,消融角礫岩,,2018-03-21
3356361,ablation cone,消融錐,,2018-03-21
3356362,ablatograph,冰融儀,,2018-03-21
3356363,abraded bedrock surface,浪蝕基岩面,,2018-03-21
3356364,abrasion,磨蝕,,2018-03-21
3356365,abrasion mark,磨蝕痕跡,,2018-03-21
3356366,abrasion platform,海蝕平台；海蝕台地,,2018-03-21
3356367,abrasion shoreline,浪蝕海岸線,,2018-03-21
3356368,abrasion surface,海蝕面；浪蝕面,,2018-03-21
3356369,abrasion tableland,海蝕台地；浪蝕台地,,2018-03-21
3356370,abrasion terrace,海蝕階地；浪蝕階地,,2018-03-21
3356371,absorptivity,吸收性；吸收率,,2018-03-21
3356372,Abundance-Biomass Curve,豐度-生物量曲線；AB曲線,,2018-03-21
3356373,abyssal,深淵底；深海的,,2018-03-21
3356374,abyssal gigantism,深淵底區體型巨大化,,2018-03-21
3356375,abyssal ooze,深海軟泥,,2018-03-21
3356376,abyssal plain,深淵底平原；深海平原,,2018-03-21
3356377,abyssal red earth,深海紅土,,2018-03-21
3356378,abyssopelagic,深淵水層{4000–6000 公尺},,2018-03-21
3356379,Acanthaster planci,棘冠海星,,2018-03-21
3356380,Acanthocephala,棘[鉤]頭動物門,,2018-03-21
3356381,accelerator mass spectrometry｛=AMS｝,加速器質譜儀,,2018-03-21
3356382,access and benefit sharing of genetic resources,遺傳資源的獲取與共享,,2018-03-21
3356383,accidental pollution,意外污染,,2018-03-21
3356384,accidental spillage,意外洩漏,,2018-03-21
3356385,acclimation,馴化,,2018-03-21
3356386,acclimatization,馴化,,2018-03-21
3356387,accreting plate boundary,增積板塊邊界；增生型板塊邊界,,2018-03-21
3356388,accretion,固結；凝聚；堆積,,2018-03-21
3356389,accretion beach face,增積海灘面；加積海灘面,,2018-03-21
3356390,accretion bed,增積層；加積層,,2018-03-21
3356391,accretion ridge,增積砂嶺；外展灘脊,,2018-03-21
3356392,accretion ripple mark,加積波痕,,2018-03-21
3356393,accretion topography,加積地形,,2018-03-21
3356394,accretion vein,填加脈,,2018-03-21
3356395,accretionary bar,增積砂壩；加積砂壩,,2018-03-21
3356396,accretionary basin,增積盆地,,2018-03-21
3356397,accretionary belt,增積帶；加積帶,,2018-03-21
3356398,accretionary coast,增積海岸；加積海岸,,2018-03-21
3356399,accretionary lapilli,增積火山泥礫,,2018-03-21
3356400,accretionary lava ball,增積熔岩球,,2018-03-21
3356401,accretionary plate boundary,增積板塊邊界；增生型板塊邊界,,2018-03-21
3356402,accretionary prism,增積岩體,,2018-03-21
3356403,accretionary ridge,增積海脊,,2018-03-21
3356404,accretionary subduction complex,增積隱沒複合體,,2018-03-21
3356405,accretionary wedge,增積楔形體,,2018-03-21
3356406,accumulated island,堆積島,,2018-03-21
3356407,accumulation rate,堆積速率,,2018-03-21
3356408,acetate,乙酸鹽；醋酸鹽,,2018-03-21
3356409,acidification,酸化作用,,2018-03-21
3356410,acidity,酸度；酸性,,2018-03-21
3356411,Acoela,無腔目,,2018-03-21
3356412,acorn barnacle,藤壺,,2018-03-21
3356413,acoustic absorption,聲波吸收,,2018-03-21
3356414,acoustic absorption coefficient,聲波吸收係數,,2018-03-21
3356415,acoustic absorption factor,聲波吸收因子,,2018-03-21
3356416,acoustic absorptivity,聲波吸收度,,2018-03-21
3356417,acoustic basement,聲波基盤,,2018-03-21
3356418,Acoustic Doppler Current Profiler｛=ADCP｝,聲波都卜勒流剖儀,,2018-03-21
3356419,acoustic fishing,音響漁法,,2018-03-21
3356420,acoustic propagation anomaly,聲傳播異常,,2018-03-21
3356421,acoustic release,聲波釋放,,2018-03-21
3356422,acoustic remote sensing,聲波遙測；聲學遙測,,2018-03-21
3356423,acoustic sounding,聲波測深；聲學探測,,2018-03-21
3356424,acoustic swath-mapping,聲波條帶測繪,,2018-03-21
3356425,Acoustic Thermometry of Ocean Climate ｛=ATOC｝,海洋氣候聲學測溫計畫,,2018-03-21
3356426,acoustic transponder,音響詢答機,,2018-03-21
3356427,acoustic oceanography,聲學海洋學,,2018-03-21
3356428,Acropora,軸孔珊瑚,,2018-03-21
3356429,Acropyge,尖尾蟲屬{三葉蟲類},,2018-03-21
3356430,Acrosaleniidae,頂薩列海膽科,,2018-03-21
3356431,Acrospirifer,巔石燕屬{腕足類},,2018-03-21
3356432,across-track scanner,跨軌掃描儀,,2018-03-21
3356433,Acrothele,乳房貝屬{腕足類},,2018-03-21
3356434,Acrothoracica,端胸目{節肢動物蔓足類},,2018-03-21
3356435,Acrothyris,巔孔貝屬{腕足類},,2018-03-21
3356436,Acrotreta,乳孔貝屬；頂孔貝屬{腕足類},,2018-03-21
3356437,acrozone,生物異限帶,,2018-03-21
3356438,Actinaraea,輻線珊瑚屬,,2018-03-21
3356439,Actinaria,肉珊瑚目,,2018-03-21
3356440,Actinastrum,星形藻屬{綠藻類},,2018-03-21
3356441,actine,星狀骨針{海綿動物},,2018-03-21
3356442,Actiniaria,海葵目,,2018-03-21
3356443,Actinocamax,星樁箭石屬,,2018-03-21
3356444,Actinoceras,珠角石屬{頭足類},,2018-03-21
3356445,Actinocrinites,輻射海百合屬{棘皮類},,2018-03-21
3356446,Actinocyclus,輻環藻屬,,2018-03-21
3356447,Actinocystidae,輻射泡沫珊瑚科,,2018-03-21
3356448,Actinodesma,射帶蛤屬{雙殼類},,2018-03-21
3356449,Actinodictyon,射網格層孔蟲屬,,2018-03-21
3356450,actinodont,輻射櫛牙；射齒,,2018-03-21
