ID,英文名稱,中文名稱,圖片,更新日期
3160701,"""log time"" model",歷時模式,,2017-07-24
3160702,"1/f noise (a.k.a. ""pink noise"")",倒頻雜訊；粉紅色雜訊,,2017-07-24
3160703,2-d added mass coefficients,二維附加質量係數,,2017-07-24
3160704,2nd-order reference model,二階參考模式,,2017-07-24
3160705,2nd-order wave forces,二階波浪力,,2017-07-24
3160706,3DOF surface model,三自由度平面模式,,2017-07-24
3160707,6 DOF equations of motion,六自由度運動方程式,,2017-07-24
3160708,A- frame,A架,,2017-07-24
3160709,a posteriori probability,後驗機率,,2017-07-24
3160710,a priori probability,先驗機率,,2017-07-24
3160711,A/N-SQS-26 sonar,美國海軍SQS－26聲納,,2017-07-24
3160712,A/N-SQS-35 sonar,美國海軍SQS－35聲納,,2017-07-24
3160713,Abel's formula,阿貝爾公式,,2017-07-24
3160714,Abkowitz's model,亞伯科維茲模式,,2017-07-24
3160715,absolute damping factor,絶對阻尼因子,,2017-07-24
3160716,absolute stability,維對穩定,,2017-07-24
3160717,absorption,吸收,,2017-07-24
3160718,absorption attenuation,吸收衰減,,2017-07-24
3160720,absorption coefficient,吸收係數,,2017-07-24
3160721,absorption cross section,吸收截面,,2017-07-24
3160722,absorption loss,吸收損失,,2017-07-24
3160723,absorption sensors,吸收感測器,,2017-07-24
3160724,absorption spectra,吸收譜,,2017-07-24
3160725,absorption surface,吸收面,,2017-07-24
3160726,accelerated aging,加速老化,,2017-07-24
3160727,acceleration feedback,加速度回授,,2017-07-24
3160728,acceleration feedback autopilot,加速度回授自動駕駛,,2017-07-24
3160729,accelerometer,加速度規；加速度計,,2017-07-24
3160730,acceptance cone,受光錐,,2017-07-24
3160731,access hatch,艙口蓋,,2017-07-24
3160732,accuracy,準確度,,2017-07-24
3160733,acousitc propagation,聲傳；音傳,,2017-07-24
3160734,acousitc sensor,聲感測器,,2017-07-24
3160735,acousitc signature,聲紋,,2017-07-24
3160736,acoustic axis,聲軸,,2017-07-24
3160737,acoustic camera,聲學照相機,,2017-07-24
3160738,acoustic characteristic impedance,聲特徵阻抗,,2017-07-24
3160739,acoustic communication,聲通訊,,2017-07-24
3160740,acoustic compliance,聲順,,2017-07-24
3160741,acoustic dipole,聲雙極,,2017-07-24
3160742,acoustic echo cancelation,回音消除,,2017-07-24
3160743,acoustic emission sensing,聲射感測；聲洩感測,,2017-07-24
3160744,acoustic emission{=AE},聲射；聲洩,,2017-07-24
3160745,acoustic flooded member detection {=FMD},聲學式元件浸水偵測,,2017-07-24
3160746,acoustic horns,聲喇叭,,2017-07-24
3160747,acoustic impedance,聲阻抗,,2017-07-24
3160748,acoustic intensity,聲強,,2017-07-24
3160749,acoustic lens,聲透鏡,,2017-07-24
3160750,acoustic lens sonar,聲透鏡聲納,,2017-07-24
3160751,acoustic mass,聲質量,,2017-07-24
3160752,acoustic mine,音響水雷；聲雷,,2017-07-24
3160753,acoustic modem,聲學數據機,,2017-07-24
3160754,acoustic noise,聲雜訊；噪音,,2017-07-24
3160755,acoustic noise level calculation,聲雜訊階計算；噪音階計算,,2017-07-24
3160756,acoustic noise reflection,聲雜訊反射；噪音反射,,2017-07-24
3160757,acoustic performance prediction,聲功能預測,,2017-07-24
3160758,acoustic positioning,聲學定位,,2017-07-24
3160759,acoustic power,聲功率,,2017-07-24
3160760,acoustic pressure,聲壓,,2017-07-24
3160761,acoustic ray,聲束,,2017-07-24
3160762,acoustic raypath,聲線路徑,,2017-07-24
3160763,acoustic resistance ,聲阻,,2017-07-24
3160764,acoustic resonance,聲共振,,2017-07-24
3160765,acoustic sensors,聲感測器,,2017-07-24
3160766,acoustic tomography,聲層析學；聲學層析術,,2017-07-24
3160767,acoustic transmitter,聲發射器,,2017-07-24
3160768,acoustic volume velocity,聲體[積]速度,,2017-07-24
3160769,acoustic wave detection,聲波偵測,,2017-07-24
3160770,acoustic wavelength,聲波波長,,2017-07-24
3160771,acoustic waves,聲波,,2017-07-24
3160772,acoustical Doppler current profiler {=ADCP},[聲學]都卜勒流剖儀,,2017-07-24
3160773,acoustics,聲學,,2017-07-24
3160774,acoustooptic modulator,聲光調變器,,2017-07-24
3160775,acousto-optic tunable filter {=AOTF},聲光可調式濾波器,,2017-07-24
3160776,acoutstic remote sensing,聲學遙測,,2017-07-24
3160777,acquisition,擷取,,2017-07-24
3160778,acquisition mode,擷取模式,,2017-07-24
3160779,acrylate,丙烯酸酯；丙烯酸鹽,,2017-07-24
3160780,acrylate coating,壓克力塗層,,2017-07-24
3160781,acrylic acid,丙烯酸,,2017-07-24
3160782,acrylic plastics,丙烯酸塑料；壓克力,,2017-07-24
3160783,active alignment,主動對準,,2017-07-24
3160784,active homodyne demodulation,主動零差解調,,2017-07-24
3160785,active noise control {=ANC},主動雜訊控制,,2017-07-24
3160786,active pulse inductance,主動脈衝電感,,2017-07-24
3160787,active sonar,主動聲納,,2017-07-24
3160788,active sonar equation,主動聲納方程式,,2017-07-24
3160789,active sonar porcessor,主動聲納處理器,,2017-07-24
3160790,active waveguide,主動波導,,2017-07-24
3160791,actuator,致動器；制動器,,2017-07-24
3160792,actuator control system,致動器控制系統,,2017-07-24
3160793,actuator dynamics,致動器動力學,,2017-07-24
3160794,actuator electrorheological fluid,致動器電流變液,,2017-07-24
3160795,Adams-Bashforth's integration method,亞當斯-巴斯佛積分法,,2017-07-24
3160796,adaptation algorithm,適應性演算法,,2017-07-24
3160797,adaptation gain vector,適應性增益向量,,2017-07-24
3160798,adapter cable,轉接電纜,,2017-07-24
3160799,adaptive algorithm,適應性演算法,,2017-07-24
3160800,adaptive array,適應性陣列,,2017-07-24
3160801,adaptive autopilot,適應性自動駕駛,,2017-07-24
3160802,adaptive beamforming,適應性波束成形,,2017-07-24
3160803,adaptive channel matching,適應性通道匹配,,2017-07-24
3160804,adaptive control,適應性控制,,2017-07-24
3160805,adaptive decision-feedback equalizer,適應性決策迴授等化器,,2017-07-24
3160806,adaptive degrees of freedom,適應性自由度,,2017-07-24
3160807,adaptive delta modulation{=ADM},適應性差值調變,,2017-07-24
3160808,adaptive design,適應性設計,,2017-07-24
3160809,adaptive detection,適應性偵測,,2017-07-24
3160810,Adaptive Differential Pulse Code Modulation{=ADPCM},適應性差值脈碼調變,,2017-07-24
3160811,adaptive DPCM,適應性差值脈碼調變,,2017-07-24
3160812,adaptive echo canceler,適應性回波消除器,,2017-07-24
3160813,adaptive equalization,適應性等化,,2017-07-24
3160814,adaptive equalizer,適應性等化器,,2017-07-24
3160815,adaptive feedback linearization,適應性回授線性化,,2017-07-24
3160816,adaptive filter,適應性濾波器,,2017-07-24
3160817,adaptive filter,適應性濾波器,,2017-07-24
3160818,adaptive filtering,適應性濾波,,2017-07-24
3160819,adaptive linear equalizer,適應線性等化器,,2017-07-24
3160820,adaptive linear quadratic optimal control,適應性線性二次[方]最佳控制,,2017-07-24
3160821,adaptive matched filter {=AMF},適應性匹配濾波器,,2017-07-24
3160822,adaptive noise,適應性噪音,,2017-07-24
3160823,adaptive observer,適應性觀測器,,2017-07-24
3160824,adaptive processing,適應性處理,,2017-07-24
3160825,adaptive pulse code modulation {=ADPCM},適應性脈碼調變,,2017-07-24
3160826,adaptive signal processing,適應性訊號處理,,2017-07-24
3160827,adaptive tracking algorithm,適應性追蹤演算法,,2017-07-24
3160828,adaptive transform coding,適應性轉換編碼,,2017-07-24
3160829,add/drop multiplexers,增刪多工器,,2017-07-24
3160830,added inertia matrix,附加慣性矩陣,,2017-07-24
3160831,added mass,附加質量,,2017-07-24
3160832,additive white Gaussian noise {=AWGN} channel,加成式白高斯雜訊通道,,2017-07-24
