ID,英文詞彙,中文詞彙,更新日期
21370121,1- or 2-nitropropane,1或2硝基丙烷；1-或 2-硝基丙烷,
21370122,1- phenyl -1- xylyl ethane,1-苯-1-二甲苯乙烷,
21370123,"1,1-dichloroethane","1,1二氯乙烷",
21370124,"1,3-dichloropropene","1,3-二氯丙烯",
21370125,"1,3-pentadiene","1,3-戊二烯",
21370126,"1,4-dioxane","1,4-二氧陸圜；1,4-二㗁烷",
21370127,2- or 3-chloropropionic acid,2或3氯丙酸；2-或3-氯丙酸,
21370128,"2,2-dichloroisopropyl ether","2,2-二氯異丙醚",
21370129,"2,2-dichloropropionic acid","2,2-二氯丙酸",
21370130,"2,4-dichlorophenol","2,4-二氯酚",
21370131,"2,4-dichlorophenoxyacetic acid,diethanolamine salt solution",二氯苯氧基乙酸二乙醇胺鹽溶液,
21370132,"2,4-dichlorophenoxyacetic acid,dimethylamine salt solution",二氯苯氧基乙酸二甲胺鹽溶液,
21370133,"2,4-dichlorophenoxyacetic acid,triisopropanolamine salt solution",二氯苯氧基乙酸三異丙醇胺鹽溶液,
21370134,2-2-aminoethoxy ethanol,2-胺基乙氧基乙醇；二乙二醇胺,
21370135,2-ethanol,2-乙醇；二甘醇胺,
21370136,2-ethoxyethyl acetate,乙酸-乙氧乙酯；乙二醇乙醚乙酸酯,
21370137,2-ethyl-3-propylacrolein,2-乙基3-丙基丙烯醛,
21370138,2-ethylhexyl acrylate,2-乙基己酸,
21370139,2-ethylhexylamine,2-乙基乙酸；2-乙基己胺,
21370140,2-methyl pyridine,2-甲基吡啶,
21370141,2-methyl-1-pentene,2-甲基-1-戊烯,
21370142,2-methyl-2-hydroxy-3-butyne,2-甲基-2-醇-3-丁炔；2-甲基-3-丁炔-2-醇,
21370143,2-methyl-5-ethyl pyridine,2-甲基-5-乙基吡啶,
21370144,2-methyl-6-ethylaniline,2-甲基-6-乙基苯胺,
21370145,2π counter,2π計數器,
21370146,2π ionozation chamber,2π電離室,
21370147,4-methyl pyridine,4-甲基吡啶,
21370148,4π counter,4π計數器；萬向計數器,
21370149,4π ionozation chamber,4π電離室,
21370150,a posteriori,源自於經驗或證據的事物,
21370151,a priori,獨立於證據、經驗、實驗的事物,
21370152,a priori knowledge,眾人已知不需驗證的知識,
21370153,above deck,艙面；甲板上,
21370154,acceptance criteria,驗收標準,
21370155,accident,意外事故,
21370156,accident limit state (ALS),事故極限狀態,
21370157,accuracy difference (AD),準確度差異,
21370158,acetic acid,醋酸,
21370159,acetic anhydride,醋酸酐；乙酐；乙酸酐,
21370160,acetone cyanohydrin,2-氰丙醇；丙酮氰醇；2-羥基-2甲基丙腈,
21370161,acetonitrile,乙腈；甲基氰；氰甲烷,
21370162,acoustic camera,聲學相機,
21370163,acoustic communication,音響訊號通聯；聲通訊,
21370164,acoustic device,聲學設備,
21370165,acoustic navigation,聲學導航；聲響導航；聲納導航,
21370166,acoustic sensor,聲響感測器；聲波感測器,
21370167,acoustic sensors,串音感測器；串擾感測器,
21370168,acoustic sonar measurement,定位音響聲納量測,
21370169,acoustic trauma,創傷性聽力損失；聽力外傷,
21370170,acoustical metamaterial,聲學超材料,
21370171,acrylarnide solution,丙烯酸胺溶液；丙烯醯胺溶液,
21370172,acrylic acid,丙烯酸,
21370173,acrylonitrile,丙烯腈,
21370174,action data automation computer,動作數據自動計算機,
21370175,actionable information,可供行動的參考資料,
21370176,actual throat thickness,實際喉深,
21370177,ad hoc,特定目的的；特設的 {解決方案}；特別的 {地}；即席的；專業的,
21370178,ad hoc committee,特別委員會,
21370179,adduct,加成物,
21370180,adiponitrile,己二腈；含脂腈,
21370181,adjustable fluke angle ancher,變爪角錨,
21370182,admiral amchor,海軍錨,
21370183,Admiralty ancher,海軍錨；普通有桿錨；普通錨；有桿錨,
21370184,Admiralty pattern anchor,普通有桿錨；海軍錨,
21370185,Admiralty standard stockless anchor,海軍部標準無桿錨；海軍標準無桿錨,
21370186,after cut-up,艉底升高處,
21370187,AI robot,智能機器人,
21370188,air defense computer,防空計算機,
21370189,air defense formations and dispositions,防空編隊及序列,
21370190,air duct deck,{氣墊船}氣道甲板,
21370191,air search attack team,空中搜索攻擊組,
21370192,air search attack unit,空中搜索攻擊分隊,
21370193,air surface zone,海空禁區,
21370194,aircraft carrier (CV),{美}航空母艦{代號},
21370195,aircraft fire control computer,機載火控電腦,
21370196,algoe,海藻,
21370197,alighting deck,{航母}降落甲板,
21370198,alkyl acrylate vinyl pyridine copolymer in toluene,烷基丙烯酸酯乙烯吡啶共聚甲苯,
