ID,英文名稱,中文名稱,圖片,更新日期
21300510,freak plunging wave,畸形捲碎波,,
21300511,freak wave,異常波；畸形波,,
21300512,free bend,自由彎曲,,
21300513,free bend test,自由彎曲試驗,,
21300514,free boat,待租船,,
21300515,free bulwark,鏤空舷牆,,
21300516,free fall grab,自落[式]抓斗取樣機,,
21300517,free fall launching,[救生艇]自由下落下水,,
21300518,free fit,自由配合,,
21300519,free floating body,自由浮體,,
21300520,free flooding superstructure,[潛艇]浸水上層建築,,
21300521,free gyroscope,自由陀螺儀,,
21300522,free oscillation,自由擺動；自由振盪,,
21300523,free piston compressor,自由活塞壓縮機,,
21300524,free piston engine,自由活塞引擎,,
21300525,free roll,自由橫搖,,
21300526,free rotating propeller,隨動螺槳,,
21300527,free running model test,自航模型試驗（操縱性和耐海性）,,
21300528,free space field,自由空間電場,,
21300529,free stream,自由流,,
21300530,free stream velocity,自由流速度,,
21300531,free surface,自由液面；自由表面,,
21300532,free surface effect,自由液面效應,,
21300533,free surface shock wave,自由表面衝擊波,,
21300534,free turning,[船]自由掉頭；自由迴轉,,
21300535,free vibration,自由振動,,
21300536,free vibration frequency,自由振頻；固有頻率；自然頻率,,
21300537,free vibration mode,自由振態,,
21300538,free vortex,自由漩渦；自由渦,,
21300539,free water,自由水；運動水,,
21300540,free water effect,自由水效應,,
21300541,free water surface effect,自由水面效應,,
21300542,free wave,自由波,,
21300543,freeboard,乾舷,,
21300544,freeboard assignment,乾舷勘劃,,
21300545,freeboard calculation,乾舷計算,,
21300546,freeboard deck,乾舷甲板,,
21300547,freeboard depth,乾舷船深,,
21300548,freeboard exceedance frequency,浪越乾舷頻度,,
21300549,freeboard length,乾舷船長,,
21300550,freeboard mark,乾舷標誌,,
21300551,freeboard rule,乾舷規則,,
21300552,freeboard zone,乾舷區域,,
21300553,freedom,自由度；間隙；搖動,,
21300554,free-flooding tank,自由浸水艙（潛）；通海水艙,,
21300555,freeing pipe,出氣管,,
21300556,freeing port,排水口；洩水口（舷牆）,,
21300557,free-running model,自航船模,,
21300558,free-running model test,自航船模[運動]試驗,,
21300559,free-running propeller,空[俥運]轉螺槳,,
21300560,free-standing fuel tank,日用油櫃,,
21300561,free-standing tank,自力支撐式液貨艙櫃,,
21300562,freezer,冷凍器,,
21300563,freezing carrier,冷凍貨物運載船,,
