ID,英文名稱,中文名稱,圖片,更新日期
2754012,potassium ferricyanide,赤血鹽；鐵氰化鉀,,2017-01-16
2754013,potassium oxalate,草酸鉀,,2017-01-16
2754014,potassium permanganate,過錳酸鉀,,2017-01-16
2754015,potential difference,位差；勢差,,2017-01-16
2754016,potential energy,位能；勢能,,2017-01-16
2754017,potential function,位函數；勢函數,,2017-01-16
2754018,Potsdam system,波茨坦系統,,2017-01-16
2754019,power of lens,透鏡放大率,,2017-01-16
2754020,power of reflexion,反射率,,2017-01-16
2754021,power of refraction,折射率,,2017-01-16
2754022,power of telescope,望遠鏡放大率,,2017-01-16
2754023,power oscillator,高壓振盪器,,2017-01-16
2754024,power plant,發電廠*,,2017-01-16
2754025,power transmission line,高壓線*,,2017-01-16
2754026,practical astronomy,實用天文學,,2017-01-16
2754027,prairie,草原*,,2017-01-16
2754028,Pratt's theory of isostasy,普拉第地殼均衡說,,2017-01-16
2754029,pre-coated plate,預塗感光版,,2017-01-16
2754030,pre-punch register system,打孔套印法,,2017-01-16
2754031,precession,逆動性；進動；歲差,,2017-01-16
2754032,percentage dot map,百分點地圖；點值法地圖,,2017-01-16
2754033,percentage of enlargement,放大百分比,,2017-01-16
2754034,precession in declination,赤緯歲差,,2017-01-16
2754035,precession in right ascension,赤經歲差,,2017-01-16
2754036,precession of the equinoxes,分點歲差,,2017-01-16
2754037,precessional constant,歲差常數,,2017-01-16
2754038,precessional motion,歲差運動,,2017-01-16
2754039,precipitation,降水,,2017-01-16
2754040,precise level,精密水準儀,,2017-01-16
2754041,precise leveling rod,精密水準標尺,,2017-01-16
2754042,precise positioning service（PPS）,精確定位服務,,2017-01-16
2754043,precise radar significant location,精密雷達有效位置,,2017-01-16
2754044,precision,精度,,2017-01-16
2754045,precision coordinatograph,精密坐標儀,,2017-01-16
2754046,precision ratio,精度比,,2017-01-16
2754047,precision standard,精度標準,,2017-01-16
2754048,precision tilting level,精密定傾水準儀,,2017-01-16
2754049,predetermined setting,安置數據,,2017-01-16
2754050,predicted tide,推算潮汐,,2017-01-16
2754051,prediction of point anomalies,點異常推估,,2017-01-16
2754052,prefectural map,分縣圖,,2017-01-16
2754053,preferred datum,統一基準面,,2017-01-16
2754054,preliminary,初測,,2017-01-16
2754055,preliminary compilation,粗編圖,,2017-01-16
2754056,preliminary computation,概算,,2017-01-16
2754057,preliminary edition,初版,,2017-01-16
2754058,preliminary orientation,概略方位,,2017-01-16
2754059,preliminary position,概略位置,,2017-01-16
2754060,preliminary sheet,試印樣張,,2017-01-16
2754061,preliminary survey,初測,,2017-01-16
2754062,preliminary traverse,初測導線,,2017-01-16
2754063,preliminary triangle,選點三角形,,2017-01-16
2754064,preparation of drawings,編製原圖,,2017-01-16
2754065,prescreen film,預帶網目軟片,,2017-01-16
2754066,press makeready,整版,,2017-01-16
2754067,press proof,打樣,,2017-01-16
2754068,pressplate,樣張版,,2017-01-16
2754069,pressure altimeter,氣壓高程計,,2017-01-16
2754070,pressure altitude,氣壓高程,,2017-01-16
2754071,pressure back,軟片壓平版,,2017-01-16
2754072,pressure gauge,水壓式驗潮儀,,2017-01-16
2754073,pressure gradient,壓力梯度,,2017-01-16
2754074,pressure measure,壓力量測,,2017-01-16
2754075,pressure plate,壓版,,2017-01-16
2754076,pressure-height corrector,航高改正儀,,2017-01-16
2754077,prevailing wind,盛行風,,2017-01-16
2754078,prick point,刺點,,2017-01-16
2754079,pricker,針筆,,2017-01-16
2754080,primary administrative division boundaries,省界或院轄市界,,2017-01-16
2754081,primary administrative division office,省（市）政府,,2017-01-16
2754082,primary bench mark,水準原點,,2017-01-16
2754083,primary body,本行星；主體,,2017-01-16
2754084,primary circle,主圈；子午圈,,2017-01-16
2754085,primary color,原色,,2017-01-16
2754086,primary compilation,主要編纂圖,,2017-01-16
2754087,primary divisions,主尺,,2017-01-16
2754088,primary great circle,大圈；大圓,,2017-01-16
2754089,primary leveling,幹線水準測量,,2017-01-16
2754090,primary optic axis,第一光軸,,2017-01-16
2754091,primary spectrum,初級光譜,,2017-01-16
2754092,primary station,主測站,,2017-01-16
2754093,primary tide,主潮,,2017-01-16
2754094,primary tide station,主驗潮站；驗潮站,,2017-01-16
2754095,primary triangulation,主三角測量,,2017-01-16
2754096,primary wave,初波；P-波,,2017-01-16
2754097,prime fictitious meridian,設定子午圈,,2017-01-16
2754098,prime grid meridian,主方格子午線,,2017-01-16
2754099,prime inverse meridian,主逆子午線,,2017-01-16
2754100,prime meridian,（本初）子午線,,2017-01-16
2754101,prime oblique meridian,主傾斜子午線,,2017-01-16
2754102,prime transverse meridian,主橫子午線,,2017-01-16
2754103,prime vertical circle,卯酉圈,,2017-01-16
2754104,prime vertical plane,主垂面,,2017-01-16
2754105,principal axis,主軸,,2017-01-16
2754106,principal bearing,主方向角,,2017-01-16
2754107,principal distance,像主距,,2017-01-16
2754108,principal distance error,像主距誤差,,2017-01-16
2754109,principal focus,主焦距,,2017-01-16
2754110,principal line,像主縱線,,2017-01-16
2754111,principal meridian,主子午線,,2017-01-16
2754112,principal object point,前節點,,2017-01-16
2754113,principal parallel,像主橫線,,2017-01-16
2754114,principal plane,像主平面,,2017-01-16
2754115,principal planets,主行星,,2017-01-16
2754116,principal point,像主點,,2017-01-16
2754117,principal point error,像主點誤差,,2017-01-16
2754118,principal point triangulation,像主點三角測量,,2017-01-16
2754119,principal polygonometric network,主導線網,,2017-01-16
2754120,principal river,主流,,2017-01-16
2754121,principal scale,主比例尺,,2017-01-16
2754122,principal station,主測站,,2017-01-16
2754123,principal wave,主波,,2017-01-16
2754124,principle of probability,或然率原理,,2017-01-16
2754125,print,印像；印刷,,2017-01-16
2754126,print limit point,印刷面積界限,,2017-01-16
2754127,print master,主片,,2017-01-16
2754128,print through,透印,,2017-01-16
2754129,printer,曬像機；印像機,,2017-01-16
2754130,printing frame,曬像框,,2017-01-16
2754131,printing machine,印刷機,,2017-01-16
2754132,printing press,印刷機,,2017-01-16
2754133,printing sequence,印刷流程,,2017-01-16
2754134,prism,稜鏡,,2017-01-16
2754135,prism diopter,稜鏡折光度,,2017-01-16
2754136,prism eyecap,折視目鏡,,2017-01-16
2754137,prism glass,稜鏡,,2017-01-16
2754138,prism spectrograph,稜鏡攝譜儀,,2017-01-16
2754139,prism square,直角稜鏡,,2017-01-16
2754140,prismatic astrolabe,稜鏡等高儀,,2017-01-16
2754141,prismatic binocular,雙筒望遠鏡,,2017-01-16
2754142,prismatic compass,稜鏡羅盤儀,,2017-01-16
2754143,prismatic error,稜鏡誤差,,2017-01-16
2754144,prismatic eyepiece,稜鏡目鏡,,2017-01-16
2754145,prismatic sextant,稜鏡六分儀,,2017-01-16
2754146,prismatic telemeter,稜鏡測距儀,,2017-01-16
2754147,prismatic transit,折視經緯儀,,2017-01-16
2754148,probability,或然率,,2017-01-16
2754149,probability curve,或然率曲線,,2017-01-16
2754150,probable deviation,或然差,,2017-01-16
2754151,probable error,或然誤差,,2017-01-16
2754152,probable value,或是值（最或是值）　,,2017-01-16
2754153,process camera,複照儀,,2017-01-16
2754154,process film,製版底片,,2017-01-16
2754155,process lens,複照透鏡,,2017-01-16
2754156,process photography,製版攝影術,,2017-01-16
2754157,process plate,印刷版,,2017-01-16
2754158,process technique,照像製版術,,2017-01-16
2754159,process work,複照；複製,,2017-01-16
2754160,processing bath,沖洗液,,2017-01-16
2754161,processing tank,顯像槽,,2017-01-16
2754162,production priority list,製印次序表,,2017-01-16
2754163,profile,縱斷面,,2017-01-16
2754164,profile leveling,縱斷面水準測量；縱斷面測量,,2017-01-16
2754165,profile paper,縱斷面紙,,2017-01-16
2754166,profile projection,縱斷面投影器,,2017-01-16
2754167,profile reading unit,斷面閱讀儀,,2017-01-16
2754168,profile storage unit,斷面錄存器,,2017-01-16
2754169,profilegraph,斷面測繪器,,2017-01-16
2754170,proglacial lake,冰堆湖*,,2017-01-16
2754171,prognostic value,預測值,,2017-01-16
2754172,prograde motion,順行,,2017-01-16
2754173,program debug,程式調試,,2017-01-16
2754174,programmed shutter,程式控制快門,,2017-01-16
2754175,programmed stop,程式停機,,2017-01-16
2754176,progress sketch,作業進度略圖,,2017-01-16
2754177,progression,級數,,2017-01-16
2754178,progressive motion,順行遊動,,2017-01-16
2754179,progressive proofs,彩色打樣,,2017-01-16
2754180,progressive sampling,漸進取樣,,2017-01-16
2754181,progressive wave,進行波,,2017-01-16
2754182,prohibited area,禁航區,,2017-01-16
2754183,projected profile,投影斷面圖,,2017-01-16
2754184,projected topographic profile,投影地勢斷面圖,,2017-01-16
2754185,projecting apparatus,投影儀,,2017-01-16
2754186,projecting camera,投影機,,2017-01-16
2754187,projecting lens,投影透鏡,,2017-01-16
2754188,projecting printer,投影曬像機,,2017-01-16
2754189,projection cardam,投影關節,,2017-01-16
2754190,projection comparator,投影量測儀,,2017-01-16
2754191,projection computation,投影計算,,2017-01-16
2754192,projection data,投影說明,,2017-01-16
2754193,projection distance,投影距離,,2017-01-16
2754194,projection lines,投影線,,2017-01-16
2754195,projection note,投影註記,,2017-01-16
2754196,projection print,投影圖,,2017-01-16
2754197,projection printer,投影儀；投影曬像器,,2017-01-16
2754198,projection printing,投影曬像,,2017-01-16
2754199,projection system,投影系統,,2017-01-16
2754200,projection tables,投影表,,2017-01-16
2754201,projection ticks,投影標記,,2017-01-16
2754202,projection vertexometer,天頂投影器,,2017-01-16
2754203,projector,投影器,,2017-01-16
2754204,projector comparator,投影量測儀,,2017-01-16
2754205,projector station,投影站,,2017-01-16
2754206,prolate spheroid,扁平旋轉橢球體；長橢球體,,2017-01-16
2754207,prolongation,延長線,,2017-01-16
2754208,promentory,高角,,2017-01-16
2754209,prominent feature,顯著地物,,2017-01-16
2754210,promote dose dry,促乾劑,,2017-01-16
2754211,proof,校樣,,2017-01-16
2754212,proof by induction,歸納證法,,2017-01-16
2754213,proof copy,樣張,,2017-01-16
