ID,英文詞彙,中文名詞,更新日期
21328424,kung pao chicken; gong bao chicken,宮保雞丁,
21329163,mapo tofu,麻婆豆腐,
21329164,twice-cooked pork (hui guo rou),回鍋肉,
21329165,red braised pork (hong shao rou),紅燒肉,
21329166,three cup chicken (san bei ji),三杯雞,
21329167,hot pot,火鍋,
21329168,Peking duck,北京烤鴨,
21329169,fried noodles;chow mein (Hong Kong style),炒麵,
21329170,fried rice,炒飯,
21329171,dim sum,港式點心,
21329172,char siu;Cantonese barbecued pork,叉燒,
21329262,egg drop soup,蛋花湯,
21329263,"""golden lotus"" feet",三寸金蓮,
21329264,(Chinese) seal carving (雕);(Chinese) seal engraving (雕);(Chinese) seal cutting (鑿);zhuanke,篆刻,
21329265,(Chinese) water chestnut;edible sedge tuber,荸薺,
21329266,(ching-geeng) bok choy;Shanghai bok choy,青江菜,
21329267,(deep) fry,炸,
21329268,(malt sugar) sun cake,太陽餅,
21329269,(narrow-barred) Spanish mackerel,土魠魚,
21329270,(the) Analects;(the) Analects of Confucius,論語,
21329271,(the) Book of Mencius,孟子,
21329272,(the) Doctrine of the Mean,中庸,
21329273,(the) Great Learning,大學,
21329274,“Mandarin duck” firecracker;floating firecracker,水鴛鴦,
21329275,abduct(拐騙兒童);swindle(拐騙財物),拐騙,
21329276,ability grouping (US);streaming (UK);class placement,能力分班,
21329277,activate blood circulation;blood tonification;blood activation,補血,
21329278,admissions by recommendation and screening,甄選入學,
21329279,adobe house,土坯房,
21329280,Advanced Subjects Test (AST),指考 (指定科目考試),
21329281,adzuki bean soup;red bean soup,紅豆湯,
21329282,after-school class,課後輔導,
21329283,after-school class;after-school care;anqinban,安親班,
21329284,agar,寒天(洋菜),
21329285,ai;(the Confucian virtue of) love,愛,
21329286,air-dry;cure,風乾,
21329287,alfalfa sprouts,苜蓿芽,
21329288,all-purpose flour (US);plain flour (UK),中筋麵粉,
21329289,annoying;pesky;tiresome,很機車,
21329290,apricot kernel jelly,杏仁豆腐,
21329291,Arhat,羅漢,
21329292,arm wrestling,比腕力,
21329293,Asian clam,河蜆 (蜊仔),
21329294,Asian conical hat;bamboo hat,斗笠,
21329295,Asian pear,東方梨,
21329296,asparagus lettuce,菜心 (台灣),
21329297,auricular point acupressure,耳穴按壓,
21329298,Avalokitesvara;Guanyin;Goddess of Mercy,觀音,
21329299,avocado,酪梨,
21329300,ba;Chinese cymbals,銅鈸,
21329301,bagua;eight trigrams,八卦,
21329302,bake,烤 (麵包、糕餅),
21329303,balloon flower;Chinese bellflower,桔梗,
21329304,bang snap,甩炮,
21329305,bangyan;second on the jinshi list,榜眼,
21329306,baobing;shaved ice,刨冰,
21329307,Baosheng Dadi;deity of medicine,保生大帝,
21329308,baozi;stuffed steamed bun,包子,
21329309,barbecue,烤肉,
21329310,barefoot doctor,赤腳醫生,
21329311,batik;wax-resist dyeing,蠟染,
21329312,bawan;bawan meat dumpling,肉圓,
21329313,bean bag toss;playing jacks with bean bags;bean bag jacks,丟沙包,
21329314,bean microgreens;(俗稱 bean sprouts),豆苗,
21329315,beef floss,牛肉鬆,
21329316,beef noodles,牛肉麵,
21329317,beef xian bing,牛肉餡餅,
21329318,beehive fireworks,蜂炮,
21329319,betel nut beauty;binlang girl,檳榔西施,
21329320,bianqing;stone or jade chimes,編磬,
21329321,bianzhong;Chinese bell chimes;bronze bell chimes,編鐘,
21329322,big soup bowl;serving bowl,碗公,
21329323,black jujube,黑棗,
21329324,black soybean,黑豆,
21329325,black stone,黑子,
21329326,black-bellied hornet,黑腹虎頭蜂,
21329327,black-eyed pea,米豆,
21329328,bladed weapons,刀劍,
21329329,blind man's buff;blind man's bluff,矇眼捉迷藏,
21329330,bluefin tuna,黑鮪魚,
21329331,boba milk tea,波霸奶茶,
21329332,Bodhisattva,菩薩,
21329333,bok choy;pak choi,(黑葉)白菜,
21329334,Boxer Rebellion;Boxer Uprising,義和團之亂,
21329335,braise,燜,
21329336,braise in soy sauce and spices;soy-braised,滷,
21329337,bread flour;baker's flour,高筋麵粉,
21329338,brick house,磚房,
21329339,bridal veil mushroom,竹蓀 (竹笙),
21329340,broil,炙燒,
21329341,bronze script;bronze inscription,金文,
21329342,brought together by fate,有緣,
21329343,brown rice,糙米,
21329344,bubble (black) tea,泡沫紅茶,
21329345,bubble green tea,泡沫綠茶,
21329346,buckwheat,蕎麥,
21329347,budaixi;(Chinese/Taiwanese) hand puppetry,布袋戲,
21329348,Buddha,佛陀,
21329349,Buddhist monk;bhikkhu,比丘 (和尚),
21329350,Buddhist nun;bhikkhunī,比丘尼 (尼姑),
21329351,Buddhist scripture(s);Buddhist sutra(s),佛經,
