ID,英文名稱,中文名稱,圖片,更新日期
2049975,radio altimeter,無線電高度計,,2014-05-14
2049976,radio amplifier,無線電放大器,,2014-05-14
2049977,radio compass,無線電羅盤,,2014-05-14
2049978,radio frequency adapter {= rf adapter; RF adapter},射頻應接器,,2014-05-14
2049979,radio frequency transformer,射頻變壓器,,2014-05-14
2049980,radio goniometer,無線電測角計；無線電方位計,,2014-05-14
2049981,radio modulator,射頻調變器；無線電調變器,,2014-05-14
2049982,radio receiver,無線電接收機,,2014-05-14
2049983,radio telescope,無線電望遠鏡,,2014-05-14
2049984,radio transmitter,無線電發射機,,2014-05-14
2049985,radio tube,無線電電子管；無線電真空管,,2014-05-14
2049986,radio valve,無線電真空管；無線電電子管,,2014-05-14
2049987,radioactive logger,放射性測井儀,,2014-05-14
2049988,radioactive micrometer,放射性測微計,,2014-05-14
2049989,radioactive thickness gage,放射性測厚計,,2014-05-14
2049990,radioactive thickness gauge,放射性測厚計,,2014-05-14
2049991,radioassay detector,放射分析偵檢器；放射化驗偵檢器,,2014-05-14
2049992,radio-balance,熱輻射測量計,,2014-05-14
2049993,radiochromatogram scanner,放射層析譜掃描器,,2014-05-14
2049994,radiochromatograph,放射層析儀,,2014-05-14
2049995,radiodosimeter,輻射劑量計,,2014-05-14
2049996,radio-frequency amplifier,射頻放大器,,2014-05-14
2049997,radio-frequency filter,射頻濾波器,,2014-05-14
2049998,radio-frequency generator,射頻產生器,,2014-05-14
2049999,radio-frequency heater,射頻加熱器,,2014-05-14
2050000,radio-frequency mass spectrometer,射頻質譜儀,,2014-05-14
2050001,radio-frequency oscillator,射頻振盪器,,2014-05-14
2050002,radio-frequency permeameter,射頻磁導計,,2014-05-14
2050003,radio-frequency probe,射頻探針,,2014-05-14
2050004,radio-frequency source,射頻源,,2014-05-14
2050005,radio-frequency spectrometer,射頻譜儀,,2014-05-14
2050006,radio-frequency SQUID,射頻超導量子干涉儀；射頻磁規,,2014-05-14
2050008,radiographic thickness gage,放射線測厚計,,2014-05-14
2050009,radiographic thickness gauge,放射線測厚計,,2014-05-14
2050010,radioisotope gage,放射性同位素測量計,,2014-05-14
2050011,radioisotope gauge,放射性同位素測量計,,2014-05-14
2050012,radioisotope transmission gage,放射性同位素穿透測量計,,2014-05-14
2050013,radioisotope transmission gauge,放射性同位素穿透測量計,,2014-05-14
2050014,radiometer,[熱]輻射計；放射計,,2014-05-14
2050015,radiometer gage,放射測壓計,,2014-05-14
2050016,radiometer gauge,放射測壓計,,2014-05-14
2050017,radiomicrometer,微輻射計,,2014-05-14
2050018,radiophone,無線電話,,2014-05-14
2050019,radioscope,放射鏡,,2014-05-14
2050020,radio-spectroscope,射頻能譜儀；射頻分光鏡,,2014-05-14
2050021,radiotelephone,無線電話,,2014-05-14
2050022,radioteletype,無線電電傳打字機,,2014-05-14
2050023,radium electroscope,鐳驗電器,,2014-05-14
2050024,radix converter,數基轉換器,,2014-05-14
2050025,rail brake,軌道剎車[器],,2014-05-14
2050026,rain gage,雨量計,,2014-05-14
2050027,rain gauge,雨量計,,2014-05-14
2050028,raiser,提升器；上升管,,2014-05-14
2050029,rake classifier,耙式類析器,,2014-05-14
2050030,rake mixer,耙式混合器,,2014-05-14
2050032,ram compressor,衝撃壓縮機,,2014-05-14
2050033,ram press,衝壓機,,2014-05-14
2050034,ram pump,衝撃泵,,2014-05-14
2050035,ram tester,衝撃試驗機,,2014-05-14
2050036,ramjet,衝壓噴射發動機,,2014-05-14
2050037,ramjet engine,衝壓噴射發動機,,2014-05-14
2050038,rammer compactor,衝撃壓緊機,,2014-05-14
2050039,ramp function generator,斜坡函數發生器；斜坡函數產生器,,2014-05-14
2050040,random access controller,隨機存取控制器,,2014-05-14
2050041,random counter,隨機計數器,,2014-05-14
2050042,random number generator,隨機數產生器；亂數產生器,,2014-05-14
2050043,random-access device,隨機存取裝置,,2014-05-14
2050044,random-access memory {= RAM},隨機存取記憶體,,2014-05-14
2050045,random-access storage,隨機存取儲存器,,2014-05-14
2050046,range indicator,距離指示器,,2014-05-14
2050047,range setting indicator,定距指示器,,2014-05-14
2050048,rangefinder,測距器,,2014-05-14
2050049,range-height indicator,距離高度指示器,,2014-05-14
2050050,ranger,測距儀,,2014-05-14
2050051,rapid action valve,速動閥,,2014-05-14
2050052,rapid cooling crystallizer,快冷結晶器,,2014-05-14
2050053,rapid filter,快速過濾器,,2014-05-14
2050054,rapid heater,快速加熱器,,2014-05-14
2050055,rapid-access storage,快速存取儲存器,,2014-05-14
2050056,raster microscope,光柵顯微鏡,,2014-05-14
2050057,rat tail file,小圓銼,,2014-05-14
2050058,ratchet jack,棘輪起重器,,2014-05-14
2050059,ratchet wheel,棘輪,,2014-05-14
2050060,rate governor,調速器,,2014-05-14
2050061,rate gyro,[角]速率迴轉儀；[角]速率陀螺儀,,2014-05-14
2050062,rate indicator,變率指示器；速率指示器,,2014-05-14
2050063,rate meter,變率計；速率計,,2014-05-14
2050064,rate regulator,速率調節器；變率調節器,,2014-05-14
2050065,ratio adjuster,比率調整器,,2014-05-14
2050066,ratio control meter,比率控制計,,2014-05-14
2050067,ratio controller,比率控制器,,2014-05-14
2050068,ratio detector,比率檢頻器,,2014-05-14
2050069,ratio meter,比率計,,2014-05-14
2050070,ratio recorder,比率記錄器；比例記錄器,,2014-05-14
2050071,ratio recording controller,比率記錄控制器,,2014-05-14
2050072,ray filter,濾光器；射線過濾器,,2014-05-14
2050073,ray plotter,光線繪圖器；射線繪圖器,,2014-05-14
2050075,RC divider,RC[電壓]分配器,,2014-05-14
2050077,reactance amplifier,電抗放大器,,2014-05-14
2050078,reactance frequency multiplier,電抗頻率倍增器,,2014-05-14
2050079,reactance meter,電抗計,,2014-05-14
2050080,reactance modulator,電抗調制器,,2014-05-14
2050081,reactance relay,電抗繼電器,,2014-05-14
2050082,reactance resonance indicator,電抗共振指示器,,2014-05-14
2050083,reactance tube,電抗管,,2014-05-14
2050084,reactance valve,電抗管；電抗閥,,2014-05-14
2050085,reaction chamber,反應室；反應腔,,2014-05-14
