ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3166361,absolute pressure,絕對壓[強]；絕對壓[力],,绝对压强,2017-07-24
3166362,absolute temperature,絕對溫度,,绝对温度,2017-07-24
3166363,absolute zero,絕對零度,,绝对零度,2017-07-24
3166364,absorption spectrum,吸收譜,,吸收光谱,2017-07-24
3166365,accelerated motion,加速[度]運動,,加速运动,2017-07-24
3166366,acceleration,加速度,,加速度,2017-07-24
3166367,acceleration of gravity,重力加速度,,重力加速度,2017-07-24
3166368,acoustics,聲學,,声学,2017-07-24
3166369,action,作用；作用力；作用量,,作用；作用量,2017-07-24
3166370,action at a distance,超距力 ； 超距作用,,超距作用,2017-07-24
3166371,adhesive force,附著力,,附着力,2017-07-24
3166372,adiabatic process,絕熱過程；緩漸過程,,绝热过程,2017-07-24
3166373,alpha decay,α衰變；阿爾發衰變,,α衰變,2017-07-24
3166374,ammeter,安培計,,ammeter,2017-07-24
3166375,ampere,安培,,安培（电流单位）,2017-07-24
3166376,amplitude,振幅；幅,,振幅,2017-07-24
3166377,Andromeda galaxy,仙女座星系,,仙女星系,2017-07-24
3166378,angular acceleration,角加速度,,角加速度,2017-07-24
3166379,angular displacement,角移,,角位移,2017-07-24
3166380,angular frequency,角頻[率],,"角频率,圆频率",2017-07-24
3166381,angular momentum,角動量,,"角动量,动量矩",2017-07-24
3166382,angular resolution,角分辨度,,角分辨率,2017-07-24
3166383,angular velocity,角速度,,角速度,2017-07-24
3166384,annihilation,消滅,,湮没，湮灭,2017-07-24
3166385,anode,陽極,,阳极,2017-07-24
3166386,antineutrino,反微中子；反中微子,,反中微子,2017-07-24
3166387,antinode,[波]腹,,[波]腹,2017-07-24
3166388,antiparticle,反粒子,,反粒子,2017-07-24
3166389,aperture,孔；孔徑,,孔径;光阑,2017-07-24
3166390,aperture stop,孔徑光闌,,孔[径光]阑,2017-07-24
3166391,apparent brightness,視亮度,,视亮度,2017-07-24
3166392,Archimedes principle,阿基米德原理,,阿基米德原理,2017-07-24
3166393,arm of force,力臂,,力臂,2017-07-24
3166394,astronomical unit ｛＝AU｝,天文單位,,天文单位,2017-07-24
3166395,atmospheric pressure,大氣壓強；大氣壓,,大气压强,2017-07-24
3166396,atom,原子,,原子,2017-07-24
3166397,atomic clock,原子鐘,,原子钟,2017-07-24
3166398,atomic mass number,原子質量數,,原子质量数,2017-07-24
3166399,atomic nucleus,原子核,,原子核,2017-07-24
3166400,atomic number,原子序,,原子序数,2017-07-24
3166401,attraction,吸引；引力,,吸引,2017-07-24
3166402,Atwood's machine,阿特午機,,阿特伍德机,2017-07-24
3166403,AU｛astronomical unit｝,天文單位,,天文单位,2017-07-24
3166404,audible frequency,可聽頻率,,可听频率,2017-07-24
3166405,aurora,極光,,极光,2017-07-24
3166406,average power,平均功率,,平均功率,2017-07-24
3166407,average speed,平均速率,,平均速率,2021-06-16
3166408,average velocity,平均速度,,平均速度,2017-07-24
3166409,background radiation,背景輻射,,本底辐射;背景辐射,2017-07-24
3166410,ballistic transport,無礙傳輸,,弹道输运,2017-07-24
3166411,Balmer series,巴耳末系,,巴耳末系,2017-07-24
3166412,bar,巴 (壓強單位),,巴(压强单位);杆,2017-07-24
3166413,barometer,氣壓計,,气压计,2017-07-24
3166414,barred spiral galaxy,棒狀旋星系,,棒旋星系,2017-07-24
3166415,base,基極,,基极,2017-07-24
3166416,beta decay,β衰變；貝他衰變,,β衰变,2017-07-24
3166417,big bang theory,霹靂說；大霹靂理論,,大爆炸宇宙论,2017-07-24
3166418,binding energy,結合能；束縛能,,结合能，束缚能,2017-07-24
3166419,Biot-Savart law,必歐-沙伐定律,,毕奥-萨伐尔定律,2017-07-24
3166420,black body radiation,黑體輻射,,黑体辐射,2017-07-24
3166421,blue shift,藍位移,,蓝移,2017-07-24
3166422,Bohr radius,波耳半徑,,玻尔半径,2017-07-24
3166423,boiling point,沸點,,沸点,2017-07-24
3166424,bow wave,頭波,,头波 ,2017-07-24
3166425,Boyle's law,波以耳定律,,玻意耳定律,2017-07-24
3166426,Brackett series,布拉克系,,布拉开系,2017-07-24
3166427,Bragg angle,布拉格角,,布拉格角,2017-07-24
3166428,Bragg's law,布拉格定律,,布拉格定律,2017-07-24
3166429,braking radiation,制動輻射,,轫致辐射，制动辐射,2017-07-24
3166430,Brownian motion,布朗運動,,布朗运动,2017-07-24
3166431,candela,燭光 (亮度單位),,坎[德拉]（国际制发光强度单位）；烛光,2017-07-24
3166432,capacitance,電容,,电容,2017-07-24
3166433,capacitor,電容[器],,电容器,2017-07-24
3166434,capillarity,毛細作用；毛細現象,,毛细现象,2017-07-24
3166435,capillary tube,毛細管,,毛细管,2017-07-24
