ID,英文名稱,中文名稱,圖片,更新日期
3140436,A/D and D/A converter,類比數位及數位類比轉換器,,2017-07-20
3140437,abnormal hearing,聽力異常,,2017-07-20
3140438,absolute amplitude perterturbation,絕對振幅擾動,,2017-07-20
3140439,absolute difference limen,絕對辨別極限,,2017-07-20
3140440,absolute hearing,絕對音感,,2017-07-20
3140441,absolute judgment,心理絕對判斷,,2017-07-20
3140442,absolute response,絕對響應,,2017-07-20
3140443,absolute-value circuit,絕對值電路,,2017-07-20
3140444,absorber,吸收器；吸收體,,2017-07-20
3140445,absorption coefficient,吸音係數,,2017-07-20
3140446,absorptive material,吸音材料,,2017-07-20
3140447,abutting critical band,臨界接帶,,2017-07-20
3140448,AC analysis,交流分析,,2017-07-20
3140449,AC coupling,交流耦合,,2017-07-20
3140450,AC current,交流電流,,2017-07-20
3140451,AC measurement,交流量測,,2017-07-20
3140452,AC model,交流模型,,2017-07-20
3140453,AC motor drive,交流馬達驅動器,,2017-07-20
3140454,AC voltage,交流電壓,,2017-07-20
3140455,acceleration,加速度,,2017-07-20
3140456,acceleration spectrum,加速度頻譜,,2017-07-20
3140457,acceleration transmissibility,加速度傳輸比,,2017-07-20
3140458,acceleration vector,加速度向量,,2017-07-20
3140459,accelerometer,加速規；加速度計,,2017-07-20
3140460,accent,腔調,,2017-07-20
3140461,acceptable limits of annoyance,可接受吵鬧限值,,2017-07-20
3140462,access control,存取控制,,2017-07-20
3140463,access network,存取網路,,2017-07-20
3140464,accompanied modulation,伴隨調變；伴隨調制,,2017-07-20
3140465,accumulative power spectrum,累積聲量頻譜,,2017-07-20
3140466,accuracy,準確度,,2017-07-20
3140467,accuracy of the mean,平均準確度,,2017-07-20
3140468,AC-DC power conversion,交流直流功率轉換,,2017-07-20
3140469,AC-DC power converter,交流直流功率轉換器,,2017-07-20
3140470,acoustic apparatus,聽覺器官,,2017-07-20
3140471,acoustic application,聲波應用,,2017-07-20
3140472,acoustic array,聲波陣列,,2017-07-20
3140473,acoustic beam,聲束,,2017-07-20
3140474,acoustic break,聲阻斷,,2017-07-20
3140475,acoustic calibrator,聲音校正器,,2017-07-20
3140476,acoustic damping parameter,聲波阻尼參數,,2017-07-20
3140477,acoustic detector,聲波偵測器,,2017-07-20
3140478,acoustic device,聲波元件,,2017-07-20
3140479,acoustic dispersion,聲頻散,,2017-07-20
3140480,acoustic effect,聲波效應,,2017-07-20
3140481,acoustic emission,聲發射,,2017-07-20
3140482,acoustic energy density,聲音能量密度,,2017-07-20
3140483,acoustic environment,聲學環境,,2017-07-20
3140484,acoustic equalizer,音響等化器,,2017-07-20
3140485,acoustic feature,聲學特徵,,2017-07-20
3140486,acoustic filter,聲波濾波器,,2017-07-20
3140487,acoustic frequency conversion,聲波頻率轉換,,2017-07-20
3140488,acoustic imaging,聲波成像,,2017-07-20
3140489,acoustic impedance,聲阻抗,,2017-07-20
3140490,acoustic insulation material,隔音材料,,2017-07-20
3140491,acoustic mapping,聲波成像,,2017-07-20
3140492,acoustic material,聲學材料,,2017-07-20
3140493,acoustic measurement,聲波量測,,2017-07-20
3140494,acoustic microscopy,聲波顯微術,,2017-07-20
3140495,acoustic microwave device,聲波微波元件,,2017-07-20
3140496,acoustic mode,聲模,,2017-07-20
3140497,acoustic nerve,聽神經,,2017-07-20
3140498,acoustic neurinoma,聽神經鞘瘤,,2017-07-20
3140499,acoustic noise,聲波雜訊,,2017-07-20
3140500,acoustic oscillator,聲波振盪器,,2017-07-20
3140501,acoustic phonetics,聲學語音學,,2017-07-20
3140502,acoustic plate-wave coupler,聲波平板波耦合器,,2017-07-20
3140503,acoustic plate-wave oscillator,聲波平板波振盪器,,2017-07-20
3140504,acoustic plate-wave transducer,聲波平板波轉換器,,2017-07-20
3140505,acoustic propagation,聲波傳播,,2017-07-20
3140506,acoustic pulse,聲脈波,,2017-07-20
3140507,acoustic pulse compression,聲波脈波壓縮,,2017-07-20
3140508,acoustic resistance,聲學抵抗,,2017-07-20
3140509,acoustic resonator,聲波共振器,,2017-07-20
3140510,acoustic scattering,聲波散射,,2017-07-20
3140511,acoustic sensing,聲波感測,,2017-07-20
3140512,acoustic sensor array,聲波感測陣列,,2017-07-20
3140513,acoustic shadow,聲學陰影,,2017-07-20
3140514,acoustic signal,聲學訊號,,2017-07-20
3140515,acoustic signal detection,聲波訊號偵測,,2017-07-20
3140516,acoustic signal processing,聲波訊號處理,,2017-07-20
3140517,acoustic surface wave,聲面波,,2017-07-20
