ID,英文名稱,中文名稱,圖片,更新日期
3224021,ternary fission,三分核分裂,,2017-07-31
3224022,ternary phase,三元相,,2017-07-31
3224023,terrestrial current,地電流,,2017-07-31
3224024,terrestrial magnetism,地磁；地磁學,,2017-07-31
3224025,terrestrial magnetism,地磁；地磁學,,2017-07-31
3224026,terrestrial planet,類地行星,,2017-07-31
3224027,tertiary structure,三級結構,,2017-07-31
3224028,tesla｛=T｝,特士拉｛磁場單位｝,,2017-07-31
3224029,tesseral harmonics,田諧函數,,2017-07-31
3224030,tesseral system,等軸晶系,,2017-07-31
3224031,test charge,檢驗電荷,,2017-07-31
3224032,tetartohedral form,四分面體晶形,,2017-07-31
3224033,tetragonal system,四方[晶]系,,2017-07-31
3224034,tetrahedral bond,四面體鍵,,2017-07-31
3224035,tetrahedral group,四面體群,,2017-07-31
3224036,tetrahedral interstice,四面體空隙,,2017-07-31
3224037,tetrahedral site,四面體座,,2017-07-31
3224038,tetrahedron,四面體,,2017-07-31
3224039,tetrahedry,四分一對稱,,2017-07-31
3224040,tetrahexahedron,四六面體,,2017-07-31
3224041,tetrakaidecahedron,十四面體,,2017-07-31
3224042,texture,織構,,2017-07-31
3224043,TFT｛thin film transistor｝,薄膜電晶體,,2017-07-31
3224044,thallium｛=Tl｝,鉈,,2017-07-31
3224045,theodolite,經緯儀｛天文｝,,2017-07-31
3224046,theorem,定理,,2017-07-31
3224047,theorem of parallel axes,平行軸定理,,2017-07-31
3224048,theorem of residues,留數定理,,2017-07-31
3224049,theoretical mechanics,理論力學,,2017-07-31
3224050,theoretical physics,理論物理[學],,2017-07-31
3224051,theory,[理]論；[學]說,,2017-07-31
3224052,theory of relativity,相對論,,2017-07-31
3224053,therm,熱量單位,,2017-07-31
3224054,thermal,熱體,,2017-07-31
3224055,thermal activation,熱激發,,2017-07-31
3224056,thermal agitation,熱騷動,,2017-07-31
3224057,thermal analysis,熱學分析,,2017-07-31
3224058,thermal boundary layer,熱邊界層,,2017-07-31
3224059,thermal capacitivity,熱容率,,2017-07-31
3224060,thermal capacity,熱容量,,2017-07-31
3224061,thermal conductivity,熱導率；導熱性,,2017-07-31
3224062,thermal conductivity coefficient,熱導係數,,2017-07-31
3224063,thermal contact,熱接觸；熱接點,,2017-07-31
3224064,thermal cycle,熱循環,,2017-07-31
3224065,thermal death,熱寂,,2017-07-31
3224066,thermal desorption,熱退吸,,2017-07-31
3224067,thermal detector,熱檢器,,2017-07-31
3224068,thermal diffusion,熱擴散,,2017-07-31
3224069,thermal diffusivity,熱擴散率,,2017-07-31
3224070,thermal dissociation,熱解離,,2017-07-31
