ID,英文名稱,中文名稱,圖片,更新日期
1082630,rumen,瘤胃,,2012-11-26
1082631,rumen atony,瘤胃無水,,2012-11-26
1082632,rumen bloat,瘤胃鼓脹,,2012-11-26
1082633,rumen fauna,瘤胃內動物,,2012-11-26
1082634,rumen flora,瘤胃纖毛蟲,,2012-11-26
1082635,rumen fluke,瘤胃蛭，雙口吸蟲,,2012-11-26
1082636,rumen hypermotility of,瘤胃過度運動,,2012-11-26
1082637,rumen indigestion,瘤胃不消化,,2012-11-26
1082638,rumen over-load,瘤胃超載,,2012-11-26
1082639,rumen rotation,瘤胃旋轉,,2012-11-26
1082640,rumen thocansation,瘤胃套疊,,2012-11-26
1082641,rumen tympanite,瘤胃鼓脹,,2012-11-26
1082642,rumen，acute impaction of,瘤胃急性積食,,2012-11-26
1082643,rumen，distention of,瘤胃膨脹,,2012-11-26
1082644,rumen，foam formation in,瘤胃中泡沫形成,,2012-11-26
1082645,rumen，parakeratosis of,瘤胃不全形化,,2012-11-26
1082646,rumen，transplant from,瘤胃移植體,,2012-11-26
1082647,rumen，ulcer of,瘤胃潰瘍,,2012-11-26
1082648,rumenoplexy,瘤胃固定術,,2012-11-26
1082649,rumenotomy,瘤胃切開術,,2012-11-26
1082650,Rumex acetosa,酸模,,2012-11-26
1082651,ruminal,瘤胃的,,2012-11-26
1082652,ruminal atony,瘤胃無力,,2012-11-26
1082653,ruminal intoxication,瘤胃中毒,,2012-11-26
1082654,ruminal papillae,瘤胃乳突,,2012-11-26
1082655,ruminal parakeratosis,瘤胃不全形化,,2012-11-26
1082656,ruminant,反芻動物,,2012-11-26
1082657,rumination,反芻作用,,2012-11-26
1082658,ruminitis,瘤胃炎,,2012-11-26
1082659,ruminoreticular fold,瘤蜂巢胃皺襞,,2012-11-26
1082660,rumplessness,無尾（雞）,,2012-11-26
1082661,runner duck,疾步鴨,,2012-11-26
1082662,runt pig,石頭豬,,2012-11-26
1082663,rupture,破裂,,2012-11-26
1082664,rupture of abomasum,皺胃破裂,,2012-11-26
1082665,rupture of aorta,主動脈破裂,,2012-11-26
1082666,rupture of atrium,心耳破裂,,2012-11-26
1082667,rupture of intestine,腸破裂,,2012-11-26
1082668,rupture of stomach,胃破裂,,2012-11-26
1082669,rupture of ventricle,心室破裂,,2012-11-26
1082671,rupture，muscle,肌肉破裂,,2012-11-26
1082673,rupture，rectal,直腸破裂,,2012-11-26
1082674,rupture，stomach,胃破裂,,2012-11-26
1082676,rupture，urethral,尿道破裂,,2012-11-26
1082677,rupture，uterine,子宮破裂,,2012-11-26
1082678,Russel's,勒塞耳氏的,,2012-11-26
1082679,Russel's body,勒塞耳氏小體，復紅小體,,2012-11-26
1082680,Russel's viper venom,勒塞耳氏奎蛇毒,,2012-11-26
1082681,Russel's viper venom time，RVVT,勒塞耳氏奎蛇毒時間,,2012-11-26
1082682,Russian,俄國的,,2012-11-26
1082683,Russian spring-summer encephalitis,俄國春夏腦炎,,2012-11-26
1082684,Russian vesicular rickettsiosis,俄國水皰性立克次體症,,2012-11-26
1082685,rust disease,銹斑病（魚）,,2012-11-26
1082686,rutting period,性慾期，動情期,,2012-11-26
1082687,rye,黑麥,,2012-11-26
1082688,S colony,平滑菌落,,2020-02-21
1082689,Saanen goat,撒能山羊,,2012-11-26
1082690,Sabin-Feldman dye test,費二氏色素試驗（弓蟲）,,2012-11-26
1082691,sac,囊,,2012-11-26
1082695,sac，intercarpal,腕間囊,,2012-11-26
1082699,sac，synovial,滑液囊,,2012-11-26
1082700,sac，tear,淚囊,,2012-11-26
1082702,sac，yolk，umbilical vesicle,卵黃囊，臍泡,,2012-11-26
