ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3174616,"2,4-dichlorophenoxy acetic acid {= 2,4-D}","2,4-二氯苯氧乙酸",,"2,4-二氯苯氧乙酸",2017-07-24
3174617,2.6-dichlorophenolindophenol {= DCPIP},"2,6-二氯酚吲哚酚",,"2,6-二氯酚吲哚酚",2017-07-24
3174618,3-phosphoglyceraldehyde {= PGAL},3-磷酸甘油醛,,3-磷酸甘油醛,2017-07-24
3174619,5-hydroxytryptamine [= serotonin],5-羥基色胺；血清[張力]素,,5-羟基色胺；血清[张力]素,2017-07-24
3174620,A band {for anisotropic},A 帶；暗帶,,A 带；暗带,2017-07-24
3174621,A site {aminoacyl site},A位；胺醯位,,氨酰位,2017-07-24
3174622,abducens nerve,外旋神經,,外展神经,2017-07-24
3174623,Abies kawakamii,臺灣冷杉,,台湾冷杉,2017-07-24
3174624,abiogenesis; archigenesis; archigony,自然發生說,,自然发生说,2017-07-24
3174625,abiotic factor,非生物[性]因子,,非生物[性]因子,2017-07-24
3174626,abomasum,皺胃,,皱胃,2017-07-24
3174627,abscisic acid {= ABA} [= abscisin],離層酸；離[層]素,,脱落酸,2017-07-24
3174628,abscisin [= abscisic acid {= ABA}],離[層]素；離層酸,,离[层]素；离层酸,2017-07-24
3174629,abscission,脫離；脫落,,脱离；脱落,2017-07-24
3174630,abscission layer,離層,,离层,2017-07-24
3174631,absolute parasite,絕對寄生物,,绝对寄生物,2017-07-24
3174632,absorption spectrum,吸收光譜,,吸收光谱,2017-07-24
3174633,abundance,豐度,,丰度,2017-07-24
3174634,acceptor,接受者,,受体，接纳体,2017-07-24
3174635,accessory fruit [= anthocarpous fruit; pseudocarp],副果；假果,,附果,2017-07-24
3174636,accessory nerve,副神經,,副神经,2017-07-24
3174637,accessory pigment,輔助色素,,辅助色素,2017-07-24
3174638,accommodation　,調適[作用],,调适[作用],2017-07-24
3174639,acetyl coenzyme A {= acetyl CoA},乙醯輔酶 A,,乙醯辅酶 A,2017-07-24
3174640,acetylcholine,乙醯膽鹼,,乙醯胆碱,2017-07-24
3174641,achondroplasia　,軟骨發育不全[症],,软骨发育不全[症],2017-07-24
3174642,acid growth hypothesis,酸生長假說,,酸生长假说,2017-07-24
3174643,acid precipitation,酸降物,,酸雨,2017-07-24
3174644,acid rain,酸雨,,酸雨,2017-07-24
3174645,acidemia　,酸血症,,酸血症,2017-07-24
3174646,acidosis　,酸中毒,,酸毒症,2017-07-24
3174647,acoelomate,無體腔動物,,无体腔动物,2017-07-24
3174648,acquired immune deficiency syndrome [= acquired immunodeficiency syndrome {= AIDS}],後天性免疫缺失症[候群]；後天性免疫不全症[候群] {= 愛滋病},,"获得性免疫缺陷综合征,艾滋病",2017-07-24
3174649,acquired immunity,後天性免疫,,适应性免疫，获得性免疫,2017-07-24
3174650,acromegaly,肢端肥大症,,肢端肥大症,2017-07-24
3174651,acrosome　,頂體,,顶体,2017-07-24
3174652,actin,肌動蛋白,,肌动蛋白,2017-07-24
3174653,action potential,動作電位,,动作电位,2017-07-24
3174654,action spectrum,作用光譜,,作用光谱,2017-07-24
3174655,activation,活化,,活化,2017-07-24
3174656,activation energy {= EA},活化能,,活化能,2017-07-24
3174657,active form,活化型,,活化型,2017-07-24
3174658,active immunity　,主動免疫,,主动免疫,2017-07-24
3174659,active site,活性位,,活性部位,2017-07-24
