ID,英文名稱,中文名稱,圖片,姓氏,生卒年,祖籍,更新日期
5177819,Alfonso Giacomo Gaspare Corti,柯帝,,Corti,1822-1876,義大利,2019-10-05
5177820,Alfred Russel Wallace,華萊士,,Wallace,1823-1913,英,2019-10-05
5177821,Alois Alzheimer,阿滋海默,,Alzheimer,1864-1915,德,2019-10-05
5177822,Antoni van Leeuwenhoek,雷文霍克,,Leeuwenhoek,1632-1732,荷蘭,2019-10-05
5177823,Aristotle,亞里斯多德,,Aristotle,384-322 B.C.,希臘,2019-10-05
5177824,Carl Erich Correns,寇亨斯,,Correns,1864-1933,德,2019-10-05
5177825,Carl Richard Woese,渥易斯,,Woese,1928-2012,美,2019-10-05
5177826,Carolus Linnaeus,林奈,,Linnaeus,1707-1778,瑞典,2019-10-05
5177827,Charles Robert Darwin,達爾文,,Darwin,1809-1882,英,2019-10-05
5177828,Christian Andreas Doppler,都卜勒,,Doppler,1803-1853,奧地利,2019-10-05
5177829,Clopton Havers,哈佛斯,,Havers,1657-1702,英,2019-10-05
5177830,Edmund Wilson,威爾森,,Wilson,1856-1939,美,2019-10-05
5177831,Edward Tatum,泰頓,,Tatum,1903-1975,美,2019-10-05
5177832,Erich von Tschermak-Seysenegg,謝馬克,,Tschermak,1871-1962,奧地利,2019-10-05
5177833,Ernst Heinrich Philipp August Haeckel,海格,,Haeckel,1834-1919,德,2019-10-05
5177834,Ernst Walter Mayr,麥爾,,Mayr,1904-2005,德,2019-10-05
5177835,Erwin Chargaff,查加夫；夏蓋夫 {奧語發音},,Chargaff,1905-2002,奧地利,2019-10-05
5177836,Félix-Archimède Pouchet,蒲歇,,Pouchet,1800-1872,法,2019-10-05
5177837,Francesco Redi,雷迪,,Redi,1627-1697,義大利,2019-10-05
5177838,Francis Harry Compton Crick,克里克,,Crick,1916-2004,英,2019-10-05
5177839,Franklin Stahl,史塔爾,,Stahl,1929-,美,2019-10-05
5177840,Franz Joseph Andreas Nicolaus Unger,翁格,,Unger,1800-1870,奧地利,2019-10-05
5177841,Frederick Griffith,格里夫茲,,Griffith,1879 - 1941,英,2019-10-05
5177842,Frederick Sanger,桑格,,Sanger,1918-2013,英,2019-10-05
5177843,Friedrich Gustav Jakob Henle,亨耳,,Henle,1809-1885,德,2019-10-05
5177844,Friedrich Leopold August Weismann,魏斯曼,,Weismann,1834-1914,德,2019-10-05
5177845,George Huntington,杭丁頓,,Huntington,1850-1916,美,2019-10-05
5177846,George M. Woodwell,伍德維爾,,Woodwell,1930-,美,2019-10-05
5177847,George Wells Beadle,畢竇,,Beadle,1903-1989,美,2019-10-05
