ID,英文名稱,中文名稱,圖片,學門,更新時間,更新日期
5453519,1/f noise,1/f雜訊,,生態學,,2022-07-15
5453520,14C-method; C-14 dating,碳14定年法,,生態學,,2022-07-15
5453521,"2,4-D {2,4-dichlorophenoxy acetic acid}","2,4-二氯苯氧乙酸",,高中生物,,2022-07-15
5453522,"2,4-dichlorophenoxy acetic acid {= 2,4-D}","2,4-二氯苯氧乙酸",,高中生物,,2022-07-15
5453523,2.6-dichlorophenolindophenol {= DCPIP},"2,6-二氯酚吲哚酚",,高中生物,,2022-07-15
5453524,3' end,3' 端,,細胞生物,,2022-07-15
5453525,3-phosphoglyceraldehyde {= PGAL},3-磷酸甘油醛,,高中生物,,2022-07-15
5453526,5' cap,5' 端帽,,細胞生物,,2022-07-15
5453527,5' end,5' 端,,細胞生物,,2022-07-15
5453528,5-bromouridine {= 5-BrU},5-溴尿核苷,,細胞生物,,2022-07-15
5453529,5-BrU {5-bromouridine},5-溴尿核苷,,細胞生物,,2022-07-15
5453530,5-hydroxytryptamine; serotonin,5-羥基色胺；血清素,,高中生物,,2022-07-15
5453531,A band {anisotropic band},A帶；暗帶,,高中生物,,2022-07-15
5453532,A horizon,A土層,,生態學,,2022-07-15
5453533,A site {aminoacyl site},A位；胺醯位,,高中生物,,2022-07-15
5453534,A/F ratio {abundance/frequency ratio},豐度/頻度比,,生態學,,2022-07-15
5453535,A/R ratio {assimilation/respiration ratio},同化/呼吸量比,,生態學,,2022-07-15
5453536,Å {Ångstrom},埃 {長度單位，等於0.1nm},,細胞生物,,2022-07-15
5453537,Ab initio modeling,重頭起算模擬法,,生物資訊,,2022-07-15
5453538,Ab initio structure modeling,重頭起算結構模擬法,,結構生物,,2022-07-15
5453539,ABA {abscisin; abscisic acid},離層酸；離[層]素,,高中生物,,2022-07-15
5453540,abandoned field,廢耕地,,生態學,,2022-07-15
5453541,abaptation,後繼適應,,生態學,,2022-07-15
5453542,abasic site,無鹼基位,,生化分生,,2022-07-15
5453543,abaxial,遠軸的；背軸的,,植物學,,2022-07-15
5453544,abdomen,腹部,,昆蟲學,,2022-07-15
5453545,abdomere; abdominal segment,腹節,,昆蟲學,,2022-07-15
5453546,abdominal,腹[的],,脊椎動物,,2022-07-15
5453547,abdominal cavity,腹腔,,食品科技,,2022-07-15
5453548,abdominal comb,腹櫛,,昆蟲學,,2022-07-15
5453549,abdominal rib,腹部肋骨,,脊椎動物,,2022-07-15
5453550,abdominal segment; abdomere,腹節,,昆蟲學,,2022-07-15
5453551,abdominal striae,腹紋,,內分泌學,,2022-07-15
5453552,abducens nerve,外旋神經,,高中生物,,2022-07-15
5453553,abducent muscle; abductor,外展肌,,昆蟲學,,2022-07-15
5453554,abduction,外展[作用],,演化,,2022-07-15
5453555,abductor pectoralis muscle,胸鰭外展肌,,脊椎動物,,2022-07-15
5453556,abductor ventralis muscle,腹鰭外展肌,,脊椎動物,,2022-07-15
5453557,abductor; abducent muscle,外展肌,,昆蟲學,,2022-07-15
5453558,abequose,阿比可糖,,生化分生,,2022-07-15
5453559,aberrant mitosis,異常有絲分裂,,植物,,2022-07-15
5453560,aberrant splicing,異常剪接,,細胞生物,,2022-07-15
5453561,aberration,異常；畸變,,細胞生物,,2022-07-15
5453562,abetalipoproteinemia,無β脂蛋白血症,,內分泌學,,2022-07-15
5453563,Abies kawakamii,臺灣冷杉,,高中生物,,2022-07-15
5453564,abiocoen,[生境中]非生物成分,,生態學,,2022-07-15
5453565,abiogenesis; archigenesis; archigony,非生源[說]；自然發生[說],,高中生物,,2022-07-15
5453566,abioseston,非生物漂浮物,,生態學,,2022-07-15
5453567,abiosis,無生命[狀態],,植物,,2022-07-15
5453568,abiotic,非生物[的],,生態學,,2022-07-15
