ID,英文名稱,中文名稱,圖片,中國大陸譯名,公告日期,更新日期
2696390,1/f noise,低頻雜訊,,1/f噪声,104.11.09,2016-09-13
2696391,14C-method,碳14法,,碳-14法,104.11.09,2016-09-13
2696392,A horizon,A土層,,A 土层,104.11.09,2016-09-13
2696393,A00{=OL}horizon,落葉枯枝層,,落叶枯枝层,104.11.09,2016-09-13
2696394,A01{=OF}horizon,發酵層,,发酵层,104.11.09,2016-09-13
2696395,A02{=OH}horizon,腐植質層,,腐殖质层,104.11.09,2016-09-13
2696396,abandoned field,廢耕地,,废弃农田,104.11.09,2016-09-13
2696397,abaptation,後繼適應,,后继适应,104.11.09,2016-09-13
2696398,aberration,畸變,,畸变,104.11.09,2016-09-13
2696399,abiabatic cooling,絕熱冷卻,,绝热冷却,104.11.09,2016-09-13
2696400,abiocoen,非生物成份棲地；非生物成份生境,,非生物生境成分,104.11.09,2016-09-13
2696401,abiogenesis; archigenesis; archigony,非生源說；自然發生,,自然发生说；非生源论,104.11.09,2016-09-13
2696402,abioseston,非生物漂浮物,,非生物浮聚物；非生物悬浮物,104.11.09,2016-09-13
2696403,abrupt ecospecies,突發生態種,,突发生态种,104.11.09,2016-09-13
2696404,abrupt succession,急轉演替,,急转演替,104.11.09,2016-09-13
2696405,absolute density,絕對密度,,绝对密度,104.11.09,2016-09-13
2696406,absolute humidity,絕對濕度,,绝对湿度,104.11.09,2016-09-13
2696407,absolute maximum fatal temerature,絕對最高致死溫度,,绝对最高致死温度,104.11.09,2016-09-13
2696408,absolute minimum fatal temerature,絕對最低致死溫度,,绝对最低致死温度,104.11.09,2016-09-13
2696409,absolute population estimate,絕對族群估值,,绝对种群估值,104.11.09,2016-09-13
2696410,absolute recruitment,絕對補充量,,绝对补充量,104.11.09,2016-09-13
2696411,absolute temperature,絕對溫度,,绝对温度,104.11.09,2016-09-13
2696412,absorbancy,吸光率；吸收率,,吸光率,104.11.09,2016-09-13
2696413,absorbing root,吸收根,,吸收根,104.11.09,2016-09-13
2696414,absorptiometry,吸光測定法,,吸光测定法,104.11.09,2016-09-13
2696415,absorption,吸收[作用],,吸收[作用],104.11.09,2016-09-13
2696416,absorption band,吸收[譜]帶,,吸收[光谱]带,104.11.09,2016-09-13
2696417,absorption coefficient,吸收係數,,吸收系数,104.11.09,2016-09-13
2696418,absorption loss,吸收損耗,,吸收损耗,104.11.09,2016-09-13
2696419,absorption spectrum,吸收光譜,,吸收光谱,104.11.09,2016-09-13
2696420,abundance,豐度,,多度；丰度,104.11.09,2016-09-13
2696421,abundance/frequency ratio{=A/F ratio},豐度-頻度比,,多度频度比,104.11.09,2016-09-13
2696422,abundance-biomass curve,豐度-生物量曲線,,多度-生物量曲线,104.11.09,2016-09-13
2696423,abyssal benthos,深海底棲生物,,深海底栖生物,104.11.09,2016-09-13
2696424,abyssal community,深海群聚,,深海群落,104.11.09,2016-09-13
2696425,abyssal fauna,深海動物相,,深渊动物区系,104.11.09,2016-09-13
2696426,abyssal hill,深海山丘,,深渊山丘,104.11.09,2016-09-13
2696427,abyssal plain,深海平原,,深渊平原,104.11.09,2016-09-13
2696428,abyssal zone,深淵區,,深渊[底]带；深渊带,104.11.09,2016-09-13
2696429,abyssobenthic zone,深海底區,,深海底带,104.11.09,2016-09-13
2696430,abyssopelagic zone,深層洋帶區,,深渊水层带,104.11.09,2016-09-13
2696431,acarophily,蟎植共生,,螨植共生,104.11.09,2016-09-13
2696432,acceptable daily intake,容許日攝取量,,允许日摄入量,104.11.09,2016-09-13
2696433,access and benefit sharing{=ABS}of genetic resources,遺傳資源的獲取與共用,,遗传资源的获取与共享,104.11.09,2016-09-13
2696434,accessory species,次要種,,次要种,104.11.09,2016-09-13
2696435,accidental host,偶見寄主,,偶见寄主；偶见宿主,104.11.09,2016-09-13
2696436,accidental parasite,偶見寄生物,,偶见寄生物；偶然寄生虫,104.11.09,2016-09-13
2696437,accidental species; incidental species; casual species,偶見種,,偶见种,104.11.09,2016-09-13
2696438,acclimation,[實驗]馴化,,[实验]驯化,104.11.09,2016-09-13
