ID,英文名稱,中文名稱,圖片,更新日期
2789130,1/f noise,低頻雜訊,,2017-03-23
2789131,14C-method,碳14法,,2017-03-23
2789132,A horizon,A土層,,2017-03-23
2789133,A00{=OL}horizon,落葉枯枝層,,2017-03-23
2789134,A01{=OF}horizon,發酵層,,2017-03-23
2789135,A02{=OH}horizon,腐植質層,,2017-03-23
2789136,abandoned field,廢耕地,,2017-03-23
2789137,abaptation,後繼適應,,2017-03-23
2789138,aberration,畸變,,2017-03-23
2789139,abiabatic cooling,絕熱冷卻,,2017-03-23
2789140,abiocoen,非生物成份棲地；非生物成份生境,,2017-03-23
2789141,abiogenesis; archigenesis; archigony,非生源說；自然發生,,2017-03-23
2789142,abioseston,非生物漂浮物,,2017-03-23
2789143,abiotic,非生物[的],,2017-03-23
2789144,abrupt ecospecies,突發生態種,,2017-03-23
2789145,abrupt succession,急轉演替,,2017-03-23
2789146,absolute density,絕對密度,,2017-03-23
2789147,absolute humidity,絕對濕度,,2017-03-23
2789148,absolute maximum fatal temerature,絕對最高致死溫度,,2017-03-23
2789149,absolute minimum fatal temerature,絕對最低致死溫度,,2017-03-23
2789150,absolute population estimate,絕對族群估值,,2017-03-23
2789151,absolute recruitment,絕對補充量,,2017-03-23
2789152,absolute temperature,絕對溫度,,2017-03-23
2789153,absorbancy,吸光率；吸收率,,2017-03-23
2789154,absorbing root,吸收根,,2017-03-23
2789155,absorptiometry,吸光測定法,,2017-03-23
2789156,absorption,吸收[作用],,2017-03-23
2789157,absorption band,吸收[譜]帶,,2017-03-23
2789158,absorption coefficient,吸收係數,,2017-03-23
2789159,absorption loss,吸收損耗,,2017-03-23
2789160,absorption spectrum,吸收光譜,,2017-03-23
2789161,abundance,豐度,,2017-03-23
2789162,abundance/frequency ratio{=A/F ratio},豐度-頻度比,,2017-03-23
2789163,abundance-biomass curve,豐度-生物量曲線,,2017-03-23
2789164,abyssal benthos,深海底棲生物,,2017-03-23
2789165,abyssal community,深海群聚,,2017-03-23
2789166,abyssal fauna,深海動物相,,2017-03-23
2789167,abyssal hill,深海山丘,,2017-03-23
2789168,abyssal plain,深海平原,,2017-03-23
2789169,abyssal zone,深淵區,,2017-03-23
2789170,abyssobenthic zone,深海底區,,2017-03-23
2789171,abyssopelagic zone,深層洋帶區,,2017-03-23
2789172,acarophily,蟎植共生,,2017-03-23
2789173,acarophytium,蟎植共生,,2017-03-23
2789174,acceptable daily intake,容許日攝取量,,2017-03-23
2789175,access and benefit sharing{=ABS}of genetic resources,遺傳資源的獲取與共用,,2017-03-23
2789176,accessory species,次要種,,2017-03-23
2789177,accidental host,偶見寄主,,2017-03-23
2789178,accidental parasite,偶見寄生物,,2017-03-23
2789179,accidental species; incidental species; casual species,偶見種,,2017-03-23
2789180,acclimation,[實驗]馴化,,2017-03-23
2789181,acclimatization,[自然]馴化,,2017-03-23
2789182,accommodation,順應,,2017-03-23
2789183,accompanying species,伴生種,,2017-03-23
2789184,accumulated temperature,積溫,,2017-03-23
2789185,accumulation culture,富集培養,,2017-03-23
2789186,accustomization,適應；順應,,2017-03-23
2789187,acheb,短暫型植被,,2017-03-23
2789188,acid deposition,酸性沈降,,2017-03-23
2789189,acid plant; oxylophytes,適酸植物,,2017-03-23
2789190,acid rain,酸雨,,2017-03-23
2789191,acidic precipitation,酸沉降,,2017-03-23
2789192,acidic rock,酸性岩,,2017-03-23
2789193,acidity,酸度；酸性,,2017-03-23
2789194,acidity indicator plant,酸性指標植物,,2017-03-23
2789195,acidophilous indicator plant,酸性地指標植物,,2017-03-23
2789196,acidophilous vegetation,嗜酸性植被,,2017-03-23
2789197,acidophobic,厭酸性,,2017-03-23
2789198,acid-tolerant,耐酸的,,2017-03-23
2789199,acme,頂點；極盛期,,2017-03-23
2789200,acquired resistance,後天抗性,,2017-03-23
2789201,acrophyta,高山植物,,2017-03-23
2789202,acrophytia,高山植物群落,,2017-03-23
2789203,actericide,殺菌劑,,2017-03-23
2789204,actinometer,感光計,,2017-03-23
2789205,actinometry,感光測定,,2017-03-23
2789206,action threshold; control threshold,防治閾值,,2022-07-19
2789207,actium,海岩群落,,2017-03-23
2789208,activated sludge,活性污泥,,2017-03-23
2789209,activated sludge method; activated sludge process,活性污泥法,,2017-03-23
2789210,active absorption,主動吸收,,2017-03-23
2789211,active acidity,活性酸度,,2017-03-23
2789212,active adaptation,主動適應,,2017-03-23
2789213,active depression,主動衰退,,2017-03-23
2789214,active humus,活性腐植質,,2017-03-23
2789215,active nutritive period,活躍營養期；有效營養期,,2017-03-23
2789216,active transport,主動運輸,,2017-03-23
2789217,activity radius,活動半徑,,2017-03-23
2789218,actual density,實測密度,,2017-03-23
2789219,actual evaportranspiration{=AET},實際蒸散；實際蒸發散量,,2017-03-23
2789220,acute dose; acute dosage,急性劑量,,2017-03-23
2789221,acute intoxication,急性中毒,,2017-03-23
2789222,acute toxicity,急性毒性；急性毒作用,,2017-03-23
2789223,acute toxicity test,急性毒性試驗,,2017-03-23
2789224,adaptability,適應力,,2017-03-23
2789225,adaptation,適應；調適{氣候變遷},,2017-03-23
2789226,adaptation to darkness,暗適應,,2017-03-23
2789227,adaptation to light,光適應,,2017-03-23
2789228,adaptation tolerance,適應耐性,,2017-03-23
2789229,adaptative regression,適應退化,,2017-03-23
2789230,adaptedness,適應程度,,2017-03-23
2789231,adaptive capacity,適應能力,,2017-03-23
2789232,adaptive character,適應特性,,2017-03-23
2789233,adaptive coloration,適應色,,2017-03-23
2789234,adaptive compensation,適應補償,,2017-03-23
2789235,adaptive convergence,適應趨同,,2017-03-23
2789236,adaptive ecosystem management{=AEM},適應性生態系管理,,2017-03-23
2789237,adaptive enzyme,適應酵素,,2017-03-23
2789238,adaptive fishery,調適型漁業,,2017-03-23
2789239,adaptive radiation,適應輻射,,2017-03-23
2789240,adaptive selection,適應選擇,,2017-03-23
2789241,adhesive egg,黏著卵,,2017-03-23
2789242,adiabatic bomb calorimeter,絕熱式熱量計,,2017-03-23
2789243,adsere,附加演替系列；附加消長系列,,2017-03-23
2789244,adsorption,吸附[作用],,2017-03-23
2789245,adsorption process,吸附過程,,2017-03-23
2789246,adsorption water,吸附水,,2017-03-23
2789247,adsorptive manure,吸附性廐肥,,2017-03-23
2789248,adult,成體；成蟲,,2017-03-23
2789249,adult emergence,[成蟲]羽化,,2017-03-23
2789250,adult emergence rhythm,成蟲羽化節律,,2017-03-23
2789251,adventive flora,外來植物相,,2017-03-23
2789252,adventive root,不定根,,2017-03-23
2789253,advertising color,宣告色,,2017-03-23
2789254,aeolian deposit,風成沉積；風積物；風成層；風蝕沈積物,,2017-03-23
2789255,aeolian landform,風蝕地形,,2017-03-23
2789256,aeration,通氣；氣曝,,2017-03-23
2789257,aerenchyma,通氣組織,,2017-03-23
2789258,aerial photography,航空攝影術,,2017-03-23
2789259,aerial population,空中族群,,2017-03-23
2789260,aerial root,氣生根；氣根,,2017-03-23
2789261,aerobe,需氧性生物,,2017-03-23
2789262,aerobic,好氧[的]；好氧性；嗜氧性；有氧的；需氣性的,,2017-03-23
2789263,aerobic bacteria,好氧菌；需氧菌；需氧性細菌,,2017-03-23
2789264,aerobic biological treatment,好氧生物處理,,2017-03-23
2789265,aerobic metabolism,有氧代謝,,2017-03-23
2789266,aerobic respiration,有氧呼吸；有氧呼吸[作用],,2017-03-23
2789267,aerobic treatment,好氧處理；氧化處理,,2017-03-23
2789268,aerobiology,大氣生物學,,2017-03-23
2789269,aerobiosis,需氧生活,,2017-03-23
2789270,aerochory,風播[性],,2017-03-23
2789271,aerodynamic method,大氣動力法,,2017-03-23
2789272,aerophyte,氣生植物,,2017-03-23
2789273,aerophytobiont,好氧性植物,,2017-03-23
2789274,aeroplankton,空中漂浮生物,,2017-03-23
2789275,aeroplanktophyte,空中浮游植物,,2017-03-23
2789276,aerosol,氣溶膠；氣膠,,2017-03-23
2789277,aerotaxis,趨氣性,,2017-03-23
2789278,aerotolerant,耐氣性,,2017-03-23
2789279,aerotropism,向氧性；向氣性,,2017-03-23
2789280,aestatifruticeta,夏綠灌叢,,2017-03-23
2789281,aestatilignosa,夏綠林,,2017-03-23
2789282,aestatisilvae,夏綠喬木林,,2017-03-23
2789283,aesthetic forest,風景林,,2017-03-23
2789284,aesthetic injury level{=AIL},美學受損水準,,2017-03-23
2789285,aestidurilignosa,夏綠硬葉林,,2017-03-23
2789286,aestivation,夏眠,,2017-03-23
2789287,afforestation,無林地造林,,2017-03-23
2789288,aftermath,刈後再生草,,2017-03-23
2789289,after-ripening,後熟,,2017-03-23
2789290,aftershock,餘震,,2017-03-23
2789291,agamospecies,無性種；無配種,,2017-03-23
2789292,age,年齡,,2017-03-23
2789293,age and area hypothesis,年代面積假說,,2017-03-23
2789294,age at first capture{=tρ'},首次漁獲年齡,,2017-03-23
2789295,age class,齡級,,2017-03-23
2789296,age composition,年齡組成,,2017-03-23
2789297,age determination,年齡鑑定,,2017-03-23
2789298,age determination characters,年齡鑑定形質,,2017-03-23
2789299,age distribution,年齡分佈；齡期分佈,,2017-03-23
2789300,age group,年齡組,,2017-03-23
2789301,age interval,齡期間隔,,2017-03-23
2789302,age pyramid,年齡塔；年齡金字塔,,2017-03-23
2789303,age ratio,年齡比,,2017-03-23
2789304,age structure,年齡結構；齡級結構,,2017-03-23
2789306,aged,老化的,,2017-03-23
2789307,age-grouping,按齡分群,,2017-03-23
2789308,age-length key,年齡-體長換算表,,2017-03-23
2789309,age-specific fecundity,年齡別孕卵數；年齡別生殖力；齡別繁殖力,,2017-03-23
2789310,age-specific fertility,年齡別繁殖力,,2017-03-23
2789311,age-specific life table,年齡別生命表,,2017-03-23
2789312,age-specific mortality,年齡別死亡率,,2017-03-23
2789313,age-specific natality,年齡別出生率,,2017-03-23
2789314,age-specific survival rate,年齡別存活率,,2017-03-23
2789315,age-structured model,年齡結構模式,,2017-03-23
2789316,agglomerative method,聚合法,,2017-03-23
2789317,aggregated distribution; clumped distribution,聚集分佈,,2017-03-23
2789318,aggregation,聚集；聚合,,2017-03-23
2789319,aggregation and attachment pheromone,聚附信息素,,2017-03-23
2789320,aggregation index,聚集指數,,2017-03-23
2789321,aggregation pheromone,聚集費洛蒙,,2017-03-23
