ID,英文名稱,中文名稱,圖片,中國大陸譯名,公告日期,更新日期
3177557,(continental) bridge,陸橋,,陆桥,104.11.09,2017-07-24
3177558,(ecological) species group,[生態]種,,[生态]种组,104.11.09,2017-07-24
3177559,(o)ecotone,生態過渡帶,,生态过渡带；群落交错区,104.11.09,2017-07-24
3177560,(sample) plot,樣區；樣地,,样地；标准地,104.11.09,2017-07-24
3177561,abiogenesis,自然發生說,,自然发生说,104.11.09,2017-07-24
3177562,abiotic factor,非生物因數,,非生物因子,104.11.09,2017-07-24
3177563,abortion,敗育,,败育,104.11.09,2017-07-24
3177564,abortive stamen,敗育雄蕊；不稔雄蕊,,不育雄蕊；败育雄蕊,104.11.09,2017-07-24
3177565,abortive zoospore,敗育動孢子,,败育动孢子；早产动孢子,104.11.09,2017-07-24
3177566,abscisic acid,離層酸；離層素；脫落酸,,脱落酸,104.11.09,2017-07-24
3177567,abscission,脫落,,脱落,104.11.09,2017-07-24
3177568,abscission layer,離層,,离层,104.11.09,2017-07-24
3177569,abscission zone,離區,,离区,104.11.09,2017-07-24
3177570,absorbing hair,吸收毛,,吸收毛,104.11.09,2017-07-24
3177571,absorption,吸收,,吸收,104.11.09,2017-07-24
3177572,absorption spectrum,吸收光譜,,吸收光谱,104.11.09,2017-07-24
3177573,absorptive tissue,吸收組織,,吸收组织,104.11.09,2017-07-24
3177574,abundance,豐度；多度,,多度；丰度,104.11.09,2017-07-24
3177575,abundance center,豐度中心,,多度中心,104.11.09,2017-07-24
3177576,acanthocyte,棘胞,,棘胞,104.11.09,2017-07-24
3177577,accessory bud,副芽,,副芽,104.11.09,2017-07-24
3177578,accessory calyx,副萼,,副萼,104.11.09,2017-07-24
3177579,accessory cell,副細胞；輔助細胞,,辅助细胞(藻类),104.11.09,2017-07-24
3177580,accessory fruit,附果,,附果,104.11.09,2017-07-24
3177581,accessory pigment,輔[助]色素,,辅助色素,104.11.09,2017-07-24
3177582,accessory transfusion tissue,副轉輸組織,,副转输组织,104.11.09,2017-07-24
3177583,acclimation,馴化,,驯化,104.11.09,2017-07-24
3177584,accumbent cotyledon,緣倚子葉,,缘倚子叶,104.11.09,2017-07-24
3177585,acervulus,分生孢子盤,,分生孢子盘,104.11.09,2017-07-24
3177586,acetolysis,醋酸酐分解,,醋酸酐分解,104.11.09,2017-07-24
3177587,achene,瘦果,,瘦果,104.11.09,2017-07-24
3177588,acicular crystal,針晶；針晶束,,针晶体,104.11.09,2017-07-24
3177589,acid growth hypothesis,酸[性]生長假說,,酸[性]生长假说,104.11.09,2017-07-24
3177590,aconitum alkaloid,烏頭屬生物鹼,,乌头属生物碱,104.11.09,2017-07-24
3177591,acorn,橡實,,槲果,104.11.09,2017-07-24
3177592,acridine alkaloid,吖啶類生物鹼,,吖啶类生物碱,104.11.09,2017-07-24
3177593,acritarch,疑源類,,疑源类,104.11.09,2017-07-24
3177594,acronematic type,尾鞭型；光滑型[鞭毛],,尾鞭型,104.11.09,2017-07-24
3177595,acropetal translocation,向頂運輸,,向顶运输,104.11.09,2017-07-24
3177596,acrophyte,高山植物,,高山植物,104.11.09,2017-07-24
3177597,acroplasm,頂胞質,,顶胞质,104.11.09,2017-07-24
3177598,actin filament,肌動蛋白織維,,肌动蛋白丝,104.11.09,2017-07-24
3177599,actinomorphy,輻射對稱,,辐射对称,104.11.09,2017-07-24
3177600,actinostele,輻射狀中柱；星狀中柱,,星状中柱,104.11.09,2017-07-24
3177601,action spectrum,作用光譜,,作用光谱,104.11.09,2017-07-24
3177602,active bud,活化芽,,活动芽,104.11.09,2017-07-24
3177603,active site,活性位,,活性位点,104.11.09,2017-07-24
3177604,active transport,主動運輸,,主动转运,104.11.09,2017-07-24
3177605,active uptake,主動吸收,,主动吸收,104.11.09,2017-07-24
3177606,aculeus,皮刺,,皮刺,104.11.09,2017-07-24
3177607,adaptation,適應,,适应,104.11.09,2017-07-24
3177608,adaptive radiation,適應輻射,,适应辐射,104.11.09,2017-07-24
3177609,adelphia,束生雄蕊,,离生雄蕊,104.11.09,2017-07-24
3177610,adenine,腺嘌呤；6-氨基嘌呤,,腺嘌呤,104.11.09,2017-07-24
3177611,adenosine triphosphate{=ATP},腺苷三磷酸,,腺苷三磷酸,104.11.09,2017-07-24
3177612,adhesive disc,盤狀附著器；盤狀固著器,,固着器；粘着盘,104.11.09,2017-07-24
3177613,adjacent segregation,鄰接分離,,相邻分离,104.11.09,2017-07-24
3177614,adnate anther,貼生花葯,,全着药；贴着药,104.11.09,2017-07-24
3177615,ADP,二磷酸腺核苷；腺核苷二磷酸,,腺苷二磷酸,104.11.09,2017-07-24
3177616,adsorption,吸附,,吸附,104.11.09,2017-07-24
3177617,adventitious,不定的,,不定的,104.11.09,2017-07-24
3177618,adventitious bud,不定芽,,不定芽,104.11.09,2017-07-24
3177619,adventitious embryo,不定胚,,不定胚,104.11.09,2017-07-24
3177620,adventitious root,不定根,,不定根,104.11.09,2017-07-24
3177621,adventitious shoot,不定枝,,不定枝,104.11.09,2017-07-24
3177622,aecidiosorus,銹孢子堆,,锈孢子堆,104.11.09,2017-07-24
3177623,aecidiospore,銹孢子,,锈孢子；春孢子,104.11.09,2017-07-24
3177624,aeciospore,銹孢子,,锈孢子；春孢子,104.11.09,2017-07-24
3177625,aecium,銹孢子器,,锈孢子器,104.11.09,2017-07-24
3177626,aerating root,通氣根,,通气根,104.11.09,2017-07-24
3177627,aerial algae,氣生藻類,,气生藻类,104.11.09,2017-07-24
3177628,aerial plant,氣生植物,,气生植物,104.11.09,2017-07-24
3177629,aerial root,氣生根,,气生根,104.11.09,2017-07-24
3177630,aerobic,有氧的,,有氧的,104.11.09,2017-07-24
3177631,aerobic respiration,有氧呼吸,,需氧呼吸,104.11.09,2017-07-24
3177632,aeropalynology,大氣孢粉學,,大气孢粉学,104.11.09,2017-07-24
3177633,aerophyte,氣生植物,,气生植物,104.11.09,2017-07-24
3177634,aestivation,花被卷疊式,,花被卷叠式,104.11.09,2017-07-24
3177635,aethalium,黏菌體,,复囊体,104.11.09,2017-07-24
3177636,after-effect,後效,,后效,104.11.09,2017-07-24
3177637,after-ripening,後熟[作用],,后熟[作用],104.11.09,2017-07-24
3177638,agar,洋菜,,琼脂,104.11.09,2017-07-24
3177639,aggregate cup fruit,聚合杯果,,聚合杯果,104.11.09,2017-07-24
3177640,aggregate free fruit,聚合離果,,聚合离果,104.11.09,2017-07-24
3177641,aggregate fruit,聚合果,,聚合果,104.11.09,2017-07-24
3177642,aggregate ray,聚合射線,,聚合射线,104.11.09,2017-07-24
3177643,aggregation,群聚,,群聚,104.11.09,2017-07-24
3177644,aging,老化,,老化,104.11.09,2017-07-24
3177645,aglycon,糖苷配基,,糖苷配基,104.11.09,2017-07-24
3177646,aglycone,糖苷配基,,糖苷配基,104.11.09,2017-07-24
3177647,agravitropism,無向重力性,,无向重力性,104.11.09,2017-07-24
3177648,agroecology,農業生態學,,农业生态学,104.11.09,2017-07-24
3177649,agroecotype,作物生態型,,作物生态型,104.11.09,2017-07-24
3177650,air chamber,氣室,,气室,104.11.09,2017-07-24
3177651,air sac,氣囊,,气囊,104.11.09,2017-07-24
3177652,akinete,厚壁孢子,,厚垣孢子；厚壁孢子,104.11.09,2017-07-24
3177653,alabastrum,花蕾,,花蕾,104.11.09,2017-07-24
3177654,albuminous cell,蛋白細胞,,蛋白[质]细胞,104.11.09,2017-07-24
3177655,alethopterid,座延羊齒型,,座延羊齿型,104.11.09,2017-07-24
3177656,aleurone grain,糊粉粒,,糊粉粒,104.11.09,2017-07-24
3177657,aleurone layer,糊粉層,,糊粉层,104.11.09,2017-07-24
3177658,alga,藻,,藻,104.11.09,2017-07-24
3177659,alga glomerules,藻團；藻球體,,藻团；藻球体,104.11.09,2017-07-24
3177660,algae,藻類{複數},,藻类(复数),104.11.09,2017-07-24
3177661,algicide,滅藻劑,,灭藻剂,104.11.09,2017-07-24
3177662,algin,褐藻膠,,藻胶,104.11.09,2017-07-24
3177663,aliform parenchyma,翼狀薄壁組織,,翼状薄壁组织,104.11.09,2017-07-24
3177664,aliphatic amine alkaloid,脂族胺類生物鹼,,脂族胺类生物碱,104.11.09,2017-07-24
3177665,alkaloid,生物鹼,,生物碱,104.11.09,2017-07-24
3177666,allele,等位基因,,等位基因,104.11.09,2017-07-24
3177667,allelopathy,相剋作用,,异种相克；化感作用,104.11.09,2017-07-24
3177668,alliance,群屬,,群属,104.11.09,2017-07-24
3177669,allogamy,異花受粉,,异花受粉；异花受精,104.11.09,2017-07-24
3177670,allogenic succession,他發性演替,,异发演替,104.11.09,2017-07-24
3177671,allopatric speciation,異域種化,,异域物种形成,104.11.09,2017-07-24
3177672,allophycocyanin,異藻藍蛋白,,别藻蓝蛋白；异藻蓝蛋白,104.11.09,2017-07-24
3177673,allopolyploid,異源多倍體,,异源多倍体,104.11.09,2017-07-24
3177674,allosyndesis,異源聯會,,异源联会,104.11.09,2017-07-24
3177675,alpine cushion-like vegetation,高山墊狀植被,,高山垫状植被,104.11.09,2017-07-24
3177676,alpine flora,高山植物相,,高山植物区系,104.11.09,2017-07-24
3177677,alpine plant,高山植物,,高山植物,104.11.09,2017-07-24
3177678,alternate,互生,,互生,104.11.09,2017-07-24
3177679,alternate leaf,互生葉,,互生叶,104.11.09,2017-07-24
3177680,alternate phyllotaxis,互生葉序,,互生叶序,104.11.09,2017-07-24
3177681,alternate phyllotaxy,互生葉序,,互生叶序,104.11.09,2017-07-24
3177682,alternate pitting,互列紋孔式,,互列纹孔式,104.11.09,2017-07-24
3177683,alternation of generations,世代交替,,世代交替,104.11.09,2017-07-24
3177684,altitudinal vegetation zone,垂直植被帶,,植被垂直[地]带,104.11.09,2017-07-24
3177685,amaryllidaceae alkaloid,石蒜科生物鹼,,石蒜科生物碱,104.11.09,2017-07-24
3177686,amb,極面觀,,极面观,104.11.09,2017-07-24
3177687,ambit,極面觀,,极面观,104.11.09,2017-07-24
3177688,ambrosia cell,蛀道真菌芽胞,,蛀道真菌芽胞,104.11.09,2017-07-24
3177689,ambrosia fungus,蛀道真菌,,蛀道真菌,104.11.09,2017-07-24
3177690,ament,柔荑花序,,柔荑花序,104.11.09,2017-07-24
3177691,amerospore,無隔孢子,,无隔孢子,104.11.09,2017-07-24
3177692,ametoecism,單主寄生,,单主寄生,104.11.09,2017-07-24
3177693,ammonification,銨化作用,,氨化作用,104.11.09,2017-07-24
3177694,amoeboid tapetum,變形蟲型營養層,,周缘质团绒毡层；变形绒毡层,104.11.09,2017-07-24
3177695,amorphous cortex,不定形皮層,,无定形皮层,104.11.09,2017-07-24
3177696,amphicribral vascular bundle,周韌維管[束],,周韧维管束,104.11.09,2017-07-24
3177697,amphigastrium,腹葉{苔蘚},,腹叶,104.11.09,2017-07-24
3177698,amphiphloic siphonostele,雙韌管狀中柱,,双韧管状中柱,104.11.09,2017-07-24
3177699,amphiphyte,兩棲植物,,两栖植物,104.11.09,2017-07-24
3177700,amphithecium,[蒴]周層,,[蒴]周层,104.11.09,2017-07-24
3177701,amphitropous ovule,曲生胚珠,,曲生胚珠,104.11.09,2017-07-24
3177702,amphivasal vascular bundle,周木維管[束],,周木维管束,104.11.09,2017-07-24
3177703,amplexicaul leaf,抱莖葉,,抱茎叶,104.11.09,2017-07-24
3177704,ampulla,捕蟲囊；瓶胞,,捕虫囊,104.11.09,2017-07-24
3177705,amylase,澱粉[分解]酶,,淀粉酶,104.11.09,2017-07-24
3177706,amyloid ring,澱粉質環,,淀粉质环,104.11.09,2017-07-24
3177707,amylopectin,支鏈澱粉,,支链淀粉,104.11.09,2017-07-24
3177708,amyloplast,澱粉體,,造粉体,104.11.09,2017-07-24
3177709,amyloplastid,澱粉體,,造粉粒,104.11.09,2017-07-24
3177710,amylose,直鏈澱粉,,直链淀粉,104.11.09,2017-07-24
3177711,amylosynthesis,澱粉合成作用,,淀粉合成作用,104.11.09,2017-07-24
3177712,anabolism,同化代謝,,合成代谢,104.11.09,2017-07-24
3177713,anacolpate,遠極溝[的],,远极沟[的],104.11.09,2017-07-24
