ID,英文名稱,中文名稱,圖片,備註,更新日期
13,ripple grass;Plantago,車前草,,,2012-11-26
45,rimose;rimous,有許多裂紋的(如樹皮),,,2012-11-26
296,Rhodea japonica Roth,萬年青,,,2012-11-26
304,Rhizopus tritici Satio,番薯腐敗病菌之一,,,2012-11-26
361,Rhizoctonia oryzae Hara,假稻熱病菌之一,,,2012-11-26
480,Rhacoimitrium canescens(Timm)Brid,砂蘚,,,2012-11-26
23063,resin sac; resin cyst,樹脂囊,,,2012-11-26
23145,replica surface,印影表面,,,2012-11-26
23187,renascent,多年生草木,,,2012-11-26
23191,remnase;rennin;rennet,凝乳酶,,,2012-11-26
23206,relaxation spectrum,緩和順序,,,2012-11-26
23249,rejoint,再接合,,,2012-11-26
23450,recognition marks,識別標識,,,2012-11-26
23556,Rauia bandaiensis(Broth et Par)Broth,硬羽蘚,,,2012-11-26
23573,rate of elongation,伸長速度;伸長率,,,2012-11-26
23663,ramulus,副枝,,,2012-11-26
23696,raising seedling in pot,盆植苗,,,2012-11-26
23701,rain-hating plants;ombrophobes;ombrophobous plants,嫌雨植物,,,2012-11-26
127267,rock vegetation,岩生植被;岩生植物群落(生態),,,2012-11-26
127268,Roccellaceae,海石蕊科,,,2012-11-26
127269,Roccella leucophaea,白海石蕊,,,2012-11-26
127270,Roccella tinctoria D.C.,海石蕊,,,2012-11-26
127271,Roccella,海石蕊屬(地衣),,,2012-11-26
127272,Roborowskia,疆菫屬(罌粟科),,,2012-11-26
127273,robust coffee;Coffee robusta Lind.,大葉珈琲樹,,,2012-11-26
127274,robinoside;robinin,刺槐苷,,,2012-11-26
127275,Robinson，J.T.,洛並生,,,2012-11-26
127276,robinose,刺槐糖,,,2012-11-26
127277,robinin,刺槐苷,,,2012-11-26
127278,Robiniinae,洋槐亞族,,,2012-11-26
127279,Robinia;locust,洋槐屬;刺槐屬(豆科),,,2012-11-26
127280,Robinia viscosa Vent;clammy locust,黏毛刺槐,,,2012-11-26
127282,Robinia pseudoaceacia L.;black acacia;false acacia;black locust;yellow locust,洋槐;刺槐,,,2012-11-26
133741,radionitrogen,放射性氮,,,2012-11-26
133742,radion,放射粒,,,2012-11-26
133743,radiomutation,放射突變,,,2012-11-26
133744,radiomimetics,類似放射作用的物質,,,2012-11-26
133745,radiomimetic(Dustin 1947),類似放射作用的物質,,,2012-11-26
133746,radiomimetic substance,類似放射作用的物質,,,2012-11-26
133747,radiomicrometer,微量輻射計,,,2012-11-26
133748,radiometry,放射測定法;放射定量術,,,2012-11-26
133749,radiometer,輻射計,,,2012-11-26
133750,radioisotope,放射同位素,,,2012-11-26
133751,radioimmunity assay,放射免疫檢定法,,,2012-11-26
133752,radiograph,放射攝影,,,2012-11-26
133753,radiogen,放射質,,,2012-11-26
133754,radiobiology,放射生物學,,,2012-11-26
133755,radioautography,放射自動顯影術;放射物質跡像法,,,2012-11-26
133756,radioautograph,放射自顯影;放射物質跡像圖,,,2012-11-26
133757,radioassay,放射性分析,,,2012-11-26
133758,radioactivity,放射性;放射現象,,,2012-11-26
133759,radioactive wave,放射性波,,,2012-11-26
133760,radioactive tracing,放射性追蹤,,,2012-11-26
133761,radioactive substance,放射性物質,,,2012-11-26
133762,radioactive isotope,放射性同位元素,,,2012-11-26
133763,radioactive equilibrium,放射性平衡,,,2012-11-26
133764,radioactive element,放射性元素,,,2012-11-26
133765,radioactive dating,放射定年,,,2012-11-26
133766,radioactive clocks,放射能計時器;原子鐘,,,2012-11-26
133767,radioactive carbon; 14C,放射性碳,,,2012-11-26
133768,radioactive calcium,放射性鈣,,,2012-11-26
133769,radioactive,放射性的,,,2012-11-26
133770,radioaction,輻射;放射,,,2012-11-26
152512,radio frequency,放射頻率,,,2012-11-26
152513,radiculose;radiclosus,被有小根的,,,2012-11-26
152514,radicular,幼根的;小根的,,,2012-11-26
159646,radicula radicle,幼根;種根,,,2012-11-26
159647,radicle;1.radicula;2.rootlet,1.幼根;種根2.細根,,,2012-11-26
159648,radicites,化石根,,,2012-11-26
159649,radiciolous,根內寄生的,,,2012-11-26
159650,radiciflorus,根上生花的,,,2012-11-26
159651,radicellose,有假根的,,,2012-11-26
159652,radicel;radicella,小根,,,2012-11-26
159653,radicate,根生的,,,2012-11-26
159654,radicantia,根著型,,,2012-11-26
159655,radicans;radicant,生根的,,,2012-11-26
159656,radical leaf,根出棄,,,2012-11-26
159657,radical bud,根出芽,,,2012-11-26
159658,radical,根生的;地下莖生的,,,2012-11-26
159659,radiation threshold,輻射限界,,,2012-11-26
159660,radiation susceptibility,放射感受性,,,2012-11-26
159661,radiation sickness,輻射病,,,2012-11-26
159662,radiation loss,輻射損失,,,2012-11-26
159663,radiation injury,放射傷害,,,2012-11-26
159664,radiation induced lethal,放射誘發致死,,,2012-11-26
159665,radiation genetics,放射遺傳學,,,2012-11-26
159666,radiation effects,放射效應,,,2012-11-26
159667,radiation constant,輻射常數,,,2012-11-26
159668,radiation dose,放射劑量,,,2012-11-26
159669,radiation,輻射;放射,,,2012-11-26
159670,radiate capitulum,輻射頭狀花,,,2012-11-26
159671,radiate,輻射的;有舌狀花的,,,2012-11-26
159672,radiant heat,輻射熱,,,2012-11-26
159673,radiant energy,輻射能,,,2012-11-26
159674,radiant,自中軸分叉的;自中心輻射分出的,,,2012-11-26
159675,radial wall,徑間壁,,,2012-11-26
159676,radial vascular bundle;radial bundle,輻射狀維管束,,,2012-11-26
159677,radial type,輻射式,,,2012-11-26
159678,radial symmetry,輻射對稱,,,2012-11-26
159679,radial strand,輻射束,,,2012-11-26
159680,radial section;edge grain,透心徑間切面;徑斷面;放射面,,,2012-11-26
159681,radial porous wood,放射狀孔材,,,2012-11-26
159682,radial pit,放射紋孔,,,2012-11-26
159683,radial movement,放射運動,,,2012-11-26
159684,radial chromatography;circular chromatography,圓形層析法,,,2012-11-26
159685,radial bundle;radial vascular bundle,放射狀維管束,,,2012-11-26
159686,radial arrangement,放射狀排列,,,2012-11-26
159687,radial,放射狀的,,,2012-11-26
159688,radial area,徑域,,,2012-11-26
159689,Radermachera,菜豆樹屬,,,2012-11-26
159690,raciaol character;racial characteristics,種族性狀,,,2012-11-26
159691,racial diversity,種族歧異性,,,2012-11-26
159692,rachitasterol;vitamin D,抗佝僂素;維生素丁,,,2012-11-26
159693,rachis,穗軸;葉軸;中軸,,,2012-11-26
159694,rachilla(rhachilla),小穗軸,,,2012-11-26
159695,rachidial phase,莖葉期,,,2012-11-26
159696,racemulose,有小總狀花的,,,2012-11-26
159697,racemule,小總狀花序,,,2012-11-26
159698,racemose;racemous,總狀花序的;總狀的,,,2012-11-26
159699,racemose inflorescence,總狀花序,,,2012-11-26
159700,racemose brancking,總狀分枝式,,,2012-11-26
159701,racemization,消旋作用,,,2012-11-26
159702,racemiferous,有總狀花的,,,2012-11-26
159703,racemism,不旋光的,,,2012-11-26
159704,racemic,不旋光的,,,2012-11-26
159705,racemic acid dl-tartaric acid,消旋酒石酸;dl酒石酸,,,2012-11-26
159706,racemic,1.串狀花的;2.消旋的,,,2012-11-26
159707,raceme-cyme,總狀聚繖花序,,,2012-11-26
159708,raceme redbud;Cercis racemosa Oliv.,垂絲紫荊,,,2012-11-26
159709,raceme,總狀花序;串狀花序,,,2012-11-26
159710,racemation,串狀,,,2012-11-26
159711,racemase,自D-或L-異性體形成D-L-異性體等量的混合物酵素,,,2012-11-26
159712,Racelopodopsis,小葉水苔屬,,,2012-11-26
159713,race-circle,族圈,,,2012-11-26
159714,race mixture;miscegenation,混血,,,2012-11-26
159715,race amelioration,品種改良,,,2012-11-26
159716,race allomorphosis,異系統異個體間的相對生長,,,2012-11-26
159717,race,小種;(同種內)族,,,2012-11-26
159718,Rabl-orientation,Rabl定向;後期的染色體持次一有絲分裂前期的定向,,,2012-11-26
159719,Rabenshorstia cephalotaxi Sawada,灰粗榧淡赤褐病菌,,,2012-11-26
159720,rabbit-ear iris;Iris laevigata Fisch,燕子花;杜若,,,2012-11-26
159721,R;regression coefficeint,迴歸係數,,,2012-11-26
159722,r unit,X射線量單位,,,2012-11-26
159723,r;Correlation coefficient,相關係數,,,2012-11-26
159724,R tgen-equivalent-physical;(Rep),物理侖琴當量;侖琴人受等值,,,2012-11-26
159725,R factor; drug resistance,抗性因子;抗藥性質體,,,2012-11-26
159726,R enzyme;isoamylase;amylo-α1.6-glcosidase,R-酵素,,,2012-11-26
159727,R acid;2-naphthol-3.6-disulfonic acid,R酸;萘酚[2]二礦酸[3.6],,,2012-11-26
159728,Quisqualis;Rangoon-Creeper,使君子屬(使君子科),,,2012-11-26
159729,Quisqualis indica L.var villosa Clarke,四川使君子;使君子(Makino),,,2012-11-26
159730,Quisqualis indica L.,使君子(開寶本草);留求子(南方草木狀);印度使君子(Makino),,,2012-11-26
159731,Quirl malva;Malva verticillata L.,冬葵,,,2012-11-26
159732,quintuplet,五生子,,,2012-11-26
159733,quinquepartite,五分的,,,2012-11-26
159734,quinquefoliolate,有五小葉的,,,2012-11-26
159735,quinquefid,五裂的,,,2012-11-26
159736,quinquefoliate,五葉的,,,2012-11-26
159737,quinquefarious,五縱裂的,,,2012-11-26
159738,quinol; hydroquinone quinone,對苯二酚;二莖苯;奎寧酚;苯二酮;1，4環己二烯二酮,,,2012-11-26
159739,quinoa;Chenopodium quinoa,美國野藜(于),,,2012-11-26
159740,quinine,奎寧(奎寧【生+僉】),,,2012-11-26
159741,quinic acid,金雞納酸;1，2，4，5-四羥基環己甲酸,,,2012-11-26
159742,quincuncial,交互覆瓦狀褶襞,,,2012-11-26
159743,quince;Cydonia oblonga Miller,榅桲,,,2012-11-26
159744,quinate,五小葉的,,,2012-11-26
159745,quina-quina,規那,,,2012-11-26
159746,quinamine,金雞納胺,,,2012-11-26
159747,quinalizarin,1，2，5，8-甲羥基蔥醌,,,2012-11-26
159748,Quillaja saponaria Molina;Soap-bark tree,石鹼木,,,2012-11-26
159749,Quillaja,石鹼木屬(薔薇科),,,2012-11-26
159750,quill wrot;Isoetes,水韭,,,2012-11-26
159751,Quiinaceae,魁伊那科(雙),,,2012-11-26
159752,quiescent stage,靜止期,,,2012-11-26
159753,quiescent center,靜止中心,,,2012-11-26
159754,quiescence,休止;靜止,,,2012-11-26
159755,quickly avaiable,速效性的,,,2012-11-26
159756,quicklime,生石灰,,,2012-11-26
159757,quick acting manure,速效性肥料,,,2012-11-26
159758,Quetelet's curve,夸特來(Quetelet)[氏]曲線,,,2012-11-26
159759,Quercus;oak,櫟樹屬(殼斗科),,,2012-11-26
159760,Quercus variabilis Bl;Chinese cork oak,栓皮櫟;軟木櫟;粗皮櫟;白麻櫟;,,,2012-11-26
