ID,英文名稱,中文名稱,圖片,更新日期
144094,quantization error,數位化誤差,,2012-11-26
144095,quantization,數位化,,2012-11-26
144096,quadrant,象限,,2012-11-26
144097,Q factor,Q因素,,2012-11-26
144098,pyrometer,高溫計,,2012-11-26
144099,push button operated valve,按鈕操作閥,,2012-11-26
144100,purging,清洗,,2012-11-26
144101,pure binary numeration system,純二進位數字系統,,2012-11-26
144102,purchasing lead time,採購前置時間,,2012-11-26
144103,purchase requisition,申購單,,2012-11-26
144104,purchase order,採購單,,2012-11-26
144105,purchase commitment report,採購承諾,,2012-11-26
144106,pump,確實排量式泵,,2012-11-26
144107,pulse width jitter,脈波寬度顫動,,2012-11-26
144108,pulse width distortion,脈波寬度失真,,2012-11-26
144109,pulse waveform distortion,脈波波形失真,,2012-11-26
144110,pulse train,脈波列,,2012-11-26
144111,pulse top magnitude,脈波頂值,,2012-11-26
144112,pulse top distortion,脈波頂部失真,,2012-11-26
144113,pulse top center point,脈波頂部中央點,,2012-11-26
144114,pulse top,脈波頂部,,2012-11-26
144115,pulse shaping circuit，pulse shaper,脈波整形電路，脈波整形器,,2012-11-26
144116,pulse shaping,脈波整形,,2012-11-26
144117,pulse separation jitter,脈波間隔顫動,,2012-11-26
144118,pulse separation fluctuation,脈波間隔顫動,,2012-11-26
144119,pulse separation distortion,脈波間隔失真,,2012-11-26
144120,pulse separation,脈波間隔,,2012-11-26
144121,pulse risetime,脈波上昇時間,,2012-11-26
144122,pulse repetition rate,脈波重複率,,2012-11-26
144123,pulse repetition period jitter,脈波重複週期顫動,,2012-11-26
144124,pulse repetition period,脈波重複週期,,2012-11-26
144125,pulse repetition frequency jitter,脈波重複頻率顫動,,2012-11-26
144126,pulse repetition frequency,脈波重複頻率,,2012-11-26
144127,pulse regeneration circuit，pulse regenerator,脈波再生電路,,2012-11-26
144128,pulse regeneration,脈波再生,,2012-11-26
144129,pulse position,脈波位置,,2012-11-26
144130,pulse magnitude jitter,脈波振幅顫動,,2012-11-26
144131,pulse magnitude fluctuation,脈波振幅顫動,,2012-11-26
144132,pulse magnitude,脈波振幅,,2012-11-26
144133,pulse length jitter,脈波寬度顫動,,2012-11-26
144134,pulse length distortion,脈波寬度失真,,2012-11-26
144135,pulse jitter，pulse position jitter,脈波 (位置) 顫動,,2012-11-26
144136,pulse forming circuit,脈波形成電路,,2012-11-26
144137,pulse forming,脈波形成,,2012-11-26
144138,pulse falltime,脈波下降時間,,2012-11-26
144139,pulse duty factor,脈波任務因數,,2012-11-26
144140,pulse duration，pulse length，pulse width,脈波期間，脈波長度，脈波寬度,,2012-11-26
144141,pulse duration jitter,脈波寬度顫動,,2012-11-26
144142,pulse duration distortion,脈波寬度失真,,2012-11-26
144143,pulse center point,脈波中央點,,2012-11-26
144144,pulse base magnitude,脈波底值,,2012-11-26
144145,pulse base distortion,脈波基底失真,,2012-11-26
144146,pulse base center point,脈波基底中央點,,2012-11-26
144147,pulse base,脈波基底,,2012-11-26
144148,pulse amplitude,脈波振幅,,2012-11-26
144149,pulse advance，pulse delay,脈波前進，脈波延遲,,2012-11-26
144150,pulse,脈波,,2012-11-26
144151,pseudo-random pulse train,虛擬隨機脈波列,,2012-11-26
144152,pseudo-code,虛碼,,2012-11-26
144153,proximity sensor,近接感測器,,2012-11-26
144154,proximity sense,接近覺,,2012-11-26
144155,protocol,通約，議定,,2012-11-26
144156,proportional pressure relief valve,定比溢流（放洩）閥,,2012-11-26
144157,proportional pressure reducing valve,定比減壓閥,,2012-11-26
144158,proportional gain,比例增益,,2012-11-26
144159,proportional device,比例元件,,2012-11-26
144160,proportional control,比例控制,,2012-11-26
144161,proportional band,比例帶,,2012-11-26
144162,propagation delay time,傳播延遲時間,,2012-11-26
144163,proof test pressure,耐壓試驗壓力,,2012-11-26
