ID,英文名稱,中文名稱,圖片,更新日期
976546,sniffling disease,鼻涕症,,2012-11-26
976547,snore,打鼾；鼾聲,,2012-11-26
976548,snovlesyge,萎縮性鼻炎,,2012-11-26
976549,snow blindness,雪盲,,2012-11-26
976550,snuffles,鼻炎,,2012-11-26
976551,soapstock,皂腳,,2012-11-26
976552,social behavio(u)r,社會行為,,2012-11-26
976553,social facilitation,社交促進作用；群性促進作用,,2012-11-26
976554,social order; peck order; pick order,社會等級； 喙啄,,2012-11-26
976555,social releaser,群性激動因子,,2012-11-26
976556,sociobiology,社會生物學,,2012-11-26
976557,sod,草皮,,2012-11-26
976558,sod plow,草地犁,,2012-11-26
976559,sod seeder,草地播種機,,2012-11-26
976560,sodgrass type,草皮型,,2012-11-26
976561,sodium,鈉,,2012-11-26
976562,sodium acetate,醋酸鈉,,2012-11-26
976563,sodium acid phosphate,磷酸氫鈉,,2012-11-26
976564,sodium alginate,藻酸鈉,,2012-11-26
976565,sodium ascorbate,抗壞血酸鈉,,2012-11-26
976566,sodium bentonite,鈉陶土,,2012-11-26
976567,sodium benzoate,安息（香）酸鈉；苯甲酸鈉,,2012-11-26
976568,sodium bicarbonate,重碳酸鈉,,2012-11-26
976569,sodium bisulfate,硫酸氫鈉,,2012-11-26
976570,sodium bisulfite,亞硫酸氫鈉,,2012-11-26
976571,sodium carbonate,碳酸鈉,,2012-11-26
976572,sodium carboxymethylcellulose,羧甲基纖維素鈉,,2012-11-26
976573,sodium caseinate,酪蛋白鈉,,2012-11-26
976574,sodium chondroitin sulfate,軟骨素硫酸鈉,,2012-11-26
976575,sodium cinnamate,桂皮酸鈉,,2012-11-26
976576,sodium citrate,檸檬酸鈉,,2012-11-26
976577,sodium co-transport,共鈉運輸,,2012-11-26
976578,sodium erythorbate,異抗壞血酸鈉,,2012-11-26
976579,sodium fluoride,氟化鈉,,2012-11-26
976580,sodium free salt,無鈉鹽,,2012-11-26
976581,sodium glutamate,麩酸鈉,,2012-11-26
976582,sodium hexametaphosphate,六偏磷酸鈉,,2012-11-26
976583,sodium lactate,乳鈉酸,,2012-11-26
976584,sodium metabisulfate,焦亞硫酸鈉,,2012-11-26
976585,sodium metabisulfite,偏亞硫酸氫鈉,,2012-11-26
976586,sodium metaphosphate,偏磷酸鈉,,2012-11-26
976587,sodium nitrate,硝酸鈉,,2012-11-26
976588,sodium nitrite,亞硝酸鈉,,2012-11-26
976589,sodium oleate,油酸鈉,,2012-11-26
976590,sodium phosphate， dibasic,磷酸氫二鈉,,2012-11-26
976591,sodium phosphate， monobasic,磷酸二氫鈉,,2012-11-26
976592,sodium polyphosphate,聚（合）磷酸鈉,,2012-11-26
976593,sodium potassium tartrate,酒石酸鉀鈉,,2012-11-26
976594,sodium propionate,丙酸鈉,,2012-11-26
976595,sodium pump,鈉泵,,2012-11-26
976596,sodium pyrophosphate,焦磷酸鈉,,2012-11-26
976597,sodium saccharin,糖精鈉,,2012-11-26
976598,sodium sesquicarbonate,碳酸氫二鈉；二碳酸氫酸鈉,,2012-11-26
976599,sodium silicoaluminate,鈉化矽鋁鹽,,2012-11-26
976600,sodium stearate,硬脂酸鈉,,2012-11-26
976601,sodium sulfite,亞硫酸鈉,,2012-11-26
976602,sodium tartrate,酒石酸鈉,,2012-11-26
976603,sodium thiosulfate,硫代硫酸鈉,,2012-11-26
976604,sodium tripolyphosphate,三聚磷酸鈉,,2012-11-26
976605,sodium-ethylenediamine-tetra-acetic acid,乙二胺四醋酸鈉,,2012-11-26
976606,sodium-free diet,無鈉膳食,,2012-11-26
976607,soft bone,軟骨,,2012-11-26
976608,soft burning,輕度燒焦,,2012-11-26
976609,soft can,軟罐頭,,2012-11-26
976610,soft cheese,軟（質）乾酪,,2012-11-26
976611,soft clot,軟凝塊，軟血餅,,2012-11-26
976612,soft curd milk,軟凝乳,,2012-11-26
976613,soft leather,軟質皮革,,2012-11-26
976614,soft palate,軟顎,,2012-11-26
976615,soft pork,軟肉【豬】,,2012-11-26
976616,soft yoghurt,軟（質）酸酪乳,,2012-11-26
976617,soft-boiled egg,輕煮蛋,,2012-11-26
976618,soggy ice cream,冰渣冰淇淋,,2012-11-26
976619,soiarization,日光效應；曝曬,,2012-11-26
976620,soil and water conservation,水土保持,,2012-11-26
976621,soil erosion,土壤沖蝕,,2012-11-26
976622,soil stabilization,土壤穩定性,,2012-11-26
976623,soilage; soiling,青刈（草）,,2012-11-26
976624,soivus,溶解度曲線,,2012-11-26
976625,soja bean; soya bean,大豆；黃豆,,2012-11-26
976626,sol,溶膠,,2012-11-26
976627,sol state of colloids,懸膠液,,2012-11-26
976628,Solanaceae; nightshade,顛茄,,2012-11-26
976629,solanin,馬鈴薯素；馬鈴薯毒,,2012-11-26
976630,Solanum tubersum; potato; Irish potato,馬鈴薯,,2012-11-26
976631,solar collector,太陽能收集器,,2012-11-26
976632,solar dermatitis,日曬皮膚病,,2012-11-26
976633,solar dry(ing),太陽能乾燥；日光乾燥,,2012-11-26
976634,solar evaporation,日光蒸發,,2012-11-26
976635,solar heating system,太陽能加熱系統,,2012-11-26
976636,solar plexus,腹腔（神經）叢,,2012-11-26
976637,solar salt,曬製鹽,,2012-11-26
976638,solar spectrum,太陽光譜,,2012-11-26
976639,solation,膠溶（作用）,,2012-11-26
976640,sole,蹄底；足底,,2012-11-26
976641,solenoid valve,電磁閥,,2012-11-26
976642,solid alcohol,固態酒精,,2012-11-26
976643,solid condition,固態,,2012-11-26
976644,solid cream,固態乳油,,2012-11-26
976645,solid fat index,固態脂指標,,2012-11-26
976646,solid food,固體食物,,2012-11-26
976647,solid gum,固體膠,,2012-11-26
976648,solid matter,固形物,,2012-11-26
976649,solid medium,固體培養基,,2012-11-26
976650,solid pack,固體裝罐；塊裝,,2012-11-26
976651,solid phase,固相,,2012-11-26
976652,solid sampler,固體採樣器,,2012-11-26
976653,solid state,固態,,2012-11-26
976654,solid(s) content,乾物（含）量；固形物（含）量,,2012-11-26
976655,solidifiability,凝固物；固化性,,2012-11-26
976656,solidification,凝固（作用）；固化（作用）,,2012-11-26
976657,solidification heat,固化熱,,2012-11-26
976658,solidification point,凝固點；固化點,,2012-11-26
976659,solidified alcohol,固態酒精,,2012-11-26
976660,solidified soy (sauce),固態醬油,,2012-11-26
976661,solidifying,固化；凝固,,2012-11-26
976662,solidifying point,凝固點；固化點,,2012-11-26
976663,solidity,堅實度；堅實性,,2012-11-26
976664,solidness,硬度；硬性,,2012-11-26
976665,solubility,溶解度,,2012-11-26
976666,solubility index,溶解度指標,,2012-11-26
976667,solubility product,容度積,,2012-11-26
976668,solubility test,溶解度試驗,,2012-11-26
976669,solubilization,溶（解）化,,2012-11-26
976670,soluble gum,可溶（性）膠,,2012-11-26
976671,soluble ingredient,可溶成分,,2012-11-26
976672,soluble oil,（水）溶性油,,2012-11-26
976673,soluble packaging,可溶（性）包裝,,2012-11-26
976674,soluble(s),可溶物,,2012-11-26
976675,solute,溶質,,2012-11-26
976676,solvent,溶劑,,2012-11-26
976677,solvent extract,溶劑萃（取物）,,2012-11-26
976678,solvent fermentation,溶劑發酵,,2012-11-26
976679,solvent recovery,溶劑回收,,2012-11-26
976680,somatic cell,體細胞,,2012-11-26
976681,somatic disassortative mating,表型異類交配,,2012-11-26
976682,somatic motor nerve,體運動神經,,2012-11-26
976683,somatic reflex,軀體反射,,2012-11-26
976684,somatomedin,體間素,,2012-11-26
976685,somatopleure,體壁層,,2012-11-26
976686,somatostatin,生長素抑制因子,,2012-11-26
976687,somatotroph,生長激素分泌細胞【腦垂腺】,,2012-11-26
976688,somatotropic hormone; somatotrop(h)in,生長激素,,2012-11-26
