ID,英文名稱,中文名稱,圖片,更新日期
128787,Rhinencephaly,長鼻併腦(畸形),,2012-11-26
128788,Rhinodacryolith,鼻淚管石,,2012-11-26
128789,Rhinencephalic monster,長鼻併腦畸胎,,2012-11-26
128790,Rheumatism; St. Gervasius disease,風濕病; 風濕,,2012-11-26
128791,Rheumatism of extremities,四肢風濕,,2012-11-26
128792,Rheumatic granuloma,風濕肉芽腫,,2012-11-26
128793,Rheumatic eruption; Rheumatide,風濕疹,,2012-11-26
128794,Rheumatic diathesis,風濕素質,,2012-11-26
128795,Rheumatic callosity,風濕胼胝,,2012-11-26
128796,Rheostosis of limbs,肢骨紋樣肥大,,2012-11-26
128797,Rheumatic affection,風濕病,,2012-11-26
128798,Rhachitic dwarfism; Rhachitic dwarf,佝僂病性矮小,,2012-11-26
128799,Rhabdomyomatous myxoma,橫紋肌黏液瘤,,2012-11-26
128800,Rhabdomyomatous chondroma,平滑肌軟骨瘤,,2012-11-26
128801,Reversionary atrophy; Undifferentiation,返樸性發育障礙; 退行發育,,2012-11-26
128802,Retrovisceral goiter,食管後甲狀腺腫,,2012-11-26
128803,Retrovascular goiter,血管後甲狀腺腫,,2012-11-26
128804,Retropharyngeal tumor,咽後腫瘤,,2012-11-26
128805,Retroperitoneal tumor,腹膜後腫瘤,,2012-11-26
128806,Retroperitoneal sarcoma,腹膜後肉瘤,,2017-07-20
128807,Retromaxillary fibroma,頜骨後纖維瘤,,2012-11-26
128808,Retroinfection,倒傳染,,2012-11-26
128809,Retrograde carcinoma; Retrograde cancer,逆徙癌,,2012-11-26
128810,Retinopathy; Disease of retina,視網膜病,,2012-11-26
128811,Retinal spongioma; Spongy tumor of retina,視網膜海綿腫,,2012-11-26
128812,Retinal concussion; Berlin's disease,視網膜震盪; Berlin氏病,,2012-11-26
128813,Retinal coloboma; Retinal cleft,裂視網膜(畸形),,2012-11-26
128814,Retinal blastoma,視網膜胚細胞瘤,,2012-11-26
128815,Retinal chalcosis,視網膜銅屑沉着病,,2012-11-26
128816,Retinal angioma; Von Hippel's disease,視網膜血管瘤; Hippel氏病,,2012-11-26
128817,Reticulo-endothelial tumor,網狀內皮瘤,,2012-11-26
128818,Reticuloendothelial sarcoma; Retothelial sarcoma,網狀內皮細胞肉瘤,,2012-11-26
128819,Reticuloendothelial hyperplasy; Hyperplasia of reticuloendothelial system,網狀內皮細胞增殖,,2012-11-26
128820,Reticulated cancer,網狀癌,,2012-11-26
128821,Reticular sarcoma; Net-cell sarcoma,網狀細胞肉瘤,,2012-11-26
128822,Retention toxicosis,積儲性自體中毒,,2012-11-26
128823,Retention cyst,瀦溜囊腫,,2012-11-26
128824,Respiratory type,呼吸系發達型; 呼吸型,,2012-11-26
128825,Respiratory affection,呼吸系病,,2012-11-26
128826,Resorptive tubercle,吸收性結核節,,2012-11-26
128827,Resorptive intoxication; Resorptive poisoning,吸收性中毒,,2012-11-26
128828,Resorcin poisoning; Resorcinism,樹脂酚中毒,,2012-11-26
128829,Resecting fracture,切除骨折,,2012-11-26
128830,Report of gun,槍身反擊傷,,2012-11-26
128831,Replacement hypertrophy,填空性肥大,,2012-11-26
128832,Replacement hyperplasia,修補性增殖,,2012-11-26
128833,Reorganization,組織再生,,2012-11-26
128834,Repair of epithelium; Cuticularization,上皮再生,,2012-11-26
128835,Renal zymosis,腎釀母病,,2012-11-26
128836,Rent; Fissure; Slit,裂隙; 裂,,2012-11-26
128837,Renal tumor; Tumor of kidney,腎腫瘤,,2012-11-26
128838,Renal tuberculosis,腎結核; 腎癆,,2012-11-26
128839,Renal syphilis,腎梅毒,,2012-11-26
128840,Renal spongioma,腎海綿腫,,2012-11-26
128841,Renal sarcoma,腎肉瘤,,2012-11-26
128842,Renal rheumatism,腎風濕,,2012-11-26
128843,Renal pigmentation,腎色素沉着,,2012-11-26
128844,Renal lithiasis,腎石病,,2012-11-26
128845,Renal injury; Injury to kidney,腎損傷,,2012-11-26
128846,Renal infantilism; Renal rickets; Pseudorickets; Renal dwarfism,腎病性幼稚型; 腎病性佝僂病,,2012-11-26
128847,Renal gravel; Minute renal calculus,腎砂,,2012-11-26
128848,Renal fibroma,腎纖維瘤,,2012-11-26
128849,Renal epithelioma,腎上皮瘤,,2012-11-26
128850,Renal endothelioma,腎內皮瘤,,2012-11-26
128851,Renal echinococcal disease; Renal echinococcosis,腎包蟲病,,2012-11-26
128852,Renal dystrophy; Nephrodystrophy,腎榮養障礙,,2012-11-26
128853,Renal cyst; Cyst of kidney,腎臟囊腫,,2012-11-26
128854,Renal cancer; Cancer of kidney,腎癌; 腎癌病,,2012-11-26
128855,Renal calculus; Nephrolith; Kidney-stone,腎結石; 腎石,,2012-11-26
128856,Renal calcification,腎石灰化,,2012-11-26
128857,Renal cachexia; Nephrism,腎病性惡病質,,2012-11-26
128858,Renal blastoma,腎胚細胞瘤,,2012-11-26
128859,Renal argyria,腎銀質沉著病,,2012-11-26
128860,Renal adenoma; Adenoma of kidney,腎腺瘤,,2012-11-26
128861,Renal actinomycosis,腎放線菌病,,2012-11-26
128862,Remote heredity; Atavism; Reversion,隔代遺傳; 返祖性,,2012-11-26
128863,Remote cause; Secondary cause,遠因,,2012-11-26
128864,Remittent malaria,弛張瘧,,2012-11-26
128865,Remittent disease,弛張病,,2012-11-26
128866,Relative idiosyncrasy,相對特應性,,2012-11-26
128867,Relapsing fever; Recurrent fever; Famine fever; Hunger plague; Spirillum fever,回歸熱,,2012-11-26
128868,Reiter's disease,關節炎性旋轉螺旋體病; Reiter氏病,,2012-11-26
128869,Regenerative pannus,再生性血管翳; 修補性血管翳,,2012-11-26
128870,Regeneration; Neoformation; Palingenesy; Renewal,再生; 新生,,2012-11-26
128871,Regeneration of nerve; Neurotization,神經再生,,2012-11-26
128872,Regeneration of cut surface,割處再生,,2012-11-26
128873,Regeneration of bone; Bone regeneration,骨再生,,2012-11-26
128874,Reflex alopecia; Jacquet's disease,反射性脫髮,,2012-11-26
128875,Red trichonocardiasis,紅(色)毛髮土壤絲菌病,,2012-11-26
128876,Red trichomycosis,紅色毛芽胞菌病,,2012-11-26
128877,Red nasal granulosis,鼻部紅顆粒層增殖; 鼻紅粒病,,2012-11-26
128878,Red microsporosis,紅色小芽胞菌病; 寄生性紅癣,,2012-11-26
128879,Red dysentery; Hematodiarrhea; Hemodiarrhea; Bloody flux,赤痢; 血痢,,2012-11-26
128880,Recurrent syphilis; Relapsing syphilis,復發性梅毒,,2012-11-26
128881,Recurrent erysiyelas; Relapsing erysipelas,後發性丹毒; 回歸性丹毒,,2012-11-26
128882,Recurrent chancre; Monorecidive,再發硬下疳,,2012-11-26
128883,Rectal wound,直腸創傷,,2012-11-26
128884,Rectal tumor,直腸腫瘤,,2012-11-26
128885,Rectal tuberculosis,直腸結核,,2012-11-26
128886,Rectal polypus,直腸息肉,,2012-11-26
128887,Rectal perforation,直腸穿破,,2012-11-26
128888,Rectal malformation,直腸畸形,,2012-11-26
128889,Rectal injury; Injury to rectum,直腸損傷,,2012-11-26
128890,Rectal cancer; Cancer of rectum,直腸癌,,2012-11-26
128891,Rectal gonorrhea,直腸淋病,,2012-11-26
128892,Rectal atresia,直腸閉鎖; 單純直腸閉鎖,,2012-11-26
128893,Recessive heredity,弱性遺傳; 隱性遺傳,,2012-11-26
128894,Recklinghausen's tumor,子宮壁腺平滑肌纖維瘤; Recklinghausen氏瘤,,2012-11-26
128895,Rat-poison poisoning,鼠藥中毒,,2012-11-26
128896,Rat-bite fever; Sodoku; Sodokosis; Rat-bite disease; Cat-bite disease,鼠咬熱; 鼠咬病,,2012-11-26
128897,Raspberry cellular polypus,覆盆子狀息肉,,2012-11-26
128898,Rash from tartar emetic,酒石酸疹,,2012-11-26
128899,Rapid loss of hair; Trichorrhea,毛髮驟脫; 禿髮病,,2012-11-26
128900,Raphanus poisoning; Raphanism,野蘿蔔子中毒,,2012-11-26
128901,Ranunculus poisoning,毛茛中毒,,2012-11-26
128902,Rank itch; Papular scabies,丘疹性疥瘡,,2012-11-26
128903,Ramose cancer,枝狀癌,,2012-11-26
128904,Railway spine; Erichsen's disease; Page's disease; Spinal concussion; Erichsen's spine,脊椎震盪; 鐵路脊椎; Erichsen氏病,,2012-11-26
128905,Railway sickness,鐵路病; 火車病; 暈車,,2012-11-26
128906,Radium poisoning,鐳中毒,,2012-11-26
128907,Radiotoxemia,鐳性毒血症,,2012-11-26
128908,Radicular odontoma,齒根齒瘤,,2012-11-26
128909,Radicular granuloma; Dental granuloma,齒根肉芽腫,,2012-11-26
128910,Radiation burn,射線灼傷,,2012-11-26
128911,Radiate carcinoma,放線狀癌,,2012-11-26
128912,Radial calculus,放線狀結石,,2012-11-26
128913,Radesyge; Norwegian syphiloid,挪威類梅毒,,2012-11-26
128914,Rachitic splenomegaly,佝僂病脾增大,,2012-11-26
128915,Racemose venous sarcoma,蔓狀靜脈肉瘤,,2012-11-26
