ID,英文名稱,中文名稱,圖片,更新日期
218205,Primitive node，Primitive knot，Henson's knot，Henson's knot，Henson'snode,原結,,2012-11-26
218206,Primitive nail bed,原爪床,,2012-11-26
218207,Primitive nail,原甲,,2012-11-26
218208,Primitive monro's foramen,原孟氏孔,,2012-11-26
218209,Primitive maxillary fold,原腭褶,,2012-11-26
218210,Primitive knot,原結,,2020-02-20
218211,Primitive kidney,原腎,,2020-02-19
218212,Primitive gut cavity,原腸腔,,2020-02-20
218213,Primitive gut,原腸,,2020-02-19
218214,Primitive groove,原溝,,2012-11-26
218215,Primitive germ cell,原殖細胞,,2020-02-20
218216,Primitive fold,原褶,,2012-11-26
218217,Primitive disk,初級胚盤,,2012-11-26
218218,Primitive cumulus,原丘,,2012-11-26
218219,Primitive chorion,原絨毛膜,,2012-11-26
218220,Primitive atrioventricular foramen,原房室口,,2012-11-26
218221,Primitive abdominal fold,複褶,,2012-11-26
218222,Primiparity,初產,,2012-11-26
218223,Primipara,初產婦,,2012-11-26
218224,Primary yolk pyramid,原卵黃塔,,2012-11-26
218225,Primary yold cell,初級卵黃細胞,,2012-11-26
218226,Primary urcter,原輪尿管,,2012-11-26
218227,Primary tympanic cavity,原鼓室,,2012-11-26
218228,Primary trochoblast,初級纖毛母細胞,,2012-11-26
218229,Primary tentacle,初級觸手,,2012-11-26
218230,Primary taste-bud,原味蕾,,2012-11-26
218231,Primary stomodaeum,初級原口,,2012-11-26
218232,Primary spermatogonium,初級原精細胞,,2012-11-26
218233,Primary spermatocyte,初級精母細胞,,2020-02-19
218234,Primary renal column,原腎柱,,2012-11-26
218235,Primary ovarian follicle,初級卵泡,,2020-02-20
218236,Primary oval foramen,初級卵圓孔,,2012-11-26
218237,Primary oocyte,初級卵母細胞,,2020-02-20
218238,Primary nasalcavity,初級鼻腔,,2012-11-26
218239,Primary nail-field,原甲區,,2012-11-26
218240,Primary metamorphosis,初級變態,,2012-11-26
218241,Primary mesoderm,初級中層,,2012-11-26
