ID,英文名稱,中文名稱,圖片,更新日期
628925,rigger,鑽機安裝員 ; 裝配員,,2012-11-26
628926,rig helper,一般鑽工,,2012-11-26
628927,rig front,地面設備,,2012-11-26
628928,rig floor,鑽[井]台,,2012-11-26
628929,rig fixer,鑽機安裝員,,2012-11-26
628930,rig down (RD),鑽機拆卸,,2012-11-26
628931,rig cost,鑽機操作費用,,2012-11-26
628932,rig builder,鑽機安裝員 ; 鑽機製造廠,,2012-11-26
628933,rig,鑽機,,2012-11-26
628934,rift,天然裂縫,,2012-11-26
628935,rifling,採掘跡煤開採,,2012-11-26
628936,rifled pipe,重質油輸油管,,2012-11-26
628937,riffles,橫條木,,2012-11-26
628938,riffle-box,間隔減樣器,,2012-11-26
628939,riffle board,刮蠟板 ; 刮漿板,,2012-11-26
628940,riding hoss,輸油管檢查具,,2012-11-26
628941,riding boss,管線巡查領班,,2012-11-26
628942,ridge runner,巡查員(油井；管線),,2012-11-26
628943,ridge fault,成脊斷層,,2012-11-26
628944,ridge crest,脊峰線,,2012-11-26
628945,rider,遊樑 ; 遊碼 ; 管線巡查員,,2012-11-26
628946,rich oil,富油,,2012-11-26
628947,rich mixture,富油混合物,,2012-11-26
628948,rich gas,富氣 ; 濕天然氣,,2012-11-26
628949,rib-sides,實煤壁,,2012-11-26
628950,rib-side pack,巷側替煤石砌牆,,2012-11-26
628951,rib-side gate,單邊實煤門巷,,2012-11-26
628952,rib holes,周界炮孔 ; 整修炮孔,,2012-11-26
628953,rib,壁柱 ; 煤壁,,2012-11-26
628954,rhythmic succession,循環重複地層,,2012-11-26
628955,rhyolite,流紋岩,,2012-11-26
628956,rhumb line,恒向線,,2012-11-26
628957,rhombohedral,菱面體,,2012-11-26
628958,rhodonite,薔薇輝石,,2012-11-26
628959,rhodochrosite,菱錳礦,,2012-11-26
628960,rhodium-gold,銠金,,2012-11-26
628961,rhodium,銠,,2012-11-26
628962,rheology,流變學,,2012-11-26
628963,Rheolaveur washers,瑞氏洗煤機,,2012-11-26
628964,Rheolaveur system,瑞氏槽氏洗煤機,,2012-11-26
628965,Rheolaveur,瑞氏洗煤機,,2012-11-26
628966,rhenium,錸,,2012-11-26
628967,Reynold's number,雷諾數,,2012-11-26
628968,revivification,復原 ; 再活 ; 還原,,2012-11-26
628969,reversion,復原,,2012-11-26
628970,reversible transformation,可逆變化,,2012-11-26
628971,reversible tramway,往復架空索道,,2012-11-26
628972,reversible reaction,可逆反應,,2012-11-26
628973,reversible pick,雙頭切刃,,2012-11-26
628974,reversible cell,可逆電池,,2012-11-26
628975,reversible auxiliary ventilation,正逆補助通風,,2012-11-26
628976,reversed polarity,反向極性,,2012-11-26
628977,reversed bratticing,偏旁隔風幕,,2012-11-26
628978,reverse thrust,逆掩斷層,,2012-11-26
