ID,英文名稱,中文名稱,圖片,更新日期
660051,alkali,鹼金屬；鹼,,2012-11-26
660052,Alizite,鎳葉蛇紋石,,2012-11-26
660053,Alite,矽三鈣石,,2012-11-26
660054,Alisonite,閃銅鉛礦,,2012-11-26
660055,aliquot,等分試樣,,2012-11-26
660056,Alipite (Pilimelite),綠鎂鎳石；鎳蛇紋石,,2012-11-26
660057,Alimachite,黑綠琥珀,,2012-11-26
660058,alignment,(1)線狀排列 (2)校準（對成直線）,,2012-11-26
660059,Aliettite,阿里石（雲間皂石）,,2012-11-26
660060,Algodonite,直砷銅礦,,2012-11-26
660061,algarvite,雲霓霞輝岩,,2012-11-26
660062,Alforsite,氯磷鋇石,,2012-11-26
660063,alfisol,淋溶土,,2012-11-26
660064,alferric mineral,鋁鐵礦物,,2012-11-26
660065,alexoite,磁黃橄欖岩,,2012-11-26
660066,alexeyevite,阿列瀝青,,2012-11-26
660067,alexandrolite,鉻變伊來士,,2012-11-26
660068,Alexandrite-sapphire,變色藍寶石,,2012-11-26
660069,Alexandrite,變石；變色石,,2012-11-26
660070,Aleppo stone,眼狀瑪瑙,,2020-01-07
660071,Aleksite,硫碲鉍鉛礦,,2012-11-26
660072,Aldzhanite,氯硼鈣鎂石,,2012-11-26
660073,Aldermanite,直水磷鎂石,,2012-11-26
660074,Aldanite (Thorianite),釷鈾鉛礦；方釷石,,2012-11-26
660075,Alcaparossa verde,水綠礬,,2012-11-26
660076,Alcaparossa amarilla,赤鐵礬,,2012-11-26
660077,Albronze,鋁青銅,,2012-11-26
660078,Albrittonite,水氯鈷石,,2012-11-26
660079,Albrechtschraufite,碳鎂鈣鈾礦,,2012-11-26
660080,Albitization,鈉長石化,,2012-11-26
660081,Albite; pseudoalbitization,假鈉長石,,2012-11-26
660082,Albite twin law,鈉長石式雙晶律,,2012-11-26
660083,Albite twin,鈉長石式雙晶,,2012-11-26
660084,Albite law,鈉長石式雙晶律,,2012-11-26
660085,Albite-Carlsbad law,鈉長石式-卡爾斯巴（雙晶）律,,2012-11-26
660086,Albite-anorthite series,鈉長石-鈣長石系,,2012-11-26
660087,Albite,鈉長石,,2012-11-26
660088,Albiclase (Oligoclase),奧鈉長石；富鈉長石,,2012-11-26
660089,Albertite,黑瀝青,,2012-11-26
660090,Albatre,雪花石膏,,2012-11-26
660091,Alazanite,準白鐵礦,,2012-11-26
660092,alaskite,白岡岩,,2012-11-26
660093,alaskaite,雜硫銀鉍礦,,2012-11-26
660094,Alasanite (Alazanite),準白鐵礦,,2012-11-26
660095,Alamosite,鉛輝石,,2012-11-26
660096,Alamandine (Almandine),鐵鋁榴石,,2012-11-26
660097,Alalite,綠透輝石,,2012-11-26
660098,Alaite,紅苔釩礦,,2012-11-26
660099,Alacranite,橙硫砷礦,,2012-11-26
660100,Alabasterite (Alabaster),雪花石膏,,2012-11-26
660101,Alabaster,雪花石膏,,2012-11-26
660102,Alabandite,硫錳礦,,2012-11-26
660103,Alabandine,硫錳礦,,2012-11-26
660104,Ala twinning,阿拉雙晶,,2012-11-26
660105,Ala law,阿拉雙晶律,,2012-11-26
660106,Al-chamosite,鋁鮞綠泥石,,2012-11-26
660107,Al-celadonite,鋁綠鱗石,,2012-11-26
660108,Al-antigorite,鋁葉蛇紋石,,2012-11-26
660109,Aktashite,硫砷汞銅礦,,2012-11-26
660110,Aksynite,斧石,,2012-11-26
660111,Aksaite,硼鎂石,,2012-11-26
660112,Akrochordite,球砷錳石；水砷鎂錳石,,2012-11-26
660113,Akontite (Glaucodite),鈷毒砂,,2012-11-26
660114,Akmite (Aegirine),錐輝石,,2012-11-26
660115,Akhtenskite (ε-MnO2),六方軟錳礦,,2012-11-26
660118,Akermanite,鎂黃長石,,2012-11-26
660119,Akdalaite,六方水鋁礦,,2012-11-26
660120,Akatoreite,矽鋁錳石,,2012-11-26
660121,Akanticone,綠簾石,,2012-11-26
