ID,英文名稱,中文名稱,圖片,備註,更新日期
3364750,a posteriori probability,後天機率,,,2018-03-21
3364751,a prior distribution,先天分配,,,2018-03-21
3364752,a priori probability,先天機率,,,2018-03-21
3364753,abnormal class,異常階級,,,2018-03-21
3364754,abnormality,異常,,,2018-03-21
3364755,abridged life table,簡易生命表,,,2018-03-21
3364756,absentee landlord,不在地地主,,,2018-03-21
3364757,absentee ownership,不在地主所有權,,,2021-11-09
3364758,absentee voting,不在地投票,,,2018-03-21
3364759,absenteeism,不在地地主制；曠工,,,2018-03-21
3364760,absolute deprivation,絕對剝奪,,,2018-03-21
3364761,absolute mobility,絕對流動,,,2018-03-21
3364762,absolute monarchy,專制君主政體；絕對王權,,,2018-03-21
3364763,absolute poverty,絕對貧窮,,,2018-03-21
3364764,absolute rate of mobility,絕對流動率,,,2018-03-21
3364765,absolute state,絕對王權國家,,,2018-03-21
3364766,absolute surplus value,絕對剩餘價值,,,2018-03-21
3364767,absolutism,絕對王權[制]；絕對論,,,2018-03-21
3364768,abstract empiricism,抽象實徵主義,,,2018-03-21
3364769,abstract labor,抽象勞動,,,2018-03-21
3364770,abstracted empiricism,抽象經驗論,,,2018-03-21
3364771,academic deviance,學術偏差；學術非行,,,2018-03-21
3364772,academic machismo,學術大男人主義,,,2018-03-21
3364773,accessibility,可及性；近用性,,,2018-03-21
3364774,accidental sampling,偶遇抽樣,,,2018-03-21
3364775,accommodation,順應,,,2018-03-21
3364776,accredition,認證,,,2018-03-21
3364777,acculturation,涵化,,,2018-03-21
3364778,achievement motivation,成就動機,,,2018-03-21
3364779,acquired character,習染性格,,,2018-03-21
3364780,acquired immune deficiency syndrome {=AIDS},後天免疫缺乏症候群；愛滋病,,,2018-03-21
3364781,acquisitive impulse,貪求衝動,,,2018-03-21
3364782,acquisitive society,貪求社會,,,2018-03-21
3364783,acting crowd,行動群眾,,,2018-03-21
3364784,action,行動,,,2018-03-21
3364785,action frame of reference,行動參考架構,,,2018-03-21
3364786,action research,行動研究,,,2018-03-21
3364787,action system,行動體系；行動系統,,,2018-03-21
3364788,action theory {Parsons},行動理論,,,2018-03-21
3364789,active citizen,積極公民,,,2018-03-21
3364790,active leisure,動態休閒；主動休閒,,,2018-03-21
3364791,active society,積極社會；能動社會,,,2018-03-21
3364792,actor,行動者,,,2018-03-21
3364793,actor-network theory {=ANT},行動者－網絡理論,,,2018-03-21
3364794,adaptation,適應,,,2018-03-21
3364795,adaptive upgrading,適應提升,,,2018-03-21
3364796,addiction,上癮,,,2018-03-21
3364797,adjustment,調適,,,2018-03-21
3364798,adolescence,青少年期,,,2018-03-21
3364799,adolescence subculture,青少年次文化,,,2018-03-21
3364800,adult socialization,成人社會化,,,2018-03-21
3364801,adulthood,成年,,,2018-03-21
3364802,advanced capitalism,發達資本主義；先進資本主義,,,2018-03-21
3364803,advertising industry,廣告工業,,,2018-03-21
3364804,advocacy,倡議,,,2018-03-21
3364805,aestheticization of everyday life,日常生活的美學化,,,2018-03-21
3364806,affect control theory {=ACT},情感控制理論,,,2018-03-21
3364807,affective action,情感行動,,,2018-03-21
3364808,affective individualism,情感個人主義,,,2018-03-21
3364809,affective neutrality,情感中立,,,2018-03-21
3364810,affinity,姻親；親近性,,,2018-03-21
3364811,affirmative action,平權措施,,,2018-03-21
3364812,affluent society,豐裕社會,,,2018-03-21
3364813,African-American studies,非裔美國人研究,,,2018-03-21
3364814,agape love,人和上帝之間的愛,,,2018-03-21
3364815,age composition,年齡組成,,,2018-03-21
3364816,age dependency ratio,老年扶養比,,,2018-03-21
3364817,age differentiation,年齡分化,,,2018-03-21
3364818,age distribution,年齡分布,,,2018-03-21
3364819,age domination,年齡優勢,,,2018-03-21
3364820,age group,年齡組,,,2018-03-21
3364821,age structure of population,人口的年齡結構,,,2018-03-21
3364822,age-period-cohort conundrum  {=APC conundrum},年齡-時期-世代困局,,,2018-03-21
3364823,ageism,年齡歧視；老年歧視,,,2018-03-21
3364824,agency,行動者；施為者；能動者；主體；能動性；機構,,,2018-03-21
3364825,agent,行動者；施為者；能動者；主體,,,2018-03-21
3364826,agent of socialization,社會化機構,,,2018-03-21
3364827,aggregate,聚合,,,2018-03-21
3364828,aggregation of interests,利益彙總；利益匯集,,,2018-03-21
