ID,英文名稱,中文名稱,圖片,更新日期
3286380,4-H Club,四健會,,2018-03-15
3286381,Abandonment,遺棄,,2018-03-15
3286382,Able-bodied Poor,健壯的窮人,,2018-03-15
3286383,Aboriginal Policy,原住民政策,,2018-03-15
3286384,Aboriginal Social Welfare Administration,原住民社會福利行政,,2018-03-15
3286385,Absolute Needs,絕對需求,,2018-03-15
3286386,Absolute Poverty,絕對貧窮,,2018-03-15
3286387,Abuse of Older People,老人虐待,,2018-03-15
3286388,Elder Abuse,老人虐待,,2018-03-15
3286389,Abused Woman,受虐婦女,,2018-03-15
3286390,Academic Approach,學院式取向,,2018-03-15
3286391,Academy of Certified Social Workers,合格社會工作師學會,,2018-03-15
3286392,Acceptance,接納,,2018-03-15
3286393,Accessibility,可近性,,2018-03-15
3286394,Accident Rate,意外事故率,,2018-03-15
3286395,Accountability,責信；課責,,2018-03-15
3286396,Acculturation,涵化,,2018-03-15
3286397,Achievement Motivation,成就動機,,2018-03-15
3286398,Action Design,行動設計,,2018-03-15
3286399,Action Research,行動研究,,2018-03-15
3286400,Action-based Behavioural Approach,行動為基礎的行為途徑,,2018-03-15
3286401,Activation,積極促進 {參與勞動市場或社區},,2018-03-15
3286402,Activation measure effect,積極促進就業方案效應；活化就業方案效應,,2018-03-15
3286403,Active Aging,活力老化,,2018-03-15
3286404,Activities of Daily Living {=ADL},日常生活活動功能,,2018-03-15
3286405,Additional Benefits,附加給付,,2018-03-15
3286406,Adjustment,適應,,2018-03-15
3286407,Adopted Children,養子女,,2018-03-15
3286408,Adoption,收養,,2018-03-15
3286409,Adoptive Families,收養家庭,,2018-03-15
3286410,Adult Day Care,成人日間照顧,,2018-03-15
3286411,Adult Day Services,成人日間服務,,2018-03-15
3286412,Adult Education,成人教育,,2018-03-15
3286413,Adult Protective Services {=APS},成人保護服務,,2018-03-15
3286414,Adverse Selection,逆選擇,,2018-03-15
3286415,Advocacy,倡導；倡議；辯護,,2018-03-15
3286416,Affirmative Action,平權行動,,2018-03-15
3286417,AFL-CIO,美國勞工暨產業工會聯盟,,2018-03-15
3286418,After-school Care,課後照顧,,2018-03-15
3286419,Age Discrimination,年齡歧視,,2018-03-15
3286420,Ageism,老人歧視；老年歧視,,2018-03-15
3286421,Agency for International Development,國際開發總署,,2018-03-15
3286422,Aging and Disability Resource Center {=ADRC},高齡與身心障礙資源中心,,2018-03-15
3286423,Aging in Place,在地老化,,2018-03-15
3286424,Aging Society,高齡化社會,,2018-03-15
3286425,Aging Theories,老化理論,,2018-03-15
3286426,Agricultural Insurance,農業保險,,2018-03-15
3286427,Aid to Dependent Children,未成年子女之單親扶助,,2018-03-15
3286428,Aid to Families with Dependent Children {=AFDC},有依賴兒童之家庭補助,,2018-03-15
3286429,AIDS,後天免疫缺乏症候群,,2018-03-15
3286430,Al-Anon Family Group,戒酒者家屬團體,,2018-03-15
3286431,Alcoholics Anonymous,戒酒者匿名會,,2018-03-15
3286432,Alcoholism,酒癮,,2018-03-15
3286433,Alimony,贍養費,,2018-03-15
3286434,Allocation de Parent Isolé {=API},單親家庭津貼{法語},,2018-03-15
3286435,Allocation Formula,分配公式,,2018-03-15
3286436,Allocation Veuvage {=AV},寡婦津貼{法語},,2018-03-15
3286437,Almshouse,濟貧院,,2018-03-15
3286438,Poorhouse,濟貧院,,2018-03-15
3286439,Alternative Civilian Service,替代役,,2018-03-15
3286440,Alternative schools,替代性學院；選替學校,,2018-03-15
3286441,Altruism,利他主義,,2018-03-15
3286442,Analogical Method,類比法,,2018-03-15
3286443,Analysis of Variance {=ANOVA},變異數分析,,2018-03-15
3286444,Analytical Research,分析性研究,,2018-03-15
3286445,Anomie,迷亂；脫序,,2018-03-15
3286446,Antecedent Variable,前置變數；前置變項,,2018-03-15
3286447,Anti-ageist Practice,反年齡歧視實施,,2018-03-15
3286448,Anti-discrimination Policy,反歧視政策,,2018-03-15
3286449,Anti-discrimination Practice,反歧視實施,,2018-03-15
3286450,Anti-globalization Movement,反全球化運動,,2018-03-15
3286451,Anti-oppression,反壓迫,,2018-03-15
3286452,Anti-oppressive Practice,反壓迫實施,,2018-03-15
3286453,Anti-poverty Programs,反貧窮方案,,2018-03-15
3286454,Anti-racist Practice,反種族歧視實施,,2018-03-15
3286455,Anti-social Behavior,反社會行為,,2018-03-15
3286456,Anxiety,焦慮,,2018-03-15
