ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3542581,"""originate and hold"" business model",「創始並持有」經營模式,,,2018-06-26
3542582,"""public-to-private"" service concession arrangement",「公辦民營」服務特許權協議,,,2018-06-26
3542583,a complete set of financial statements,整套財務報表,,,2018-06-26
3542584,a group of similar financial assets,一組類似金融資產,,,2018-06-26
3542585,ability model,能力模式,,,2018-06-26
3542586,abnormal spoilage,非常損壞,,,2018-06-26
3542587,absence of causal connection,缺乏因果關係,,,2018-06-26
3542588,absorption costing,歸納成本法,,,2018-06-26
3542589,accelerated depreciation allowances,加速折舊準備,,,2018-06-26
3542590,acceptable audit risk,可接受查核風險,,,2018-06-26
3542591,account,帳戶,,账户,2018-06-26
3542592,account analysis method,帳戶分析法,,,2018-06-26
3542593,account item,會計項目；會計科目,,会计科目,2018-06-26
3542594,accountability of management,管理階層之課責性,,,2018-06-26
3542595,account-based audit,科目基礎審計,,账项基础审计,2018-06-26
3542596,accounting,會計；會計學,,会计；会计学,2018-06-26
3542597,accounting acquiree,會計上被收購者,,,2018-06-26
3542598,accounting arbitrage,會計套利,,,2018-06-26
3542599,accounting assumption,會計假設,,会计假设,2018-06-26
3542600,accounting books,會計帳簿；會計帳冊,,会计账簿,2018-06-26
3542601,accounting conservatism,會計穩健性,,会计稳健性,2018-06-26
3542602,accounting control,會計控制,,会计控制,2018-06-26
3542603,accounting cycle,會計循環,,会计循环,2018-06-26
3542604,accounting element,會計要素,,会计要素,2018-06-26
3542605,accounting entity postulate,會計個體假設,,会计主体假设,2018-06-26
3542606,accounting entry,會計分錄,,会计分录,2018-06-26
3542607,accounting equation,會計方程式；會計恆等式,,会计等式,2018-06-26
3542608,accounting error,會計錯誤,,会计差错,2018-06-26
3542609,accounting estimate,會計估計,,会计估计,2018-06-26
3542610,accounting event,會計事項,,会计事项,2018-06-26
3542611,accounting income,會計收益；會計所得,,,2018-06-26
3542612,accounting information,會計資訊,,会计信息,2018-06-26
3542613,accounting information content,會計資訊內涵,,会计信息含量,2018-06-26
3542614,accounting information system,會計資訊系統,,会计信息系统,2018-06-26
3542615,accounting measurement,會計衡量,,会计计量,2018-06-26
3542616,accounting mismatch,會計配比不當,,,2018-06-26
3542617,accounting period,會計期間,,,2018-06-26
3542618,accounting period postulate,會計期間假設,,会计期间假设,2018-06-26
3542619,accounting policies,會計政策,,会计政策,2018-06-26
3542620,accounting policy,會計政策,,,2018-06-26
3542621,accounting postulate,會計假設,,会计假设,2018-06-26
3542622,accounting principle,會計原則,,,2018-06-26
3542623,accounting profit,會計利潤,,,2018-06-26
3542624,accounting recognition,會計認列,,会计确认,2018-06-26
3542625,accounting record,會計紀錄,,,2018-06-26
3542626,accounting standards,會計準則,,会计准则,2018-06-26
3542627,accounting system,會計系統；會計制度,,会计系统,2018-06-26
3542628,accounting transparency,會計透明度,,会计透明度,2018-06-26
3542629,accounting treatment,會計處理,,,2018-06-26
3542630,accounting voucher,會計憑證；傳票,,会计凭证,2018-06-26
3542631,accounts payable,應付帳款,,应付帐款,2018-06-26
3542632,accounts receivable,應收帳款,,应收账款,2018-06-26
3542633,accrual,應計數,,应计项目,2018-06-26
3542634,accrual accounting rate of return {=AARR} method,應計會計報酬率法,,,2018-06-26
3542635,accrual anomaly,應計異象,,应计异象,2018-06-26
3542636,accrual basis,應計基礎,,,2018-06-26
3542637,accrual basis of accounting,應計基礎；應計基礎會計,,权责发生制,2018-06-26
3542638,accrued expense,應計費用,,预提费用,2018-06-26
3542639,accrued liabilities,應計負債,,,2018-06-26
3542640,accumulated depreciation,累計折舊,,,2018-06-26
3542641,accumulated profit or loss,累計損益,,,2018-06-26
3542642,accumulating compensated absences,累積帶薪假,,,2018-06-26
3542643,acid test ratio,酸性測試比率,,,2018-06-26
3542644,acquired entity,被收購之個體,,,2018-06-26
3542645,acquiree,被收購者,,,2018-06-26
3542646,acquirer,收購者,,,2018-06-26
3542647,acquisition,收購；取得,,收购,2018-06-26
3542648,acquisition and payment cycle,採購及付款循環,,,2018-06-26
3542649,acquisition date,收購日,,,2018-06-26
3542650,acquisition method,收購法,,,2018-06-26
3542651,acquisition premium,收購溢價,,收购溢价,2018-06-26
3542652,active market,活絡市場,,,2018-06-26
3542653,activity,作業,,作业,2018-06-26
3542654,activity driver,作業動因,,作业动因,2018-06-26
3542655,activity threshold,活動門檻,,,2018-06-26
3542656,activity-based budgeting {=ABB},作業基礎預算制,,,2018-06-26
3542657,activity-based cost pool,作業基礎成本庫,,作业成本库,2018-06-26
3542658,activity-based costing {=ABC},作業基礎成本法,,作业成本法,2018-06-26
3542659,activity-based management {=ABM},作業基礎管理,,作业管理,2018-06-26
3542660,actual cost,實際成本,,,2018-06-26
3542661,actual cost method,實際成本法,,实际成本法,2018-06-26
3542662,actual costing,實際成本法,,,2018-06-26
