ID,英文名稱,中文名稱,圖片,中國大陸譯名,類別,更新日期
1824012,360-degree appraisal,360度評估,,,,2013-05-01
1824013,ABC inventory planning,ABC庫存規劃,,,,2013-05-01
1824015,acceptance theory,接受理論,,,,2013-05-01
1824017,accounting,會計,,,,2013-05-01
1824018,accounting cycle,會計循環,,,,2013-05-01
1824019,accounts payable,應付帳款,,,,2013-05-01
1824020,achievement,成就,,,,2013-05-01
1824021,acquisition,購併；取才,,,,2020-04-09
1824022,action learning,行動學習,,,,2013-05-01
1824023,action plan of objectives,目標行動計畫,,,,2013-05-01
1824024,activation theory,起動理論,,,,2013-05-01
1824025,active listening,主動傾聽,,,,2013-05-01
1824027,ADL matrix,ADL矩陣,,,,2013-05-01
1824028,administered distribution system,管理配銷系統；管理配銷制度；管理分配系統；管理分配制度,,,,2013-05-01
1824029,administrative management,行政管理,,,,2013-05-01
1824030,advertising,廣告,,,,2013-05-01
1824031,affection power,感情權,,,,2013-05-01
1824032,affective response,情感反應；感情反應,,,,2013-05-01
1824033,affiliation,隸屬,,,,2013-05-01
1824034,affirmative action,平權行動,,,,2013-05-01
1824037,agent theory,代理理論,,,,2013-05-01
1824038,all channel network,全面通路網絡,,,,2013-05-01
1824039,allocative efficiency,配置效率,,,,2013-05-01
1824040,alternative,備選方案；備案,,,,2013-05-01
1824041,analytical hierarchical analysis{=AHP},層級程序分析法,,,,2013-05-01
1824042,angel fund,天使基金,,,,2013-05-01
1824043,angel investor,天使投資人,,,,2013-05-01
1824044,annual report,年度報告,,,,2013-05-01
1824045,application software,應用軟體；應用軟件,,,,2013-05-01
1824046,application system,應用系統；應用制度,,,,2013-05-01
1824047,applied decision theory,應用決策理論,,,,2013-05-01
1824048,applied research,應用研究,,,,2013-05-01
1824049,appraisal,評估,,,,2013-05-01
1824050,appreciative inquiry,肯定式探尋,,,,2013-05-01
1824051,apprentice program,實習計畫；學徒計畫,,,,2013-05-01
1824052,aptitude test,性向測驗,,,,2013-05-01
1824053,arithmetic,算術單位,,,,2013-05-01
1824054,artificial intelligence {=AI},人工智慧,,,,2020-03-25
