ID,英文名稱,中文名稱,圖片,更新日期
720656,Paranoia erotica,情慾妄想狂，情慾偏狂,,2012-11-26
720657,Paranoia acuta,急性妄想狂，急性偏狂,,2012-11-26
720658,Paranoia abortiva; Abortive paranoia,頓挫性妄想狂，頓挫性偏狂,,2012-11-26
720659,Paramusia,音律不調症，歌唱倒錯,,2012-11-26
720660,Paramnesia,記憶異常，記憶錯誤,,2012-11-26
720661,Paramimia,表情倒錯，擬態不倫,,2012-11-26
720662,Paralogia; Ganser's symptom,論理倒錯，當意即答，Ganser氏病徵,,2012-11-26
720663,Paralipophobia,疏忽恐怖,,2012-11-26
720664,Paralgesia,痛覺倒錯,,2012-11-26
720665,Parakinesis,運動倒錯，動作倒錯,,2012-11-26
720666,Parageusia; Parageusis,味覺倒錯,,2012-11-26
720667,Paradoxia sexualis,性慾違期，非時性慾,,2012-11-26
720668,Paracusis; Paracusia; Disordered hearing,聽覺錯誤，誤聽,,2012-11-26
720669,Parabulia,意志倒錯,,2012-11-26
720670,Paracusis loci; Paracusia localis,方向誤聽,,2012-11-26
720671,Pantophobia; Universal dread; Panophobia; Panphobia,普汎性恐怖,,2012-11-26
720672,Pantomimia,全部表情,,2012-11-26
720673,Panphagia,濫食癖,,2012-11-26
720674,Oxyosphresia; Oxyosphrasia,嗅覺銳敏，銳嗅,,2012-11-26
720675,Oxyopsia; Oxyblepsia; Oxydercia; Acuteness of sight,視覺敏銳，銳視,,2012-11-26
720676,Oxygeusia,味覺銳敏，銳味,,2012-11-26
720677,Oxyaphia,觸覺銳敏，銳觸,,2012-11-26
720678,Oxyacusis; Oxyecoia,聽覺銳敏，銳聽,,2012-11-26
720679,Overconsciousness,[過]顯意識，顯覺，神志過顯,,2012-11-26
720680,Osteophagia,食骨癖,,2012-11-26
720681,Osmedysphoria; Dysodia,嫌香覺,,2012-11-26
720682,Orientation,定向力,,2012-11-26
720683,Orgasm,極度性樂，性的極樂,,2012-11-26
720684,Orexis; Appetite; Desire for food,食慾,,2012-11-26
720685,Orchestromania,隊樂癖，管弦樂癖,,2012-11-26
720686,Optical amusia; Note-blindness; Musical alexia,視覺性樂歌不能，視覺性音樂不能，樂譜盲，音樂性失讀症,,2012-11-26
720687,Opposition,反抗，反對,,2012-11-26
720688,Opiomania; Opium-habit,鴉片癖，鴉片癮,,2012-11-26
720689,Ophthalmophobia,被注視恐怖,,2012-11-26
720690,Onomatomania,稱名癖,,2012-11-26
720691,Ophiophobia; Fear of snakes,蛇恐怖，恐蛇症,,2012-11-26
720692,Oniomania; Buying mania,購買癖,,2012-11-26
720693,Oneirodynia,痛夢,,2012-11-26
720694,Onanism; Masturbation; Self-abuse; Manustupration,手淫，自淫,,2012-11-26
720695,Oligophrenia,精神發育停頓，精神幼稚,,2012-11-26
720696,Olfactory perception; Olfactus,嗅覺,,2012-11-26
720697,Olfactory illusion,嗅錯覺，錯嗅,,2012-11-26
720698,Olfactory hallucination; Pseudosmia; Pseudosphresia,嗅幻覺，幻嗅,,2012-11-26
720699,Olfactio colorata,嗅氣覺色，聞香辨色,,2012-11-26
720700,Oikophobia; Ecophobia,家室恐怖,,2012-11-26
720701,Ochlophobia,群眾恐怖,,2012-11-26
720702,Occupation-delirium,作業性譫妄，職業性譫妄,,2012-11-26
720703,Occupation neurosis; Professional neurosis,作業神經病，職業性神經病,,2012-11-26
720704,Nymphomania; Andromania; Cytheromania; Hysteromania; Ovariomania; Metromania; Furor uterinus; Furor femininus; Thelygonia,女子淫狂，求雄癖，慕男狂,,2012-11-26
720705,Nyctalopia; Nyctamblopia; Nyctotyphlosis; Night-blindness; Day-vision,夜盲，晝視症,,2012-11-26
720706,Nostalgia; Home-sickness,懷鄉病，鄉思苦，思家病,,2012-11-26
720707,Nosomania,罹病妄想,,2012-11-26
720708,Noctiphobia; Nyctophobia,黑夜恐怖,,2012-11-26
720709,Night-mare,夢魘,,2012-11-26
720710,Neurosis due to fright,驚嚇〔性〕神經病,,2012-11-26
720711,Neurosis,神經[官能]病,,2012-11-26
720712,Neuropsychosis,神經精神病,,2012-11-26
720713,Neurasthenic insanity,神經衰弱性精神病,,2012-11-26
720714,Neurasthenia; Nervous exhaustion,神經衰弱,,2012-11-26
720715,Neurasthenia vasomotoria; Vasomotor neurasthenia,血管運動[性]神經衰弱,,2012-11-26
720716,Neurasthenia universalis,一般神經衰弱，普遍性神經衰弱,,2012-11-26
720717,Neurasthenia sympathica,交感[性]神經衰弱,,2012-11-26
720718,Neurasthenia spinalis; Spinal neurasthenia; Spinal irritation,脊髓[性]神經衰弱,,2012-11-26
720719,Neurasthenia sexualis; Sexual neurasthenia,性慾[性]神經衰弱,,2012-11-26
720720,Neurasthenia gastrica; Gastric neurasthenia,胃[性]神經衰弱,,2012-11-26
720721,Neurasthenia cordis; Cardiac neurasthenia,心臟[性]神經衰弱,,2012-11-26
720722,Neurasthenia cerebrospinalis; Cerebrospinal neurasthenia,腦脊髓[性]神經衰弱,,2012-11-26
720723,Neurasthenia cerebralis; Cerebral neurasthenia,腦[性]神經衰弱,,2012-11-26
720724,Nervosity ; Excessive nervousness,神經質，神經不安,,2012-11-26
720725,Neologism; Onomatolalia; Onomatopoiesis,新語症,,2012-11-26
720726,Necrophobia,屍體恐怖，死亡恐怖,,2012-11-26
720727,Negativism,拒絕症，違拗，消極主義,,2012-11-26
720728,Necrophagy,食屍癖,,2012-11-26
720729,Necrophilism; Necrophilia; Necromania,戀屍慾，戀屍癖,,2012-11-26
720730,Necromimesis,死亡妄想,,2012-11-26
720731,Narcomania; Narcotic drug habit,麻醉劑癖,,2012-11-26
720732,Narcolepsy; Hypnolepsy,發作性睡病，麻醉樣昏睡，催眠樣昏睡,,2012-11-26
720733,Narcissism,自體觀窺慾，自愛慾,,2012-11-26
720734,Narcism,肉體觀窺慾,,2012-11-26
720735,Myxedematous insanity,粘液水腫性精神病,,2012-11-26
720736,Myxedematous infantilism,粘液水腫性幼兒型，粘液水腫性幼稚性,,2012-11-26
720737,Mysophobia; Rhypophobia,不潔恐怖，被汚恐怖,,2012-11-26
720738,Myodesopsia; Muscae volitantes ,飛蠅幻視,,2012-11-26
720739,Mutism; Mutacism,緘默症，不言症,,2012-11-26
720740,Musomania; Musicomania,音樂癖，音樂迷,,2012-11-26
720741,Multiple personality; Disintegrated personality,多重人格，分裂人格,,2012-11-26
720742,Motorial amusia; Tone-dumbness,運動性樂歌不能，運動性音樂不能，樂歌啞,,2012-11-26
720743,Morphinomania; Morphinism; Morphine-habit,嗎啡癖，嗎啡癮,,2012-11-26
720744,Moria; Childlike dementia; Puerilism,童樣失智,,2015-01-21
720745,Morbid personality; Disordered personality,病的人格，病性人格,,2012-11-26
720746,Moral insanity,悖德精神病,,2012-11-26
720747,Moral dementia,悖德失智,,2015-01-21
720748,Mood; Humor,心境,,2012-11-26
720749,mood,心情，內情,,2012-11-26
720750,Monopsychosis; Monomania,偏僻性精神病,,2012-11-26
720751,Monophobia,獨居恐怖，單身恐怖,,2012-11-26
720752,Monomania,單狂，偏癖,,2012-11-26
720753,Monoideaism; Monoideism,孤獨意想,,2012-11-26
720754,Mongolism; Mongoloid idiocy; Mongolian idiocy,蒙古種型[白癡]，蒙古種狀態,,2012-11-26
720755,Molysmophobia,傳染恐怖,,2012-11-26
720756,Mnemasthenia; Memory weakness; Lapsus memoriae,記憶力薄弱,,2012-11-26
720757,Mixoscopia; Mixoscopy; Voyeur,幽會觀窺慾，窺伺慾，窺淫狂,,2012-11-26
720758,Mistrust,懷疑，不信,,2012-11-26
720759,Misopsychia,嫌忌症,,2012-11-26
720760,Misoponia,嫌服勞症，服勞嫌忌,,2012-11-26
720761,Misopedia; Hatred of child,嫌子女症,,2012-11-26
720762,Misoneism; Hatred of new ideas,嫌新思想症，新思想嫌忌,,2012-11-26
720763,Misology; Misologia,嫌論症，論理嫌忌，厭辯症,,2012-11-26
720764,Misogyny; Misogenia; Hatred of women,嫌婦症，嫌女症,,2012-11-26
720765,Misogamia; Hatred of marriage,嫌婚症，結婚嫌忌,,2012-11-26
720766,Misocosmia,嫌粧症，化粧嫌忌,,2012-11-26
720767,Misapprehension,誤會，領會錯誤,,2012-11-26
720768,Misandry; Hatred of males,嫌男症,,2012-11-26
720769,Misanthropia; Misanthropy,嫌人症,,2012-11-26
720770,Mindlessness,精神缺失,,2012-11-26
720771,Mind-deafness; Psychic deafness; Mental deafness; Auditory amnesia,精神[性]聾，意聾,,2012-11-26
720772,Mind-blindness; Psychic blindness; Mental blindness; Visual amnesia,精神[性]盲，意盲,,2012-11-26
720773,Mimics; Mimicry,表情，擬態,,2012-11-26
720774,Mild delirium,緩和性譫妄,,2012-11-26
720775,Micropsia,視物顯小症,,2012-11-26
720776,Microphobia,微生物恐怖,,2012-11-26
720777,Micromania,縮小妄想,,2012-11-26
720778,Microesthesia,觸物顯小症，觸覺感小症,,2012-11-26
720779,Metaphysical mania; Questioning mania,穿鑿癖，問難癖,,2012-11-26
720780,Metamorphopsia; Distorted vision,視物變形症,,2012-11-26
720781,Metallophobia,金屬恐怖,,2012-11-26
720782,Merinthophobia,被縛恐怖,,2012-11-26
720783,Mental weakness; Weakness of mind,精神薄弱,,2012-11-26
720784,Mental vacancy,精神空虛,,2012-11-26
720785,Mental torpor,精神凝滯,,2012-11-26
720786,Mental stimulation,精神激發,,2012-11-26
720787,Mental rest; Mental repose,精神安寧，精神休養,,2012-11-26
720788,Mental poverty,精神貧乏,,2012-11-26
720789,Mental paralysis,精神麻痺,,2012-11-26
720790,Mental overstrain,精神過勞,,2012-11-26
720791,Mental laxness,精神懈弛,,2012-11-26
720792,Mental insufficiency; Mental deficiency,精神不全,,2012-11-26
720793,Mental inferiority,精神低賤，天分卑劣,,2012-11-26
720794,Mental indolence,精神怠惰,,2012-11-26
720795,Mental flash,精神倏振，急智,,2012-11-26
720796,Mental exertion; Mental strain,精神努勉，精神奮發,,2012-11-26
720797,Mental excitement,精神興奮,,2012-11-26
720798,Mental dullness,精神鈍木,,2012-11-26
720799,Mental anomaly,精神異常,,2012-11-26
720800,Memory,記憶,,2012-11-26
720801,Melancholia simplex,單純性憂鬱病,,2012-11-26
720802,Melancholia senilis; Senile melancholia,老年憂鬱病,,2012-11-26
720803,Melancholia religiosa; Religious melancholia,宗教性憂鬱病，天譴憂鬱病,,2012-11-26
720804,Melancholia puerperale; Puerperal melancholia,產後憂鬱病,,2012-11-26
720805,Melancholia praesenilis; Praesenile melancholia; Involutional melancholia,初老期憂鬱病，衰退性憂鬱病,,2012-11-26
720806,Melancholia persecutionis,被追性憂鬱病,,2012-11-26
720807,Melancholia of fear,恐怖〔性〕憂鬱病,,2012-11-26
720808,Melancholia nostalgica,懷鄉性憂鬱病,,2012-11-26
720809,Melancholia misanthropica,嫌人性憂鬱病,,2012-11-26
720810,Melancholia metamorphosis,變形性憂鬱病,,2012-11-26
720811,Melancholia menstrualis; Menstrual melancholia,經期憂鬱病,,2012-11-26
720812,Melancholia hypochondrica,疑病性憂鬱病,,2012-11-26
720813,Melancholia errabunda,迷走性憂鬱病,,2012-11-26
720814,Melancholia climacterica; Climacteric melancholia,經絕期憂鬱病,,2012-11-26
