ID,英文名稱,中文名稱,圖片,更新日期
433935,dynamited silk,加重絲綢,,2012-11-26
433936,dynamic response,動態響應,,2012-11-26
433937,dynamic recovery,動態回復,,2012-11-26
433938,dynamic modulus,動態模數,,2012-11-26
433939,dynamic load test,動態負荷試驗,,2012-11-26
433940,dynamic friction,動摩擦,,2012-11-26
433941,dynamic characteristics,動態特性,,2012-11-26
433942,dynamic buckling,動態座屈,,2012-11-26
433943,dynamic balancing,動態平衡,,2012-11-26
433944,dynamic absorption,動態吸著，著色率,,2012-11-26
433945,dye-works,染廠,,2012-11-26
433946,dyewood extract,植物性染料,,2012-11-26
433947,dyewood,染料木(含染料之植物),,2012-11-26
433948,dyestuff,染料,,2012-11-26
433949,dyestain,染漬，染斑,,2012-11-26
433950,dye-resistant,防染,,2012-11-26
433951,dye-receptive property,染料吸收性,,2012-11-26
433952,dyer,染色者,,2012-11-26
433953,Dye-Ometer,染色試驗機,,2012-11-26
433954,dyeometer,上色率試驗機,,2012-11-26
433955,dyeing speck,染斑,,2012-11-26
433956,dyeing process,染色工程,,2012-11-26
433957,dyeing power,上色力,,2012-11-26
433958,dyeing parameter,染色參數,,2012-11-26
433959,dyeing manual,染色手冊,,2012-11-26
433960,dyeing machine,染布機,,2012-11-26
433961,dyeing in width,開幅染色,,2012-11-26
433962,dyeing house,染色工廠,,2012-11-26
433963,dyeing equilibrium,染色平衡,,2012-11-26
433964,dyeing defect,染色瑕疵,,2012-11-26
433965,dyeing assistant,染色助劑,,2012-11-26
433966,dyeing and finishing plant,染整廠,,2012-11-26
433967,dyeing affinity,染色親合性,,2012-11-26
433968,dyeing ability,上色性,,2012-11-26
433969,dyeing,染色,,2012-11-26
433970,dye-fixing agent,固定染料助劑,,2012-11-26
433971,dyed yarn,染色紗,,2012-11-26
433972,dyed style printing,色底印花,,2012-11-26
433973,dyed shirting,染色襯衫布,,2012-11-26
433974,dyed goods,染色布,,2012-11-26
433975,dye-boarding,染前定型，染前整燙,,2012-11-26
433976,dyebath,染浴,,2012-11-26
433977,dyeability,染色性,,2012-11-26
433978,dye vat,染液槽,,2012-11-26
433979,dye uptake,上色率，著色率,,2012-11-26
433980,dye pan,染液盤,,2012-11-26
433981,dye liquor,染液,,2012-11-26
433982,dye leveller,均染劑,,2012-11-26
433983,dye house,染料間，染廠,,2012-11-26
433984,dye fastness test,染色堅牢度試驗,,2012-11-26
433985,dye,染料,,2012-11-26
433986,dwell-up,綜絖靜止,,2012-11-26
433987,dwell period,踏綜時間，踏盤休止時間,,2012-11-26
433988,dwell of cam,踏綜弧，踏盤靜止弧，偏心輪靜止弧,,2012-11-26
433989,dwell,靜止，暫停；貯存,,2012-11-26
433990,duvetyn,長毛絲絨,,2012-11-26
433991,duvet,鵠或雁類絨毛褥墊,,2012-11-26
433992,Dutch tape,亞麻帶(英國產),,2012-11-26
433993,Dutch carpeting,荷蘭地毯,,2012-11-26
433994,duster,防塵長外套,,2012-11-26
433995,dust flue,塵道,,2012-11-26
433996,dust chamber,集塵室,,2012-11-26
433997,durometer,硬度計,,2012-11-26
433998,durable setting,永久定型,,2012-11-26
