ID,英文名稱,中文名稱,圖片,更新日期
588,Rickettsia quintana ; Rickettsia wolhynica,五日熱病原體,,2012-11-26
834,Mucedinaceae,稻熟病菌科,,2012-11-26
970,Medium,媒介者,,2012-11-26
1125,Hot air sterilizer ; Dry heat sterilizer,乾熱滅菌器,,2012-11-26
1142,Heterocytolysin,異族溶細胞素；細胞自溶素,,2017-07-25
1357,Dermacentroxenus rickettsii ; Rickettsia rickettsii,落磯山熱小體，美國斑疹傷寒病原體,,2012-11-26
205657,Clilium or flagellum staining,鞭毛染色,,2012-11-26
205660,Clearing reagent,透明劑,,2012-11-26
205662,Cladotricheae,分枝絲菌科,,2012-11-26
205664,Cladothrix thermophile,嗜熱分枝絲菌,,2012-11-26
205667,Cladothrix odorifera,芳香分枝絲菌,,2012-11-26
205668,Cladothrix natans ; Sphaerotilus natans,游泳分枝絲菌,,2012-11-26
205671,Cladothrix dichotoma,岐分枝絲菌,,2012-11-26
205675,Cladothrix ; Sphaerotilus,分枝絲菌屬,,2012-11-26
205677,Chymosmogen,凝酪酵素原,,2012-11-26
205678,Citochol reaction ; Sachs-Witebsky test,快速梅毒反應,,2012-11-26
205682,Chromophoric bacteria,著色菌，具色菌,,2012-11-26
205684,Chromogenic sarcina,產色八叠菌,,2012-11-26
205686,Chromogenic bacteria,產色菌,,2012-11-26
205688,Chromatolysis ; Axon reaction,色原溶解,,2012-11-26
205691,Chromatin,核染質,,2012-11-26
205692,Cholin,膽汁贗鹼，膽素(從化),,2012-11-26
205693,Choleraplasmin,霍亂菌胞漿,,2012-11-26
205696,Cholera toxin ; Cholera poison,霍亂菌毒素,,2012-11-26
205697,Chlamydozoa,包藏小體，衣原動物,,2012-11-26
205698,Cholera red reaction,霍亂紅反應,,2012-11-26
205702,Chlamydothrix ferruginea ; Gallionella ferruginea,鐵銹色披毛菌,,2012-11-26
205704,Chief agglutiongen,主凝集願,,2012-11-26
205707,Chicken cholera serum ; Fowl cholera serum,雞霍亂血清,,2012-11-26
205708,Chemotherapy ; Chemotherapeutics,化學療法,,2012-11-26
205710,Chemotaxis ; Chemiotaxis,趨化性,,2012-11-26
205713,Chemoceptor ; Chemoreceptor,化學品受體,,2012-11-26
205714,Central spore,中央芽胞,,2012-11-26
205717,Cellulase,纖維酵素（從化）,,2012-11-26
205719,Cell-substance,細胞質,,2012-11-26
205721,Cause of infection,傳染原因,,2012-11-26
205723,Cattle plague serum ; Rinder pest serum,牛疫血清,,2012-11-26
