ID,英文名稱,中文名稱,圖片,更新日期
3645467,"""less than"" cumulative frequency table",以下累積次數表,,2019-01-10
3645468,"""more than"" cumulative frequency table",以上累積次數表,,2019-01-10
3645469,(bio)sequence analysis,(生物)序列分析,,2019-01-10
3645470,10-90 percentile range,10至90百分位距,,2019-01-10
3645471,a posteriori comparisons,事後比較,,2019-01-10
3645472,a priori comparisons,事前比較,,2019-01-10
3645473,a priori probability,事前機率,,2019-01-10
3645474,A statistical package for exact nonparametric inference (StatXact),StatXact統計軟體,,2019-01-10
3645475,Aalen-Johansen estimator,Aalen-Johansen估計量,,2019-01-10
3645476,Aalen's linear regression model,Aalen線性迴歸模型,,2019-01-10
3645477,Abbe criterion,Abbe準則,,2019-01-10
3645478,Abbe-Helmert criterion,Abbe-Helmert準則,,2019-01-10
3645479,Abbot's formula,Abbot公式,,2019-01-10
3645480,ABC standard (MIL-STD-105E),美、英、加軍用抽樣計畫標準,,2019-01-10
3645481,Abelson-Tukey score test,Abelson-Tukey計分檢定,,2019-01-10
3645482,ability parameter,能力參數,,2019-01-10
3645483,abnormal curve,非常態曲線,,2019-01-10
3645484,abnormality,非常態性,,2019-01-10
3645485,abridged life table,簡易生命表,,2019-01-10
3645486,abrupt change,突變,,2019-01-10
3645487,abrupt distribution,突出分布,,2019-01-10
3645488,absolute continuity,絕對連續性,,2019-01-10
3645489,absolute deviation,絕對離差,,2019-01-10
3645490,absolute difference,絕對差量,,2019-01-10
3645491,absolute dispersion,絕對離散,,2019-01-10
3645492,absolute efficiency,絕對效率；絕對有效性,,2019-01-10
3645493,absolute efficiency of estimator,估計量的絕對效率；估計量的絕對有效性,,2019-01-10
3645494,absolute error,絕對誤差,,2019-01-10
3645495,absolute frequency,絕對次數,,2019-01-10
3645496,absolute measure,絕對量數,,2019-01-10
3645497,absolute moment,絕對動差,,2019-01-10
3645498,absolute normal scores test,絕對常態計分檢定,,2019-01-10
3645499,absolute risk,絕對風險,,2019-01-10
3645500,absolute threshold,絕對臨界,,2019-01-10
3645501,absolute variation,絕對變異,,2019-01-10
3645502,absolutely unbiased estimator,絕對不偏估計量,,2019-01-10
3645503,absorbing barrier,吸收界限,,2019-01-10
3645504,absorbing Markov chain,吸收馬可夫鏈,,2019-01-10
3645505,absorbing region,吸收域,,2019-01-10
3645506,absorbing state,吸收狀態,,2019-01-10
3645507,absorption coefficient,吸收係數,,2019-01-10
3645508,absorption distribution,吸收分布,,2019-01-10
3645509,absorption law,吸收律,,2019-01-10
3645510,abundance matrix,豐富度矩陣,,2019-01-10
3645511,accelerated factor,加速因子,,2019-01-10
3645512,accelerated failure time model,加速故障時間模型,,2019-01-10
3645513,accelerated hazards model,加速風險模型,,2019-01-10
3645514,accelerated life test,加速壽命試驗,,2019-01-10
3645515,accelerated life testing,加速壽命試驗,,2019-01-10
3645516,accelerated stochastic approximation,加速隨機逼近,,2019-01-10
3645517,accelerated test,加速試驗,,2019-01-10
3645518,acceleration by powering,乘冪加速,,2019-01-10
3645519,acceptable process level,允收製程水準,,2019-01-10
3645520,acceptable quality,允收品質,,2019-01-10
3645521,acceptable quality level (AQL),允收品質水準,,2019-01-10
3645522,acceptable reliability level (ARL),允收可靠度水準,,2019-01-10
3645523,acceptable risk,可接受風險,,2019-01-10
3645524,acceptance,允收；驗收,,2019-01-10
3645525,acceptance boundary,接受界限；允收界限,,2019-01-10
3645526,acceptance coefficient,允收係數,,2019-01-10
3645527,acceptance control chart,允收管制圖,,2019-01-10
3645528,acceptance control limit,允收管制界限,,2019-01-10
3645529,acceptance criterion,接受準則；允收準則,,2019-01-10
3645530,acceptance error,允收誤差；第二型誤差,,2019-01-10
3645531,acceptance inspection,允收檢驗,,2019-01-10
3645532,acceptance limit,允收界限,,2019-01-10
3645533,acceptance line,允收界線,,2019-01-10
3645534,acceptance number,允收數,,2019-01-10
3645535,acceptance region,接受域；允收域,,2019-01-10
3645536,acceptance sampling,允收抽樣,,2019-01-10
3645537,acceptance sampling by attributes,屬性允收抽樣；計數值允收抽樣,,2019-01-10
