ID,英文名稱,中文名稱,圖片,更新日期
5311,Quality,品質,,2012-11-26
5441,Propensity to import,輸入傾向,,2012-11-26
5493,Product space,產品空間,,2012-11-26
5702,Predict,預測,,2012-11-26
6056,Parallelogram law,平行四邊形法則,,2012-11-26
6351,Off-the-equilibrium path behavior,均衡外路徑行為,,2012-11-26
6400,Occupational disease,職業病,,2012-11-26
6403,Occupation,職業,,2012-11-26
6406,Obsolescence,廢棄；過時,,2012-11-26
6621,Nonhuman capital,非人力資本,,2012-11-26
6686,Noise-to-signal ratio,干擾對訊息比,,2012-11-26
6721,Newly industrializing economics,新工業化經濟體,,2012-11-26
6736,New entrants,新進者,,2012-11-26
6773,Nested logit model,巢式羅吉特機率模型,,2012-11-26
6901,Nash program,奈許計劃,,2012-11-26
6993,Multiple-input transfer function model,多元投入轉換函數模型,,2012-11-26
66285,Multiple commodities,組合商品,,2012-11-26
66287,Multiple causes,多元因果,,2012-11-26
66288,Multiple basing-point system,多重基點制度,,2012-11-26
66291,Multiple ARMA process,多元自我迴歸移動平均過程,,2012-11-26
66293,Multi-plant operation,多工廠運作,,2012-11-26
66294,Multiperiod wage offers,多期工資出價,,2012-11-26
66296,Multiperiod labor demand,多期勞動需求,,2012-11-26
66298,Multiperiod analysis,多期分析,,2012-11-26
66299,Multipart pricing,多重訂價,,2012-11-26
66301,Multi-part model,多部門模型,,2012-11-26
66303,Multinomial probit model,多項式常態機率模型,,2012-11-26
66304,Multinomial probability function,多項機率函數,,2012-11-26
66306,Multinomial experiment,多項試驗,,2012-11-26
66308,Multinomial distribution,多項分配,,2012-11-26
66309,Multinomial choice model,多項式選擇模型,,2012-11-26
66311,Multinational labor relations,多國籍企業的勞資關係,,2012-11-26
66312,Multinational firms,跨國廠商,,2012-11-26
66313,Multinational enterprise,多國籍企業,,2012-11-26
66316,Multinational Corporation (MNC),多國籍公司；跨國公司,,2012-11-26
66317,Multimarket contact,多市場關連,,2012-11-26
66318,Multimarket behavior,多市場行為,,2012-11-26
66321,Multilateral trade,多邊貿易,,2012-11-26
66322,Multilateral Assistance Agency,多邊援助機構,,2012-11-26
66324,Multifiber arrangement,多邊纖維協定,,2012-11-26
66326,Multifactor model,多要素模型,,2012-11-26
66328,Multidivisonal-form (Mform) firm,多部門型態廠商,,2012-11-26
66330,Multicountry trade,多國貿易,,2012-11-26
66331,Multicommodity trade,多貨貿易,,2012-11-26
66332,Multicollinearity,線型重合,,2012-11-26
66334,Multi-agent sysetm,多元決策者系統,,2012-11-26
66337,Moving average process,移動平均過程,,2012-11-26
