ID,英文名稱,中文名稱,圖片,更新日期
127166,Serpentine-fused phosphate,蛇紋石熔磷肥,,2012-11-26
127167,Serpentine,蛇紋石,,2012-11-26
127168,Serpentine superphosphate,蛇紋石過磷酸鈣,,2012-11-26
127169,Serpek process,攝氏法,,2012-11-26
127170,Septic tank,腐化池,,2012-11-26
127171,Separator,分離器,,2012-11-26
127172,Sensitive plant,含羞草,,2012-11-26
127173,Selective absorption,選擇吸收,,2012-11-26
127174,Segregation,分離性,,2012-11-26
127175,Sedimentary phosphate,水成磷礦石,,2012-11-26
127176,Secondary fertilizer component,次要肥料成分,,2012-11-26
127177,Secondary essential element,次量要素,,2012-11-26
127178,Seal guano,海豹糞肥,,2012-11-26
127179,Sea weed,海藻,,2012-11-26
127180,Scrubbing tower,滌氣塔,,2012-11-26
127181,Scrubber,滌氣器,,2012-11-26
127182,Serradella,舍得拿,,2012-11-26
127183,Screening area,有效篩面,,2012-11-26
127184,Screen analysis,篩分,,2012-11-26
127185,Screen,篩,,2012-11-26
127186,Scraper,刮刀,,2012-11-26
127187,Schoenite（同 Picro-merite）,輭鉀鎂礬,,2012-11-26
127188,Scda slag,含鈉熔渣,,2012-11-26
127189,Sawdust,木屑,,2012-11-26
127190,Sand vetch,砂性大巢菜,,2012-11-26
127191,Sand culture,砂培,,2012-11-26
127192,Saltpeter，saltpetre（同 Niter）,硝石，鉀硝,,2012-11-26
127193,Russian vetch（同 Sand vetch）,砂性大巢菜,,2012-11-26
127194,Run-of-pile superphosphate,粗製過磷酸鈣,,2012-11-26
127195,Rough ammoniates（同 Organic ammoniates）,天然有機氮肥,,2012-11-26
127196,Rotation,輸作,,2012-11-26
127197,Rotary kiln,旋窯,,2012-11-26
127198,Rotary granulator,旋轉粒化機,,2012-11-26
127199,Rotary fiter press,旋轉壓濾機,,2012-11-26
127200,Rotary filter,旋轉過濾機,,2012-11-26
127201,Rotary dryer,旋轉乾燥機,,2012-11-26
127202,Rotary crusher,旋轉軋碎機,,2012-11-26
127203,Rotary acid feeder,旋轉給酸器,,2012-11-26
127204,Rotary feeder,旋轉給料器,,2012-11-26
127205,Roscoelite,釩雲母,,2012-11-26
127206,Root nodule bacteria,根瘤菌,,2012-11-26
127207,Rock phosphate,磷礦石，岩質磷礦石,,2012-11-26
