ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21367051,"2,3-dimercapto-1-propanesulfonic acid",二硫醇丙磺酸,<p>Heavy metal antagonists</p>,<p>2024.11.22</p>,
21367052,abacavir,環丙胺腺韋爾,<p>Antivirals：Nucleoside analog reverse-transcriptase inhibitors (NARTIs or NRTIs)</p>,<p>2024.11.22</p>,
21367053,abemaciclib,倍滅週素靶泊；哌氟苯咪唑週素靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367054,abiraterone,吡雄二烯,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367055,acalabrutinib,奧卡淋靶泊；吡胺醯胺炔淋靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367056,acebutolol,艾舒飆落；乙醯丁醯胺洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],2024.11.22,
21367057,acetazolamide,乙醯唑醯胺；乙醯噻唑磺醯胺,Antiglaucoma agents：Carbonic anhydrase inhibitors,2024.11.22,
21367058,aciclovir,非環疱韋爾；非環鳥疱韋爾,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,2024.11.22,
21367059,acrisorcin,吖啶胺-己雷瑣辛；吖啶胺-己間苯二酚,Antifungals：Others,2024.11.22,
21367060,acyclovir,非環疱韋爾；非環鳥疱韋爾,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,2024.11.22,
21367061,adefovir,腺膦肝韋爾,Antivirals：Nucleotide analog reverse-transcriptase inhibitors (NtARTIs or NtRTIs),2024.11.22,
21367062,adefovir dipivoxil,腺膦肝韋爾戊酸酯,Antivirals：Nucleotide analog reverse-transcriptase inhibitors (NtARTIs or NtRTIs),2024.11.22,
21367063,adenosine,腺苷；腺核苷,Antiarrhythmics agents：Class IV antiarrhythmics,2024.11.22,
21367064,aerosporin,多黏桿菌素B；多黏桿菌肽B,Antibiotics：Polypeptides,2024.11.22,
21367065,afatinib,艾肺靶泊；鄰鹵胺呋肺靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367066,agomelatine,萘促褪黑素,Antidepressants：Others,2024.11.22,
21367067,albendazole ,泛苯咪唑；丙硫苯咪唑,Antiparasitics：Anthelmintics (antihelminthics),2024.11.22,
21367068,alectinib,艾力克肺靶泊；腈𠰌苯咔唑酮肺靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367069,alemtuzumab,艾斂妥擬單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367070,alfuzosin,艾芙挫欣；(四氫)呋醯丙二胺挫欣,Antihypertensives：Adrenergic agents,2024.11.22,
21367071,aliskiren,艾利抑腎素；苯辛醯胺抑腎素,Antihypertensives：Renin inhibitors,2024.11.22,
21367072,alpelisib,艾沛膦脂靶泊；氟吡噻唑咯啶膦脂靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367073,alprenolol,艾壓諾落；丙烯異丙洛,Antihypertensives：Adrenergic agents,2024.11.22,
21367074,alprostadil,前列酸E1；前列腺素E1,Prostaglandin analogues that are not used to treat glaucoma,2024.11.22,
21367075,amantadine,金剛烷胺,Antivirals：Uncoating inhibitors ,2024.11.22,
21367076,ambrisentan,羧甲內皮坦,Antihypertensives：Endothelin receptor antagonists,2024.11.22,
21367077,amikacin,胺醯康菌素；胺羥丁醯康絲菌素,Antibiotics：Aminoglycosides,2024.11.22,
21367078,amiloride,胺氯壓利,Antihypertensives：Diuretics,2024.11.22,
21367079,aminophylline ,茶鹼乙二胺鹽,Phosphodiesterase inhibitors：Methylated xanthines,2024.11.22,
21367080,aminosalicylic acid ,胺柳酸；胺水楊酸,Antimycobacterials,2024.11.22,
21367081,amiodarone,胺碘苯呋酮,Antiarrhythmics agents：Class III antiarrhythmics,2024.11.22,
21367082,amisulpride,胺碸必利；胺碸醯吡咯啶,Antiemetics：Dopamine antagonist,2024.11.22,
21367083,amitriptyline,二甲思定；三環丙烯二甲胺,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367084,amlodipine,胺氯啶平；胺乙氯啶平,Antihypertensives：Calcium channel blockers,2024.11.22,
21367085,amorolfine,戊苯丁𠰌啉,Antifungals：Allylamines,2024.11.22,
21367086,amoxicillin,胺酚苄西林 ,Antibiotics：Penicillins,2024.11.22,
21367087,"amphetamine, amfetamine",安非他命；苯異丙胺,Antidepressants：Norepinephrine–dopamine reuptake inhibitors (NDRI),2024.11.22,
21367088,amphotericin B ,節絲菌素B；節絲烯內酯,Antifungals：Polyenes,2024.11.22,
21367089,ampicillin,胺苄西林,Antibiotics：Penicillins,2024.11.22,
21367090,amprenavir,安沛韋爾；磺胺韋爾,Antivirals：Protease inhibitors,2024.11.22,
21367091,amrinone,胺聯吡酮,Phosphodiesterase inhibitors：PDE3 inhibitors,2024.11.22,
21367092,anastrozole,丁腈苄三唑；異丁腈苄三唑,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367093,anidulafungin,三聯苯醯棘白黴素,Antifungals：Echinocandins,2024.11.22,
21367094,apalutamide,艾泛鹵醯胺 ；氟吡丁內醯硫脲 ,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367095,aprepitant,艾瑞脾坦 ；唑酮氟必坦,Antiemetics：NK1 receptor antagonist,2024.11.22,
21367096,artemether,青蒿甲縮醛,Antiparasitics：Antiprotozoals,2024.11.22,
21367097,artemisinin ,青蒿素；青蒿內酯,Antiparasitics：Antiprotozoals,2024.11.22,
21367098,artesunate,青蒿縮醛酯；青蒿琥珀縮醛酯,Antiparasitics：Antiprotozoals,2024.11.22,
21367099,atazanavir,安泰韋爾；醯肼韋爾,Antivirals：Protease inhibitors,2024.11.22,
21367100,atenolol,艾坦諾落；乙醯胺丙洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],2024.11.22,
21367101,atezolizumab,艾剔擬單抗 ,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367102,atomoxetine,胺甲苯思汀；l-胺甲苯思汀,Antidepressants：Norepinephrine reuptake inhibitors (NRI),2024.11.22,
21367103,atovaquone,氯苯萘醌 ,Antiparasitics：Antiprotozoals,2024.11.22,
21367104,avapritinib,艾伐胃靶泊；氟吡咯三唑胃靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367105,avelumab,艾維單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367106,axitinib,揠剋腎靶泊；吡烯硫醚吲唑腎靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367107,azacitidine,氮胞苷,Antineoplastic agents：Antimetabolites,2024.11.22,
21367108,Azathioprine,唑硫嘌呤,<p>Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs) [Antineoplastic agents：Antimetabolites]</p>,<p>2024.11.22</p>,
21367109,azelastine,呔𠯤氮𠰢；氯苄呔𠯤氮𠰢,Antihistamines：H1-antihistamines,2024.11.22,
21367110,azilsartan,艾濟洒坦；㗁唑酮拮壓,Antihypertensives：Angiotensin II receptor antagonists (ARBs),2024.11.22,
