ID,英文名稱,中文名稱,圖片,審譯日期,來源,更新日期
5448313,1-hydroxy-2-naphthoic acid,1-羥基-2-萘甲酸；昔萘酸,,102.08.13,,2019-10-31
5448314,"3,5-dinitroanaline urea","3,5-二硝基苯胺脲",,108.04.25,,2019-10-31
5448315,"3,5-dinitrobenzoyl","3,5-二硝基苯甲醯基",,108.04.25,,2019-10-31
5448316,3D structure,三維結構,,102.12.05,,2019-10-31
5448317,6-deoxyhexoses,6-去氧己醣,,106.06.13,,2019-10-31
5448318,7-iodo-8-hydroxyquinoline-5-sulfonic acid,碘羥基喹啉磺酸,,101.04.12,,2019-10-31
5448319,Abbe refractometer,阿貝折射計,,102.03.14,中華無菌製劑協會,2019-10-31
5448320,abbreviated new drug application {=ANDA},簡化新藥申請,,107.01.18,Remington,2019-10-31
5448321,abirasterone acetate,阿比特龍乙酸酯,,107.10.18,,2019-10-31
5448322,abnormality,異常,,,,2019-10-31
5448323,aborticide,墮胎藥,,,,2019-10-31
5448324,abortient,墮胎藥,,,,2019-10-31
5448325,abortifacient,墮胎藥,,,,2019-10-31
5448326,abscess,膿腫；膿瘍,,,,2019-10-31
5448327,absence seizure,意識喪失型癲癇；失神型癲癇,,,,2019-10-31
5448328,absinthium,苦艾,,103.06.19,,2019-10-31
5448329,absolute alcohol,無水乙醇；絕對酒精,,,,2019-10-31
5448330,absolute bioavailability,絕對生體可用率,,,,2019-10-31
5448331,absolute configuration,絕對構型,,,,2019-10-31
5448332,absolute lethal concentration,絕對致死濃度,,,,2019-10-31
5448333,absolute lethal dose,絕對致死劑量,,,,2019-10-31
5448334,absorbable surgical suture,可吸收性外科縫線,,105.08.16,,2019-10-31
5448335,absorbance,吸光度,,,,2019-10-31
5448336,absorbance ratio,吸光度比,,,,2019-10-31
5448337,absorbance ratio method,吸光度比測定法,,,,2019-10-31
5448338,absorbent,吸收劑,,,,2019-10-31
5448339,absorbent cotton,脫脂棉；吸附棉,,,,2019-10-31
5448340,absorber,吸收劑,,,,2019-10-31
5448341,absorption,吸收,,,國編館,2019-10-31
5448342,absorption base,吸收基劑,,,,2019-10-31
5448343,absorption enhancer,吸收增進劑,,,,2019-10-31
5448344,absorption fraction,吸收分率,,,,2019-10-31
5448345,absorption of drug,藥物吸收,,,,2019-10-31
5448346,abstinence,禁斷,,101.12.12,國立編譯館,2019-10-31
5448347,abstinence reaction,戒斷反應,,,,2019-10-31
5448348,abstinence syndrome,禁斷症候群,,,,2019-10-31
5448349,abuse,濫用,,,,2019-10-31
5448350,acacia,阿拉伯膠,,101.02.09,,2019-10-31
5448351,acanthopanax root bark {Acanthopanacis Cortex},五加皮,,106.12.14,中醫藥,2019-10-31
5448352,acatalasia,過氧化氫酶缺乏症,,,,2019-10-31
5448353,accelerated stability test,安定性加速試驗,,,,2019-10-31
5448354,accelerated testing,加速試驗,,105.10.20,GMP,2019-10-31
5448355,accelerator,加速器,,103.11.20,GMP,2019-10-31
5448356,acceptable daily intake {=ADI},每日允許攝取量,,107.01.18,,2019-10-31
5448357,acceptable intake,容許攝取量,,106.11.09,ICH M7,2019-10-31
5448358,acceptable limit,容許限量,,106.11.09,ICH M7,2019-10-31
5448359,acceptance criteria,允收基準,,106.03.14,GMP,2019-10-31
5448360,acceptance sampling,允收抽樣,,104.06.11,Remington,2019-10-31
5448361,acceptor,受體,,,,2019-10-31
5448362,accumulative toxicity,蓄積毒性,,,,2019-10-31
5448363,accuracy,準確性,,103.11.20,GMP,2019-10-31
5448364,acetaminophen,乙醯胺酚,,,,
5448365,acetate-malonate pathway,乙酸-丙二酸途徑,,,,2019-10-31
5448366,acetate-mevalonate pathway,乙酸-甲基二羥戊酸途徑,,,,2019-10-31
5448367,acetic acid,乙酸,,107.05.14,通則試藥與溶液,2019-10-31
5448368,acetic anhydride,乙酐,,107.05.14,通則試藥與溶液,2019-10-31
5448369,acetone,丙酮,,107.05.14,通則試藥與溶液,2019-10-31
5448370,acetonitrile,乙腈,,107.05.14,通則試藥與溶液,2019-10-31
5448371,acetyl,乙醯,,106.06.13,,2019-10-31
5448372,acetylcholinesterase inhibitor,乙醯膽鹼酯酶抑制劑,,,,2019-10-31
5448373,achiral molecule,非手性分子,,,,2019-10-31
5448374,achyranthes root {Achyranthis Bidentatae Radix},牛膝,,103.06.19,中醫藥,2019-10-31
5448375,acid,酸,,,,2019-10-31
5448376,acid rebound,胃酸回彈,,102.03.14,中華無菌製劑協會,2019-10-31
5448377,acid value,酸價,,,,2019-10-31
5448378,acid-base balance,酸鹼平衡,,,,2019-10-31
5448379,acidic mucopolysaccharide,酸性黏多醣,,,,2019-10-31
5448380,acidified iodoplatinate solution,酸化碘鉑酸鹽溶液,,,,2019-10-31
5448381,acidifiers,酸化劑,,104.06.11,Remington,2019-10-31
5448382,acidifying agent,酸化劑,,,,2019-10-31
5448383,acid-insoluble ash,酸不溶性灰分,,,,2019-10-31
5448384,acidity,酸度,,,,2019-10-31
5448385,acid-neutralizing capacity,酸中和能力,,,,2019-10-31
5448386,Acidophilus,乳酸菌屬,,107.01.18,健康食品,2019-10-31
5448387,acidosis,酸中毒,,,,2019-10-31
5448388,aconite,烏頭；附子,,,國編館,2019-10-31
5448389,aconite root {Aconiti Lateralis Radix Praeparata},烏頭；附子,,106.12.14,中醫藥,2019-10-31
5448390,acorus root {Acori Tatarinowii Rhizoma},石菖蒲,,103.06.19,中醫藥,2019-10-31
5448391,acquired immune deficiency syndrome（AIDS）,後天免疫缺乏症候群；愛滋病,,,,
5448392,acquired immunodeficiency syndrome {=AIDS},後天免疫不全症候群 {愛滋病},,107.01.18,Remington,2019-10-31
5448393,acridine alkaloid,吖啶生物鹼,,,,2019-10-31
5448394,acrolein,丙烯醛,,102.03.14,中華無菌製劑協會,2019-10-31
5448395,acromegaly,肢端肥大症,,,,2019-10-31
5448396,actin,肌動蛋白,,,,2019-10-31
5448397,Actinomyces,放線菌屬,,107.01.18,,2019-10-31
5448398,actinophage,放線菌噬菌體,,107.01.18,,2019-10-31
5448399,action,作用,,,國編館,2019-10-31
5448400,action level,行動閾值,,105.10.20,GMP,2019-10-31
5448401,action limit,啟動門檻,,103.11.20,GMP,2019-10-31
5448402,action potential,動作電位,,101.11.14,中華無菌製劑協會,2019-10-31
5448403,activated carbon,活性碳,,104.09.10,Remington,2019-10-31
5448404,activated charcoal,活性碳,,104.09.10,Remington,2019-10-31
5448405,activation,活化,,,,2019-10-31
5448406,activation energy,活化能,,,,2019-10-31
5448407,activator,活化劑,,,,2019-10-31
5448408,active center,活性中心,,,,2019-10-31
5448409,active ingredient,活性成分,,,,2019-10-31
5448410,active pharmaceutical ingredients {=API},原料藥,,107.01.18,,2019-10-31
5448411,active principle,有效成分；活性成分,,,,2019-10-31
5448412,active site,活性部位,,,,2019-10-31
5448413,active substance,活性物質,,,,2019-10-31
5448414,active substance gas,氣體原料藥,,103.11.20,GMP,2019-10-31
5448415,active transport,主動運輸,,103.01.16,中華無菌製劑協會,2019-10-31
5448416,activity,活性,,,,2019-10-31
5448417,activity coefficient,活性係數,,104.06.11,Remington,2019-10-31
5448418,actuators,致動器,,104.06.11,Remington,2019-10-31
5448419,acupuncture,針灸,,104.06.11,Remington,2019-10-31
5448420,acute toxicity,急性毒性,,,,2019-10-31
5448421,acute toxicity classification,急性毒性分類,,,,2019-10-31
5448422,added qualifications process,附加驗證過程,,104.06.11,Remington,2019-10-31
5448423,addiction,成癮,,,,2019-10-31
5448424,Addison's disease,愛迪生氏病,,107.01.18,,2019-10-31
5448425,addition,加成,,,,2019-10-31
5448426,additive,添加物,,,,2019-10-31
5448427,additivity,加成性,,,,2019-10-31
5448429,adenyl cyclase,腺苷酸環化酶,,,,2019-10-31
5448430,adhesional force,黏著力,,107.01.18,Remington,2019-10-31
5448431,adhesive plaster,絆創膏,,,國編館,2019-10-31
5448432,adhesive tapes,貼布；膠布,,104.07.09,Remington,2019-10-31
5448433,adjuvants,佐劑,,101.02.09,,2019-10-31
5448434,administration,投藥；用藥；給藥,,102.05.13,,2019-10-31
5448435,administration route,投藥途徑；用藥途徑,,102.05.13,,2019-10-31
5448436,administration sets,投藥套件,,104.06.11,Remington,2019-10-31
5448437,administration time,投藥時間；用藥時間,,102.05.13,,2019-10-31
5448438,admixture,加藥配液,,,,2019-10-31
5448439,adrenal,腎上腺的,,104.06.11,Remington,2019-10-31
5448440,adrenal cortex,腎上腺皮質,,,,2019-10-31
5448441,adrenal medulla,腎上腺髓質,,,,2019-10-31
5448442,adrenal steroid,腎上腺類固醇,,,,2019-10-31
5448443,adrenalectomy,腎上腺切除術,,,,2019-10-31
5448444,adrenaline,腎上腺素,,,國編館,2019-10-31
5448445,adrenergic agonist,腎上腺素致效劑,,,,2019-10-31
5448446,adrenoceptor,腎上腺素受體,,,,2019-10-31
5448447,adrenocortical,腎上腺皮質的,,104.06.11,Remington,2019-10-31
5448448,adrenocortical hormones,腎上腺皮質激素,,,,2019-10-31
5448449,adrenocorticoids,腎上腺皮質激素類藥,,,,2019-10-31
5448450,adrenocorticotropic hormone {=ACTH},促腎上腺皮質激素,,107.01.18,,2019-10-31
5448451,adrenogenital symdrome,腎上腺性生殖器症候群,,107.01.18,,2019-10-31
5448452,adrenomimetics,擬腎上腺素劑,,,,2019-10-31
5448453,adrenoreceptor antagonist,腎上腺素受體拮抗劑,,,,2019-10-31
5448454,adrenoreceptor blocker,腎上腺素受體阻斷劑,,,,2019-10-31
5448455,adsorbate,被吸附物,,,,2019-10-31
5448456,adsorbent,吸附劑,,,,2019-10-31
5448457,adsorption,吸附,,,,2019-10-31
5448458,adulterant,摻雜物；偽藥,,,,2019-10-31
5448459,advance therapeutic medicinal products {=ATMP},新興治療藥品,,107.01.18,GMP,2019-10-31
5448460,adventitious virus,外源病毒；外來病毒,,103.11.20,GMP,2019-10-31
5448461,adverse drug reaction {=ADR},藥物不良反應,,107.01.18,,2019-10-31
5448462,adverse effect,不良效應；副作用,,102.07.16,,2019-10-31
5448463,adverse event,不良事件,,103.12.18,GMP,2019-10-31
5448464,aerosol,氣化噴霧劑；氣霧劑,,,,2019-10-31
5448465,aerosol for external use,外用氣化噴霧劑；外用氣霧劑,,,,2019-10-31
5448466,affinity,親和力；親和性,,,,2019-10-31
5448467,affinity chromatography,親和[性]層析法,,,,2019-10-31
5448468,after effect,後遺效應,,,,2019-10-31
5448469,agar,瓊脂,,,國編館,2019-10-31
5448470,agar block method,瓊脂塊法,,,,2019-10-31
5448471,agar diffusion method,瓊脂擴散法,,,,2019-10-31
5448472,agar diffusion test,瓊脂擴散試驗,,104.06.11,Remington,2019-10-31
5448473,agaric {Polyporus},豬苓,,103.08.14,,2019-10-31
5448474,agarose gel,瓊脂糖凝膠,,,,2019-10-31
5448475,agglutination,凝集,,,,2019-10-31
5448476,aggregation,聚集,,,,2019-10-31
5448477,aging,老化,,,,2019-10-31
5448478,agitator shaft speed,攪拌軸轉速,,,,2019-10-31
5448479,aglycon,苷元,,,,2019-10-31
5448480,agonism,致效作用,,,,2019-10-31
5448481,agonist,致效劑,,,,2019-10-31
5448482,agranulocytosis,顆粒性白血球缺乏症,,2020.02.25,,2019-10-31
5448483,agricultural antibiotics,農用抗生素,,107.01.18,,2019-10-31
5448484,agrimony {Agrimoniae Herba},仙鶴草,,103.06.19,中醫藥,2019-10-31
5448485,aids,輔助劑,,104.06.11,Remington,2019-10-31
5448486,air changes,換氣數；換氣量,,103.11.20,GMP,2019-10-31
5448487,air changes per hour {=ACPH},換氣率,,107.01.18,GMP,2019-10-31
5448488,air dry,空氣中乾燥,,105.06.20,,2019-10-31
5448489,air filter,空氣過濾器,,,,2019-10-31
5448490,air flow,氣流,,,,2019-10-31
5448491,air lock,氣鎖室,,103.11.20,GMP,2019-10-31
5448492,air sampler,空氣取樣器,,103.11.20,GMP,2019-10-31
5448493,air separation,空氣分離,,103.11.20,GMP,2019-10-31
5448494,airborne particle,浮游微粒,,,,2019-10-31
5448495,airborne particulate count,微塵粒計數‎,,103.11.20,GMP,2019-10-31
5448496,airborne viable particulate count,附塵微生物計數‎,,103.11.20,GMP,2019-10-31
5448497,air-disinfectant aerosol,空氣消毒氣化噴霧劑；空氣消毒氣霧劑,,,,2019-10-31
5448498,air-handling unit {=AHU},空氣處理器；空氣處理機組,,107.01.18,GMP,2019-10-31
5448499,airlock,氣鎖室,,103.11.20,GMP,2019-10-31
5448500,akathisia,靜坐不能,,,,2019-10-31
5448501,akinesia,運動不能,,,,2019-10-31
5448502,alcohol,乙醇；酒精,,,,2019-10-31
5448503,alcohol abuse,酒精濫用,,104.07.09,,2019-10-31
5448504,alcohol dependence,酒精依賴,,104.07.09,Remington,2019-10-31
5448505,alcoholic glycoside,醇苷,,,,2019-10-31
5448506,alcoholism,酒精中毒症,,107.01.18,,2019-10-31
5448507,aldehyde glycoside,醛苷,,,,2019-10-31
5448508,aldose,醛醣,,,,2019-10-31
5448509,aldose reductase inhibitor,醛醣還原酶抑制劑,,,,2019-10-31
5448510,aldosterone antagonist,醛固酮拮抗劑,,,,2019-10-31
5448511,aldosterone inhibitor,醛固酮抑制劑,,,,2019-10-31
5448512,aldosterones,醛固酮類藥,,,,2019-10-31
5448513,aldosteronism,醛固酮症,,,,2019-10-31
5448514,alduronic acid,醣醛酸,,,,2019-10-31
5448515,alert level,警戒值；警戒層次,,103.11.20,GMP,2019-10-31
5448516,alert limit,警戒門檻,,103.11.20,GMP,2019-10-31
5448517,aleurone grain,糊粉粒,,,,2019-10-31
5448518,alfalfa,苜蓿,,107.01.18,健康食品,2019-10-31
5448519,alisma tuber {Alismatis Rhizoma},澤瀉,,103.06.19,中醫藥,2019-10-31
5448520,alizarin viridin,茜素綠,,,,2019-10-31
5448521,alkali halides {alkali metal halide},鹼金屬鹵化物,,107.08.17,,2019-10-31
5448522,alkalinity,鹼度,,,,2019-10-31
5448523,alkaloids,生物鹼,,,國編館,2019-10-31
5448524,alkanol,烷醇,,108.04.25,,2019-10-31
5448525,alkoxy determination,烷氧基測定,,,,2019-10-31
5448526,alkyl amide group,烷基醯胺基,,108.04.25,,2019-10-31
5448527,alkyl ligand,烷基配體,,108.04.25,,2019-10-31
5448528,alkylating agent,烷化劑,,,,2019-10-31
5448529,allantoin,尿囊素,,104.07.09,Remington,2019-10-31
5448530,allergen,過敏原,,,,2019-10-31
5448531,allergoids,類過敏原；減敏蛋白,,103.11.20,GMP,2019-10-31
5448532,allergy,過敏,,,,2019-10-31
5448533,allied drug,類似藥,,,,2019-10-31
5448534,alligation alternate,交替混合法,,104.08.13,Remington,2019-10-31
5448535,allogeneic donation,全血捐贈,,103.11.20,GMP,2019-10-31
5448536,allosteric effect,異位效應,,,,2019-10-31
5448537,allowable residue limit,容許殘留限量,,,,2019-10-31
5448538,aloe,蘆薈,,103.06.19,中醫藥,2019-10-31
5448539,alopecia,禿頭,,,,2019-10-31
5448540,alternate sample retention site（ASR site）,備用樣品保留處,,,,
5448541,alternative medicine,另類醫學,,104.07.09,Remington,2019-10-31
5448542,alternatives,另類藥物,,,國編館,2019-10-31
5448543,alum,明礬；白礬,,,國編館,2019-10-31
5448544,alumina,氧化鋁,,,,2019-10-31
5448545,alumina column chromatography,氧化鋁柱層析法,,,,2019-10-31
5448546,aluminium trichloride,氯化鋁,,107.05.14,通則試藥與溶液,2019-10-31
5448547,alveolar,肺泡的,,104.07.09,Remington,2019-10-31
5448548,Alzheimer's disease,退化性癡呆症；阿滋海默症,,,,2019-10-31
5448549,amaranth,莧紅,,,,2019-10-31
5448550,ambulatory patient care,門診病人照護,,104.07.09,Remington,2019-10-31
5448551,ambulatory pharmacists,門診藥師,,104.07.09,Remington,2019-10-31
5448552,amenorrhea,無月經,,,,2019-10-31
5448553,American ginseng,西洋參；花旗參；粉光[參],,103.06.19,中醫藥,2019-10-31
5448554,Ames test,安氏試驗 {細菌突變試驗},,,,2019-10-31
5448555,aminated latex,胺化乳膠,,108.04.25,,2019-10-31
5448556,amino-,胺[基],,105.06.20,,2019-10-31
5448557,amino acid,胺基酸,,,,2019-10-31
5448558,amino acid composition analyzer,胺基酸組成分析儀,,107.01.18,,2019-10-31
5448559,amino acids,胺基酸,,105.05.24,Remington,2019-10-31
5448560,amino chemically bonded silica,胺基鍵結矽膠,,,,2019-10-31
5448561,amino sugar,胺基醣,,,,2019-10-31
5448562,aminoacetic acid {glycine},甘胺酸,,107.01.18,,2019-10-31
5448563,aminoanthraquinone dyes,胺基蒽醌類染料,,,,2019-10-31
5448564,aminocyclitols,胺基環醇類,,,,2019-10-31
5448565,aminoglycoside antibiotics,胺基苷類抗生素,,,,2019-10-31
5448566,aminoglycosides,胺基苷類,,,,2019-10-31
5448567,aminopropyl silica,胺丙基矽石,,108.04.25,,2019-10-31
5448568,aminopropylsilane,胺丙基矽烷,,108.03.14,,2019-10-31
5448569,aminotransferase,胺基轉移酶,,,,2019-10-31
5448570,ammoniated mercury,白降汞,,,國編館,2019-10-31
5448571,ammonium acetate,乙酸銨,,2019.08.12,,2019-10-31
5448572,ammonium chloride,氯化銨,,103.02.13,國立編譯館,2019-10-31
5448573,ammonium reineckate,硫氰基二氨鉻酸銨；雷氏銨,,2019.08.12,,2019-10-31
5448574,ammonium sulfamate,胺磺酸銨,,,,2019-10-31
5448575,ammonium sulfate fractionation,硫酸銨分劃法,,,,2019-10-31
5448576,amnesia,健忘症,,,,2019-10-31
5448577,amoebic dysentery,阿米巴痢疾,,107.01.18,,2019-10-31
5448578,amoebicides,滅阿米巴劑,,107.01.18,,2019-10-31
5448579,amomum,砂仁,,103.06.19,中醫藥,2019-10-31
5448580,amorphous,非晶形的；不定形的,,104.07.09,Remington,2019-10-31
5448581,ampholyte,兩性電解質,,,,2019-10-31
5448582,amphoteric,兩性的,,104.07.09,Remington,2019-10-31
5448583,amphoteric surfactants,兩性界面活性劑,,104.07.09,,2019-10-31
5448584,amphotericin B,節絲菌素B,,,化學藥品,2019-10-31
5448586,amplification,擴增作用,,107.08.17,,2019-10-31
5448587,ampoule,安瓿,,,,2019-10-31
5448588,ampul,安瓿,,,,2019-10-31
5448589,ampule,安瓿,,,,2019-10-31
5448590,ampule filling,安瓿充填,,,,2019-10-31
5448591,ampule filling and sealing machine,安瓿充填熔封機,,,,2019-10-31
5448592,ampule sealing,安瓿熔封,,,,2019-10-31
5448593,amyl alcohol,戊醇,,,,2019-10-31
5448594,amylase,澱粉酶,,104.07.09,Remington,2019-10-31
5448595,Amylopectin,分支葡聚醣；分支聚葡糖,,2025-07-21 00:00:00,,2019-10-31
5448596,amylose,直鏈型澱粉,,,,2019-10-31
5448597,anabolic steroids,蛋白同化類固醇,,,,2019-10-31
5448598,anaerobes,厭氧菌,,,,2019-10-31
5448599,analeptics,甦醒劑(藥),,107.01.18,,2019-10-31
5448600,analgesics,鎮痛劑(藥),,107.01.18,,2019-10-31
5448601,analogs,結構類似物,,,,2019-10-31
5448602,analogues,結構類似物,,,,2019-10-31
5448603,analysis of variance {=ANOVA},變異數分析,,,,2019-10-31
5448604,analytical balances,分析天平,,104.07.09,Remington,2019-10-31
5448605,analytical instrument qualification,分析儀器驗證,,107.08.17,,2019-10-31
5448606,anaphylactic response,急性過敏反應,,,,2019-10-31
5448607,anaphylactic shock,急性過敏性休克,,,,2019-10-31
5448608,anaphylaxis,急性過敏,,,,2019-10-31
5448609,androgenital syndrome,雄性徵症候群,,,,2019-10-31
5448610,androgens,雄性激素,,,,2019-10-31
5448611,andrographis {Andrographis Herba},穿心蓮,,103.06.19,中醫藥,2019-10-31
5448612,anemia,貧血,,,,2019-10-31
5448613,anesthetics,麻醉劑(藥),,107.01.18,,2019-10-31
5448614,anethole,茴香腦,,,,2019-10-31
5448615,angina pectoris,心絞痛；狹心症,,,,2019-10-31
5448616,angiotensin,血管張力素；血管收縮素,,,,2019-10-31
5448617,angiotensin converting enzyme {=ACE},血管張力素轉化酶,,107.01.18,,2019-10-31
5448618,angiotensin receptor antagonist,血管緊張素受體拮抗劑,,,,2019-10-31
5448619,angiotensin receptor blocker {=ARB},血管張力素受體阻斷劑,,104.07.09,Remington,2019-10-31
5448620,angiotensinogen,血管張力素原,,,,2019-10-31
5448621,angle of repose,安息角,,,,2019-10-31
5448622,anhydrous lanolin,無水羊毛脂,,,,2019-10-31
5448623,aniline,苯胺,,,國編館,2019-10-31
5448624,anion exchange membrane,陰離子交換膜,,,,2019-10-31
5448625,anion exchange resin,陰離子交換樹脂,,,,2019-10-31
5448626,anionic exchange resin,陰離子交換樹脂,,102.03.14,中華無菌製劑協會,2019-10-31
5448627,anionic surfactants,陰離子界面活性劑,,104.07.09,Remington,2019-10-31
5448628,anise,茴香,,,,2019-10-31
5448629,anisotropic,異向性,,,,2019-10-31
5448630,annual product review,年度產品檢討,,103.11.20,GMP,2019-10-31
