ID,英文名稱,中文名稱,圖片,更新日期
3130354,a fortiori analysis,權衡分析,,2017-07-19
3130355,a piece rate system,論件計酬制,,2017-07-19
3130356,Aberbach， Joel D.,亞伯赫,,2017-07-19
3130357,absence without permission,擅離職守,,2017-07-19
3130358,absence without Reasons,曠職,,2017-07-19
3130359,absentee voting,不在席投票,,2017-07-19
3130360,absolute advantage,絕對優勢,,2017-07-19
3130361,absolutism,絕對主義,,2017-07-19
3130362,abuse of authority,濫權,,2017-07-19
3130363,accelerated depreciation,加速折舊,,2017-07-19
3130364,acceptance theory of authority,權威接受論,,2017-07-19
3130365,accidental sampling,偶遇抽樣法,,2017-07-19
3130366,accountability,課責,,2017-07-19
3130367,accountable management,課責管理,,2017-07-19
3130368,accreditation,認證,,2017-07-19
3130369,acculturation learning,濡化學習,,2017-07-19
3130370,achievement-oriented behavior,成就導向行為,,2017-07-19
3130371,acquired need theory,習得需求理論,,2017-07-19
3130372,acquired skill,習得技能,,2017-07-19
3130373,across boundary governance,跨域治理,,2017-07-19
3130374,act-deontology theory,行動義務論,,2017-07-19
3130375,act-utilitarianism theory,行動功利主義論,,2017-07-19
3130376,action learning,行動學習,,2017-07-19
3130377,action plan,行動計畫,,2017-07-19
3130378,action research,行動研究,,2017-07-19
3130379,action science,行動科學,,2017-07-19
3130380,action theory,行動理論,,2017-07-19
3130381,action theory approach,行動理論途徑,,2017-07-19
3130382,ad hoc group,臨時編組,,2017-07-19
3130383,ad hoc organization,臨時組織,,2017-07-19
3130384,Adams， J. Stacy,亞當斯,,2017-07-19
3130385,adaptive and maintenance mechanism,適應與維持機制,,2017-07-19
3130386,adaptive learning,適應學習,,2017-07-19
3130387,additional budget,追加預算,,2017-07-19
3130388,additional pay,加給,,2017-07-19
3130389,additive social welfare function,加總性社會福利函數,,2017-07-19
3130390,adequacy,充分性,,2017-07-19
3130391,adequacy criterion,充分性標準,,2017-07-19
3130392,adequacy criterion,充分性標準,,2017-07-19
3130393,adhocracy,臨時任務編組,,2017-07-19
3130394,administocracy,行政官僚制；行政統治,,2017-07-19
3130395,administration state,行政國,,2017-07-19
3130396,administrative adjudication,行政裁定,,2017-07-19
3130397,administrative agency,行政機關(官署),,2017-07-19
3130398,administrative arrogance,行政傲慢,,2017-07-19
3130399,administrative behavior,行政行為,,2017-07-19
3130400,administrative class,行政級(英國),,2017-07-19
3130401,administrative culture,行政文化,,2017-07-19
3130402,administrative decision-making theory,行政決策理論,,2017-07-19
3130403,administrative development,行政發展,,2017-07-19
3130404,administrative discretion,行政裁量,,2017-07-19
3130405,administrative distance,行政距離,,2017-07-19
3130406,administrative effectiveness,行政效能,,2017-07-19
3130407,administrative efficiency,行政效率,,2017-07-19
3130408,administrative ethics,行政倫理,,2017-07-19
3130409,administrative failure,行政失靈,,2017-07-19
3130410,administrative feasibility,行政可行性,,2017-07-19
3130411,administrative idealist,行政理想論者,,2017-07-19
3130412,administrative imperialism,行政王國主義,,2017-07-19
3130413,administrative inertia,行政惰性,,2017-07-19
3130414,administrative innovation,行政創新,,2017-07-19
