ID,英文名稱,中文名稱,圖片,更新日期
3607874,(artist) collective,藝術家聯盟,,2018-11-29
3607875,3D modeling technology,3D建模技術,,2018-11-29
3607876,3D printed art,3D列印藝術,,2018-11-29
3607877,85 Art Movement,85新潮；85美術運動,,2018-11-29
3607878,A Book From The Sky,天書,,2018-11-29
3607879,a hearing eye,聆聽的眼睛,,2018-11-29
3607880,A Palace Concert,宮樂圖（作者不詳）,,2018-11-29
3607881,A Preface on Landscape Painting,畫山水序 （畫論）,,2018-11-29
3607882,A.P. (artist's proof),作者版；畫家版；試版,,2018-11-29
3607883,a/r/tography,藝游誌,,2018-11-29
3607884,ABC art,極限藝術,,2018-11-29
3607885,ABER (Arts Based Educational Research),藝術本位教育研究,,2019-02-12
3607886,abject art,賤斥藝術,,2018-11-29
3607887,aboriginal art,原住民藝術,,2018-11-29
3607888,Aboriginal Child,番童（黃土水雕塑作品）,,2018-11-29
3607889,absolute judgment,絕對性判斷,,2018-11-29
3607890,Abstract Expressionism,抽象表現主義,,2018-11-29
3607891,abstract ink painting,抽象水墨畫,,2018-11-29
3607892,abstraction,抽象化,,2018-11-29
3607893,academic art,學院美術,,2018-11-29
3607894,academic artists,學院藝術家,,2018-11-29
3607895,academicism,學院派,,2018-11-29
3607896,academy,學院,,2018-11-29
3607897,accidental art,意外藝術,,2018-11-29
3607898,ACM (Association for Computing Machinery),美國電腦協會,,2018-11-29
3607899,actants,行動元,,2018-11-29
3607900,action painters,行動畫派；行動派畫家,,2018-11-29
3607901,action painting,行動繪畫,,2018-11-29
3607902,activist art,行動藝術,,2020-12-02
3607903,actural intentionalism,真實的意圖主義,,2018-11-29
3607904,adherent,擁護者,,2018-11-29
3607905,aerial perspective,大氣透視法；空氣透視,,2018-11-29
3607906,aesthetic,審美,,2018-11-29
3607907,aesthetic admiration,欽羨的美感,,2018-11-29
3607908,aesthetic appraisal,審美評判,,2018-11-29
3607909,aesthetic appreciation,美學評價；美感欣賞,,2020-11-02
3607911,aesthetic awareness,美的覺察,,2018-11-29
3607912,aesthetic consciousness,審美的意識,,2018-11-29
3607913,aesthetic description,美感描述,,2018-11-29
3607915,aesthetic differentiation,審美區分,,2018-11-29
