ID,英文名稱,中文名稱,圖片,更新日期
3378471,lamp filament,燈絲,,2018-03-21
3378472,lamp holder,燈座,,2018-03-21
3378473,lamp housing,燈罩,,2018-03-21
3378474,lamp photometry,燈光光度學,,2018-03-21
3378475,lamphouse,燈室{儀器上用},,2018-03-21
3378476,lance pointer,長矛型指針,,2018-03-21
3378477,land chain,測鏈{大地測量用},,2018-03-21
3378478,land measure,土地量測,,2018-03-21
3378479,Landau absorption,朗道吸收,,2018-03-21
3378480,Landau damping,朗道阻尼,,2018-03-21
3378481,Landau-Ginzburg parameter,朗道京茨堡參數,,2018-03-21
3378482,Lande factor,郎德因子,,2018-03-21
3378483,langley,蘭利{太陽輻射單位，等於1克卡路里每平方公分},,2018-03-21
3378484,Langmuir gauge,朗繆耳[真空]計,,2018-03-21
3378485,Langmuir manometer,朗謬耳壓力計,,2018-03-21
3378486,Langmuir plasma frequency,朗繆耳電漿頻率,,2018-03-21
3378487,Langmuir probe,朗繆耳探頭,,2018-03-21
3378488,Langmuir viscosity gauge,朗繆耳黏度計,,2018-03-21
3378489,Langmuir-Dushman molecular gauge,朗繆耳杜什曼分子[真空]計,,2018-03-21
3378490,lapel microphone,佩帶式麥克風,,2018-03-21
3378491,lapse,[時間]推移；垂直梯度,,2018-03-21
3378492,large aperture interferometer,大孔徑干涉儀,,2018-03-21
3378493,large bore tube,大口徑管,,2018-03-21
3378494,large calorie,大卡[路里]；千卡[路里]{等於4.18E+03焦耳},,2018-03-21
3378495,large-dispacement holography,大位移全像術,,2018-03-21
3378496,large-field color matching,大視場色匹配,,2018-03-21
3378497,large-scale metrology,大尺寸計量學,,2018-03-21
3378498,large-scale turbulence,大規模擾動,,2018-03-21
3378499,Larmor circular frequency,拉莫圓角頻率,,2018-03-21
3378500,Larmor radius,拉莫半徑,,2018-03-21
3378501,laser,雷射,,2018-03-21
3378502,laser absolute gravimeter,雷射絕對重力計,,2018-03-21
3378503,laser accelerometer,雷射加速度計,,2018-03-21
3378504,laser anemometer,雷射風速計,,2018-03-21
3378505,laser attenuator,雷射衰減器,,2018-03-21
3378506,laser axis,雷射光軸,,2018-03-21
3378507,laser beam,雷射光束,,2018-03-21
3378508,laser beam diameter,雷射光束直徑,,2018-03-21
3378509,laser beam divergence,雷射光束發散度,,2018-03-21
3378510,laser cavity,雷射腔,,2018-03-21
3378511,laser ceilometer,雷射測雲儀,,2018-03-21
3378512,laser coelostat,雷射定天鏡,,2018-03-21
3378513,laser cross-beam velocimeter,雷射交叉光束測速計,,2018-03-21
3378514,laser crystal orientating instrument,雷射晶體定向儀器,,2018-03-21
3378515,laser deflector,雷射偏轉器,,2018-03-21
3378516,laser device efficiency,雷射裝置效率,,2018-03-21
3378517,laser diode,雷射二極體,,2018-03-21
3378518,laser distance measuring instrument,雷射測距儀,,2018-03-21
3378519,laser Doppler anemometer,雷射都卜勒風速計,,2018-03-21
3378520,laser Doppler anemonetry,雷射都卜勒風速量測術,,2018-03-21
3378521,laser Doppler displacement meter,雷射都卜勒位移計,,2018-03-21
3378522,laser Doppler velocimeter,雷射都卜勒測速計,,2018-03-21
3378523,laser dynamometer,雷射測力計,,2018-03-21
3378524,laser efficiency,雷射效率,,2018-03-21
3378525,laser energy,雷射能,,2018-03-21
3378526,laser energy density,雷射能量密度,,2018-03-21
3378527,laser energy meter,雷射能量計,,2018-03-21
3378528,laser extensometer,雷射伸長計,,2018-03-21
3378529,laser far-field,雷射遠場,,2018-03-21
3378530,laser flowmeter,雷射流量計,,2018-03-21
3378531,laser frequency,雷射頻率,,2018-03-21
3378532,laser frequency stabilizing system,雷射穩頻系統,,2018-03-21
3378533,laser fusion technology,雷射熔合技術,,2018-03-21
3378534,laser gravimeter,雷射重力計,,2018-03-21
3378535,laser gyro,雷射陀螺儀,,2018-03-21
3378536,laser gyroscope,雷射陀螺儀,,2018-03-21
3378537,laser heterodyne system,雷射外差系統,,2018-03-21
3378538,laser hologram,電射全像片,,2018-03-21
3378539,laser image-speckle interferometer,雷射影像斑點干涉儀,,2018-03-21
3378540,laser interferometer,雷射干涉儀,,2018-03-21
3378541,laser interferometry,雷射干涉術,,2018-03-21
3378542,laser ionization,雷射游離,,2018-03-21
3378543,laser length standard,雷射長度標準,,2018-03-21
3378544,laser longitudinal mode,雷射縱模,,2018-03-21
3378545,laser lunar ranging,雷射月球測距,,2018-03-21
3378546,laser mapping system,雷射測繪系統；雷射映射系統,,2018-03-21
3378547,laser medium,雷射介質,,2018-03-21
3378548,laser micro-strain gauge,雷射微應變計,,2018-03-21
3378549,laser microscope,雷射顯微鏡,,2018-03-21
3378550,laser optoacoustic detection,雷射光聲偵測,,2018-03-21
3378551,laser peak power meter,雷射峰值功率計,,2018-03-21
3378552,laser planetarium,雷射天象儀,,2018-03-21
3378553,laser power density,雷射功率密度,,2018-03-21
3378554,laser power meter,雷射功率計,,2018-03-21
3378555,laser power sensor,雷射功率感測器,,2018-03-21
3378556,laser power supply,雷射電源供應器,,2018-03-21
3378557,laser radar,雷射雷達,,2018-03-21
3378558,laser radiation,雷射輻射,,2018-03-21
3378559,laser radiation pattern,雷射輻射圖形,,2018-03-21
3378560,laser radiation power,雷射輻射功率,,2018-03-21
3378561,laser radiometer,雷射輻射計,,2018-03-21
3378562,laser radiometry,雷射輻射學,,2018-03-21
3378563,laser Raman spectrophotometer,雷射拉曼光譜儀,,2018-03-21
3378564,laser range finding,雷射測距,,2018-03-21
3378565,laser safety standard,雷射安全標準,,2018-03-21
3378566,laser saturation spectroscopy,雷射飽和光譜學,,2018-03-21
3378567,laser schlieren photography,雷射紋影照相術,,2018-03-21
3378568,laser seismometer,雷射地震儀,,2018-03-21
3378569,laser spark,雷射火花,,2018-03-21
3378570,laser speckle velocimeter,雷射斑點測速計,,2018-03-21
3378571,laser spectrometer,雷射光譜儀,,2018-03-21
3378572,laser spectrum,雷射光譜,,2018-03-21
3378573,laser speedometer for law enforcement,公務檢測用雷射測速儀,,2018-03-21
3378574,laser standard,雷射標準,,2018-03-21
3378575,laser strainmeter,雷射應變計,,2018-03-21
3378576,laser streak velocimeter,雷射條紋速度計,,2018-03-21
3378577,laser telemeter,雷射測距儀,,2018-03-21
3378578,laser terrain avoidance sensor,雷射防撞感測器,,2018-03-21
3378579,laser tracker,雷射追蹤儀,,2018-03-21
3378580,laser tracking measuring system,雷射追蹤量測系統,,2018-03-21
3378581,laser transversal mode,雷射橫模,,2018-03-21
3378582,laser vector velocimeter,雷射向量測速計,,2018-03-21
3378583,laser velocimeter,雷射速度計,,2018-03-21
3378584,laser-beam deflection sensor,雷射光束偏轉感測器,,2018-03-21
3378585,laser-calibrated pickup,雷射校正擷取器,,2018-03-21
3378586,laser-produced plasma,雷射產生電漿,,2018-03-21
3378587,laser-radiation heating,雷射輻射加熱,,2018-03-21
3378588,laserium,雷射天象儀,,2018-03-21
3378589,lasing,雷射發光,,2018-03-21
3378590,lasing material,雷射發光材料,,2018-03-21
3378591,lasting accuracy,持久準確度,,2018-03-21
3378592,latching alarm signal,閂鎖警報訊號,,2018-03-21
3378593,latching relay,閂鎖繼電器,,2018-03-21
3378594,latency time,潛伏時間,,2018-03-21
3378595,latensification,潛影強化,,2018-03-21
3378596,latent energy,潛能,,2018-03-21
3378597,latent heat,潛熱,,2018-03-21
3378598,latent heat calorimeter,潛熱卡[路里]計,,2018-03-21
3378599,latent image,潛像,,2018-03-21
3378600,latent period,潛伏期,,2018-03-21
3378601,lateral aberration,橫向像差,,2018-03-21
3378602,lateral adjustment,橫向調整,,2018-03-21
3378603,lateral contraction,橫向收縮,,2018-03-21
3378604,lateral displacement,橫向位移,,2018-03-21
3378605,lateral field,橫向場,,2018-03-21
3378606,lateral force,側向力；橫向力,,2018-03-21
3378607,lateral inclinometer,橫向傾斜儀,,2018-03-21
3378608,lateral load,側面負載；橫向負載,,2018-03-21
3378609,lateral movement,橫向運動,,2018-03-21
3378610,lateral pressure,側壓力,,2018-03-21
3378611,lateral profile,橫向剖面,,2018-03-21
3378612,lateral resolution,橫向解析[度],,2018-03-21
3378613,lateral restraint,橫向限制,,2018-03-21
3378614,lateral shearing interferometer,橫向剪切干涉儀,,2018-03-21
3378615,lateral shift,橫向偏栘,,2018-03-21
3378616,lateral vibration,橫向振動,,2018-03-21
3378617,lateral view,側視圖,,2018-03-21
3378618,lateral-force microscopy {= LFM},側向力顯微術,,2018-03-21
3378619,latitude,緯度,,2018-03-21
3378620,lattice,晶格；點陣,,2018-03-21
3378621,lattice defect,晶格缺陷,,2018-03-21
3378622,lattice energy,晶格能,,2018-03-21
3378623,lattice irregularity,晶格不規則性,,2018-03-21
3378624,lattice plane spacing,晶格平面間隔,,2018-03-21
3378625,lattice vector,晶格向量,,2018-03-21
3378626,lattice vibration,晶格振動,,2018-03-21
3378627,Laude g-factor,蘭德g因子,,2018-03-21
3378628,Laue monotonic scattering,勞氏單色散射,,2018-03-21
3378629,launch numerical aperture {= LNA},發射數值孔徑,,2018-03-21
3378630,Laurent polarimeter,勞朗偏振計,,2018-03-21
3378631,Lauritsen electroscope,勞里岑驗電器,,2018-03-21
3378632,law of combination of errors,誤差組合定律,,2018-03-21
3378633,law of entreme path,極端光程定律,,2018-03-21
3378634,law of general gravitation,萬有引力定律,,2018-03-21
3378635,law of mass action,質量作用定律,,2018-03-21
3378636,law of metrology,計量法,,2018-03-21
3378637,law of partition,分配律,,2018-03-21
3378638,law of photoelectricity,光電定律,,2018-03-21
3378639,lay,位置；方向；紋向,,2018-03-21
3378640,layer,層,,2018-03-21
3378641,layer structure,分層結構,,2018-03-21
3378642,lead,鉛；導程；超前；引線,,2018-03-21
3378643,lead angle,導程角；超前角,,2018-03-21
3378644,lead coulometer,鉛電量計；鉛庫侖計,,2018-03-21
3378645,lead covered cable,鉛包電纜,,2018-03-21
3378646,lead equivalent,鉛當量,,2018-03-21
3378647,lead marking,引線標記,,2018-03-21
3378648,lead resistance,引線電阻,,2018-03-21
3378649,lead screw,導螺桿,,2018-03-21
3378650,lead screw measuring machine,導螺桿量測儀,,2018-03-21
3378651,lead screw tester,導螺桿測試器,,2018-03-21
3378652,lead shielding,鉛遮蔽；鉛屏蔽,,2018-03-21
3378653,lead wire,引線,,2018-03-21
