ID,英文名稱,中文名稱,圖片,更新日期
7195048,1+reach,1次以上接觸率,,2020-03-31
7195049,2D animation,二維動畫,,2020-03-31
7195050,3D animation,三維動畫,,2020-03-31
7195051,6-3-5 method,6-3-5方法,,2020-03-31
7195052,80/20 Rule,80/20法則,,2020-03-31
7195053,abstract form,抽象造形,,2020-03-31
7195054,abstract shape,抽象形狀,,2020-03-31
7195055,abstraction,抽象,,2020-03-31
7195056,accent color,重點色彩,,2020-03-31
7195057,accessibility,親和性；易接近；可觸及性,,2020-03-31
7195058,accordion insert,折疊夾頁 {平面設計},,2020-03-31
7195059,account executive {=AE},業務代表,,2020-03-31
7195060,acoustic model,聲學模型,,2020-03-31
7195061,action,行動；開拍,,2020-03-31
7195062,action game,動作遊戲,,2020-03-31
7195063,action mode,行動模式,,2020-03-31
7195064,action planning,行動計劃,,2020-03-31
7195065,action process,行動程序,,2020-03-31
7195066,action research,行動研究,,2020-03-31
7195067,action theory,行動理論,,2020-03-31
7195068,action-to-action transition,動作轉場,,2020-03-31
7195069,activation advertising,促動式廣告,,2020-03-31
7195070,actual line,實線,,2020-03-31
7195071,actualization,具體化；實現,,2020-03-31
7195072,actualization action,具體化行動,,2020-03-31
7195073,ad page exposure {=APX},廣告頁曝光,,2020-03-31
7195074,adaptive strategy,適應策略；調適策略,,2020-03-31
7195075,added value,附加價值,,2020-03-31
7195076,additive sculpture,加法雕塑,,2020-03-31
7195077,additive value function,加成價值函數,,2020-03-31
7195078,adstock,廣告印象累積,,2020-03-31
7195079,adventure game,冒險遊戲,,2020-03-31
7195080,advertisement,廣告,,2020-03-31
7195081,advertising agency,廣告代理商,,2020-03-31
7195082,advertising campaign,廣告活動,,2020-03-31
7195083,advertising clutter,廣告干擾,,2020-03-31
7195084,advertising design,廣告設計,,2020-03-31
7195085,advertising firm,廣告公司,,2020-03-31
7195086,advertising strategy,廣告策略,,2020-03-31
7195087,aesthetic function,美學機能,,2020-03-31
7195088,aesthetics,美學,,2020-03-31
7195089,aesthetic-usability effect,美即好用效應,,2020-03-31
7195090,affinity diagram,親和圖,,2020-03-31
7195091,after image,後像；殘像,,2020-03-31
7195092,aided recall,輔助回憶,,2020-03-31
7195093,algorithmic method,演算方法,,2020-03-31
7195094,alignment,對齊；調整,,2020-03-31
7195095,alternative stage,替選階段,,2020-03-31
7195096,alternative solution,替選解決方案；替選解答,,2020-03-31
7195097,alternatives,替選方案；其他選項,,2020-03-31
7195098,amplified perspective,擴大透視法,,2020-03-31
7195099,analogous color,類似色；相似色；類比色,,2020-03-31
7195100,analogous problem,類比式問題,,2020-03-31
7195101,analogue model,類比模型,,2020-03-31
7195102,analogy,類比；類比法,,2020-03-31
7195103,analysis,分析,,2020-03-31
7195104,ancillary character,輔助角色,,2020-03-31
7195105,angle of framing,取鏡角度,,2020-03-31
7195106,animation,動畫,,2020-03-31
7195107,anthropometry,人體計測學,,2020-03-31
7195108,app,應用程式,,2020-03-31
7195109,appearance,外觀；外貌；表象,,2020-03-31
7195110,applied arts,應用藝術,,2020-03-31
7195111,archetype,原型；原形,,2020-03-31
7195112,architectural design,建築設計,,2020-03-31
7195113,architecture,建築,,2020-03-31
7195114,art,藝術；藝術作品,,2020-03-31
7195115,art director,藝術指導；藝術導演；藝術總監,,2020-03-31
7195116,artifact analysis,器物分析；文物分析,,2020-03-31
7195117,artificial intelligence {=AI},人工智慧,,2020-03-31
7195118,aside,旁白,,2020-03-31
7195119,assembly diagram,組裝圖；組合圖,,2020-03-31
7195120,assembly time,裝配時間,,2020-03-31
7195121,assistant creative director {=ACD},助理創意總監,,2020-03-31
