ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
1217655,absolute path,絕對路徑,,绝对路径,2012-11-26
1217656,access point,接取器；（無線）存取點；（無線）分享器,,存取点;通路点;存取桥接器,2012-11-26
1217657,accessibility,可接取性；可存取性；取用權,,可存取性;可接入性  ;可达性,2012-11-26
1217658,accuracy,準確度；正確性；精確度,,准确度;精确度,2012-11-26
1217659,active server pages,（微軟）主動伺服器網頁；微軟 ASP 軟體技術,,动态服务器页面;活动服务器网,2012-11-26
1217660,adder,加法器,,加法器,2012-11-26
1217661,addiction,成癮；上癮；沉溺；沉迷,,沉溺;成瘾;上瘾;入迷,2012-11-26
1217662,address,位址,,地址,2012-11-26
1217663,address bus,位址匯流排,,地址总线,2012-11-26
1217664,addressing,定址,,寻址,2012-11-26
1217665,Advanced Research Project Agency,（美國國防部）先進研究計畫局,,美国国防部高级研究计划局,2012-11-26
1217666,algorithm,演算法,,算法,2012-11-26
1217667,all in one motherboard,一機成型主機板,,一体化主板,2012-11-26
1217668,alphanumeric data,文數字資料,,字母数字数据,2012-11-26
1217669,American Memory,美國記憶（公司）,,美国记忆(公司),2012-11-26
1217670,American National Standards Institute,美國國家標準協會,,美国国家标准协会,2012-11-26
1217671,American Standard Code for Information Interchange,美國資訊交換標準碼,,美国信息互换标准代码,2012-11-26
1217672,analog,類比,,"类似,类比",2012-11-26
1217673,analog signal,類比信號,,模拟信号,2012-11-26
1217674,analog to digital converter,類比數位轉換器,,模拟数字转换器,2012-11-26
1217675,analog TV,類比電視,,模拟电视,2012-11-26
1217676,AND,及,,和;与,2012-11-26
1217677,AND gate,及閘,,与门,2012-11-26
1217678,Android OS,Android 作業系統,,Android操作系统,2012-11-26
1217679,antivirus software,防毒軟體,,杀毒软件;防毒软件,2012-11-26
1217680,Apache,Apache 伺服器,,Apache服务器,2012-11-26
1217681,APPLE Ⅱ,APPLE Ⅱ電腦,,Apple-Ⅱ型电脑,2012-11-26
1217682,application,應用（軟體)；應用（系統),,应用(系统);应用(软件);应用(技术),2012-11-26
1217683,application layer,應用層,,应用层,2012-11-26
1217684,application service provider,應用服務供應者,,应用服务提供商,2012-11-26
1217685,application software,應用軟體,,应用软件,2012-11-26
1217686,arithmetic and logic unit,算術與邏輯單元,,算术逻辑单元,2012-11-26
1217687,ARPANet,ARPANET 網路,,ARPANet网,2012-11-26
1217688,array,陣列,,阵列,2012-11-26
1217689,artificial intelligence,人工智慧,,人工智能,2012-11-26
1217690,ASP.NET,ASP.NET 網頁程式語言,,ASP.NET网页编程语言,2012-11-26
1217691,assembler,組合程式；組譯器,,汇编程序;汇编机，编译机 ,2012-11-26
1217692,assembly language,組合語言,,汇编语言;编译语言,2012-11-26
1217693,assignment statement,指定敘述,,指派叙述；指派陈述,2012-11-26
1217694,assisted global position system,輔助全球定位系統,,辅助全球卫星定位系统,2012-11-26
1217695,assisted global positioning system,輔助全球定位系統,,辅助全球卫星定位系统,2012-11-26
1217696,Assocation for Computing Machinery,（美國）計算機協會,,美国计算机协会,2012-11-26
1217697,asymmetric digital subscriber loop,非對稱數位用戶迴路,,非对称数字用户环路,2012-11-26
1217698,asynchronous transfer mode,非同步傳輸模式,,异步传输模式,2012-11-26
1217699,attacker,攻擊者,,攻击者；进攻者,2012-11-26
1217700,audio track,聲頻磁軌；音軌,,音轨;音频磁迹,2012-11-26
1217701,authentication,鑑別；鑑定；鑑認,,证明；鉴定；证实,2012-11-26
1217702,automated teller machine,自動櫃員機,,自动取款机,2012-11-26
