ID,英文名稱,中文名稱,圖片,更新日期
229393,Process,過程,,2012-11-26
229394,Problem-centered learning,問題中心學習法,,2012-11-26
229395,Problem solving,解決問題,,2012-11-26
229396,Problem shooting,"解決問題,排難解紛",,2012-11-26
229397,Problem shooter,"解決問題者,排難解紛者",,2012-11-26
229398,Problem analysis,問題分析,,2012-11-26
229399,Prize and award,獎勵；獎品,,2012-11-26
229400,Primary group,初級團體,,2012-11-26
229401,Pre-service training,職前訓練,,2012-11-26
229402,Potential leader,潛在領導者,,2012-11-26
229403,Policy making,決策,,2012-11-26
229404,Poster,"張貼,招貼,海報",,2012-11-26
229405,Planning meeting,設計會議,,2012-11-26
229406,Plan of work,"工作方案,實施辦法",,2012-11-26
229407,Pilot project,示範計劃;前鋒計劃,,2012-11-26
229408,Personnel management,人事管理,,2012-11-26
229409,Personal information source,個人資料來源,,2012-11-26
229410,Personal contact,個別接觸,,2012-11-26
229411,Personal communication,"人際溝通,人際交通",,2012-11-26
229412,Personal approach,個人指導法,,2012-11-26
229413,Permissive atmosphere,自由氣氛,,2012-11-26
229414,Peasant movement,農民運動,,2012-11-26
229415,Passive rejector,被動拒用者,,2012-11-26
229416,Passive leader,被動領導者,,2012-11-26
229417,Passive adopter,被動採用者,,2012-11-26
229418,Participation,"參與,參加",,2012-11-26
229419,Pannel discussion method,陪席討論法,,2012-11-26
229420,Overt behavior,外表行為,,2012-11-26
229421,Overadoption,過度採用,,2012-11-26
229422,Out-of-school education,校外教育,,2012-11-26
229423,Orientor,引導者,,2012-11-26
229424,Orientation,"指引,指南",,2012-11-26
229425,Organization,組織,,2012-11-26
229426,Opinion leader,輿論領導者,,2012-11-26
229427,Opinion giver,意見提供者,,2012-11-26
229428,On-the-job training,"在職訓練,現場訓練",,2012-11-26
229429,One-way communication,單程通訊,,2012-11-26
229430,Oligarchy,少數壟斷,,2012-11-26
229431,Office management,事務管理,,2012-11-26
229432,Office call,辦公室訪問,,2012-11-26
229433,Observation tour,觀摩會,,2012-11-26
229434,Observation method,觀察法,,2012-11-26
229435,Objectives,目標,,2012-11-26
229436,Object,實物,,2012-11-26
229437,Norminal leader,名義領導者,,2012-11-26
229438,Norm,規範，常模,,2012-11-26
229439,Nonrecommended innovation,非倡用創新,,2012-11-26
229440,Newswriting,新聞撰寫,,2012-11-26
229441,Newsstories,新聞報導,,2012-11-26
229442,Newsreels,新聞彙輯,,2012-11-26
229443,Newsletter,新聞函件,,2012-11-26
229444,Neighborhood,鄰居,,2012-11-26
229445,Natural resources,天然資源,,2012-11-26
229446,Needs,需要,,2012-11-26
229447,Motives,動機,,2012-11-26
229448,Motivation,動機，激勵,,2012-11-26
229449,Modernized agriculture,現代化農業,,2012-11-26
229450,Morrill Act,莫里耳法案(美國農業試驗法案),,2012-11-26
229451,Modern norm,現代規範,,2012-11-26
229452,Moderator,儀事主席;仲裁者,,2012-11-26
229453,Model farm,示範農家,,2012-11-26
229454,Model,模型,,2012-11-26
229455,Mobile unit,巡廻車,,2012-11-26
229456,Method demonstration meeting,方法示範集會,,2012-11-26
229457,Method demonstration contest,方法示範比賽,,2012-11-26
229458,Message,訊息,,2012-11-26
229459,Method demonstration,方法示範,,2012-11-26
229460,Membership enrollement,入會,,2012-11-26
229461,Meal planning,膳食計劃,,2012-11-26
229462,Maturation process,成熟過程,,2012-11-26
229463,Master of ceremony,"司儀,節目主持人",,2012-11-26
229464,Mass media method,大眾媒介法,,2012-11-26
229465,Mass media,大眾傳播媒介,,2012-11-26
229466,Mass communication,大眾傳播,,2012-11-26
229467,Mass approach,大眾指導法,,2012-11-26
229468,Man power resources,人力資源,,2012-11-26
229469,Long-run goal,長程目的,,2012-11-26
229470,Long-range objective,長程目標,,2012-11-26
229471,Local leader,"地方領導人員,義務指導員,義務領導者,義務推廣人員",,2012-11-26
229472,Level of objectives,目標階層,,2012-11-26
229473,Level of aspiration,"抱負水準,期望度",,2012-11-26
229474,Legitimization,公認,,2012-11-26
229475,Lecture chart,演講圖表,,2012-11-26
229476,Learning process,學習過程,,2012-11-26
229477,Learning pattern,學習型態,,2012-11-26
229478,Learning curve,學習曲線,,2012-11-26
229479,Leaflet,單張,,2012-11-26
229480,Leadership development,領導人才培養,,2012-11-26
229481,Leadership,領導;領導才能,,2012-11-26
229482,Leader training,"領導人員訓練,指導員訓練",,2012-11-26
229483,Leader development,領導人員培養,,2012-11-26
229484,Lay leader,地方領導人員,,2012-11-26
229485,Leader,領導人員,,2012-11-26
229486,Latent consequence,潛伏後果,,2012-11-26
229487,Late majority,後期多數,,2012-11-26
229488,Land-Grant institution,授地(田)機構,,2012-11-26
229489,Land-Grant college,授地(田)大學,,2012-11-26
229490,Land reform,土地改革,,2012-11-26
229491,Land consolidation,土地重劃,,2012-11-26
229492,Laissez-faire leader,放任領導者,,2012-11-26
229493,Laggard,落後者,,2012-11-26
229494,Knowledge,知識,,2012-11-26
229495,Kitchen arrangement,廚房佈置,,2012-11-26
229496,Kinship group,親屬團體,,2012-11-26
229497,Key informant,資料主要提供者;消息靈通者,,2012-11-26
229498,Judging contest,鑑別比賽,,2012-11-26
229499,Joint operation of farm business,農場共同經營,,2012-11-26
229500,Joint farm operation,共同栽培,,2012-11-26
229501,Itinerant teaching,巡廻教學,,2012-11-26
229502,Irrational underadopter,不合理低度採用者,,2012-11-26
229503,Irrational overadopter,不合理過度採用者,,2012-11-26
229504,Involuntary group,非自願團體,,2012-11-26
229505,Interrelation,相互關係,,2012-11-26
229506,International Farm Youth Exchange Program (IFYE),國際青年交換計劃,,2012-11-26
229507,Internal dynamic,內在動力,,2012-11-26
229508,Interest stage,興趣階段,,2012-11-26
229509,Interaction role,交互作用角色,,2012-11-26
229510,Interaction effect,交互作用效果,,2012-11-26
229511,Interaction,"交互影響,交互作用",,2012-11-26
229512,integration,"綜合,整合",,2012-11-26
229513,Integrated approach,綜合指導法,,2012-11-26
229514,Institutional approach,制度處理法,,2012-11-26
229515,Instinct,本能,,2012-11-26
229516,In-service training,在職訓練,,2012-11-26
229517,Innovator,"創新者,革新者",,2012-11-26
229518,Innovativeness scale,創新量表,,2012-11-26
229519,Innovation-use tree,創新用樹,,2012-11-26
229520,Innovation,"創新,革新",,2012-11-26
229521,Initiative stage,發起階段,,2012-11-26
229522,Initial action,創始行動,,2012-11-26
229523,Information sources,消息來源,,2012-11-26
229524,Information,"消息,資料,新聞",,2012-11-26
229525,Informal organization,非正式組織,,2012-11-26
229526,Induction training,就業訓練;就職訓練,,2012-11-26
229527,Individual participation,個人參與,,2012-11-26
229528,Individual interview,個人訪問,,2012-11-26
229529,Individual difference,個別差異,,2012-11-26
229530,Individual development,個人發展,,2012-11-26
229531,Individual behavior,個人行為,,2012-11-26
229532,Individual contact method,個別接觸法,,2012-11-26
229533,Individual approach,個別指導法,,2012-11-26
229534,Indirect influence,間接影響,,2012-11-26
229535,Incomplete adoption,不完全採用,,2012-11-26
229536,Improved practices,優良方法,,2012-11-26
229537,Impersonal information source,非人際消息來源,,2012-11-26
229538,Impersonal communication,非人際溝通,,2012-11-26
229539,Illiteracy eradication,掃除文盲,,2012-11-26
229540,Identification,"辨真,認同",,2012-11-26
229541,Idea,觀念,,2012-11-26
229542,Hypothesis,假說,,2012-11-26
229543,Human resources,人力資源,,2012-11-26
229544,Human relations,人群關係,,2012-11-26
229545,Human behavior,人類行為,,2012-11-26
229546,Housing project,住宅計劃,,2012-11-26
229547,Homogeneity,同質,,2012-11-26
229548,Home visit,家庭訪問,,2012-11-26
229549,Home management,家庭管理,,2012-11-26
229550,Home makers’ club,家庭主婦會(美國),,2012-11-26
229551,Home living education,家庭生活教育,,2012-11-26
229552,Home improvement project,家庭改善計劃,,2012-11-26
229553,Home improvement club,家事改進班,,2012-11-26
229554,Home furnishing,家庭佈置,,2012-11-26
229555,Home economics supervisor,家政督導員,,2012-11-26
229556,Home economics extension,家政推廣,,2012-11-26
229557,Home economics association,家政學會,,2012-11-26
229558,Home economics,家政學,,2012-11-26
229559,Home economic adviser,家政指導員,,2012-11-26
229560,Home demonstration agent,家政指導員(美國),,2012-11-26
229561,Home decoration,家庭裝飾,,2012-11-26
229562,Home advisor,家政指導員,,2012-11-26
229563,Heterogeneity,異質,,2012-11-26
229564,Helping people to help themselves,助人自助,,2012-11-26
229565,Help seeker,求助者,,2012-11-26
229566,Hatch Act,海赤法案(美國農業教育法),,2012-11-26
229567,Hamonizer,協調者,,2012-11-26
229568,Habit formation,習慣養成,,2012-11-26
229569,Group thinking,團體構想,,2012-11-26
229570,Group task,"團體作業,團體任務",,2012-11-26
229571,Group standard,團體標準,,2012-11-26
229572,Group productivity,團體生產力,,2012-11-26
229573,Group interview,小組訪問,,2012-11-26
229574,Group identification,團體認同,,2012-11-26
229575,Group formation,團體構成,,2012-11-26
229576,Group dynamics,動態組織學,,2012-11-26
229577,Group discussion,小組討論,,2012-11-26
229578,Group dialog,分組對談,,2012-11-26
229579,Group decision-making,團體決議,,2012-11-26
229580,Group contact method,小組接觸法,,2012-11-26
229581,Group consciousness,團體意識,,2012-11-26
229582,Group cohesiveness,團體凝結力,,2012-11-26
229583,Group behavior,團體行為,,2012-11-26
229584,Group atmosphere,團體氣氛,,2012-11-26
229585,Group approach,團體指導法,,2012-11-26
229586,Group affiliation,團體隸屬,,2012-11-26
229587,Group activity,團體活動,,2012-11-26
229588,Group action,團體行動,,2012-11-26
229589,Group,"小組,團體",,2012-11-26
229590,Grange,農民協進會(美國一種農民組織),,2012-11-26
229591,Goal,目的,,2012-11-26
229592,Generalization,"類化,概括作用",,2012-11-26
229593,Generalist system,通才制度,,2012-11-26
229594,General objectives,一般目標,,2012-11-26
229595,Future Farmers of America (F.F.A),美國未來農民會,,2012-11-26
229596,Fundamental objectives,基本目標,,2012-11-26
229597,Fundamental education,基本教育,,2012-11-26
229598,Forum,"座談會,論壇",,2012-11-26
229599,Formalized education,形式化教育,,2012-11-26
229600,Formal organization,正式組織,,2012-11-26
229601,Formal discipline,正式訓練,,2012-11-26
229602,Food preparation,膳食準備,,2012-11-26
229603,Food expenditure,食物支出,,2012-11-26
229604,Follow-up,追踪,,2012-11-26
229605,Folk school,民眾學校(盛行於北歐),,2012-11-26
229606,Flow chart,"程序表,進度表",,2012-11-26
229607,Flannel graph,呢絨板上的圖表.呢絨教材,,2012-11-26
229608,Flannel board,呢絨板,,2012-11-26
229609,Field work,實地工作,,2012-11-26
229610,Field trip,"參觀旅行,實地考察",,2012-11-26
229611,Field training,實地訓練,,2012-11-26
229612,Field study,實地研究,,2012-11-26
