ID,英文名稱,中文名稱,圖片,更新日期
56366,resolution,解析度,,2012-11-26
56367,reslution， high,高解析度,,2012-11-26
56368,resitivity， surface,表面電阻係數,,2012-11-26
56369,resilience,彈性,,2012-11-26
56370,residual sideband,殘餘邊帶，殘波瓣,,2012-11-26
56371,residue clutter,殘餘雜波,,2012-11-26
56372,residual fulx density,剩餘磁通密度,,2012-11-26
56373,residual error-rate,殘餘誤差率,,2012-11-26
56374,residence telephone,住宅電話,,2012-11-26
56375,reset,重置載波,,2012-11-26
56376,reserved,保留，備用,,2012-11-26
56377,reserve route,備用路由,,2012-11-26
56378,reserve channel,備用通道,,2012-11-26
56379,reservation services,備用服務,,2012-11-26
56380,resend,重發,,2012-11-26
56381,RES (Resume Message),回復信息,,2012-11-26
56383,re-route,重邊路由，重選路由,,2012-11-26
56384,reradiation,再輻射,,2012-11-26
56385,reradiate,再輻射,,2012-11-26
56386,request-reply service,要求-應答服務,,2012-11-26
56387,Request/Response Unit (RU),要求/回應單元,,2012-11-26
56388,Request Initialization Mode (RIM),要求進入初始化模式,,2012-11-26
56389,Request Disconnect (RD),斷線要求,,2012-11-26
56390,requantization,再量化,,2012-11-26
56391,representative， cost,陪集代表,,2012-11-26
56392,repetition rate,重複率，(脈衝)重複頻率,,2012-11-26
56393,repetition interval,重複頻率，覆送頻率,,2012-11-26
56394,repetition frequency,拒斥極，反斥極,,2012-11-26
56395,repetition finterval,重複區間,,2012-11-26
56396,repeller,再生中繼器，再生轉發器,,2012-11-26
56402,repeater， analog,類比中繼站,,2012-11-26
56403,repeater station,中繼站，增音機，轉播站，轉發站,,2012-11-26
56404,repeater spacing,中繼站距離,,2012-11-26
56405,repeater gain， undersea,海底中繼增益,,2012-11-26
56406,repeater exchanger,中繼交換機,,2012-11-26
56407,repeater configuration,中繼器組態,,2012-11-26
56408,repeater,中繼器，中繼站，增音機,,2012-11-26
56409,reordering,重新排序,,2012-11-26
56410,reorder buffer,重排序緩衝器,,2012-11-26
56411,renumbering,重行編號,,2012-11-26
56412,renormalization,再正規化,,2012-11-26
56413,Remote Terminal (RT),遠距端點,,2012-11-26
56414,remote terminal,遠端，遠端終端機,,2012-11-26
56415,remote mate,遙控電話機,,2012-11-26
56416,Remote Defect Indication,遠端缺陷指示,,2012-11-26
56417,remote data station,遠端數據站,,2012-11-26
56418,remote control， eletronic,電子遙控,,2012-11-26
56419,remote concertration,遠距用戶集線,,2012-11-26
56420,remote calling system,遙控呼叫系統,,2012-11-26
56421,Remote Alarm indication,遠端告警指示,,2012-11-26
56422,remodulation,再調變,,2012-11-26
56423,remanent flux density,剩餘磁通密度,,2012-11-26
56424,reluctance,磁阻,,2012-11-26
56425,relract,折射,,2012-11-26
56427,Relflected Binary Code (RBC),反射致二元碼,,2012-11-26
56428,relection characteristics,反射特性,,2012-11-26
56429,Release Message,釋放信息,,2012-11-26
56430,release condition， abnormal,不正常釋放條件,,2012-11-26
56431,release abnormal,不正常釋放條件,,2012-11-26
56432,relaying broadcast,轉播,,2012-11-26
56433,relay， microwave radio,無線電微波轉播,,2012-11-26
56435,relay transmission,中繼傳輸,,2012-11-26
56438,relay station,轉播站,,2012-11-26
56439,relay satellite,中繼衛星,,2012-11-26
56440,relay repeater,中繼器,,2012-11-26
56441,relay center,中繼中心，轉播中心，轉報中心,,2012-11-26
56442,relay broadcasting,轉播,,2012-11-26
56443,relay,繼電器，中繼,,2012-11-26
56444,relaxation time,鬆弛時間,,2012-11-26
56445,relaxation oscillation frequency,鬆弛振盪頻率,,2012-11-26
56446,relaxation oscillation,鬆弛振盪,,2012-11-26
56447,relaxation frequency,鬆弛頻率,,2012-11-26
56448,relative peremability,相對導磁係數,,2012-11-26
56449,relative humidity,相對溼度,,2012-11-26
56450,relative gain,相對增益,,2012-11-26
56451,relative fefractive index difference,相對折射率差,,2012-11-26
56452,Relative Element Address Designate (READ) coding,相對元素位址指定編碼,,2012-11-26
56453,relative calibration,相對校準,,2012-11-26
56454,Relative Address Coding (RAC),相對位址編碼,,2012-11-26
56455,relability,可靠性，可靠度,,2012-11-26
56456,REL (Release Message),釋放信息,,2012-11-26
56457,rejection， ainlobe clutter,主瓣雜波抑制,,2012-11-26
56458,reinserted carrier,重置載波,,2012-11-26
56459,Reiger bound,里格界線,,2012-11-26
56460,regulator circuit,調整電路，穩壓電路,,2012-11-26
56461,regulator,調整器,,2012-11-26
56462,regular link,正常鏈路,,2012-11-26
56463,regression,迴歸,,2012-11-26
56465,register,暫存器，紀錄器,,2012-11-26
56466,regional satellite communication,區域衛星通訊,,2012-11-26
56467,regional center,區域中心局(一般為一級局),,2012-11-26
56470,region， Mie (resonance),米氏(散射共振)區,,2019-08-26
56471,region， Fuanhofer,法龍霍弗場區,,2012-11-26
56476,region of convergence,收斂區間,,2012-11-26
56477,regio， Mie scattering,米氏散社區,,2012-11-26
56478,regenerator,再生器,,2012-11-26
56479,regenerative repeater,再生中繼器，再生轉發器,,2012-11-26
56480,regenerative receiver,再生式接收機,,2012-11-26
56481,regenerative baseband recovery,再生式機頻帶回復,,2012-11-26
56482,regeneratior circuit,再生電路,,2012-11-26
56483,regeneration,再生,,2012-11-26
56484,refractivity,折射率，折射性,,2012-11-26
56485,refractiveness,折射性,,2012-11-26
56486,refractive index， small-scale variations on,折射率小幅度變化,,2012-11-26
56487,refractive index， effective,有效折射率,,2012-11-26
56488,refractive index Sellmeier equation,折射率謝米爾方程式,,2012-11-26
56489,refractive index profiling,折射率剖析,,2012-11-26
56490,refractive index profile measurement,折射率剖面圖量測,,2012-11-26
56491,refractive index profile,折射率剖面圖,,2012-11-26
56492,refractive index phase grating,折射率相位光柵,,2012-11-26
56493,refractive index normalized difference,標準化折射率差,,2012-11-26
56494,refractive index matching material,折射率匹配物質,,2012-11-26
56495,refractive index lightguides,折射率光導,,2012-11-26
56496,refractive index distribution,折射率分佈,,2012-11-26
56497,refractive index definition,折射率定義,,2012-11-26
56498,refractive index change， electrooptically induced,電光引致折射率改變,,2012-11-26
56499,refractive index change,折射率改變,,2012-11-26
56500,refractive index,折射率,,2012-11-26
56501,refraction， tropospheric,對流層大氣折射,,2012-11-26
56503,refraction， anomalous,不規則折射,,2012-11-26
56504,refraction angle,折射角,,2012-11-26
56505,refraction,折射,,2012-11-26
56506,refracting layer,折射層,,2012-11-26
56507,refracted near-field method,折射近場方法,,2012-11-26
56508,reflex klystron， Applegate digram of,反射式調速管之阿普里格特圖,,2012-11-26
56509,reflex klystron,反射式(回復式)調速管,,2012-11-26
56510,reflector-type antenna,反射器天線,,2012-11-26
56512,reflector， virtual feed of,反射器虛饋(點),,2012-11-26
56513,reflector， vertex-plate,反射器頂板,,2012-11-26
56515,reflector， taper efficiency of,反射器修緩效率,,2012-11-26
56516,reflector， surface geometry of,反射器表面幾何形狀,,2012-11-26
56517,reflector， spillover efficiency of,反射器溢波效率,,2012-11-26
