ID,英文名稱,中文名稱,圖片,更新日期
9367260,vector diagram,向量圖,,2020-08-25
9367261,vector field,向量場,,2020-08-25
9367262,vector mean velocity,向量平均速度,,2020-08-25
9367263,vector processor,向量處理器,,2020-08-25
9367264,vedette,艦載水雷艇；哨艇,,2020-08-25
9367265,vedette boat,艦載魚雷艇；哨艇,,2020-08-25
9367266,vee drive,V形驅動,,2020-08-25
9367267,Vee-shaped bottom,V型船底,,2020-08-25
9367268,vee-shaped foils,V形翼板,,2020-08-25
9367269,vegetable chamber,蔬菜庫,,2020-08-25
9367270,vehicle,載具,,2020-08-25
9367271,vehicle carrier,車輛運輸船,,2020-08-25
9367272,vehicle carrying capacity,[船舶]載車能力,,2020-08-25
9367273,vehicle deck,車輛甲板,,2020-08-25
9367274,vehicle ferry,車輛渡船,,2020-08-25
9367275,vehicle hold,車輛艙,,2020-08-25
9367276,vehicle transportation lighter,車輛[運輸]駁船,,2020-08-25
9367277,velocimeter,速度計；測速計,,2020-08-25
9367278,velocity,速度,,2020-08-25
9367279,velocity coefficient,速度係數,,2020-08-25
9367280,velocity compound turbine,複速渦輪機,,2020-08-25
9367281,velocity diagram,速度圖,,2020-08-25
9367282,velocity field,速度場,,2020-08-25
9367283,velocity gradient,速度梯度,,2020-08-25
9367284,velocity head,速度落差；速度水頭,,2020-08-25
9367285,velocity increment,速度增量,,2020-08-25
9367286,velocity microphone,速率式聽聲器,,2020-08-25
9367287,velocity potential,速度勢,,2020-08-25
9367288,velocity source,速度源,,2020-08-25
9367289,velocity square damping,流體阻尼；速度平方阻尼,,2020-08-25
9367290,velocity stage,速度級,,2020-08-25
9367291,velometer,速度計；測速器,,2020-08-25
9367292,Velox boiler,弗洛克斯鍋爐；增壓燃燒強制循環鍋爐,,2020-08-25
9367293,vender list,廠家表；設備供應商清單,,2020-08-25
9367294,veneer,薄木板；單板{合板}；[膠]合板,,2020-08-25
9367295,venetian blind,百葉窗,,2020-08-25
9367296,venetian door,百葉門,,2020-08-25
9367297,Venetian ventilator,百葉式通風筒,,2020-08-25
9367298,V-engine,V型引擎,,2020-08-25
9367299,vent,通氣孔；通氣管,,2020-08-25
9367300,vent gutter,通風道,,2020-08-25
9367301,vent header,通氣管頭,,2020-08-25
9367302,vent hole,通氣孔,,2020-08-25
9367303,vent pipe,通氣管,,2020-08-25
9367304,vent stack,通氣熛囪,,2020-08-25
9367305,vent valve,通風閥,,2020-08-25
9367306,ventage,氣孔；出口,,2020-08-25
9367307,vent-closing valve,適氣孔關閉閥,,2020-08-25
9367308,ventilated bottom,通氣潤滑[降阻]船底,,2020-08-25
9367309,ventilated cavity,充氣空泡,,2020-08-25
9367310,ventilated container,通風式貨櫃,,2020-08-25
9367311,ventilated propeller,充氣螺槳,,2020-08-25
9367312,ventilated supercavitating propeller,充氣空化螺槳,,2020-08-25
9367313,ventilating blower,通風機,,2020-08-25
9367314,ventilating coaming,通風筒緣圍,,2020-08-25
9367315,ventilating cock,通風旋塞,,2020-08-25
9367316,ventilating device,通風裝置,,2020-08-25
9367317,ventilating duct,通風管道,,2020-08-25
9367318,ventilating engine,通風機,,2020-08-25
9367319,ventilating fan,通風扇,,2020-08-25
9367320,ventilating flap,通風舌門,,2020-08-25
9367321,ventilating system,通風系統,,2020-08-25
9367322,ventilating trunk,通風管道,,2020-08-25
9367323,ventilation,通風；換氣,,2020-08-25
9367324,ventilation junction box,通風主管分支箱,,2020-08-25
9367325,ventilation mast,通風管桅,,2020-08-25
9367326,ventilation noise,通風噪音,,2020-08-25
9367327,ventilation plan,通風佈置圖,,2020-08-25
9367328,ventilation trunk,通風主道,,2020-08-25
9367329,ventilator,通風筒；通風機,,2020-08-25
9367330,ventilator coaming,通風筒緣圍,,2020-08-25
9367331,ventilator cover,通風筒帆布罩,,2020-08-25
9367332,ventilator scoop,通風斗,,2020-08-25
9367333,venting,通氣；液艙排氣,,2020-08-25
9367334,Venturi meter,文氏流量計,,2020-08-25
9367335,Venturi tube,文氏管,,2020-08-25
9367336,veranda,陽台；遊廊；走廊,,2020-08-25
9367337,verdigris,銅綠；銅銹,,2020-08-25
9367338,verification,驗實；證明；確定；確認；查核；核實,,2020-08-25
9367339,verifier,校驗者；作證者；檢驗器,,2020-08-25
9367340,vermiculite,蛭石{絕熱材料},,2020-08-25
9367341,vermin-proof,防蟲,,2020-08-25
9367342,vernier,游標[尺]；微調,,2020-08-25
9367343,versatility,變通性；多功能性,,2020-08-25
9367344,version,方案；型式,,2020-08-25
9367345,vertex,頂點,,2020-08-25
9367346,vertical antenna,垂向天線,,2020-08-25
9367347,vertical axis,豎軸；垂向軸[線]；縱軸；垂直軸,,2020-08-25
9367348,vertical axis propeller,垂軸螺槳；擺線螺槳,,2020-08-25
9367349,vertical blade,[魚雷]垂直安定面,,2020-08-25
9367350,vertical boiler,立式鍋爐,,2020-08-25
9367351,vertical bow,直立型艏,,2020-08-25
9367352,vertical center of gravity,垂向重心,,2020-08-25
9367353,vertical correcting magnet,[羅經]傾斜自差校正磁鐵,,2020-08-25
9367354,vertical coupling,立式聯結{舵},,2020-08-25
9367355,vertical engine,立式機,,2020-08-25
9367356,vertical fire-tube boiler,立式火管鍋爐,,2020-08-25
9367357,vertical fish finder,垂直魚探機,,2020-08-25
9367358,vertical flexural vibration,垂向彎曲振動,,2020-08-25
9367359,vertical girder,豎桁,,2020-08-25
9367360,vertical holding range,垂直抓緊範圍,,2020-08-25
9367361,vertical keel,中線內龍骨；豎龍骨；直立龍骨,,2020-08-25
9367362,vertical ladder,直立梯,,2020-08-25
9367363,vertical lathe,立式車床,,2020-08-25
9367364,vertical margin plate,直立舟必緣板,,2020-08-25
9367365,vertical mode,垂向模態,,2020-08-25
9367366,vertical prismatic coefficient,垂向稜塊係數,,2020-08-25
9367367,vertical replenishment,[直昇機]垂直整補,,2020-08-25
9367368,vertical return tube boiler,立式回焰鍋爐,,2020-08-25
9367369,vertical rudder,直立舵,,2020-08-25
9367370,vertical scarf,立式嵌接,,2020-08-25
9367371,vertical stabilizer fin,垂直穩定翼,,2020-08-25
9367372,vertical stem,直立艏材,,2020-08-25
9367373,vertical stiffener,垂向防撓材,,2020-08-25
9367374,vertical submerged-tube boiler,立式浸管鍋爐,,2020-08-25
9367375,vertical template for hull assembly,船台標竿線,,2020-08-25
9367376,vertical vibration,垂[向]振[動],,2020-08-25
9367377,vertical water-tube boiler,立式水管鍋爐,,2020-08-25
9367378,vertical wave bending moment,垂向波彎矩,,2020-08-25
9367379,vertical web,垂向腹板,,2020-08-25
9367380,vertical welding,立銲,,2020-08-25
9367381,vertical windlass,立式錨機,,2020-08-25
9367382,vertical working range,垂直工作範圍,,2020-08-25
9367383,verticality,垂直度,,2020-08-25
9367384,vertically corrugated bulkhead,垂直波形艙壁,,2020-08-25
9367385,vertical-type resistance dynamometer,垂直式阻力動力計,,2020-08-25
9367386,vertrep {vertical replenishment},[直升機]垂直整補,,2020-08-25
9367387,very high frequency {=VHF},特高頻,,2020-08-25
9367388,very high sea,狂濤{七級浪},,2020-08-25
9367389,very large crude oil carrier  {= VLCC},極大型原油輪；巨型油輪,,2020-08-25
9367390,very large crude-oil carrier  {= VLCC},巨型油輪,,2020-08-25
9367391,very rough sea,巨浪{五級浪},,2020-08-25
9367392,very-high frequency {=VHF},特高頻{30~300百萬赫},,2020-08-25
9367393,very-low frequency {=VLF},特低頻{3~30千赫},,2020-08-25
9367394,vessel,船；艦；容器,,2020-08-25
9367395,vessel identification,船舶標誌,,2020-08-25
9367396,vestibule,玄關；門廳,,2020-08-25
9367397,V-groove weld,V型槽銲道,,2020-08-25
9367398,VHF-telephone,特高頻[無線]電話,,2020-08-25
9367399,VI {viscosity index},黏度指數,,2020-08-25
9367400,viability,耐久性；使用期限,,2020-08-25
9367401,vibrashock,減震器；緩衝器；阻尼器,,2020-08-25
9367402,vibrating table,振動[試驗]台,,2020-08-25
9367403,vibrating viscosimeter,振動黏度計,,2020-08-25
9367404,vibration,振動,,2020-08-25
9367405,vibration characteristic,振動特性,,2020-08-25
9367406,vibration damper,振動阻尼器,,2020-08-25
9367407,vibration damping,振動阻尼,,2020-08-25
9367408,vibration exciter,激振機,,2020-08-25
9367409,vibration frequency,振動頻率,,2020-08-25
9367410,vibration isolating material,隔振材料,,2020-08-25
9367411,vibration isolating rubber,隔振橡膠,,2020-08-25
9367412,vibration level,振動位準,,2020-08-25
9367413,vibration mode,振動模式,,2020-08-25
9367414,vibration mode curve,振模曲線,,2020-08-25
9367415,vibration noise,振動噪音,,2020-08-25
9367416,vibration proof rubber,抗振橡膠,,2020-08-25
9367417,vibration reducer,減振機,,2020-08-25
9367418,vibration severity,振動烈度,,2020-08-25
9367419,vibration source,振源,,2020-08-25
9367420,vibration test rig,振動試驗台,,2020-08-25
9367421,vibration transducer,振動換能器,,2020-08-25
9367422,vibration-proof,耐振,,2020-08-25
9367423,vibration-proof structure,防振結構；減振結構,,2020-08-25
9367424,vibrator,振動器；振動機；振子,,2020-08-25
9367425,vibratory cavitation,振動空化,,2020-08-25
9367426,vibratory milling,振動球磨,,2020-08-25
9367427,vibro-bench,振動台,,2020-08-25
9367428,vibrocorer,振動採樣管,,2020-08-25
9367429,vibrograph,[圖]示振[動]儀；振動記錄儀,,2020-08-25
9367430,vibrometer,振動計,,2020-08-25
9367431,vibroscope,振動儀,,2020-08-25
9367432,vibroshock,減震器；緩衝器；阻尼器,,2020-08-25
9367433,vibrostand,振動試驗台,,2020-08-25
9367434,vice,[老]虎鉗,,2020-08-25
9367435,vice bench,鉗台,,2020-08-25
9367436,vice clamp,虎鉗夾,,2020-08-25
9367437,vice stand,鉗台,,2020-08-25
9367438,Vicker hardness,維氏硬度,,2020-08-25
9367439,Vicker's hardness test,維氏硬度試驗,,2020-08-25
9367440,victory ship,勝利輪,,2020-08-25
9367441,victualler,糧食船,,2020-08-25
9367442,victulling vessel,運糧船；糧食補給艦,,2020-08-25
9367443,video,電視；視頻；影像,,2020-08-25
9367444,video amplifier,視頻放大器,,2020-08-25
9367445,video circuit,視頻電路,,2020-08-25
9367446,video converter,視頻變換器,,2020-08-25
9367447,video frequency,視頻,,2020-08-25
9367448,video frequency interference,視頻干擾,,2020-08-25
9367449,video recorder,錄影機；視頻信號記錄器,,2020-08-25
9367450,view,視界；視野；圖；視圖,,2020-08-25
9367451,viewer,觀察者；觀察器；顯示器；窺視窗；潛望鏡,,2020-08-25
9367452,viewer box,觀測箱；觀察箱,,2020-08-25
9367453,viewport,檢查孔；觀察孔,,2020-08-25
9367454,Viking,海盜；北歐海盜船,,2020-08-25
9367455,vinda,東澳大利亞樹皮筏,,2020-08-25
9367456,vinta,南菲律賓划槳帆船,,2020-08-25
9367457,vinyl,乙烯基,,2020-08-25
9367458,vinyl chloride foam,氯乙烯發泡材,,2020-08-25
9367459,vinyl paint,乙烯油漆,,2020-08-25
9367460,vinyl resin paint,乙烯樹脂塗料,,2020-08-25
9367461,viol block,無鉸鏈小型開口滑車,,2020-08-25
9367462,violent storm,暴風{蒲福式風級11級；風速28.5~32.6公尺/秒},,2020-08-25
9367463,virtual eccentricity,虛偏心距,,2020-08-25
9367464,virtual mass,虛質量,,2020-08-25
9367465,virtual mass moment of inertia,虛質量慣性矩,,2020-08-25
9367466,virtual moment of inertia,虛慣性矩,,2020-08-25
9367467,virtual pitch,視螺距；虛節距,,2020-08-25
9367468,virtual pitch ratio,虛節距比,,2020-08-25
9367469,virtual slip,虛滑流,,2020-08-25
9367470,virtual value,虛值,,2020-08-25
9367471,virtual velocity,虛速度；有效速度,,2020-08-25
9367472,virtual work,虛功,,2020-08-25
9367473,viscoelastic blanket,[潛艇消音用]黏彈性[表面]塗層,,2020-08-25
9367474,visco-elastic liquid,黏彈性液[體],,2020-08-25
9367475,viscoelastic material,黏彈性材料,,2020-08-25
9367476,viscometry,黏度測定法,,2020-08-25
9367477,viscoplasticity,黏塑性力學,,2020-08-25
9367478,viscorator,黏度連續記錄儀,,2020-08-25
9367479,viscosimat,黏度自動調整器,,2020-08-25
9367480,viscosimeter,黏度計,,2020-08-25
9367481,viscosity,黏度；黏性,,2020-08-25
9367482,viscosity controller,黏度調節器,,2020-08-25
9367483,viscosity index {=VI},黏度指數,,2020-08-25
9367484,viscosity-pressure coefficient,黏度壓力係數,,2020-08-25
9367485,viscous damping,黏性阻尼,,2020-08-25
9367486,viscous disspation,黏性消散,,2020-08-25
9367487,viscous flow,黏性流,,2020-08-25
9367488,viscous liquid,黏性液[體],,2020-08-25
9367489,viscous pressure resistance,黏性壓差阻力,,2020-08-25
9367490,viscous resistance,黏性阻力,,2020-08-25
9367491,viscous stress,黏性應力；黏滯應力,,2020-08-25
9367492,viscous vortex,黏性渦,,2020-08-25
9367493,viscous wake,黏性跡流,,2020-08-25
9367494,vise,虎鉗,,2020-08-25
9367495,visibility,能見度；視界,,2020-08-25
9367496,visible air whistle,發煙氣笛,,2020-08-25
9367497,visible alarm,視覺警報,,2020-08-25
9367498,visible and audible alarm,視聽覺警報,,2020-08-25
9367499,visible examination,目視檢驗,,2020-08-25
9367500,visible indicator,視覺指示器,,2020-08-25
9367501,vision,視力；視覺,,2020-08-25
9367502,visor,護目鏡；帽簷；遮陽板；擋板；罩,,2020-08-25
9367503,visual check,目視檢查,,2020-08-25
9367504,visual communication,視覺通信,,2020-08-25
9367505,visual inspection,目視檢查,,2020-08-25
9367506,visual line,視線,,2020-08-25
9367507,visual presentation,視覺顯示,,2020-08-25
9367508,visual signal,視覺信號,,2020-08-25
9367509,visual value,目測值,,2020-08-25
9367510,visualization,可視化；顯影；顯形,,2020-08-25
9367511,visualizer,觀察儀；顯影儀,,2020-08-25
9367512,VIT {variable injection timing},可變噴射定時,,2020-08-25
9367513,VLCC  {very large crude oil carrier},極大型原油輪；巨型油輪,,2020-08-25
9367514,V-notch,V形缺口；V形刻槽,,2020-08-25
9367515,voice frequency {=VF},聲頻{300~3000赫},,2020-08-25
9367516,voice pipe,傳聲筒；傳聲管,,2020-08-25
9367517,voice tube,傅聲管,,2020-08-25
9367518,void content,空孔率；空洞率,,2020-08-25
9367519,void fraction,疏鬆度；空隙比,,2020-08-25
9367520,void space,空艙；空隙,,2020-08-25
9367521,void volume,空隙容積,,2020-08-25
9367522,Voith tractor type vessel,直葉式推進器船,,2020-08-25
9367523,Voith-Schneider propeller,垂軸螺槳；垂直翼螺槳,,2020-08-25
9367524,Voith-Schneider propeller tunnel,直翼推進器隧,,2020-08-25
9367525,volatile matter,揮發性物質,,2020-08-25
9367526,volatile oil,揮發油,,2020-08-25
9367527,volatility,揮發度；揮發性,,2020-08-25
9367528,voltage,電壓,,2020-08-25
9367529,voltage changer,電壓變換器,,2020-08-25
9367530,voltage dip,電壓突跌,,2020-08-25
9367531,voltage divider,分壓器,,2020-08-25
9367532,voltage drop,[電]壓降,,2020-08-25
9367533,voltage leveller,電壓調平器,,2020-08-25
9367534,voltage reducing device,減壓裝置,,2020-08-25
9367535,voltage regulation,電壓調整,,2020-08-25
9367536,voltammeter,伏安計；電壓電流[兩用]計,,2020-08-25
9367537,volt-ampere,伏[特]安[培],,2020-08-25
