ID,英文名稱,中文名稱,圖片,更新日期
6251168,"1, 2-diaminocyclohexane {=1,2-DACH}","1,2-二氨基環己烷",,2020-01-07
6251169,11-β-hydroxylase,11-β-羥化酶,,2020-01-07
6251170,17-hydroxylase,17-羥化酶,,2020-01-07
6251171,21-hydroxylase,21-羥化酶,,2020-01-07
6251172,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMG輔酶A還原酶,,2020-01-07
6251173,3-β-hydroxysteroid dehydrogenase,3-β-羥基類固醇脫氫酶,,2020-01-07
6251174,"5, 6-dihydrocytosine-6-sodium sulphonate","5,6-雙氫胞嘧啶-6-鈉磺酸鹽",,2020-01-07
6251175,5-fluorouracil,5-氟尿嘧啶,,2020-01-07
6251176,5-hydroxyindoleacetic acid,5-羥吲哚乙酸,,2020-01-07
6251177,5-methylcytosine,5-甲基胞嘧啶,,2020-01-07
6251178,5'-nucleotidase,5'-核苷酸磷酸解脢,,2020-01-07
6251179,6-phosphogluconolactone,6-磷酸葡糖酸內酯,,2020-01-07
6251180,A antigen,A型抗原,,2020-01-07
6251181,AABB {American Association of Blood Banks},美國血庫學會,,2020-01-07
6251182,Aarskog-Scott syndrome,Aarskog-Scott二氏症候群,,2020-01-07
6251183,abetalipoproteinemia,血清β脂蛋白缺乏症,,2020-01-07
6251184,abnormal hemoglobin syndrome,異常血紅素症候群,,2020-01-07
6251185,abnormal localization of immature precursors {=ALIP},不成熟之前驅細胞之異常定位,,2020-01-07
6251186,ABO antibody,ABO血型抗體,,2020-01-07
6251187,ABO discrepancy,ABO血型鑑定不符,,2020-01-07
6251188,ABO grouping,ABO血型檢驗,,2020-01-07
6251189,abscesses,膿瘍,,2020-01-07
6251190,Absidia,棘子鬚黴菌屬,,2020-01-07
6251191,absolute polycythemia,絕對紅血球增多症,,2020-01-07
6251192,absorbance,吸光率,,2020-01-07
6251193,absorption,吸收,,2020-01-07
6251194,absorption spectroscopy,吸收光譜學,,2020-01-07
6251195,abuse,濫用,,2020-01-07
6251196,Acanthamoeba keratitis,棘阿米巴角膜炎,,2020-01-07
6251197,accreditation,認證,,2020-01-07
6251198,acetaminophen,乙醯胺酚,,2020-01-07
6251199,acetanilid,乙醯苯胺,,2020-01-07
6251200,acetylation,乙醯化,,2020-01-07
6251201,acetylcholine acylhydrolase,乙醯膽鹼醯基水解酶,,2020-01-07
6251202,acetylcholinesterase,乙醯膽鹼脂酶,,2020-01-07
6251203,acid phosphatase,酸性去磷酸酶,,2020-01-07
6251204,acid-base balance,酸鹼平衡,,2020-01-07
6251205,acid-base disturbances,酸鹼障礙,,2020-01-07
6251206,Acinetobacter,不動桿菌,,2020-01-07
6251207,Acinetobacter baumannii,鮑曼氏不動桿菌,,2020-01-07
6251208,Acinetobacter calcoaceticus,醋酸鈣不動桿菌,,2020-01-07
6251209,Acinetobacter spp.,不動桿菌屬,,2020-01-07
6251210,acquired coagulation disorder,後天性凝血異常,,2020-01-07
6251211,acquired coagulation protein inhibitors,後天凝血蛋白抑制物,,2020-01-07
6251212,acquired combined hyperlipidemia,後天性混和型高脂血症,,2020-01-07
6251213,acquired extrinsic hemolysis,後天性外源性溶血,,2020-01-07
6251214,acquired hypercoagulable states,後天性高凝固狀態,,2020-01-07
6251215,acquired immunity,後天免疫,,2020-01-07
6251216,acquired immunodeficiency syndrome {=AIDS},後天性免疫不全症候群,,2020-01-07
6251217,acquired pure red cell aplasia,後天性純紅血球再生不良,,2020-01-07
6251218,acquired storage pool disease,後天性存儲池病,,2020-01-07
6251219,Acremonium,頂孢黴菌屬,,2020-01-07
6251220,acrylamide gel,丙烯醯胺凝膠,,2020-01-07
6251221,Actinomycetes,放線菌屬,,2020-01-07
6251222,activated complex,活化複合體,,2020-01-07
6251223,activated partial thromboplastin time {=APTT},活化部分凝血激酶時間,,2020-01-07
6251224,activated protein C,活化蛋白C,,2020-01-07
6251225,activated protein C resistance,活化蛋白C抗性,,2020-01-07
6251226,activation energy barrier,活化能量障礙,,2020-01-07
6251227,active site,活性部位,,2020-01-07
6251228,acute basophilic leukemia,急性嗜鹼性球白血病,,2020-01-07
