ID,英文名稱,中文名稱,圖片,更新日期
20753230,efferent,輸出的,,2022-09-05
20753231,efferent artery of glomerulus,腎小球輸出動脈,,2022-09-05
20753232,efferent duct,輸出管,,2022-09-05
20753233,efferent nerve,傳出神經,,2022-09-05
20753234,efferent tract,輸出徑,,2022-09-05
20753235,efficiency,效率,,2022-09-05
20753236,efflorescence,發疹,,2022-09-05
20753237,effluvium,溢出物,,2022-09-05
20753238,effort syndrome,勞力症候群,,2022-09-05
20753239,effuse,滲出,,2022-09-05
20753240,effusion,滲出液,,2022-09-05
20753241,effusive-constrictive,積液狹縮性,,2022-09-05
20753242,egg,卵,,2022-09-05
20753243,egg albumin,卵蛋白素,,2022-09-05
20753244,egg cell,卵細胞,,2022-09-05
20753245,egg mother cell,卵母細胞,,2022-09-05
20753246,egg yolk lecithin,卵磷脂,,2022-09-05
20753247,egg yolk oil,卵黃油,,2022-09-05
20753248,egg yolk sputum,卵黃狀痰,,2022-09-05
20753249,egg-white syndrome,卵白症候群{生物素缺乏症},,2022-09-05
20753250,Egyptian hematuria,膀胱裂體吸蟲病,,2022-09-05
20753251,Ehlers-Danlos,Ehlers-Danlos氏,,2022-09-05
20753252,Ehlers-Danlos disease,Ehlers-Danlos二氏病,,2022-09-05
20753253,Ehlers-Danlos syndrome{cutis hyperelastica},Ehlers-Danlos氏症候群{皮膚彈性過度},,2022-09-05
20753254,Ehrlich reaction,Ehrlich氏反應,,2022-09-05
20753255,Ehrlichia canis,犬Ehrlichia氏菌,,2022-09-05
20753256,Ehrlichia sennetsu,腺熱Ehrlichia氏菌,,2022-09-05
20753257,eicosanoic acid,花生酸,,2022-09-05
20753258,eicosanoids,類花生酸,,2022-09-05
20753259,eicosanyl propanoate,丙酸二十酯,,2022-09-05
20753260,eighth cranial nerve,第八腦神經,,2022-09-05
20753261,Eikenella corrodens,嚙蝕Eikenella氏菌,,2022-09-05
20753262,eiloid,扭轉的,,2022-09-05
20753263,eiloid tumor,蟠曲狀瘤,,2022-09-05
20753264,Eisenmenger complex,Eisenmenger氏複合症,,2022-09-05
20753265,Eisenmenger disease,Eisenmenger氏病,,2022-09-05
20753266,Eisenmenger reaction,Eisenmenger氏反應,,2022-09-05
20753267,Eisenmenger syndrome,Eisenmenger氏症候群,,2022-09-05
20753268,Eisenmenger's syndrome,Eisenmenger氏症候群,,2022-09-05
20753269,ejaculatory duct,射精管,,2022-09-05
20753270,ejection,射出,,2022-09-05
20753271,ejection click,射出卡嗒音,,2022-09-05
20753272,ejection clik,噴射性喀喇音,,2022-09-05
20753273,ejection fraction,射出率,,2022-09-05
20753274,ejection phase index,射出期指數,,2022-09-05
20753275,ejection sound,射出音,,2022-09-05
20753276,ejection systolic murmur,射出性收縮期雜音,,2022-09-05
20753277,Ekbom's disease,寄生蟲病妄想症,,2022-09-05
20753278,el Caribe dermatitis,搖尾幼蟲皮膚炎,,2022-09-05
20753279,elastase,彈力酶,,2022-09-05
20753280,elastic,彈性的,,2022-09-05
20753281,elastic bandage,彈性繃帶,,2022-09-05
20753282,elastic dystrophy,彈力纖維營養不良,,2022-09-05
20753283,elastic fibers,彈力纖維,,2022-09-05
20753284,elastic macrofibrils,彈力微小纖維,,2022-09-05
20753285,elastic nevus,彈力痣,,2022-09-05
20753286,elastic skin,彈性皮,,2022-09-05
20753287,elastic stocking,彈性襪,,2022-09-05
20753288,elastic tissue fibrillar protein,彈力組織小纖維蛋白,,2022-09-05
20753289,elastic tissue nevus,彈力組織痣,,2022-09-05
20753290,elastic wave propagation tests,彈力波傳導試驗,,2022-09-05
20753291,elastica,彈性,,2022-09-05
20753292,elasticum,彈性纖維,,2022-09-05
20753293,elastin,彈力素,,2022-09-05
20753294,elastin disease,彈力素病,,2022-09-05
20753295,elastoderma,彈力皮症,,2022-09-05
20753296,elastofibrolipoma,彈力纖維脂肪瘤,,2022-09-05
20753297,elastofibroma dorsi,背部彈力纖維瘤,,2022-09-05
20753298,elastoid,彈力樣質,,2022-09-05
20753299,elastoid degeneration,彈力樣變性,,2022-09-05
20753300,elastolysis,彈性質溶解,,2022-09-05
20753301,"elastolysis, generalized",廣泛性彈力纖維分解,,2022-09-05
20753302,"elastolysis, idiopathic mid-dermal",特發性真皮中層彈力纖維分解,,2022-09-05
20753303,"elastolysis, localized",侷限性彈力纖維分解,,2022-09-05
20753304,"elastolysis, perifollicular",毛囊周圍彈力纖維分解,,2022-09-05
20753305,"elastolysis, postinflammatory",發炎後彈力纖維分解,,2022-09-05
20753306,elastoma,彈性組織瘤,,2022-09-05
20753307,elastoma intrapapillare perforans verruciforme,疣樣穿通性乳突內彈力瘤,,2022-09-05
20753308,"elastoma, juvenile",青年性彈力瘤,,2022-09-05
20753309,"elastoma, perforating",穿通性彈力瘤,,2022-09-05
20753310,elastorrhexis,彈力纖維斷裂,,2022-09-05
20753311,"elastorrhexis, generalized",廣泛性彈力纖維斷裂,,2022-09-05
20753312,"elastorrhexis, papular",丘疹性彈力纖維斷裂,,2022-09-05
20753313,"elastorrhexis, systematized",系統性彈力纖維斷裂,,2022-09-05
20753314,elastosis,彈性組織變性,,2022-09-05
