ID,英文名稱,中文名稱,圖片,更新日期
199208,roll crusher,輥碎機,,2012-11-26
199209,roll[ing] scale,軋屑,,2012-11-26
199210,rodding,砂心骨,,2012-11-26
199211,roll,1.軋輥 2.輥子,,2012-11-26
624997,rod straightener,桿條矯直機,,2012-11-26
624998,rod feeding,攪拌補給,,2012-11-26
624999,Rockwell hardness tester,洛氏硬度試驗機,,2012-11-26
625000,Rockwell hardness test,洛氏硬度試驗,,2012-11-26
625001,Rockwell hardness,洛氏硬度,,2012-11-26
625002,rockover core making machine,翻轉式砂心機,,2012-11-26
625003,rocking furnace,搖動爐,,2012-11-26
625004,rock candy [fracture],冰糖形斷面（鑄疵）,,2012-11-26
625005,roast sand mold,表面烘乾砂模,,2012-11-26
625006,river sand,河砂,,2012-11-26
625007,rising mark,突出標誌,,2012-11-26
625008,rising,鑄瘤,,2012-11-26
625009,riser runner,冒口流道,,2012-11-26
625010,riser pad,冒口墊,,2012-11-26
625011,riser neck,冒口頸,,2012-11-26
625012,riser height,冒口高度,,2012-11-26
625013,riser gate,冒口進模口,,2012-11-26
625014,riser bush,冒口套,,2012-11-26
625015,riser,冒口,,2012-11-26
625016,ripple,波紋,,2012-11-26
625017,ring shake,環形裂縫（木材）,,2012-11-26
625018,ring runner,環形流道,,2012-11-26
625019,ring gate,環形進模口,,2012-11-26
625020,ring balance,環秤（風量計）,,2012-11-26
625021,rimmed steel,未靜鋼；淨緣鋼,,2012-11-26
625022,rim type heating,環狀加熱,,2012-11-26
625023,rim,1.邊線；輪緣 2.胎環,,2012-11-26
625024,rigidity,剛性,,2012-11-26
625025,rigging,配置模型,,2012-11-26
625026,riddled sand,篩分砂,,2012-11-26
625027,riddle,粗篩,,2012-11-26
625028,rib,肋,,2012-11-26
625029,rhombic system,斜方晶系（結晶）,,2012-11-26
625030,rhodium,銠（Rh）,,2012-11-26
625031,rhenium,錸（Re）（稀金屬元素）,,2012-11-26
625032,Reynold's number（R）,雷諾數,,2012-11-26
625033,revolving speed,轉速,,2012-11-26
625034,reversible pattern plate,可翻轉模型板,,2012-11-26
625035,reverse mottle,逆冷硬麻口（展性鑄鐵鑄疵）,,2012-11-26
625036,reverse horn gate,反喇叭形澆口,,2012-11-26
625037,reverse chill,逆冷硬（鑄疵）,,2012-11-26
625038,reverberatory furnace,反射爐,,2012-11-26
625039,returns,回爐料,,2012-11-26
625040,return scrap,回爐廢料,,2012-11-26
625041,return sand,循環砂,,2012-11-26
625042,return facilities,回程裝置（壓鑄）,,2012-11-26
625043,retort carbon,蒸餾碳,,2012-11-26
625044,retort,蒸餾器,,2012-11-26
625045,retained strength（sand）,殘留強度（鑄砂）,,2012-11-26
625046,retained austenite,殘留沃斯田鐵,,2012-11-26
625047,respirator,1.防塵面具 2.口罩,,2012-11-26
625048,resolution,分解,,2012-11-26
625049,resistivity,1.電阻係數 2.電阻性,,2012-11-26
625050,resistance to thermal shocks,熱震阻力,,2012-11-26
625051,resistance to metal penetration,金屬穿透阻力（砂模）,,2012-11-26
625052,resistance spiral,蝸旋電阻線,,2012-11-26
625053,resistance pyrometer,電阻高溫計,,2012-11-26
625054,resistance furnace,電阻爐,,2012-11-26
625055,resin sand,樹脂砂,,2012-11-26
625056,resin particle,樹脂微粒,,2012-11-26
625057,resin modified core oil,樹脂調質砂心油,,2012-11-26
625058,resin modification,樹脂調質,,2012-11-26
625059,resin coated sand,樹脂裏貼砂,,2012-11-26
625060,resin bonding plant,樹脂裏貼工場,,2012-11-26
625061,resin binder,樹脂黏結劑,,2012-11-26
625062,resin,樹脂,,2012-11-26
625063,resilience,彈性能,,2012-11-26
625064,residues,1.殘留物 2.篩留物,,2012-11-26
625065,residue after ignition,燃餘殘留物,,2012-11-26
625066,residue,殘留物,,2012-11-26
625067,residual stress,殘留應力,,2012-11-26
625068,residual strain,殘留應變,,2012-11-26
625069,residual pearlite,殘留波來鐵,,2012-11-26
625070,residual magnetism,殘磁,,2012-11-26
625071,residual dust content,殘留塵量,,2012-11-26
625072,residual cementite,殘留雪明碳鐵,,2012-11-26
625073,research engineer,研究工程師,,2012-11-26
625074,repreparation,再處理,,2012-11-26
625075,repouring,補澆,,2012-11-26
625076,replica,複製品,,2012-11-26
625077,replenishment quartz sand,重整石英砂,,2012-11-26
625078,replacing pattern in the mold,復置模型試模,,2012-11-26
625079,replacement unit,換置組件（壓鑄模）,,2012-11-26
625080,rephosphorization,復磷,,2012-11-26
625081,repetition castings,續製鑄件,,2012-11-26
625082,repeated use of sand,舊砂復用,,2012-11-26
625083,repeated transverse impact test,反覆橫斷衝擊試驗,,2012-11-26
625084,repeated impact test,反覆衝擊試驗,,2012-11-26
625085,repair,修補,,2012-11-26
625086,removal,排除；移動,,2012-11-26
625087,removable tilting forehearth,移動式可傾前爐,,2012-11-26
625088,removable clay matter,可分離沈澱物,,2012-11-26
625089,remelting,重熔,,2012-11-26
625090,remelted pig iron,再生鐵,,2012-11-26
625091,remanent magnetism,殘留磁氣,,2012-11-26
625092,remaining melt,殘留金屬液,,2012-11-26
625093,reloading,再負載,,2012-11-26
625094,relining,換襯,,2012-11-26
625095,relief sprue,緩衝冒口,,2012-11-26
625096,reliability,可靠性,,2012-11-26
625097,release agent,離模劑,,2012-11-26
625098,relaxation test,鬆弛試驗,,2012-11-26
625099,relative humidity,相對濕度,,2012-11-26
625100,relative hardness,相對硬度,,2012-11-26
625101,relative frequency,相對頻率,,2012-11-26
625102,reladle,澆桶轉澆,,2012-11-26
625103,rejects,不良品,,2012-11-26
625104,rejection rate（reject ratio）,廢品率；退件率；不良率,,2012-11-26
625105,rejection number,不良件數；退件數,,2012-11-26
625106,rejection,退貨,,2012-11-26
625107,reject ratio,廢品率；退件率；不良率,,2012-11-26
625108,reinforcing rib,加強肋,,2012-11-26
625109,reinforcing band,加強帶,,2012-11-26
625110,reinforcement（paddling）,墊厚（鑄造技術）,,2012-11-26
625111,reheating furnace,再熱爐,,2012-11-26
625112,regulator,調整器,,2012-11-26
625113,regular gray iron,普通灰〔口〕鑄鐵,,2012-11-26
625114,register,記錄儀,,2012-11-26
625115,regenerator,1.蓄熱器 2.再生器,,2012-11-26
625116,regenerative system,蓄熱系統,,2012-11-26
625117,regeneration,1.回熱 2.蓄熱 3.再生,,2012-11-26
625118,regenerating furnace,蓄熱爐,,2012-11-26
625119,refrigerating plant parts,冷凍廠機件,,2012-11-26
625120,refractory wash,耐火泥漿,,2012-11-26
625121,refractory ramming compound,耐火搗料,,2012-11-26
625122,refractory quality,耐火性,,2012-11-26
625123,refractory patching mixture,耐火修補料,,2012-11-26
625124,refractory mortar,耐火泥,,2012-11-26
625125,refractory materials,耐火材料,,2012-11-26
625126,refractory furnace lining,耐火爐襯,,2012-11-26
625127,refractory dressing,耐火塗料,,2012-11-26
625128,refractory deposition,耐火層,,2012-11-26
625129,refractory concrete,耐火混凝土,,2012-11-26
625130,refractory coating,耐火塗料,,2012-11-26
625131,refractory clay,耐火黏土,,2012-11-26
625132,refractory cement,耐火水泥,,2012-11-26
625133,refractory brick,耐火磚,,2012-11-26
625134,refractoriness,1.耐火度 2.耐火性,,2012-11-26
625135,refractories,耐火材料,,2012-11-26
625136,refining flux,精煉熔劑,,2012-11-26
625137,refining by oxidation,氧化精煉,,2012-11-26
625138,refining,精煉,,2012-11-26
625139,refinery,精煉廠,,2012-11-26
625140,refined iron,精煉鐵,,2012-11-26
625141,reference analysis,參考分析,,2012-11-26
625142,reduction of area,縮面率,,2012-11-26
625143,reduction,還原,,2012-11-26
625144,reducing slag,還原渣,,2012-11-26
625145,reducing period,還原期,,2012-11-26
625146,reducing condition,還原狀態,,2012-11-26
625147,reducing atmosphere,還原性蒙氣,,2012-11-26
625148,reducing agent,還原劑,,2012-11-26
625149,red shortness,紅熱脆性,,2012-11-26
625150,red oxide（rouge）,紅丹；紅鐵粉,,2012-11-26
625151,red iron-oxide,紅鐵粉,,2017-07-27
625152,red heat temperature,紅熱溫度,,2012-11-26
625153,red brass,紅黃銅,,2012-11-26
625154,recuperator,復熱器,,2012-11-26
625155,recuperative system,復熱系統,,2012-11-26
625156,rectifier,整流器,,2012-11-26
625157,recrystallization temperature,再結晶溫度,,2012-11-26
625158,recrystallization,再結晶,,2012-11-26
625159,recovery,回收率,,2012-11-26
625160,recording controller,記錄控制儀,,2012-11-26
625161,recooling system,再冷卻系統,,2012-11-26
625162,reconditioned sand,再處理砂,,2012-11-26
625163,reclamation sand,再生砂,,2012-11-26
625164,recirculation system sand,循環砂,,2012-11-26
625165,receiving laddle,爐前盛桶,,2012-11-26
625166,receiving furnace,保溫爐,,2012-11-26
625167,receiver（fore-hearth）,前爐,,2012-11-26
625168,recasting,重鑄,,2012-11-26
625169,recarburizing agent,增碳劑,,2012-11-26
625170,recarburizer,增碳劑,,2012-11-26
625171,recarburization coke,增碳焦,,2012-11-26
625172,recarburization,增碳,,2012-11-26
625173,recalescent point,1.再熾點 2.再輝點,,2012-11-26
625174,recalescence,1.再熾 2.再輝,,2012-11-26
625175,rebound hardness test,反跳硬度試驗,,2012-11-26
625176,rebonded sand,再黏接砂,,2012-11-26
625177,rear slagging spout,後端出渣槽,,2012-11-26
625178,reactivity,反應度,,2012-11-26
625179,reaction zone,反應帶,,2012-11-26
625180,raw untreated sand,未處理原砂,,2012-11-26
625181,raw steel,粗鋼,,2012-11-26
625182,raw materials,原料,,2012-11-26
625183,rattler,打磨滾筒,,2012-11-26
625184,rationalization scheme,合理計畫,,2012-11-26
625185,rate of rejects,廢品率,,2012-11-26
625186,rate of reaction,反應速率,,2012-11-26
625187,rate of decarburization,脫碳率,,2012-11-26
625188,rate of creep,潛變速率,,2012-11-26
625189,rate of combustion,燃燒率,,2012-11-26
625190,rat tail,剝砂痕（鑄疵）,,2012-11-26
625191,rat,隆塊（鑄疵）,,2012-11-26
625192,rare earth metals,稀土金屬,,2012-11-26
625193,rapping spike,起模長針,,2012-11-26
625194,rapping hammer,敲鎚,,2012-11-26
625195,rapping plate,起模墊板,,2012-11-26
625196,rapping bar,敲桿,,2012-11-26
625197,rapping,輕敲；起模,,2012-11-26
625198,rapper,敲模器,,2012-11-26
625199,rapid testing procedure,快速試驗法,,2012-11-26
625200,range of application,使用範圍,,2012-11-26
