ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
1245300,diurnal variation,日變,,* [风速或风功率密度]日变化,2012-11-26
1245301,safety related electrical equipment for NPP,核能電廠安全級電氣設備,,* 1E级电气设备,2012-11-26
1245302,hold point,滯留檢查點,,* H点,2012-11-26
1245303,sodium ion analyzer,pNa計；鈉度計,,* pNa计,2012-11-26
1245304,polyvinyl chloride insulated cable,聚氯乙烯（PVC）絕緣電纜,,* PVC电缆,2012-11-26
1245305,"sulfur hexafluoride circuit-breaker, SF6 circuit-breaker",SF6斷路器；六氟化硫斷路器,,* SF6断路器,2012-11-26
1245306,W-flame firing,W火焰燃燒,,* W火焰燃烧,2012-11-26
1245307,witness point,W點；見證點,,* W点,2012-11-26
1245308,cross-linked polyethylene insulated cable,XLPE電纜；交聯聚乙烯絕緣電纜,,* XLPE电缆,2012-11-26
1245309,primary air ratio,一次風比率,,* 一次风份额,2012-11-26
1245310,one-and-a-half breaker configuration,一個半斷路器配置,,* 二分之三断路器接线,2012-11-26
1245311,secondary neutron source,二次中子源,,* 二次中子源,2012-11-26
1245312,secondary neutron source assembly,二次中子源組件,,* 二次中子源组件,2012-11-26
1245313,secondary air ratio,二次空氣比,,* 二次风份额,2012-11-26
1245314,one-port network,單口網路；二端網路,,* 二端网络,2012-11-26
1245315,rain making,人工降雨；人工降水,,* 人工降雨,2012-11-26
1245316,high speed grounding switch,快速接地開關,,* 人工接地刀闸,2012-11-26
1245317,exhaust air rate,廢氣排放率,,* 三次风份额,2012-11-26
1245318,upper reservoir,上水庫,,* 上水库,2012-11-26
1245319,atmospheric correction factor,大氣條件修正因數,,* 大气条件校正因数,2012-11-26
1245320,lightning overvoltage,雷擊過電壓,,* 大气过电压,2012-11-26
1245321,small dike on levee crown,子撚；子堤,,* 子捻,2012-11-26
1245322,hour-ahead trading,時前交易,,* 小时前交易,2013-05-03
1245323,seasonal regulation,季節性調整,,* 不完全年调节,2012-11-26
1245324,neutron fluence rate,中子通量率,,* 中子通量,2012-11-26
1245325,neutron cycle,中子循環,,* 中子寿命循环,2012-11-26
1245326,neutron fluence,中子通量,,* 中子积分通量,2012-11-26
1245327,normal year,平均年,,* 中水年,2012-11-26
1245328,intermediate cooling circuit,中間冷卻迴路,,* 中间回路,2012-11-26
1245329,current matching transformer,中間式電流互感器；匹配式電流互感器；電流匹配互感器,,* 中间式电流互感器,2012-11-26
1245330,commutating pole,換向極；整流極；輔助極,,* 中间极,2012-11-26
1245331,distributing header,分配集箱,,* 分配集箱,2012-11-26
1245332,breaking,斷路；斷裂,,* 分断,2012-11-26
1245333,temperature rise rate,升溫率；升溫速度,,* 升温率,2012-11-26
1245334,in-hour equation,反應性方程；倒時方程,,* 反应性方程,2012-11-26
1245335,reactor power coefficient,反應性功率係數,,* 反应性微分功率系数,2012-11-26
1245336,power defect,功率虧損,,* 反应性积分功率系数,2012-11-26
1245337,reactor power excursion,反應器功率劇增,,* 反应堆功率剧增,2012-11-26
1245338,reactor period,反應器周期；反應堆周期,,* 反应堆时间常数,2012-11-26
1245339,reactor thermo-hydraulics,反應器熱流體力學,,* 反应堆热工学,2012-11-26
1245340,space disposal,太空處置；宇宙處置,,* 太空处置,2012-11-26
1245341,solar energy collection,太陽能採集；太陽能收集,,* 太阳能采集,2012-11-26
1245342,solar energy,太陽能,,* 太阳辐射能,2012-11-26
1245343,pitting attack,孔蝕；點腐蝕,,* 孔蚀,2012-11-26
1245344,corbel,支托 ；托臂,,* 支托,2012-11-26
1245345,rotor arm,轉子支架,,* 支臂,2012-11-26
1245346,thrust bearing,推力軸承,,* 止推轴承,2012-11-26
1245347,specific volume,比容積；體積度,,* 比容,2012-11-26
1245348,specific speed,比速；比轉速,,* 比速,2012-11-26
1245349,absolute humidity,絕對濕度,,* 比湿度,2012-11-26
1245350,"hydropower station, hydropower project",水力發電站 ；水力發電樞紐,,* 水力发电枢纽,2012-11-26
1245351,hydraulic model test,水力學模型試驗；水工模型試驗,,* 水力学模型试验,2012-11-26
1245352,hydrological computation,水文計算,,* 水文分析计算,2012-11-26
1245353,wind span,風載檔距,,* 水平档距,2012-11-26
1245354,steel reinforced concrete pole,鋼筋混凝土桿,,* 水泥杆,2012-11-26
1245355,gate seal,閘門密封,,* 水封,2012-11-26
