ID,英文名稱,中文名稱,圖片,更新日期
20824105,internal memory storage,內部記憶體儲存器,,2022-09-08
20824106,internal memory test,內部記憶體試驗,,2022-09-08
20824107,internal model,內部模型,,2022-09-08
20824108,internal modem,內部數據機,,2022-09-08
20824109,internal molecule,內部分子,,2022-09-08
20824110,internal monitor,內部監視器,,2022-09-08
20824111,internal monitoring,內部監控,,2022-09-08
20824112,internal noise,內部雜訊,,2022-09-08
20824113,internal oxidation,內部氧化,,2022-09-08
20824114,internal pad,內部襯墊,,2022-09-08
20824115,internal parameter,內部參數,,2022-09-08
20824116,internal passage,內部通道,,2022-09-08
20824117,internal PCB,內部印刷電路板,,2022-09-08
20824118,internal photoelectric effect,內光電效應,,2022-09-08
20824119,internal power supply,內部電源供應器,,2022-09-08
20824120,internal power voltage,內部電源電壓,,2022-09-08
20824121,internal powered equipment,內部電源設備,,2022-09-08
20824122,internal quality audits,內部品質稽核,,2022-09-08
20824123,internal quantum efficiency,內部量子效能,,2022-09-08
20824124,internal reflection phenomenon,內反射現象,,2022-09-08
20824125,internal reflection spectroscopy{=IRS},內反射光譜學,,2022-09-08
20824126,internal resistance,內電阻,,2022-09-08
20824127,internal resistance measuring method,內電阻量測法,,2022-09-08
20824128,internal resource,內部資源,,2022-09-08
20824129,internal schema,內部綱要,,2022-09-08
20824130,internal service,內部服務,,2022-09-08
20824131,internal short,內部短路,,2022-09-08
20824132,internal signal line,內部訊號線,,2022-09-08
20824133,internal signal source,內部信號源,,2022-09-08
20824134,internal spiral spring,內部螺旋彈簧,,2022-09-08
20824135,internal standardization,內部標準化,,2022-09-08
20824136,internal state,內部狀態,,2022-09-08
20824137,internal storage,內儲存[器],,2022-09-08
20824138,internal stress deformation,內部應力形變,,2022-09-08
20824139,internal stress phenomenon,內部應力現象,,2022-09-08
20824140,Internal stress{=IS},內部應力,,2022-09-08
20824141,internal stresses,內部壓力,,2022-09-08
20824142,internal structure,內部結構,,2022-09-08
20824143,internal surface,內表面,,2022-09-08
20824144,internal surface area,內部表面積,,2022-09-08
20824145,internal sync signal,內部同步信號,,2022-09-08
20824146,internal synchronization,內部同步,,2022-09-08
20824147,internal triggering,內部觸發,,2022-09-08
20824148,internal valve,內閥門；內閥,,2022-09-08
20824149,internal ventilation,內部通風,,2022-09-08
20824150,internal voltage,內部電壓,,2022-09-08
20824151,internal voltage amplification,內電壓放大,,2022-09-08
20824152,internal voltage controlling circuit,內部電壓控制電路,,2022-09-08
20824153,internal voltage level,內部電壓位準,,2022-09-08
20824154,internal volume,內部容積,,2022-09-08
20824155,internally channel coding,內部通道編碼,,2022-09-08
20824156,internally powered equipment,內電源驅動設備,,2022-09-08
20824157,internally stored program,內儲程式,,2022-09-08
20824158,International airline,國際航線,,2022-09-08
20824159,international atomic time{=TAI},國際原子時間,,2022-09-08
20824160,International Bureau of Weights and Measures{=BIPM},國際度量衡局,,2022-09-08
20824161,international call,國際電話,,2022-09-08
20824162,international circuit,國際電路,,2022-09-08
20824163,international committee for information technology standards{=INCITS},國際資訊技術標準委員會,,2022-09-08
20824164,International Convention for the Safety of Life at Sea{=SOLAS},海上生命安全公約,,2022-09-08
20824165,international distress frequency,國際遇險頻率,,2022-09-08
20824166,international driver's license,國際駕照；國際駕駛執照,,2022-09-08
20824167,international driving permit,國際駕照；國際駕駛執照,,2022-09-08
20824168,International Earth Rotation Service{=IERS},國際地球自轉服務,,2022-09-08
20824169,International Electrotechnical Commission{=IEC},國際電工委員會,,2022-09-08
20824170,international gate,國際轉接閘,,2022-09-08
20824171,International Lubricant Standardization and Approval Committee{=ILSAC},國際潤滑油標準暨認證委員會,,2022-09-08
20824172,International Marine Organization{=IMO},國際海事組織,,2022-09-08
20824173,International Maritime Dangerous Goods,國際海運組織危險貨物,,2022-09-08
20824174,international measurement standard,國際量測標準,,2022-09-08
20824175,international motor show,國際車展,,2022-09-08
20824176,International Organization for Standardization{=ISO},國際標準化組織,,2022-09-08
20824177,international practical temperature scale{=IPTS},國際實用溫度標,,2022-09-08
20824178,international railway through transport,國際鐵路聯運,,2022-09-08
20824179,international roaming,國際漫遊,,2022-09-08
20824180,international roaming telephone,國際漫遊電話,,2022-09-08
20824181,international rubber hardness degree scale{=IRHD scale},國際橡膠硬度標度,,2022-09-08
20824182,international society,國際社會,,2022-09-08
20824183,International Solid-State Circuits Conference{=ISSCC},國際固態電路研討會,,2022-09-08
20824184,international standard,國際標準,,2022-09-08
20824185,international standard book number{=ISBN},國際標準書號,,2022-09-08
20824186,International Standards Organisation,國際標準化組織,,2022-09-08
20824187,International System of Quantities{=ISQ},國際量制,,2022-09-08
20824188,International System of Units{=SI},國際單位制,,2022-09-08
20824189,international technology roadmap for semiconductors{=ITRS},國際半導體技術指標,,2022-09-08
20824190,International Telecommunication Union,國際電信聯盟,,2022-09-08
20824191,international telephone,國際電話,,2022-09-08
20824192,international temperature scale,國際溫度標,,2022-09-08
20824193,internationalization,國際化,,2022-09-08
20824194,internet,網際網路,,2022-09-08
20824195,internet activity,網路活動,,2022-09-08
20824196,internet ad,網路廣告；網際網路廣告,,2022-09-08
20824197,internet advertisement,網路廣告,,2022-09-08
20824198,internet advertisement screen display,網際網路廣告螢幕顯示,,2022-09-08
20824199,internet advertising,網路廣告,,2022-09-08
20824200,Internet assigned numbers authority{=IANA},網際網路指定號碼機構,,2022-09-08
20824201,internet broadcasting system,網際網路廣播系統,,2022-09-08
20824202,internet browser,網際網路瀏覽器,,2022-09-08
20824203,internet camera,網際網路攝影機,,2022-09-08
20824204,Internet celebrity fans,網路紅人,,2022-09-08
20824205,internet characteristic,網路特性,,2022-09-08
20824206,Internet engineering task force{=IETF},網際網路工程任務編組,,2022-09-08
20824207,internet game,網路遊戲,,2022-09-08
20824208,internet game cheating,網路遊戲作弊,,2022-09-08
20824209,internet gateway,網際網路閘道,,2022-09-08
20824210,internet information,網路資訊；網際網路資訊,,2022-09-08
20824211,internet interaction,網路互動,,2022-09-08
20824212,Internet inter-orb protocol{=IIOP},網際網路 ORB 間協定,,2022-09-08
20824213,Internet key exchange{=IKE},網際網路金鑰交換,,2022-09-08
20824214,Internet marketing system,網際網路行銷系統,,2022-09-08
20824215,Internet message access protocol v4{=IMAP4},網際網路訊息存取協定第4版,,2022-09-08
20824216,internet multimedia,網際網路多媒體,,2022-09-08
20824217,Internet of thing{=IOT},物聯網,,2022-09-08
20824218,Internet of things chip,物聯網晶片,,2022-09-08
20824219,Internet of things chips,物聯網晶片,,2022-09-08
20824220,Internet of things{=IOT},物聯網,,2022-09-08
20824221,Internet of underwater things{=IoUT},水下物聯網,,2022-09-08
20824222,Internet of vehicle,車聯網,,2022-09-08
20824223,Internet of vehicles,車聯網,,2022-09-08
20824224,internet payment,網路付款；網際網路付款,,2022-09-08
20824225,Internet phone call,網路電話,,2022-09-08
20824226,internet phone system,網路電話系統,,2022-09-08
20824227,internet platform,網際網路平台,,2022-09-08
20824228,internet protocol network,網際網路協定,,2022-09-08
20824229,Internet protocol security,網際網路協定安全,,2022-09-08
20824230,Internet protocol version 4{=IPv4},網際網路協定第4版,,2022-09-08
20824231,internet protocol version 6{=IPv6},網際網路協定第6版,,2022-09-08
20824232,internet protocol{=IP},網際網路協定,,2022-09-08
20824233,Internet relay chat,網際網路即時聊天,,2022-09-08
20824234,internet searching,網際網路搜尋,,2022-09-08
20824235,internet security,網路安全,,2022-09-08
20824236,Internet security association and key management protocol{=ISAKMP},網際網路安全關聯與金鑰管理協定,,2022-09-08
20824237,internet service,網際網路服務,,2022-09-08
20824238,Internet service provider{=ISP},網際網路服務提供者,,2022-09-08
20824239,internet shop,網路商店,,2022-09-08
20824240,Internet software service,網際網路軟體服務,,2022-09-08
20824241,internet telephony,網際網路電話,,2022-09-08
20824242,internet trade,網路交易,,2022-09-08
20824243,internet transaction,網路交易,,2022-09-08
20824244,internet transmission,網路傳輸,,2022-09-08
20824245,internet user,網路使用者,,2022-09-08
20824246,internet virtual,網際網路虛擬,,2022-09-08
20824247,internet voice communication,網際網路語音通訊,,2022-09-08
20824248,Internetwork packet exchange{=IPX},網際網路封包交換協定；網間封包交換,,2022-09-08
20824249,Internetworking,互連網路,,2022-09-08
20824250,internship satisfaction,實習滿意度,,2022-09-08
20824251,internship stress,實習壓力,,2022-09-08
20824252,interoperability,可交互運作性；互運性,,2022-09-08
20824253,interoperability testing,互運性測試,,2022-09-08
20824254,interpenetrating sampling,交叉取樣,,2022-09-08
20824255,interpersonal relationship,人際關係,,2022-09-08
20824256,interphone,互通機,,2022-09-08
20824257,Inter-picture Prediction Mode,畫面間預測模式,,2022-09-08
20824258,interpolate,內插,,2022-09-08
20824259,interpolated timing recovery,內插時序回復,,2022-09-08
20824260,interpolated video,內插視訊,,2022-09-08
20824261,interpolating,內插,,2022-09-08
20824262,interpolating arrangement,插入配置,,2022-09-08
20824263,interpolation,內插,,2022-09-08
20824264,interpolation and function approximation,內插與函數近似,,2022-09-08
20824265,interpolation band,內插帶,,2022-09-08
20824266,"interpolation circuit, interpolator",內插電路內插器,,2022-09-08
20824267,interpolation curve,內插曲線,,2022-09-08
20824268,interpolation data,內插資料,,2022-09-08
20824269,interpolation direction,內插方向,,2022-09-08
20824270,interpolation filter,內差濾波器,,2022-09-08
20824271,interpolation function,內插函數,,2022-09-08
20824272,interpolation function generation circuit,內插函數產生電路,,2022-09-08
20824273,interpolation of high-precision frequency modulation system,高精度調頻系統內插法,,2022-09-08
20824274,interpolation point,內插點,,2022-09-08
20824275,interpolation processing section,內插處理區段,,2022-09-08
20824276,interpolator output,內插器輸出,,2022-09-08
20824277,interpoly,多晶矽層,,2022-09-08
20824278,interpoly dielectric,多晶矽介質層,,2022-09-08
20824279,interpoly dielectrics{=IPD},多晶矽層電介質,,2022-09-08
20824280,interpoly oxide{=IPO},多晶間氧化物,,2022-09-08
20824281,interpoly tunneling,多晶矽層調變,,2022-09-08
20824282,interpretation,解譯,,2022-09-08
20824283,interpretation degree,解析度,,2022-09-08
20824284,interpretation engine,解譯引擎,,2022-09-08
20824285,Interpretation of Observations,轉譯觀察,,2022-09-08
20824286,interpreted meaning,解譯意義,,2022-09-08
20824287,interpreter,譯印機,,2022-09-08
20824288,interpreter apparatus,直譯裝置,,2022-09-08
20824289,interpreter code,直譯程式碼,,2022-09-08
20824290,interpreter directive,解譯器指令,,2022-09-08
20824291,interpreter engine,解譯器引擎,,2022-09-08
20824292,interpretive code,解譯碼,,2022-09-08
20824293,interpretive program,解譯程式,,2022-09-08
20824294,interprocess communication,程序間通訊,,2022-09-08
20824295,inter-process communication{=IPC},過程間通訊,,2022-09-08
20824296,inter-processing communication,處理間通信,,2022-09-08
20824297,interrogating,查詢,,2022-09-08
20824298,interrogation,詢答,,2022-09-08
20824299,interrogation field,詢答場,,2022-09-08
20824300,interrogation mode,訊問模式,,2022-09-08
20824301,interrogation zone,詢答區帶,,2022-09-08
20824302,interrogator,詢答器；訊問器,,2022-09-08
20824303,interrogator station,詢答站,,2022-09-08
20824304,interrupt,中斷,,2022-09-08
20824305,interrupt condition,中斷狀況,,2022-09-08
20824306,interrupt control,中斷控制,,2022-09-08
20824307,interrupt control device bus,中斷控制裝置匯流排,,2022-09-08
20824308,interrupt destination,岔斷目的地,,2022-09-08
20824309,interrupt device,中斷裝置,,2022-09-08
20824310,interrupt entry,中斷進入,,2022-09-08
20824311,interrupt flag,中斷旗標,,2022-09-08
20824312,interrupt flag holding circuit,中斷旗標保持電路,,2022-09-08
20824313,interrupt force,中斷強制,,2022-09-08
20824314,interrupt generator,中斷產生器,,2022-09-08
20824315,interrupt handler,中斷處置器,,2022-09-08
20824316,interrupt handling,中斷處理,,2022-09-08
20824317,interrupt handling capability,中斷處置能力,,2022-09-08
20824318,Interrupt instruction,中斷指令,,2022-09-08
20824319,interrupt instruction register,中斷指令暫存器,,2022-09-08
20824320,interrupt mask,中斷遮罩,,2022-09-08
20824321,interrupt processing program,中斷處理程式,,2022-09-08
20824322,interrupt receive,中斷接收,,2022-09-08
20824323,interrupt service system,中斷服務系統,,2022-09-08
20824324,interrupt signal control,中斷信號控制,,2022-09-08
20824325,interrupt signal generating,中斷信號產生,,2022-09-08
20824326,interrupt signal pin,中斷信號接腳,,2022-09-08
20824327,interrupt vector,中斷向量,,2022-09-08
20824328,interrupt vector content,中斷向量內容,,2022-09-08
20824329,interrupt vector table,中斷向量表,,2022-09-08
20824330,interrupted current,斷續電流,,2022-09-08
20824331,interrupted injection,間歇噴射,,2022-09-08
20824332,interrupters,斷路器,,2022-09-08
20824333,interruptible-load transfer,可中斷負載轉移,,2022-09-08
20824334,interrupting capacity,啟斷容量,,2022-09-08
20824335,interruption inhibition,中斷禁止,,2022-09-08
20824336,interruption threshold,中斷定限；斷電定限,,2022-09-08
20824337,interruption-free positioning,無中斷定位,,2022-09-08
20824338,interrupt coalescing system,中斷合併系統,,
20824339,intersatellite laser communication,衛星間雷射通訊,,2022-09-08
20824340,intersecting description,雙重描述,,2022-09-08
20824341,intersecting waveguide,交叉波導,,2022-09-08
20824342,intersection,十字路口,,2022-09-08
20824343,intersection collision avoidance,路口防撞,,2022-09-08
20824344,intersection guiding,交叉點導引,,2022-09-08
20824345,intersection point,交叉點,,2022-09-08
20824346,intersection set,交集,,2022-09-08
20824347,intersomatic implant,骨間移植物,,2022-09-08
20824348,interstation noise suppression,台際雜訊遏止,,2022-09-08
20824349,interstice,間隙,,2022-09-08
20824350,interstitial cluster,間隙（缺陷）叢集,,2022-09-08
20824351,interstitial diffusion,間隙擴散,,2022-09-08
20824352,interstitial impurity,間位雜質,,2022-09-08
20824353,interstitials,空隙,,2022-09-08
20824354,intersubband,子帶間,,2022-09-08
20824355,intersubband absorption,子帶間吸收,,2022-09-08
20824356,intersubband device,子能帶裝置,,2022-09-08
20824357,intersubband laser,內部子能帶間雷射,,2022-09-08
20824358,intersubband optical transition,內子能帶光傳送,,2022-09-08
20824359,intersubband semiconductor laser,內部子能帶半導體雷射,,2022-09-08
20824360,intersubband transition,內部子能帶轉變,,2022-09-08
20824361,intersublevel infrared photodetector,內部子能帶遠紅外光偵測器,,2022-09-08
20824362,intersymbol interference,碼間干擾,,2022-09-08
20824363,inter-symbol interference{=ISI},符號間干擾,,2022-09-08
20824364,intersystem interference,系統間干擾,,
20824365,interval,區間,,2022-09-08
20824366,interval configuration,區間組態,,2022-09-08
20824367,interval data,區間資料,,2022-09-08
20824368,interval data reading{=IDR},區間資料讀取,,2022-09-08
20824369,interval data recorder{=IDR},區間資料記錄器,,2022-09-08
20824370,interval insert,區間插入,,2022-09-08
20824371,interval meter,區間量錶；間隔表計,,2022-09-08
20824372,interval setting,間隔設定,,2022-09-08
20824373,interval type-2 fuzzy control system,區間型式二乏晰控制系統；區間型式二模糊控制系統,,2022-09-08
20824374,interval type-2 fuzzy logic,區間二型乏晰邏輯,,2022-09-08
20824375,Interval type-2 polynomial fuzzy output-feedback control,區間二型多項式模糊輸出回授控制,,2022-09-08
20824376,interval type-2 polynomial fuzzy system,區間型式二多項式乏晰系統；區間型式二多項式模糊系統,,2022-09-08
20824377,Interval type-2 T-S fuzzy control,區間二型 T-S 模糊控制,,2022-09-08
20824378,intervalley transfer mechanism,谷際轉移機制,,2022-09-08
20824379,intervalley transport time,谷際輸送時間,,2022-09-08
20824380,intervertebrae implant,椎間植體,,2022-09-08
20824381,intervertebral implant,椎間植入,,2022-09-08
20824382,interwork,互作,,2022-09-08
20824383,intimal thickening inhibitory agent,內膜增厚抑制劑,,2022-09-08
20824384,into the form of ointments,製成油膏形式,,2022-09-08
20824385,into the form of powder,製成粉劑形式,,2022-09-08
20824386,intolerable region,無法容忍的範圍,,2022-09-08
20824387,intra aortic balloon pump{=IABP},主動脈內氣球泵,,2022-09-08
20824388,intra application,內部應用,,2022-09-08
20824389,intra clutter visibility,雜波內可見性,,2022-09-08
20824390,intra coding,框內編碼,,2022-09-08
20824391,intra die variation,晶粒內變異,,2022-09-08
20824392,intra modal dispersion,模內色散,,2022-09-08
20824393,intra prediction,框內預測,,2022-09-08
20824394,intra uterine type,子宮內型,,2022-09-08
20824395,intraband carrier dynamics,內部能帶載子動力學,,2022-09-08
20824396,intraband telegraphy,帶內電報,,2022-09-08
20824397,intraband transition,帶內過渡,,2022-09-08
20824398,intracardiac procedure,心臟內手術,,2022-09-08
20824399,intracavity beam splitter,腔內分光束,,2022-09-08
20824400,intracavity contact,腔內接觸,,2022-09-08
20824401,intracavity frequency doubling,腔內倍頻,,2022-09-08
20824402,intracavity gas laser,內腔式氣體雷射器,,2022-09-08
20824403,intracavity laser,腔內雷射,,2022-09-08
