ID,英文名稱,中文名稱,圖片,更新日期
20331670,index word,索引字,,2022-08-12
20331671,index word register,索引字暫存器,,2022-08-12
20331672,indexable,可索引的,,2022-08-12
20331673,indexed access,索引存取,,2022-08-12
20331674,indexed access method{=IAM},索引存取方法,,2022-08-12
20331675,indexed address,索引位址,,2022-08-12
20331676,indexed addressing,索引定址,,2022-08-12
20331677,indexed addressing mode,索引定址模式,,2022-08-12
20331678,indexed component,索引組件,,2022-08-12
20331679,indexed data descriptor,索引資料描述符,,2022-08-12
20331680,indexed data name,索引資料名稱,,2022-08-12
20331681,indexed data set,索引資料集,,2022-08-12
20331682,indexed direct access method,索引直接存取法,,2022-08-12
20331683,indexed field,索引欄,,2022-08-12
20331684,indexed file,索引檔案；索引式資料檔,,2022-08-12
20331685,indexed file access,索引檔存取,,2022-08-12
20331686,indexed file load,索引檔案載入,,2022-08-12
20331687,indexed file organization,索引檔案組織,,2022-08-12
20331688,indexed file processing{=IFP},索引檔案處理,,2022-08-12
20331689,indexed file structure,索引檔案結構,,2022-08-12
20331690,indexed form array,索引表格陣列,,2022-08-12
20331691,indexed I/O,索引輸入輸出,,2022-08-12
20331692,indexed jump instruction,索引跳越指令,,2022-08-12
20331693,indexed linear list,索引線性串列,,2022-08-12
20331694,indexed list,索引串列,,2022-08-12
20331695,indexed loop,索引迴路,,2022-08-12
20331696,indexed mode,索引模式,,2022-08-12
20331697,indexed nonsequential file,索引非順序檔案,,2022-08-12
20331698,indexed object,具索引物件,,2022-08-12
20331699,indexed operand address,索引運算元位址,,2022-08-12
20331700,indexed organization,索引組織,,2022-08-12
20331701,indexed random access method{=IRAM},索引隨機存取法,,2022-08-12
20331702,indexed register,索引暫存器,,2022-08-12
20331703,indexed search,索引搜尋,,2022-08-12
20331704,indexed segment,索引段,,2022-08-12
20331705,indexed sequence{=IS},索引順序,,2022-08-12
20331706,indexed sequential access,索引順序存取,,2022-08-12
20331707,indexed sequential access method,索引順序存取方法,,2022-08-12
20331708,indexed sequential data set,索引順序資料集,,2022-08-12
20331709,indexed sequential file,索引順序檔案,,2022-08-12
20331710,indexed sequential file management,索引順序檔案管理,,2022-08-12
20331711,indexed sequential module,索引順序模組,,2022-08-12
20331712,indexed sequential organization,索引順序組織,,2022-08-12
20331713,indexed sequential storage,索引順序儲存,,2022-08-12
20331714,indexed sequential table retrieval,索引順序表檢索,,2022-08-12
20331715,indexed set type,索引集類型,,2022-08-12
20331716,indexed structure,索引結構,,2022-08-12
20331717,indexed variable,索引變數,,2022-08-12
20331718,indexed view,索引檢視,,2022-08-12
20331719,indexed zero page addressing,索引零頁定址,,2022-08-12
