ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
1251100,[absolute] frequency deviation,（絕對）頻（率偏）差,,[绝对]频偏,2012-11-26
1251101,[absolute] permeability,（絕對）磁導率,,[绝对]磁导率,2012-11-26
1251102,[absolute] permeability of vacuum,真空（絕對）磁導率,,真空[绝对]磁导率,2012-11-26
1251103,[absolute] permittivity,（絕對）電容率 ；（絕對）介電係數,,[绝对]电容率,2012-11-26
1251104,[absorbed] dose ratemeter,吸收劑量率儀,,吸收剂量率仪,2012-11-26
1251105,[accelerated] ageing test,（加速）老化試驗,,[加速]老化试验,2012-11-26
1251106,[actinic] erythema,（光化學）紅斑,,[光化学]红斑,2012-11-26
1251108,[aircraft] navigation lights,（飛機）導航燈,,[飞机]航行灯,2012-11-26
1251109,[ammonia] absorber,（氨氣）吸收器,,[氨气]吸收器,2012-11-26
1251110,[ammonia] generator,（氨氣）產生器,,[氨气]发生器,2012-11-26
1251111,[analogue] magnetic recorder,（模擬）磁記錄儀,,[模拟]磁记录仪,2012-11-26
1251112,[arc] current zero period,（電弧）電流零區,,[电弧]电流零区,2012-11-26
1251114,[biological] shield,生物遮罩（體）,,生物屏蔽[体],2012-11-26
1251115,[brush holder] rocker gear,（刷握）架調節裝置,,[刷握]架调节装置,2012-11-26
1251116,[brush holder] rocker yoke,（刷握）架座,,[刷握]架座,2012-11-26
1251117,[cell] electrode,（單體電池）電極,,[单体电池]电极,2012-11-26
1251118,[cell] source voltage,（電池）源電壓,,[电池]源电压,2012-11-26
1251119,[charge] carrier,載體,,载流子,2012-11-26
1251120,[circuit] valve,（電路）閥,,[电路]阀,2012-11-26
1251121,[cleaner] nozzle,（吸塵器）吸嘴,,[吸尘器]吸嘴,2012-11-26
1251122,[commutation] margin angle,裕度角,,裕度角,2012-11-26
1251123,[compressed] air brake,（壓縮）空氣制動,,[压缩]空气制动,2012-11-26
1251124,[contact] bouncing,（觸點）回跳,,[触点]回跳,2012-11-26
1251126,[d.c.] high-speed circuit-breaker,（直流）高速斷路器,,[直流]高速断路器,2012-11-26
1251127,[d.c.] main generator,（直流）主發電機,,[直流]主发电机,2012-11-26
1251128,[dielectric] loss index,（介質）損耗指數,,[介质]损耗指数,2012-11-26
1251129,[dish washer] rated dishwasher capacity,（洗碗機）額定洗滌容量,,[洗碗机]额定洗涤容量,2012-11-26
1251130,[dryer] cycle,（乾衣機）週期,,[干衣机]周期,2012-11-26
1251131,[dryer] rated capacity,（乾衣機）額定容量,,[干衣机]额定容量,2012-11-26
1251132,[effective] field ratio,（有效）勵磁率,,[有效]励磁率,2012-11-26
1251133,[effective] touch voltage,（有效）接觸電壓,,[有效]接触电压,2012-11-26
1251134,[electomagnetic] compatibility margin,（電磁）相容裕量,,[电磁]兼容裕量,2012-11-26
1251135,[electric] actuator,（電）執行器,,[电]执行器,2012-11-26
1251136,[electric] arc,（電）弧,,[电]弧,2012-11-26
1251137,[electric] blanket,電熱毯,,电热毯,2012-11-26
1251138,[electric] breakdown,（電氣）擊穿,,[电气]击穿,2012-11-26
1251139,[electric] charging,充電,,充电,2012-11-26
1251140,[electric] circuit [of an electrical installation],（電氣裝置的）電氣回路,,[电气装置的]电气回路,2012-11-26
1251141,[electric] coffee grinder,電動咖啡磨碎機,,电动咖啡磨,2012-11-26
1251142,[electric] coffee maker,電咖啡壺,,电咖啡壶,2012-11-26
1251143,[electric] coffee mill,電動咖啡碾,,电动咖啡碾,2012-11-26
1251144,[electric] discharge,放電,,放电,2012-11-26
1251145,[electric] kettle,電水壺,,电水壶,2012-11-26
1251146,[electric] motor coach,電動客車,,电动客车,2012-11-26
1251147,[electric] motor luggage car,電動行李車,,电动行李车,2012-11-26
1251148,[electric] motor train unit,電動車組,,电动车组,2012-11-26
1251149,[electric] motor vehicle,電動車輛,,电动车辆,2012-11-26
1251150,[electric] overblanket,電熱被,,电热被,2012-11-26
1251151,[electric] potential difference,電位差；電勢差,,电位差,2012-11-26
1251152,[electric] refrigerator,（電）冰箱,,[电]冰箱,2012-11-26
1251153,[electric] resolver,旋轉變壓器,,旋转变压器,2012-11-26
1251154,[electric] sensor,敏感元件,,敏感元件,2012-11-26
1251155,[electric] shoe polisher,（電動）擦鞋機,,[电动]擦鞋机,2012-11-26
1251156,[electric] shunt,（電）分流器,,[电]分流器,2012-11-26
1251157,[electric] tea kettle,電茶壺,,电茶壶,2012-11-26
1251158,[electric] tin opener,（電動）開罐頭器,,[电动]开罐头器,2012-11-26
1251159,[electric] tramway,有軌電車運輸方式,,有轨电车运输方式,2012-11-26
1251160,[electric] transducer,（電）感測器,,[电]传感器,2012-11-26
1251161,[electric] underblanket,電熱褥,,电热褥,2012-11-26
1251162,[electrical measuring] transducer,（電測量）變送器,,[电测量]变送器,2012-11-26
1251163,[electrical] insulating material,（電氣）絕緣材料,,[电气]绝缘材料,2012-11-26
1251164,[electrical] relay,（電氣）繼電器,,[电气]继电器,2012-11-26
1251165,[electrical] separation,電氣分隔,,电气分隔,2012-11-26
1251166,[electrical] winding,（電氣）繞組,,[电气]绕组,2012-11-26
1251167,[electrically] instructed person,受過培訓的（電氣）人員,,受过培训的[电气]人员,2012-11-26
1251168,[electrically] protective barrier,（電氣）保護遮欄,,[电气]保护遮栏,2012-11-26
1251169,[electrically] protective enclosure,（電氣）保護外殼,,[电气]保护外壳,2012-11-26
1251170,[electrically] protective obstacle,（電氣）保護阻擋物,,[电气]保护阻挡物,2012-11-26
1251171,"[electrically] protective screen, [electrically] protective shield",（電氣）保護遮罩（體）,,[电气]保护屏蔽[体],2012-11-26
1251172,"[electrically] protective screening, [electrically] protective shielding",（電氣）保護遮罩,,[电气]保护屏蔽,2012-11-26
1251173,[electrically] protective separation,（電氣）保護分隔,,[电气]保护分隔,2012-11-26
1251174,[electrically] skilled person,熟練（電氣）技術人員,,熟练[电气]技术人员,2012-11-26
1251175,[electrochemical] cell,（電化學）電池,,[电化学]电池,2012-11-26
1251176,[electrochemical] immunity,（電化學）免疫,,[电化学]免疫,2012-11-26
1251177,[electrochemical] migration,（電化學）遷移,,[电化学]迁移,2012-11-26
1251178,[electrochemical] passivity,（電化學）鈍態,,[电化学]钝态,2012-11-26
1251179,[electrochemical] separator,（電化學）隔板,,[电化学]隔板,2012-11-26
