ID,英文名稱,中文名稱,圖片,更新日期
21038635,atomic level,原子能階,,2022-09-29
21038636,atomic magnetic moment,原子磁矩,,2022-09-29
21038637,atomic mass,原子質量,,2022-09-29
21038638,atomic mass constant,原子質量常數,,2022-09-29
21038639,atomic mass conversion factor,原子質量轉換因數,,2022-09-29
21038640,atomic mass number,原子質量數,,2022-09-29
21038641,atomic mass unit{=AMU},原子質量單位,,2022-09-29
21038642,atomic medicine,原子醫學,,2022-09-29
21038643,atomic migration,原子徙動,,2022-09-29
21038644,atomic model,原子模型,,2022-09-29
21038645,atomic moderation ratio,原子緩和比,,2022-09-29
21038646,atomic molecule,原子分子,,2022-09-29
21038647,atomic moment,原子﹝電﹞矩,,2022-09-29
21038648,atomic nucleon,原子核子,,2022-09-29
21038649,atomic nucleus,原子核,,2022-09-29
21038650,atomic nucleus fission,原子核分裂,,2022-09-29
21038651,atomic nucleus fusion,原子核熔合,,2022-09-29
21038652,atomic nucleus transformation,原子核變換,,2022-09-29
21038653,atomic number,原子序,,2022-09-29
21038654,atomic orbit,原子軌道,,2022-09-29
21038655,atomic orbital function,原子軌道函數,,2022-09-29
21038656,atomic oxygen,原子氧,,2022-09-29
21038657,atomic parameters,原子參數,,2022-09-29
21038658,atomic particle,原子粒子,,2022-09-29
21038659,atomic per cent,原子百分率,,2022-09-29
21038660,atomic percentage,原子百分率,,2022-09-29
21038661,atomic photoelectric effect,原子光電效應,,2022-09-29
21038662,atomic physics,原子物理,,2022-09-29
21038663,atomic pile,原子堆,,2022-09-29
21038664,atomic plane,原子飛機；原子平面,,2022-09-29
21038665,atomic plant,原子廠,,2022-09-29
21038666,atomic polarizability,原子極化度,,2022-09-29
21038667,atomic polarization,原子極化,,2022-09-29
21038668,atomic population,原子密度,,2022-09-29
21038669,atomic position,原子位置,,2022-09-29
21038670,atomic power,原子力；原子能,,2022-09-29
21038671,atomic power development association{=APDA},原子力發展協會,,2022-09-29
21038672,atomic power facility,原子動力設施,,2022-09-29
21038673,atomic power plant,原子能電廠,,2022-09-29
21038674,atomic power station,核能電廠；原子能電廠,,2022-09-29
21038675,atomic project,原子計畫,,2022-09-29
21038676,atomic projectile,原子射彈,,2022-09-29
21038677,atomic properties,原子特性,,2022-09-29
21038678,atomic propulsion,原子推進,,2022-09-29
21038679,atomic radiation,原子輻射,,2022-09-29
21038680,atomic radiation source,原子輻射源,,2022-09-29
21038681,atomic radius,原子半徑,,2022-09-29
21038682,atomic ratio,原子比,,2022-09-29
21038683,atomic ration,原子比（率）,,2022-09-29
21038684,atomic raw material,原子原料,,2022-09-29
21038685,atomic rays,原子射線,,2022-09-29
21038686,atomic reactor,原子反應器,,2022-09-29
21038687,atomic rearrangement,原子重整化；原子重排作用,,2022-09-29
21038688,atomic recoil,原子反衝,,2022-09-29
21038689,atomic refraction,原子折射,,2022-09-29
21038690,atomic research,原子研究,,2022-09-29
21038691,atomic resolution,原子解析度,,2022-09-29
21038692,atomic resolution storage,原子解析度儲存,,2022-09-29
21038693,atomic resonance,原子共振,,2022-09-29
21038694,atomic resonator,原子共振器,,2022-09-29
21038695,atomic rotation,原子旋轉,,2022-09-29
21038696,Atomic Safety and Licensing Appeal Boards{=ASLAB},原子能安全和執照上訴委員會,,2022-09-29
21038697,Atomic Safety and Licensing Boards{=ASLB},原子能安全和執照委員會,,2022-09-29
21038698,atomic scale,原子標度,,2022-09-29
21038699,atomic scattering coefficient,原子散射係數,,2022-09-29
21038700,atomic scattering factor,原子散射因數,,2022-09-29
21038701,atomic scientist,原子科學家,,2022-09-29
21038702,Atomic Scientists,（英國）原子科學家協會,,2022-09-29
21038703,atomic self consistent field,原子自洽場,,2022-09-29
21038704,atomic separation,原子分離；原子隔離,,2022-09-29
21038705,atomic series,原子系；原子序列,,2022-09-29
21038706,atomic shell,原子殼層,,2022-09-29
21038707,atomic shell structure,原子殼層結構,,2022-09-29
21038708,atomic shift,原子位移,,2022-09-29
21038709,atomic smasher,原子擊破器,,2022-09-29
21038710,atomic smashing,原子擊破,,2022-09-29
