ID,英文名稱,中文名稱,圖片,中國大陸譯名,國籍,專長,生歿年,更新日期
3540068,"Abbado, Claudio",阿巴多，克勞迪歐,,阿巴多，克劳迪奥,義大利,指揮,1933-2014,2018-05-30
3540069,"Abbatini, Antonio Maria",阿巴悌尼,,阿巴蒂尼,義大利,作曲,1609-1679,2018-05-30
3540070,"Abe, Komei",安部幸明,,安部幸明,日本,作曲；指揮；大提琴,1911-2006,2018-05-30
3540071,"Abert, Hermann",阿貝特,,阿贝特,德國,音樂學,1871-1927,2018-05-30
3540072,"Abraham, Gerald",阿布拉罕,,亚伯拉罕,英國,音樂著作,1904-1988,2018-05-30
3540073,"Absil, Jean",阿布西,,阿布西尔,比利時,作曲,1893-1974,2018-05-30
3540074,"Accardo, Salvatore",阿卡多,,阿卡尔多,義大利,小提琴；指揮,1941-,2018-05-30
3540075,"Achucarro, Joaquín",阿楚卡若,,阿丘卡罗,西班牙,鋼琴,1932-,2018-05-30
3540076,"Ackermann, Otto",阿克曼,,阿克曼,羅馬尼亞,指揮,1909-1960,2018-05-30
3540077,"Adam, Adolphe-Charles",阿當，阿朵夫－夏勒,,亚当，阿道夫-夏勒,法國,作曲,1803-1856,2018-05-30
3540078,"Adams, John",阿當斯，約翰,,亚当斯,美國,作曲,1947-,2018-05-30
3540079,"Addinsell, Richard",阿丁瑟爾,,阿丁塞尔,英國,作曲,1904-1977,2018-05-30
3540080,"Addison, John",阿迪森,,艾迪生,英國,作曲,1920-1998,2018-05-30
3540081,"Adler, Guido",阿德勒，桂多,,阿德勒，吉多,奧地利,音樂學,1855-1941,2018-05-30
3540082,"Adler, Kurt Herbert",阿德勒，庫特 赫貝特,,阿德勒，库尔特 赫伯特,奧地利,指揮,1905-1988,2018-05-30
3540083,"Adni, Daniel",阿德尼,,阿德尼,以色列,鋼琴,1951-,2018-05-30
3540084,"Aguado, Dionisio",阿括多,,阿瓜多,西班牙,作曲；吉他,1784-1849,2018-05-30
3540085,"Aho, Kalevi",阿侯,,阿霍，卡列维,芬蘭,作曲,1949-,2018-05-30
3540086,"Akhron, Joseph",阿克隆,,阿克隆,立陶宛,小提琴；作曲,1886-1943,2018-05-30
3540087,"Aktug, Mehmet",阿克圖格,,阿克图格,土耳其,作曲,1959-,2018-05-30
3540088,"Akutagawa, Yasushi",芥川也寸志,,芥川也寸志,日本,作曲；指揮,1925-1989,2018-05-30
3540089,"Alagna, Roberto",阿藍尼亞,,阿拉尼亚,法國,聲樂男高音,1963-,2018-05-30
3540090,"Albanese, Licia",阿爾巴尼斯，路琪雅,,阿尔巴内塞,美國(義裔),女高音,1913- 2014,2018-05-30
3540091,"Albéniz, Isaac",阿爾貝尼士,,阿尔贝尼斯,西班牙,作曲,1860-1909,2018-05-30
3540092,"Albinoni, Tomaso Giovanni",阿比諾尼,,阿尔比诺尼,義大利,作曲,1671-1751,2018-05-30
3540093,"Albrecht, Gerd",阿布雷希特,,阿尔布雷希特,德國,指揮；鋼琴；小提琴,1935-2014,2018-05-30
