ID,英文名稱,中文名稱,圖片,中國大陸譯名,作曲家,作曲家臺灣譯名,作曲家中國大陸譯名,臺灣分類,中國大陸分類,更新日期
3539078,A fából fargott királlùherceg vára,木雕王子,,木雕王子,"Bartók, Béla",巴爾托克,巴托克,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539079,A Midsummer Night's Dream,仲夏夜之夢,,仲夏夜之梦,"Britten, Benjamin",布瑞頓,布里顿,歌劇,歌剧,2018-05-30
3539080,Abegg Variations,阿貝格變奏曲,,阿贝格变奏曲,"Schumann, Robert",舒曼,舒曼,鍵盤樂曲,键盘乐曲,2018-05-30
3539081,Abraham and Isaac,亞伯拉罕與以撒,,亚伯拉罕与以撒,"Britten, Benjamin",布瑞頓,布里顿/斯特拉文斯基,聲樂曲,声乐曲,2018-05-30
3539082,Abschied（德）,告別交響曲,,告别交响曲,"Haydn, Franz Joseph",海頓,海顿,交響曲,交响曲,2018-05-30
3539083,Academic Festival Overture,大學慶典序曲,,学院节庆序曲,"Brahms, Johannes",布拉姆斯,勃拉姆斯,管絃樂曲,管弦乐曲,2018-05-30
3539084,Adélaïd Concerto,阿黛萊德協奏曲,,阿黛莱德协奏曲,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,協奏曲,协奏曲,2018-05-30
3539085,Adelson e Salvini,阿德頌和薩維妮,,阿德尔松和萨维妮,"Bellini, Vincenzo",貝利尼,贝里尼,歌劇,歌剧,2018-05-30
3539086,Adieux Sonata，Les,告別奏鳴曲,,告别奏鸣曲,"Beethoven, Ludwig van",貝多芬,贝多芬,鍵盤樂曲,键盘乐曲,2018-05-30
3539087,Admeto,阿德梅托,,阿德梅托,"Händel, Georg Friedrich",韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539088,Adriana Lecouvreur,阿德麗安娜˙雷庫弗勒,,阿德里安娜·莱科芙露尔,"Cilea, Francesco",齊雷亞,奇莱亚,歌劇,歌剧,2018-05-30
3539089,"Africaine, L'",非洲女郎,,非洲女郎,"Meyerbeer, Giacomo",梅耶貝爾,梅耶贝尔,歌劇,歌剧,2018-05-30
3539090,"Age of Anxiety, The",焦慮的年代,,焦虑的年代,"Bernstein, Leonard","伯恩斯坦,雷歐納德",莱奥纳德·伯恩斯坦,交響曲,交响曲,2018-05-30
3539091,"Age of Steel, The",鋼鐵時代,,钢铁时代,"Prokofiev, Sergey",普羅科菲夫,普罗科菲耶夫,管絃樂曲,管弦乐曲,2018-05-30
3539092,Agon,競賽,,竞赛,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539093,Agrippina,阿格莉皮娜,,阿格丽品娜,Handel George Friedrich,韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539094,Aida,阿伊達,,阿依达,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539095,"Aiglon, L'",雛鷹,,雏鹰,"Honegger, Arthur",歐內格,伊贝尔、奥涅格,歌劇,歌剧,2018-05-30
3539096,Airborne Symphony,航空交響曲,,航空交响曲,"Blitzstein,  Marc",布利次斯坦,布利茨坦,交響曲,交响曲,2018-05-30
3539097,Albert Herring,艾伯特˙賀林,,阿伯特·赫林,"Britten, Benjamin",布瑞頓,布里顿,歌劇,歌剧,2018-05-30
3539098,Alborado del gracioso,丑角晨歌,,丑角晨歌,"Ravel, Maurice","拉威爾,摩利斯",拉威尔,鍵盤樂曲,键盘乐曲,2018-05-30
3539099,Albumblätter,冊頁,,纪念册页,"Schumann, Robert",舒曼,舒曼,鍵盤樂曲,键盘乐曲,2018-05-30
3539100,Alceste,阿切斯特,,阿尔切斯特,"Gluck, Christoph Willibald von",葛路克,格鲁克,歌劇,歌剧,2018-05-30
3539101,Alcina,阿契娜,,阿尔契那,Handel George Friedrich,韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539102,Aleko,阿列科,,阿列科,"Rachmaninoff, Sergey",拉赫瑪尼諾夫,拉赫玛尼诺夫,歌劇,歌剧,2018-05-30
3539103,Alexander Nevsky,亞歷山大·涅夫斯基,,亚历山大·涅夫斯基,"Prokofiev, Sergey",普羅科菲夫,普罗科菲耶夫,管絃樂曲,管弦乐曲,2018-05-30
3539104,Alfonso und Estrella,阿爾豐索與埃斯特雷拉,,阿尔方索与埃斯特雷,"Schubert, Franz",舒伯特,舒伯特,聲樂曲,声乐曲,2018-05-30
3539105,Allegro Barbaro,粗獷的快板,,野蛮的快板,"Bartók, Béla",巴爾托克,巴托克,鍵盤樂曲,键盘乐曲,2018-05-30
3539106,Alleluiasymphonie,阿雷路亞交響曲,,阿莱路亚交响曲,"Haydn, Franz Joseph",海頓,海顿,交響曲,交响曲,2018-05-30
