ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3246979,a battuta（義）,嚴守原節拍,,按原拍,2017-08-08
3246980,a beneplacito（義）,任意速度的,,自行处理,2017-08-08
3246981,a cappella（義）,無伴奏,,无伴奏合唱,2017-08-08
3246982,à deux cordes（法）,雙弦（同音）,,用两根弦,2017-08-08
3246983,à deux mains（法）,用雙手彈,,用双手,2017-08-08
3246984,a due corde（義）,雙弦（同音）,,用两根弦,2017-08-08
3246985,à la corde（法）,弓不離弦；運弓時稍加壓力,,在弦上,2017-08-08
3246986,a punta d'rco（義）,用弓尖部奏,,用弓尖,2017-08-08
3246987,a quattro mani（義）,四手聯彈,,四手联弹,2017-08-08
3246988,a tempo（義）,回原速；還原速度,,回原速,2017-08-08
3246989,abbandono（義）,放任的；隨意的,,放任的,2017-08-08
3246990,abbellimenti（義）,裝飾音符,,华彩式装饰音,2017-08-08
3246991,abbreviations,簡略記法,,略记,2017-08-08
3246992,abnehmend（德）,漸弱,,减衰,2017-08-08
3246993,absolute music,絕對音樂,,纯音乐,2017-08-08
3246994,absolute pitch,絕對音高,,绝对音高,2017-08-08
3246995,abstract music,抽象音樂,,抽象音乐,2017-08-08
3246996,accarezzevole,愛撫的,,爱抚的；抚慰地,2017-08-08
3246997,accarezzevolmente（義）,愛撫的,,爱抚的；抚慰地,2017-08-08
3246998,accelerato（義）,漸快,,渐快,2017-08-08
3246999,accelrando,漸快,,渐快,2017-08-08
3247000,accent,重音,,重音,2017-08-08
3247001,accento（義）,重音,,重音,2017-08-08
3247002,accentuation,加重音,,重音配置,2017-08-08
3247003,accentus（拉）,主唱部份,,主咏部分,2017-08-08
3247004,acciaccatura,碎音,,短倚音,2017-08-08
3247005,acciaccatura doppia（義）,複倚音,,双倚音,2017-08-08
3247006,accidental,臨時記號；變化記號,,临时号,2017-08-08
3247007,accompaniment,伴奏,,伴奏,2017-08-08
3247008,accorato（義）,悲傷的；痛心的,,悲伤的,2017-08-08
3247009,accordare（義）,調音,,调音,2017-08-08
3247010,accordion,手風琴,,手风琴,2017-08-08
3247011,accuratamente（義）,細緻；精緻,,细致；精致,2017-08-08
3247012,accuratezzacon（義）,精確的,,小心翼翼地,2017-08-08
3247013,accuratezza（義）,精確的,,小心翼翼地,2017-08-08
3247014,acoustics,聲學；音響學；音響效果,,声学；音响学；音响效果,2017-08-08
3247015,act tune,間奏曲,,幕间曲,2017-08-08
3247016,action,擊弦系統（鍵盤樂器）；鍵鈕裝置（管樂器）,,擊弦鍵盤樂器；鍵鈕,2017-08-08
3247017,ad libitum（拉）,自由的,,随意处理,2017-08-08
3247018,adagietto（義）,稍慢板,,小柔板,2017-08-08
3247019,adagio（義）,慢板,,柔板,2017-08-08
3247020,adagissimo,極慢板,,极慢的柔板,2017-08-08
3247021,additional accompaniments,附加伴奏,,附加伴奏,2017-08-08
3247022,addolcendo（義）,甜美柔和的,,甜美柔和,2017-08-08
3247023,addolorato（義）,悲傷的；痛心的,,悲伤的,2017-08-08
3247024,aeolian harp,風鳴琴,,风鸣琴,2017-08-08
3247025,aeolian mode,伊奧利安調式,,爱奥利亚调式,2017-08-08
3247026,aeoline,音栓（管風琴）,,风乐音栓,2017-08-08
3247027,aerophone,氣鳴樂器,,气鸣乐器,2017-08-08
3247028,aerophor,風袋,,助气风箱,2017-08-08
3247029,affretando（義）,加快的；加緊的；急促的,,加快的,2017-08-08
3247030,agiatamente（義）,輕鬆的；自在的,,舒适地,2017-08-08
3247031,Agnus Dei,羔羊經,,羔羊经,2017-08-08
3247032,agogic,彈性處理；速度法；時值重音,,缓急法；時值重音,2017-08-08
3247033,air,歌；歌曲；曲調,,歌曲；旋律,2017-08-08
3247034,air de caractère（法）,特性曲；特性作品,,特性曲,2017-08-08
3247035,al segno（義）,至記號,,到记号处,2017-08-08
3247036,Alberti bass,阿貝提低音,,阿尔贝蒂低音,2017-08-08
3247037,alborada（西）,晨歌,,晨曲,2017-08-08
3247038,aleatory music,機遇音樂,,机遇音乐,2017-08-08
3247039,aliquot scaling,共鳴弦（絃）,,谐振弦,2017-08-08
3247040,all'inlterludio（義）,接間奏,,至间奏,2017-08-08
3247041,alla breve（義）,二二拍子,,二二拍子,2017-08-08
3247042,alla coda（義）,接尾聲（奏）,,跳到尾声,2017-08-08
3247043,alla marcia（義）,進行曲風的,,进行曲风格,2017-08-08
3247044,alla militare（義）,軍樂風格,,军队风格,2017-08-08
3247045,alla turca（義）,土耳其風的,,土耳其风格,2017-08-08
3247046,alla zingara（義）,吉普賽風的,,吉卜赛风格,2017-08-08
3247047,allant（法）,進行中；繼續,,进行中的；继续,2017-08-08
3247048,allargando（義）,漸寬闊；漸慢,,漸寬；漸慢,2017-08-08
3247049,allegramante（義）,明朗的；快樂的,,明朗地；欢快地,2017-08-08
3247050,allègrement（法）,明朗的；快樂的,,明朗地；欢快地,2017-08-08
3247051,allegretto（義）,稍快板,,小快板,2017-08-08
3247052,allegro（義）,快板,,快板,2017-08-08
3247053,Allemande（法）,阿勒曼德舞曲（德國舞曲）,,阿勒芒德舞曲,2017-08-08
3247054,allentamento,慢慢的,,放慢,2017-08-08
3247055,allentando（義）,慢慢的,,放慢,2017-08-08
3247056,Alpenhorn（德）,阿爾卑斯號,,阿尔卑斯号,2017-08-08
3247057,alphorn,阿爾卑斯號,,阿尔卑斯号,2017-08-08
3247058,alta（義）,高的,,高的,2017-08-08
3247059,altered chord,變化和弦（絃）,,变化和弦,2017-08-08
3247060,alternando（義）,輪番的；交替的,,轮番地；交替地,2017-08-08
3247061,alternativo（義）,樂段交替,,交替部分,2017-08-08
3247062,Althorn（德）,中音號,,中音号,2017-08-08
3247063,alto,女低音；中提琴（法）；中音（音域）；中音樂器,,女低音；中提琴（法）,2017-08-08
3247064,alto clarinet,中音單簧管,,中音单簧管,2017-08-08
3247065,alto clef,中音譜號,,中音谱号,2017-08-08
3247066,alto Flügelhorn,中音富魯格號,,中音夫吕号,2017-08-08
3247067,alto flute,中音長笛,,中音长笛,2017-08-08
3247068,alto moderne,次中音提琴,,次中音提琴,2017-08-08
3247069,alto oboe,中音雙簧管,,中音双簧管,2017-08-08
3247070,alto saxhorn,中音薩氏號,,中音萨克斯号,2017-08-08
3247071,alto saxophone,中音薩氏管,,中音萨克斯管,2017-08-08
3247072,alto trombone,中音長號,,中音长号,2017-08-08
3247073,alzata,拿起,,拿起；取下,2017-08-08
3247074,alzate（義）,拿起,,拿起；取下,2017-08-08
3247075,alzati,拿起,,拿起；取下,2017-08-08
3247076,alzato,拿起,,拿起；取下,2017-08-08
3247077,Ambrosian chant,安布羅斯聖歌,,安布罗斯圣咏,2017-08-08
3247078,amplifier,擴大機,,放大器,2017-08-08
3247079,anacrusis,弱起拍,,弱起,2017-08-08
3247080,ancora（義）,再一次,,仍；再,2017-08-08
3247081,andalouse（法）,安達盧西亞舞曲,,安达卢西亚舞曲,2017-08-08
3247082,andaluz,安達盧西亞舞曲,,安达卢西亚舞曲,2017-08-08
3247083,andaluza（西）,安達盧西亞舞曲,,安达卢西亚舞曲,2017-08-08
3247084,andamento（義）,長主題（復格）,,长主题,2017-08-08
3247085,andante cantabile（義）,如歌的行板,,如歌的行板,2017-08-08
3247086,andante（義）,行板,,行板,2017-08-08
3247087,andantino,小行板,,小行板,2017-08-08
3247088,Anglican chant,英格蘭聖歌,,圣公会圣咏,2017-08-08
3247089,Anhang（德）,附錄,,补白,2017-08-08
3247090,animando （義）,逐漸活躍的,,逐渐活跃的,2017-08-08
3247091,animato（義）,生氣蓬勃的；精神煥發的,,有生气的,2017-08-08
3247092,Anschlag（德）,雙倚音（音樂學）；觸鍵（鍵盤樂器）；起奏（管、絃樂）；擊法（擊樂）,,双倚音；触键；起奏,2017-08-08
3247093,answer in fugue,復格答句,,赋格答题,2017-08-08
3247094,antecedent,前分句；導句,,主题；主句,2017-08-08
3247095,anthem,頌歌,,赞美歌,2017-08-08
3247096,anticipation,先現音,,先现音,2017-08-08
3247097,antiphon,對唱曲；疊句（聖詩吟誦）,,交替圣歌,2017-08-08
3247098,antiphonal singing,對唱,,交替歌唱,2017-08-08
3247099,anvil,鐵砧（擊樂）,,乐砧,2017-08-08
3247100,anwachsend,漸強,,增强音量,2017-08-08
3247101,aperto（義）,開放,,清楚明晰的；宽广的,2017-08-08
3247102,appassionata（義）,熱情的,,热情的,2017-08-08
3247103,appassionato,熱情的,,热情的,2017-08-08
3247104,applied music,實用音樂,,实用音乐,2017-08-08
3247105,appoggiatura（義）,倚音,,倚音,2017-08-08
3247106,aragonaise（法）,阿拉岡舞曲,,阿拉贡舞曲,2017-08-08
3247107,aragonesa（西）,阿拉岡舞曲,,阿拉贡舞曲,2017-08-08
3247108,arcata（義）,運弓；弓法,,运弓,2017-08-08
3247109,arcato（義）,用弓奏,,用弓拉,2017-08-08
3247110,arched viall,輪擦維奧爾琴,,轮擦维奥尔琴,2017-08-08
3247111,archlute,長頸魯特琴,,双颈琉特琴,2017-08-08
3247112,arco（義）,用弓奏；弓,,弓；用弓奏,2017-08-08
3247113,aria concertante（義）,音樂會詠唱調,,音乐会咏叹调,2017-08-08
3247114,aria d'opera（義）,歌劇詠唱調,,歌剧咏叹调,2017-08-08
3247115,aria di bravura（義）,炫技詠唱調,,炫技咏叹调,2017-08-08
3247116,aria di coloratura（義）,花腔詠唱調,,花腔咏叹调,2017-08-08
3247117,aria di corte（義）,宮廷歌曲,,宫廷恋曲,2017-08-08
3247118,aria（義）,詠唱調,,咏叹调,2017-08-08
3247119,arietta（義）,小詠唱調,,小咏叹调,2017-08-08
3247120,arioso,似詠唱調,,咏叙调,2017-08-08
3247121,arpa doppia（義）,雙列絃豎琴,,双列弦竖琴,2017-08-08
3247122,arpeggione,琶音琴,,吉他形大提琴,2017-08-08
3247123,arpeggio（義）,琶音,,琶音,2017-08-08
3247124,arrangement,編曲,,改编；编订,2017-08-08
3247125,ars antiqua（拉）,古藝術,,古艺术,2017-08-08
3247126,ars nova（拉）,新藝術,,新艺术,2017-08-08
