ID,英文名稱,中文名稱,圖片,更新日期
3288120,A clarinet（clarinet in A）,A調單簧管,,2018-03-15
3288121,A♭ clarinet（clarinet in A♭）,降A調單簧管,,2018-03-15
3288122,afoxé,葫蘆串珠,,2018-03-15
3288123,agida,阿吉達鼓,,2018-03-15
3288124,agogô,阿哥哥鈴,,2018-03-15
3288125,agogo bell ,阿哥哥鈴,,2018-03-15
3288126,agung,阿拱鑼｛菲律賓｝,,2018-03-15
3288127,air horn,氣鳴喇叭,,2018-03-15
3288128,Ajaeng {Kr.},牙箏,,2018-03-15
3288129,Alboka {Basque},阿爾波卡管,,2018-03-15
3288130,alcahuete,阿嘎威得鼓｛康加鼓的一種｝,,2018-03-15
3288131,alfaia,歐法亞鼓｛巴西｝,,2018-03-15
3288132,AlphaSphere,阿爾法星球音樂控制器,,2018-03-15
3288133,Alpine Zither,阿爾卑斯齊特琴,,2018-03-15
3288134,alpine Herd Cowbell ,牧牛鈴,,2018-03-15
3288135,alto clarinet,中音單簧管,,2018-03-15
3288136,alto horn,中音號,,2018-03-15
3288137,alto sackbut,中音薩克巴長號,,2018-03-15
3288138,alto sarrusophone,中音薩魯管,,2018-03-15
3288139,angklung,搖竹｛印尼樂器｝,,2018-03-15
3288140,anvil,鐵砧｛擊樂｝,,2018-03-15
3288141,apinti,阿賓第鼓｛康加鼓的一種｝,,2018-03-15
3288142,apito,森巴哨子,,2018-03-15
3288143,Appalachian dulcimer,阿帕拉契揚琴,,2018-03-15
3288144,Arghul {Arb.},阿各兒雙管笛｛埃及｝,,2018-03-15
3288145,arobapá,阿羅巴罷鼓,,2018-03-15
3288146,ashiko,阿希寇鼓｛非洲｝,,2018-03-15
3288147,assotor,阿索多鼓｛海地｝,,2018-03-15
3288148,atabaque,阿達巴給鼓｛巴西｝,,2018-03-15
3288149,Atenteben,阿騰特本直笛｛迦納｝,,2018-03-15
3288150,Audiocubes,音響方塊,,2018-03-15
3288151,B♭ clarinet（clarinet in B♭）,降B調單簧管,,2018-03-15
3288152,babendil,巴奔第鑼｛菲律賓｝,,2018-03-15
3288153,baboula,巴波拉鼓｛康加鼓的一種｝,,2018-03-15
3288154,bagpipe,風笛,,2018-03-15
3288155,bak,板｛韓國｝,,2018-03-15
3288156,Balaban {Ir.},巴拉班管,,2018-03-15
3288157,balafon,巴拉風木琴｛非洲｝,,2018-03-15
3288158,balsié,巴而謝鼓｛康加鼓的一種｝,,2018-03-15
