ID,英文名稱,中文名稱,圖片,更新日期
2569692,4K,四倍超高畫質,,2016-03-08
2569693,AB stereo technique,AB立體聲麥克風技術,,2016-03-08
2569694,ABC stereo technique,ABC立體聲麥克風技術,,2016-03-08
2569695,absorption and diffusion,吸收和擴散,,2016-03-08
2569696,absorption coefficient {=a},吸收係數,,2016-03-08
2569697,acoustic intensity {=Ia},聲音強度,,2016-03-08
2569698,adaptive differential pulse code modulation {=ADPCM},主動式脈衝編碼調變,,2016-03-08
2569699,advanced audio coding {=AAC},高階音訊編碼,,2016-03-08
2569700,advanced technology attachment {=ATA},高階技術配置,,2016-03-08
2569701,advanced video codec high definition {=AVCHD},高階高解析度視訊編碼,,2016-03-08
2569702,AES/EBU,音響工程師協會-歐洲廣播聯盟{規格},,2016-03-08
2569703,after-fader listen {=AFL},輸出監聽控制鍵,,2016-03-08
2569704,alignment,對準,,2016-03-08
2569705,all-pass filter {=APF},全通濾波器,,2016-03-08
2569706,alternating current {=AC},交流電,,2016-03-08
2569707,ambient noise level {=ANL},環境噪音級,,2016-03-08
2569708,American Broadcasting Company {=ABC},美國廣播公司,,2016-03-08
2569709,American Federation of Television and Radio Artists {=AFTRA},美國廣播電視藝術家聯盟,,2016-03-08
2569710,American Standard Code for Information Interchange {=ASCII},美國資訊交換標準碼,,2016-03-08
2569711,American wire gauge {=AWG},美國線規,,2016-03-08
2569712,ampere {=A},安培,,2016-03-08
2569713,ampere-hour {=Ah},安培小時耗量,,2016-03-08
2569714,amplification,放大,,2016-03-08
2569715,amplification factor {=μ},放大參數,,2016-03-08
2569716,amplified direct sound,直接擴大聲音,,2016-03-08
2569717,amplifiers,擴大器,,2016-03-08
2569718,amplitude modulation {=AM},調幅,,2016-03-08
2569719,analogue to digital {=Ａ/D},類比轉數位,,2016-03-08
2569720,analogue to digital converter {=ADC},類比數位轉換器,,2016-03-08
2569721,announce {=AN},宣布；宣告,,2016-03-08
2569722,articipating announcement {=PT},特別提示,,2016-03-08
2569723,articulation index {=AI},清晰度指標,,2016-03-08
2569724,assistant director {=AD},助理導播,,2016-03-08
2569725,assisted resonance {=AR},輔助共振,,2016-03-08
2569726,attenuator {=ATT},衰減器,,2016-03-08
2569727,audio code number 3 {=AC3},音訊第三號編碼,,2016-03-08
2569728,Audio Engineering Society {=AES},音響工程協會；音響工程協會規格,,2016-03-08
2569729,audio frequency {=AF},音訊頻率,,2016-03-08
2569730,audio interchange file format {=AIFF},音訊交換格式,,2016-03-08
2569731,audio transformers,音訊轉換器,,2016-03-08
2569732,audiovisual {=AV},視聽的；視訊的；視聽端子,,2016-03-08
2569733,audition {=AUD},試聽,,2016-03-08
