ID,英文名稱,中文名稱,圖片,生歿年,國籍,更新日期
3288828,AC/DC,AC/DC樂團,,1973,澳大利亞,2018-03-15
3288829,Alabama Shakes,阿拉巴馬搖滾樂團,,2009-,美國,2018-03-15
3288830,Beach Boys,海灘男孩,,1961成立,美國,2018-03-15
3288831,Big Audio Dynamite,大爆音樂團,,1984,英國,2018-03-15
3288832,Blue Grass Boys,草根藍調男孩樂團,,1945-2011,美國,2018-03-15
3288833,Carter Family,卡特家族,,1927-,美國,2018-03-15
3288834,CHIC,奇克樂團,,1976-,美國,2018-03-15
3288835,Country Joe and the Fish,鄉村喬與魚樂團,,1965成立,美國,2018-03-15
3288836,Daft Punk,傻瓜龐克樂團,,1992,法國,2018-03-15
3288837,Deep Purple,深紫樂團,,1968,英國,2018-03-15
3288838,Def Leppard,威豹樂團,,1977,英國,2018-03-15
3288839,Depeche Mode,流行尖端樂團,,1980,英國,2018-03-15
3288840,Dio,迪歐樂團,,1982,美國,2018-03-15
3288841,Dire Straits,險峻海峽樂團,,1977,英國,2018-03-15
3288842,Dire Straits,險境樂團,,1977-1995,英國,2018-03-15
3288843,Dominoes band,多米諾斯樂團,,1950,美國,2018-03-15
3288844,Dorsey Brothers,多爾西兄弟,,1928-1956,美國,2018-03-15
3288845,Duran Duran,杜蘭杜蘭,,1980,英國,2018-03-15
3288846,Eagles,老鷹樂團,,1971,美國,2018-03-15
3288847,Elbow,肘樂團,,1997,英國,2018-03-15
3288848,Foo Fighters,幽浮一族樂團,,1994,美國,2018-03-15
3288849,Gipsy Kings,吉普賽國王合唱團,,1978,法國,2018-03-15
3288850,Gnarls Barkley,奈爾斯 巴克利雙人組,,2006,美國,2018-03-15
3288851,Grateful Dead,死之華樂團,,1965-1995,美國,2018-03-15
3288852,Guns N' Roses(GNR),槍與玫瑰,,1985,美國,2018-03-15
3288853,Hall & Oates（Daryl Hall and John Oates）,霍爾與奧茨樂團,,1970,美國,2018-03-15
3288854,Imagine Dragons,謎幻龍樂團,,2008,美國,2018-03-15
3288855,Incognito (band),匿名樂團,,1981,英國,2018-03-15
3288856,Jefferson Airplane,傑佛森飛機樂團,,1965,美國,2018-03-15
3288857,Kings of Leon,雷昂王族,,1999-,美國,2018-03-15
3288858,Kingston Trio,京斯頓三人組,,1957,美國,2018-03-15
3288859,Kiss,Kiss合唱團,,1973,美國,2018-03-15
3288860,Led Zeppelin,齊柏林飛船,,1968,英國,2018-03-15
3288861,LEVEL42,水平42樂團,,1979,英國,2018-03-15
3288862,Linkin Park,聯合公園樂團,,1996,美國,2018-03-15
3288863,Los Lobos,灰狼樂團,,1973成立,美國,2018-03-15
3288864,Macklemore & Ryan Lewis,麥可莫 & 萊恩路易斯,,2009,美國,2018-03-15
3288865,Matt Bianco,麥特 畢昂可樂團,,1983,英國,2018-03-15
3288866,Metallica,重金屬樂團,,1981,美國,2018-03-15
3288867,MEW,海鷗樂團,,1995,丹麥,2018-03-15
3288868,Miami Sound Machine,邁阿密之音,,1978成立,美國,2018-03-15
3288869,Mike + The Mechanics,麥克和黑手樂團,,1985,英國,2018-03-15
3288870,Mumford & Sons,蒙福之子樂團,,2007,英國,2018-03-15
3288871,Nine Inch Nails,九寸釘樂團,,1988,美國,2018-03-15
3288872,No Doubt,無疑樂團,,1986,美國,2018-03-15
3288873,One Direction,一世代,,2010,英國,2018-03-15
3288874,Paramore,帕拉莫爾樂團,,2004,美國,2018-03-15
3288875,Pink Floyd,平克 弗洛伊德（搖滾樂團）,,1965-,英國,2018-03-15
3288876,Pixies,小妖精樂團,,1986,美國,2018-03-15
3288877,Public Enemy,全民公敵樂團,,1982,美國,2018-03-15
3288878,Public Image Ltd,公眾形象樂團,,1978,英國,2018-03-15
3288879,Queen,皇后樂團,,1971,英國,2018-03-15
3288880,Quicksilver Messenger Service,水銀使者樂團,,1965,美國,2018-03-15
3288881,R.E.M. ,R.E.M.樂團,,1981-2011,美國,2018-03-15
3288882,Radiohead,電臺司令樂團,,1985,英國,2018-03-15
3288883,Rodrigo（Rodrigo Sánchez） y Gabriela（Gabriela Quintero ）,羅德利哥與加布里耶菈,,2000,墨西哥,2018-03-15
3288884,Sex Pistols,性手槍樂團,,1975-,英國,2018-03-15
3288885,Sigur Rós,席格洛斯樂團,,1994,冰島,2018-03-15
3288886,Simply Red,就是紅合唱團,,1985,英國,2018-03-15
3288887,Smashing Pumpkin,非凡人物樂團；碎南瓜樂隊,,1988,美國,2018-03-15
3288888,The  Jon Spencer Blues Explosion,喬恩 史賓瑟藍調爆炸樂團,,1991,美國,2018-03-15
3288889,The Beatles,披頭四,,1979,英國,2018-03-15
3288890,The Chemical Brothers,化學兄弟,,1989-,英國,2018-03-15
3288891,The Mothers of Invention,發明之母樂團,,1964,美國,2018-03-15
3288892,The Mothers of Invention,發明之母（搖滾樂團）,,1964-1975,美國,2018-03-15
3288893,The Police,警察合唱團,,1977,英國,2018-03-15
3288894,The Prodigy,超凡樂團,,1990,英國,2018-03-15
3288895,The Rolling Stones,滾石樂團,,1962,英國,2018-03-15
3288896,The Script,手創樂團,,2001,愛爾蘭,2018-03-15
3288897,The Smashing Pumpkins,碎南瓜樂團,,1988,美國,2018-03-15
3288898,The Subways,地鐵樂團,,2003,英國,2018-03-15
3288899,The Ventures,投機者樂團,,1958,美國,2018-03-15
3288900,The Who,何許人合唱團,,1964,英國,2018-03-15
3288901,The Winery Dogs,酒坊狗樂團,,2012,美國,2018-03-15
3288902,U2,U2樂團,,1979,愛爾蘭,2018-03-15
3288903,Weavers,織夢者合唱團,,1964,美國,2018-03-15
3288904,ZAPP ( Zapp Band or Zapp & Roger),扎普樂團,,1977,美國,2018-03-15
