ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3249198,"Aavik, Juhan",阿維克,,1884-1982,瑞典,作曲；指揮,愛沙尼亞裔,2017-08-08
3249199,"Abaco, Evaristo Felice dall'",阿巴科,,1675-1742,義大利,小提琴；作曲,,2017-08-08
3249200,"Abba-Cornaglia, Pietro",阿巴－寇納利亞,,1851-1894,義大利,作曲；音樂史,,2017-08-08
3249201,"Abbado, Claudio","阿巴多,克勞迪歐",,1933-2014,義大利,指揮,,2017-08-08
3249202,"Abbado, Marcello","阿巴多,馬切羅",,1926-,義大利,鋼琴；作曲,,2017-08-08
3249203,"Abbatini, Antonio Maria",阿巴悌尼,,1609-1679,義大利,作曲,,2017-08-08
3249204,"Abbott, Emma",阿伯特,,1850-1891,美國,聲樂,女高音,2017-08-08
3249205,"Abe, Keiko",安部圭子,,1937-,日本,擊樂,,2017-08-08
3249206,"Abe, Komei",安部幸明,,1911-2006,日本,作曲；指揮；大提琴,,2017-08-08
3249207,"Abeille, Johann Christian Ludwig",阿拜勒,,1761-1838,德國,鋼琴；管風琴；作曲,,2017-08-08
3249208,"Abel, Carl Friedrich","阿貝爾,卡爾",,1723-1787,德國,作曲,,2017-08-08
3249209,"Abel, Leopold August","阿貝爾,雷歐波德",,1718-1794,德國,作曲；小提琴,,2017-08-08
3249210,"Abels, Michael",艾伯斯,,1962-,美國,作曲,德裔,2017-08-08
3249211,"Abercrombie, Alexander",阿伯克隆比,,1949-,英國,鋼琴；作曲,,2017-08-08
3249212,"Abert, Hermann",阿貝特,,1871-1927,德國,音樂學,,2017-08-08
3249213,"Abondante, Giulio",阿邦旦特,,1546-1587,義大利,作曲；魯特琴,,2017-08-08
3249214,"Abos, Girolamo",阿伯斯,,1700-1760,義大利,作曲,,2017-08-08
3249215,"Aboulker, Isabelle",阿布克,,1938-,法國,作曲,,2017-08-08
3249216,"Abraham, Gerald",阿布拉罕,,1904-1988,英國,音樂著作,,2017-08-08
3249217,"Abrahamsen, Hans",阿布拉韓森,,1952-,丹麥,作曲,,2017-08-08
3249218,"Abram, Jacques",艾布蘭,,1915-1998,美國,鋼琴,,2017-08-08
3249219,"Abramovitz, David    ",艾布拉莫維茲,,1949-,美國,鋼琴,,2017-08-08
3249220,"Abramsky, Alexander",阿布拉姆斯基,,1898-1985,俄國,作曲,,2017-08-08
3249221,"Ábrányi, Emil",阿布蘭易,,1882-1970,匈牙利,作曲,,2017-08-08
3249222,"Abras, Juan Manuel",阿布拉斯,,1975-,瑞典,作曲,,2017-08-08
3249223,"Abravanel, Maurice",阿布拉瓦內,,1903-1993,美國,指揮,,2017-08-08
3249224,"Absil, Jean",阿布西,,1893-1974,比利時,作曲,,2017-08-08
3249225,"Abt, Franz",阿普特,,1819-1885,德國,作曲；指揮,,2017-08-08
3249226,"Abyngdon, Henry",艾賓登,,1418-1497,英國,管風琴；作曲,,2017-08-08
3249227,"Accardo, Salvatore",阿卡多,,1941-,義大利,小提琴；指揮,,2017-08-08
3249228,"Achterkamp, Jan",阿許特坎普,,1953-,荷蘭,作曲,,2017-08-08
3249229,"Achucarro, Joaquín",阿楚卡若,,1932-,西班牙,鋼琴,,2017-08-08
3249230,"Ackermann, Otto",阿克曼,,1909-1960,羅馬尼亞,指揮,,2017-08-08
3249231,"Ackte, Aino",阿克特,,1876-1944,芬蘭,聲樂,女高音,2017-08-08
3249232,"Ada, Selman","阿達,瑟爾曼",,1953-,土耳其,作曲,,2017-08-08
3249233,"Adajewska, Ella von",阿達耶芙絲卡,,1846-1926,俄國,作曲；鋼琴,,2017-08-08
3249234,Adam de la Halle,阿當‧德‧拉‧阿勒,,1235-1287,法國,作曲,,2017-08-08
3249235,"Adam, Adolphe-Charles","阿當,阿朵夫－夏勒",,1803-1856,法國,作曲,,2017-08-08
