ID,英文名稱,中文名稱,圖片,作曲家,更新日期
3192868,Duke Bluebeard's Castle,藍鬍子公爵的城堡,,"Bartók, Béla",2017-07-28
3192869,Fidelio,費黛里奧,,"Beethoven, Ludwig van",2017-07-28
3192870,Beatrice di Tenda,滕達的貝阿特麗切,,"Bellini, Vincenzo",2017-07-28
3192871,I Puritani,清教徒,,"Bellini, Vincenzo",2017-07-28
3192872,Il pirata,海盜,,"Bellini, Vincenzo",2017-07-28
3192873,l Capuleti e l Montecchi,卡普雷提與蒙泰奇家族｛羅密歐與茱麗葉｝,,"Bellini, Vincenzo",2017-07-28
3192874,La Sonnambula,夢遊女,,"Bellini, Vincenzo",2017-07-28
3192875,Norma,諾瑪,,"Bellini, Vincenzo",2017-07-28
3192876,Adelson e Salvini,阿德頌和薩維妮,,"Bellini, Vincenzo",2017-07-28
3192877,Bianca e Fernando,比安卡和費南多,,"Bellini, Vincenzo",2017-07-28
3192878,La straniera,異國人,,"Bellini, Vincenzo",2017-07-28
3192879,Zaira,柴菈,,"Bellini, Vincenzo",2017-07-28
3192880,Lulu,露露,,"Berg, Alban",2017-07-28
3192881,Wozzeck,伍采克,,"Berg, Alban",2017-07-28
3192882,Béatrice et Bénédict,貝阿特麗絲和貝內迪克｛無事生非｝,,"Berlioz, Hector",2017-07-28
3192883,Benvenuto Cellini,本威奴托˙切利尼,,"Berlioz, Hector",2017-07-28
3192884,La Damnation de Faust,浮士德的天譴,,"Berlioz, Hector",2017-07-28
3192885,Les Troyens,特洛伊人,,"Berlioz, Hector",2017-07-28
3192886,Carmen,卡門,,"Bizet, Georges",2017-07-28
3192887,Les Pêcheurs des Perles,採珠者,,"Bizet, Georges",2017-07-28
3192888,Djamileh,迪亞米雷,,"Bizet, Georges",2017-07-28
3192889,Don Procopio,唐˙波科皮歐,,"Bizet, Georges",2017-07-28
3192890,Ivan IV,伊凡四世,,"Bizet, Georges",2017-07-28
3192891,La jolie fille de Perth,貝城佳麗,,"Bizet, Georges",2017-07-28
3192892,Le docteur Miracle,神奇醫生,,"Bizet, Georges",2017-07-28
3192893,Mefistofele,梅菲斯特,,"Boito, Arrigo",2017-07-28
3192894,Prince Igor,伊果王子,,"Borodin, Alexander Porphyrevitch",2017-07-28
3192895,A Midsummer Night's Dream,仲夏夜之夢,,"Britten, Benjamin",2017-07-28
3192896,Albert Herring,艾伯特˙賀林,,"Britten, Benjamin",2017-07-28
3192897,Death in Venice,魂斷威尼斯,,"Britten, Benjamin",2017-07-28
3192898,"Let's Make an Opera ""The Little Sweep""",讓我們來作歌劇「小煙囪工」,,"Britten, Benjamin",2017-07-28
3192899,Peter Grimes,彼得˙葛萊姆,,"Britten, Benjamin",2017-07-28
3192900,The Rape of Lucretia,魯克麗緹雅的凌辱,,"Britten, Benjamin",2017-07-28
3192901,The Turn of the Screw,旋螺絲{碧廬冤孽},,"Britten, Benjamin",2017-07-28
3192902,Paul Bunyan,保羅本揚,,"Britten, Benjamin",2017-07-28
3192903,The Beggar's Opera,乞丐歌劇,,"Britten, Benjamin",2017-07-28
3192904,Billy Budd,比利巴德,,"Britten, Benjamin",2017-07-28
3192905,Gloriana,葛羅里亞娜,,"Britten, Benjamin",2017-07-28
3192906,Noye's Fludde,諾亞的洪水,,"Britten, Benjamin",2017-07-28
3192907,Owen Wingrave,歐文溫格瑞夫,,"Britten, Benjamin",2017-07-28
3192908,La Wally,瓦莉姑娘,,"Catalani, Alfredo",2017-07-28
3192909,Louise,露伊絲,,"Charpentier, Gustave",2017-07-28
3192910,Medea（Médée）,美迪亞,,"Cherubini, Maria Luigi",2017-07-28
3192911,Olimpiade,奧林匹亞德,,"Cherubini, Maria Luigi",2017-07-28
3192912,La finta principessa,假公主,,"Cherubini, Maria Luigi",2017-07-28
3192913,Ifigenia in Aulide,伊菲潔尼雅在奧利德,,"Cherubini, Maria Luigi",2017-07-28
3192914,Lodoïska,洛多伊斯卡,,"Cherubini, Maria Luigi",2017-07-28
3192915,"Eliza, ou Le voyage aux glaciers du Mont Saint Bernard",埃麗莎,,"Cherubini, Maria Luigi",2017-07-28
3192916,Le porteur d'eau,挑水伕,,"Cherubini, Maria Luigi",2017-07-28
3192917,L'amour fugitif,曇花一現的愛情,,"Cherubini, Maria Luigi",2017-07-28
3192918,"Les Abencérages, ou L'étendard de Grenade",阿邦賽拉惹,,"Cherubini, Maria Luigi",2017-07-28
3192919,Adriana Lecouvreur,阿德麗安娜˙雷庫弗勒,,"Cilèa, Francesco",2017-07-28
3192920,L'Arlesiana,阿萊城姑娘,,"Cilèa, Francesco",2017-07-28
3192921,Gina,吉娜,,"Cilèa, Francesco",2017-07-28
3192922,La Tilda,娣達,,"Cilèa, Francesco",2017-07-28
3192923,Gloria,葛羅莉亞,,"Cilèa, Francesco",2017-07-28
3192924,Il Matrimonio Segreto,秘密婚姻,,"Cimarosa, Domenic",2017-07-28
3192925,Pelléas et Mélisande,貝利亞與梅麗桑,,"Debussy, Claude Achille",2017-07-28
3192926,Lakmé,拉克美,,"Delibes, Léo",2017-07-28
3192927,Anna Bolena,安娜˙波蕾納,,"Donizetti, Gaetano",2017-07-28
3192928,Don Pasquale,唐˙巴斯瓜雷,,"Donizetti, Gaetano",2017-07-28
3192929,La Favorita,寵姬,,"Donizetti, Gaetano",2017-07-28
3192930,La Fille du Régiment,聯隊之花,,"Donizetti, Gaetano",2017-07-28
3192931,L'Elisir d'Amore,愛情靈藥,,"Donizetti, Gaetano",2017-07-28
3192932,Linda di Chamounix,夏摩尼的琳達,,"Donizetti, Gaetano",2017-07-28
3192933,Lucia di Lammermoor,拉梅默的露琪亞,,"Donizetti, Gaetano",2017-07-28
3192934,Lucrezia Borgia,路克蕾琪亞˙波吉亞,,"Donizetti, Gaetano",2017-07-28
3192935,Maria di Rohan,羅旺的瑪麗亞,,"Donizetti, Gaetano",2017-07-28
3192936,Maria Padilla,瑪麗亞帕迪拉,,"Donizetti, Gaetano",2017-07-28
3192937,Maria Stuarda,瑪莉亞司徒阿達,,"Donizetti, Gaetano",2017-07-28
3192938,Parisina,巴黎女郎,,"Donizetti, Gaetano",2017-07-28
3192939,Poliuto[see also Les martyrs],波琉托,,"Donizetti, Gaetano",2017-07-28
3192940,Rita,莉塔,,"Donizetti, Gaetano",2017-07-28
3192941,Roberto Devereux,羅貝托德弗勒,,"Donizetti, Gaetano",2017-07-28
3192942,La zingara,吉普賽女郎,,"Donizetti, Gaetano",2017-07-28
3192943,Rusalka,魯莎卡,,"Dvořák, Antonín",2017-07-28
3192944,El Retablo de Maese Pedro,貝得羅師傅的傀儡戲,,"Falla, Manuel de",2017-07-28
3192945,La vida breve,短促的人生,,"Falla, Manuel de",2017-07-28
3192946,Martha,瑪塔,,"Flotow, Friedrich von",2017-07-28
3192947,Stradella,斯特拉台拉,,"Flotow, Friedrich von",2017-07-28
3192948,Le naufrage de la Méduse,美杜莎號歷險記,,"Flotow, Friedrich von",2017-07-28
3192949,Porgy and Bess,波吉與貝絲,,"Gershwin, George",2017-07-28
3192950,Andrea Chénier,安德雷亞˙謝涅,,"Giordano, Umberto",2017-07-28
3192951,Fedora,費朵拉,,"Giordano, Umberto",2017-07-28
3192952,Marina (1888),水手,,"Giordano, Umberto",2017-07-28
3192953,Mala Vita,惡運,,"Giordano, Umberto",2017-07-28
3192954,Regina Diaz,迪阿茲女皇,,"Giordano, Umberto",2017-07-28
3192955,Marcella,馬切拉,,"Giordano, Umberto",2017-07-28
3192956,Madame Sans-Gêne,桑珍夫人,,"Giordano, Umberto",2017-07-28
3192957,Giove a Pompei,喬維在龐貝,,"Giordano, Umberto",2017-07-28
3192958,Il re,國王,,"Giordano, Umberto",2017-07-28
3192959,La festa del Nilo (incomplete),尼羅河慶典,,"Giordano, Umberto",2017-07-28
3192960,Ivan Sussanin,伊凡˙蘇沙寧,,"Glinka, Mikhail Ivanovitch",2017-07-28
