ID,英文名稱,中文名稱,圖片,語言,備註,更新日期
3246555,Verhallend {Ger.},逐漸消失,,德,,2017-08-08
3246556,verismo {It.},寫實主義,,義,,2017-08-08
3246557,verklärt {Ger.},昇華的,,德,,2017-08-08
3246558,Verkleinerung {Ger.},減值,,德,,2017-08-08
3246559,Verkürzung {Ger.},減值,,德,,2017-08-08
3246560,Verlängerung {Ger.},增值,,德,,2017-08-08
3246561,verlierend {Ger.},遺失；失去,,德,,2017-08-08
3246562,verlöschend {Ger.},逐漸消失；熄滅；漸消逝的,,德,,2017-08-08
3246563,verminderte Oktave {Ger.},減八度,,德,,2017-08-08
3246564,verminderte Quarte {Ger.},減四度,,德,,2017-08-08
3246565,verminderte Quinte {Ger.},減五度,,德,,2017-08-08
3246566,verminderte Septime {Ger.},減七度,,德,,2017-08-08
3246567,verminderte Sexte {Ger.},減六度,,德,,2017-08-08
3246568,verminderte Terz {Ger.},減三度,,德,,2017-08-08
3246569,verminderter Dreiklang {Ger.},減三和弦（絃）,,德,,2017-08-08
3246570,verminderter Septakkord {Ger.},減七和弦（絃）,,德,,2017-08-08
3246571,vermindertes Intervall {Ger.},減音程,,德,,2017-08-08
3246572,vermischte Taktart {Ger.},混合拍子,,德,,2017-08-08
3246573,vermischter Kontrapunkt {Ger.},混合對位法,,德,,2017-08-08
3246574,verrillon {Fr.},玻璃樂器,,法,,2017-08-08
3246575,Vers {Ger.},詩；詩節,,德,,2017-08-08
3246576,verschränkung {Ger.},交疊,,德,,2017-08-08
3246577,verschwindend {Ger.},消失,,德,,2017-08-08
3246578,verse,詩節；獨唱段｛聖歌｝,,英,,2017-08-08
3246579,verset {Fr.},詩節風琴曲,,英˙法,,2017-08-08
3246580,Versett {Ger.},詩節風琴曲,,德,,2017-08-08
3246581,versetto {It.},詩節風琴曲,,義,,2017-08-08
3246582,Versetzung {Ger.},音型轉位,,德,,2017-08-08
3246583,Versetzungszeichen {Ger.},臨時記號,,德,,2017-08-08
3246584,versicle,詩節短句；短詩曲,,英,,2017-08-08
3246585,versiculus {Lat.},詩節短句；短詩曲,,拉,,2017-08-08
3246586,Versikel {Ger.},詩節短句；短詩曲,,德,,2017-08-08
3246587,verso {It.}{Sp.},詩；詩節；詩節風琴曲,,義˙西,,2017-08-08
3246588,verstärken {Ger.},加強；加大,,德,,2017-08-08
3246589,versus {Lat.},詩；詩節,,拉,,2017-08-08
3246590,Verteilt {Ger.},分奏,,德,,2017-08-08
3246591,Vertical slur,琶音線,,英,,2017-08-08
3246592,vertical turn,逆迴音,,英,,2017-08-08
3246593,verwandte Tonarten {Ger.},近系調,,德,,2017-08-08
3246594,Verwandtschaft von Tonarten {Ger.},調性關係,,德,,2017-08-08
3246595,Verwandtschaft {Ger.},近系關係,,德,,2017-08-08
3246596,Verweilend {Ger.},延遲的；停留的,,德,,2017-08-08
3246597,Verzierung {Ger.},裝飾法,,德,,2017-08-08
3246598,Verzögerung {Ger.},延怠音；延緩,,德,,2017-08-08
3246599,vesperal,晚禱本,,英,,2017-08-08
3246600,vespéral {Fr.},晚禱本,,法,,2017-08-08
3246601,vesperale {Lat.},晚禱本,,拉,,2017-08-08
3246602,vespers {Lat.},晚禱,,拉,,2017-08-08
3246603,vèze {Fr.},囊袋風笛,,法,,2017-08-08
3246604,vezzosamento {It.},甜蜜的；溫柔的；寵愛的,,義,,2017-08-08
3246605,vezzoso {It.},甜蜜的；溫柔的；寵愛的,,義,,2017-08-08
3246606,via {It.},移開,,義,,2017-08-08
3246607,vialo,維亞羅琴｛南斯拉夫｝,,英,,2017-08-08
3246608,vibhãga {In.},節奏的週期｛印度塔拉拍節法｝,,印度,,2017-08-08
3246609,Vibrafono {It.},抖音鐵琴,,義,,2017-08-08
3246610,vibraharp,抖音鐵琴,,英,,2017-08-08
3246611,vibrante {It.},振動的；響亮的,,義,,2017-08-08
3246612,Vibraphon {Ger.},抖音鐵琴,,德,,2017-08-08
3246613,Vibraphone {Fr.},抖音鐵琴,,英˙法,,2017-08-08
3246614,vibration contrainte {Fr.},強制振動,,法,,2017-08-08
3246615,vibration fondamentale {Fr.},基本振動,,法,,2017-08-08
3246616,vibration libre {Fr.},自由振動,,法,,2017-08-08
3246617,vibration longitudinale {Fr.},縱振動,,法,,2017-08-08
3246618,vibration normale {Fr.},基準振動,,法,,2017-08-08
3246619,vibration of air column,空氣柱振動,,英,,2017-08-08
3246620,vibration propre {Fr.},固有振動,,法,,2017-08-08
3246621,vibration ratio,振動比,,英,,2017-08-08
3246622,vibration transversale {Fr.},橫向振動,,法,,2017-08-08
3246623,vibration {Fr.},振動,,英˙法,,2017-08-08
3246624,vibratione longitudinale {It.},縱振動,,義,,2017-08-08
3246625,vibrato {It.},抖音；揉弦,,義,,2017-08-08
3246626,vibrazion transversale {It.},橫向振動,,義,,2017-08-08
3246627,vibrazione {It.},振動,,義,,2017-08-08
3246628,vicendevole {It.},不定的,,義,,2017-08-08
3246629,Victimae paschali (laudes) {Lat.},頌主逾越經文,,拉,,2017-08-08
3246630,Vidala {Sp.},維達拉歌,,西,,2017-08-08
3246631,vide {Fr.},空的,,法,,2017-08-08
3246632,vide {Lat.},看,,拉,,2017-08-08
3246633,Viehändig {Ger.},四手聯彈,,德,,2017-08-08
3246634,vièle à pique {Fr.},凸柱提琴,,法,,2017-08-08
3246635,vielle à roue {Fr.},搖弦（絃）琴,,法,,2017-08-08
3246636,viennese classical School,維也納古典樂派,,英,,2017-08-08
3246637,viennese School,維也納樂派,,英,,2017-08-08
3246638,Vier Stimmen {Ger.},四聲部,,德,,2017-08-08
3246639,Vierfacher Kontrapunkt {Ger.},四部複對位,,德,,2017-08-08
3246640,Viergestrichene Oktave {Ger.},四點音,,德,,2017-08-08
3246641,Vierhändig {Ger.},四手聯彈,,德,,2017-08-08
3246642,Vierklang {Ger.},四和弦,,德,,2017-08-08
3246643,Viertelpause {Ger.},四分休止符,,德,,2017-08-08
3246644,Viertelton {Ger.},四分之一音,,德,,2017-08-08
3246645,Vierundsechzigstelnote {Ger.},六十四分音符,,德,,2017-08-08
3246646,Viervierteltakt {Ger.},四四拍子,,德,,2017-08-08
3246647,vierzähliger Takt {Ger.},四拍子,,德,,2017-08-08
3246648,vierzeitiger Takt {Ger.},四拍子,,德,,2017-08-08
3246649,vigorosamente {It.},活力充沛的,,義,,2017-08-08
3246650,vigoroso {It.},有活力的；蓬勃的,,義,,2017-08-08
3246651,vigoureusement {Fr.},有活力的,,法,,2017-08-08
3246652,vigoureux {Fr.},有活力的,,法,,2017-08-08
3246653,vihuela {Sp.},民間提琴；比維拉琴,,西,,2017-08-08
3246654,Villancico {Sp.},聖誕頌歌,,西,,2017-08-08
3246655,villanella {It.},鄉村歌曲｛拿坡里｝,,義,,2017-08-08
3246656,villanelle {Fr.},鄉村歌曲｛拿坡里｝,,法,,2017-08-08
3246657,ville=hurdy-gurdy {Fr.},搖弦琴,,法,,2017-08-08
3246658,vînã,維納琴｛印度｝,,印度,,2017-08-08
3246659,viol,古提琴；維奧爾琴,,英,,2017-08-08
3246660,viola alta {It.},大型中提琴,,義,,2017-08-08
3246661,viola d'amore {It.},柔音琴,,義,,2017-08-08
3246662,viola da braccio {It.},臂上提琴,,義,,2017-08-08
3246663,viola da gamba {It.},古提琴,,英˙義˙西,,2017-08-08
3246664,Viola di bordone {It.},古低音提琴,,義,,2017-08-08
3246665,viola pomposa {It.},五絃中提琴（古提琴）,,義,,2017-08-08
3246666,viola {It.}{Sp.},中提琴,,英˙義˙西,,2017-08-08
3246667,violão {Por.},吉他,,葡,,2017-08-08
3246668,viole de gambe {Fr.},古提琴,,法,,2017-08-08
3246669,Viole {Fr.},古提琴；維奧爾琴,,法,,2017-08-08
3246670,violentamente {It.},猛烈的；暴力的,,義,,2017-08-08
3246671,violento {It.},猛烈的；粗暴的,,義,,2017-08-08
3246672,violin clef,小提琴譜號,,英,,2017-08-08
3246673,violin {Sp.},小提琴,,英．西,,2017-08-08
3246674,Violin-Steg {Ger.},小提琴琴馬；小提琴琴橋,,德,,2017-08-08
3246675,Violine {Ger.},小提琴,,德,,2017-08-08
3246676,violinist,小提琴家,,英,,2017-08-08
3246677,violino di ferro {It.},釘子提琴,,義,,2017-08-08
3246678,violino {It.},小提琴,,義,,2017-08-08
3246679,Violinschlüssel {Ger.},小提琴譜號,,德,,2017-08-08
3246680,violist,中提琴家,,英,,2017-08-08
3246681,violon de fer {Fr.},釘子提琴,,法,,2017-08-08
3246682,violon {Fr.},小提琴,,法,,2017-08-08
3246683,violoncelle {Fr.},大提琴,,法,,2017-08-08
3246684,Violoncello {Ger.},大提琴,,德,,2017-08-08
3246685,violoncello {It.}{Sp.},大提琴,,義˙英˙西,,2017-08-08
3246686,violone {It.},低音維奧爾琴,,義,,2017-08-08
3246687,violotta {It.},維歐羅塔,,義,,2017-08-08
3246688,Virelai {Fr.},維赫雷詩歌,,法,,2017-08-08
3246689,virginal,古鍵琴,,英,,2017-08-08
3246690,Virginal {Ger.},古鍵琴,,德,,2017-08-08
3246691,virginale {Fr.},古鍵琴,,法,,2017-08-08
3246692,virtuoso {It.},炫技的；炫技名家,,義,,2017-08-08
3246693,vite {Fr.},快速的,,法,,2017-08-08
3246694,vito(el vito) {Sp.},維多舞曲,,西,,2017-08-08
3246695,viva voce {It.},生動的聲音,,義,,2017-08-08
3246696,vivace {It.},活潑的；生動的,,義,,2017-08-08
3246697,vivacemente {It.},活潑的；生動的,,義,,2017-08-08
3246698,vivacissimamente {It.},非常活潑的；非常生動的,,義,,2017-08-08
3246699,vivacissimo,甚活躍的,,義,,2017-08-08
3246700,vivement {Fr.},生動的；活潑的；生氣蓬勃的,,法,,2017-08-08
3246701,vivente {It.},生動的；活潑的,,義,,2017-08-08
3246702,vivido {It.},生動的；活耀的；明亮的；強烈的,,義,,2017-08-08
3246703,vivo {It.},生動的；活潑的,,義,,2017-08-08
3246704,vocal bands,聲帶,,英,,2017-08-08
3246705,vocal chord,聲帶,,英,,2017-08-08
3246706,vocal coach,聲樂指導｛歌劇｝,,英,,2017-08-08
3246707,vocal cords,聲帶,,英,,2017-08-08
3246708,vocal folds,聲帶,,英,,2017-08-08
3246709,vocal form,聲樂形式,,英,,2017-08-08
3246710,vocal music,聲樂；聲樂曲,,英,,2017-08-08
3246711,vocal octet,八重唱,,英,,2017-08-08
3246712,vocal register,聲區,,英,,2017-08-08
3246713,vocal score,聲樂總譜,,英,,2017-08-08
3246714,vocal septet,七重唱,,英,,2017-08-08
3246715,vocale {It.},母音,,義,,2017-08-08
3246716,vocalise {Fr.},發聲法；聲樂練習曲；無詞歌,,法,,2017-08-08
3246717,vocalist,聲樂家,,英,,2017-08-08
3246718,vocalité {Fr.},母音性,,法,,2017-08-08
3246719,vocality,母音性,,英,,2017-08-08
3246720,vocalization,發聲法；聲樂練習曲；無詞歌,,英,,2017-08-08
3246721,vocalizzo {It.},母音練聲法,,義,,2017-08-08
3246722,voce bianca {It.},白聲,,義,,2017-08-08
3246723,voce di petto {It.},胸聲,,義,,2017-08-08
3246724,voce di testa {It.},頭聲,,義,,2017-08-08
3246725,voce pastosa {It.},柔美的聲音,,義,,2017-08-08
3246726,voce principale {It.},主聲部,,義,,2017-08-08
3246727,voce soffocata {It.},窒息聲,,義,,2017-08-08
