ID,英文名稱,中文名稱,圖片,更新日期
28079,casting,澆注成型，鑄造，鑄件,,2012-11-26
28090,cassia,桂皮，中國肉桂,,2012-11-26
28097,cask fermentation,桶內發酵,,2012-11-26
28232,carica papaya,木瓜,,2012-11-26
28458,canner,罐頭製造者，罐製工，罐頭殺菌鍋，罐裝規格肉,,2012-11-26
28518,candle,蠟燭，燭光,,2012-11-26
28905,butter cake,白脫餅，乳酪餅,,2012-11-26
29035,buffing,拋光，擦光,,2012-11-26
29158,Brodie's solution,布羅迪溶液,,2012-11-26
29997,bine,啤酒花莖,,2012-11-26
30113,berry,漿果,,2012-11-26
30150,benzidine test,聯苯胺試驗,,2012-11-26
30503,barleycorn,大麥，大麥粒,,2012-11-26
30890,Aw，water activity,水活性,,2012-11-26
31034,autocatalyst,自觸媒,,2012-11-26
31536,antivirus,抗病毒,,2012-11-26
31621,antidote,解毒劑,,2012-11-26
31623,antidiabetic diet,抗糖尿膳食，抗糖尿飲食,,2012-11-26
32044,amidine,脒,,2012-11-26
32188,allosteric effect,異位效應,,2012-11-26
32220,alligator,美洲鱷,,2012-11-26
32385,alegar,麥酒醋,,2012-11-26
32563,air package,充氣包裝,,2012-11-26
32608,air conditioner,空調機,,2012-11-26
32659,agitating retort,攪動式殺菌釜,,2012-11-26
32763,after-fractionating tower,後分餾塔,,2012-11-26
32875,adult,成年，成人,,2012-11-26
32996,additivity,可加性,,2012-11-26
33054,active phosphate,活性磷酸[鹽]，活性磷酸[酯],,2012-11-26
33095,Actinomycetaceae,放線菌科,,2012-11-26
33202,acid test,酸試驗,,2012-11-26
33320,acetifier,醋化器,,2012-11-26
33355,accessory factor,輔助因素,,2012-11-26
33410,absorption apparatus,吸收裝置,,2012-11-26
33456,abscisic acid,脫落酸,,2012-11-26
33485,abequose,阿比可糖,,2012-11-26
33505,5，8-dimethyl tocol,5，8-二甲產酚,,2020-05-21
33515,2-ethyl butyric acid,2-乙基丁酸,,2012-11-26
33628,soy trypsin inhibitor， soybean trypsin inhibitor,大豆胰蛋白酶抑制劑,,2012-11-26
33939,sodium stear(o)yl-2-lactylate， SSL,硬脂醯-2-乳醯乳酸鈉,,2012-11-26
34043,soapstock， soap stock,皂腳,,2012-11-26
34196,sling psychrometer,搖動濕度計,,2012-11-26
34418,simmer,燜，燉,,2012-11-26
34591,shoyu,醬油,,2012-11-26
34716,shell membrane,蛋殼膜,,2012-11-26
34815,shallow drawn can,淺沖壓罐,,2012-11-26
34935,serum albumin,血清白蛋白，乳清白蛋白,,2012-11-26
34938,serpentine pipe,螺旋管，盤管，蛇形管,,2012-11-26
34941,serous fluid,漿液,,2012-11-26
35054,semi-countercurrent extraction,半逆流萃取,,2012-11-26
35224,secondary an(a)emia,繼發性貧血,,2012-11-26
35228,second press,二榨，二榨油，二榨汁,,2012-11-26
35292,sealing ring,密封圈,,2012-11-26
35471,Scomber,鯖魚屬,,2012-11-26
35487,scintillation spectrometry,閃爍光譜測定法,,2012-11-26
35721,Sanger reaction,勝格氏反應,,2012-11-26
35783,salt-preserved product,鹽醃[產]品,,2012-11-26
35857,salometer， sali(ni)meter， salinometer， salinity meter,鹽度計,,2012-11-26
35949,safranol,番紅定性素,,2012-11-26
35950,safranine,番紅花紅,,2012-11-26
36011,saccharine vegetable,甜蔬菜,,2012-11-26
36063,rurnouer rate,回轉率，轉換率，周轉率,,2012-11-26
36161,rotatory motion,旋轉運動,,2012-11-26
36169,rotating drum type cooler,旋轉[式]鼓型冷卻器,,2012-11-26
36216,rose bengal(e),孟加拉玫瑰紅,,2012-11-26
36223,ropy milk,稠變乳,,2012-11-26
113004,clearcut，clean(ing) cutting，clean cut,淨切，精餾,,2012-11-26
113005,clearing factor,清除因數,,2012-11-26
113006,cleavage,裂解，卵裂,,2012-11-26
113007,clffee mill,咖啡磨,,2012-11-26
113008,clicle,人心果樹膠,,2012-11-26
113009,clear ice,透明冰衣,,2012-11-26
113010,clear juice,澄清果汁，清糖汁,,2012-11-26
113011,clear mint,透明薄荷硬糖,,2012-11-26
113012,clear pork,淨豬肉,,2012-11-26
113013,clear soup,清湯,,2012-11-26
113014,clear，clear lacquer,透明漆,,2012-11-26
113015,clearance,清除[作用]，間隙,,2012-11-26
113016,clear (lacquer),透明漆,,2012-11-26
113017,clear area,有效截面，有效面積,,2012-11-26
113018,clear dough,麵筋,,2012-11-26
113019,clear egg,無精蛋,,2012-11-26
113020,clear flour,二等麵粉,,2012-11-26
113021,cleaning tissue,清潔拭紙,,2012-11-26
113022,cleanser,清潔劑,,2012-11-26
113023,cleansing,清潔,,2012-11-26
113024,cleaning hose,清洗水管,,2012-11-26
113025,cleaning in place，CIP,定位洗滌法,,2012-11-26
113026,cleaning solution，cleaning fluid,[清]洗液,,2012-11-26
113027,cleaning strainer,初濾清器,,2012-11-26
113028,cleaning doctor,刮刀,,2012-11-26
113029,cleaning drum,清洗筒,,2012-11-26
113030,cleaning fluid，cleaning solution,[清]洗液,,2012-11-26
113031,cleaner,清潔器，清潔劑，清潔工，乾洗店,,2012-11-26
113032,cleaning,清潔,,2012-11-26
113033,cleaning agent，cleaning compound,清潔劑,,2012-11-26
113034,clean cut，clean(ing) cutting，clearcut,淨切，精餾,,2012-11-26
113035,clean flour,純麵粉,,2012-11-26
113036,clean room,無塵室,,2012-11-26
113037,clean(ing) cutting，clean cut，clearcut,淨切，精餾,,2012-11-26
113038,clean-cut separation,精確分離,,2012-11-26
113039,clavacin，clavatin l claviformin，patulin,棒麴黴素,,2012-11-26
113040,claw,爪，螯，鉗,,2012-11-26
113041,clay,黏土，白土,,2012-11-26
113042,clayed sugar,白土處理糖,,2012-11-26
113043,classification,分類，類析,,2012-11-26
113044,classificator,分級機，篩分機，分粒機,,2012-11-26
113045,classified grinding,分級研磨,,2012-11-26
113046,classifier,選別機，分粒機,,2012-11-26
113047,classifying,分類，分粒，分級,,2012-11-26
113048,clastic enzyme,裂解酵素,,2012-11-26
113049,clary oil，clary sage oil,鼠尾草油,,2012-11-26
113050,clary,鼠尾草,,2020-05-13
113051,class,種類，綱(生物分類)，等級，班,,2012-11-26
