ID,英文名稱,中文名稱,圖片,備註,更新日期
3159452,[earthquake] focus,震源,,,2017-07-20
3159453,[fluvial] terrace surface,河階面,,,2017-07-20
3159454,[glacial] trough lake,槽湖,,,2017-07-20
3159455,[land-]tied island,陸連島 ,,,2017-07-20
3159456,3D｛three dimension｝,三維,,,2017-07-20
3159457,aborigines,原住民,,,2017-07-20
3159458,abrasion,磨蝕,,,2017-07-20
3159459,abrasion platform,海蝕平台,,,2017-07-20
3159460,accessibility,易達性,,,2017-07-20
3159461,accompanied effect,共伴效應　,,,2017-07-20
3159462,acid rain,酸雨,,,2017-07-20
3159463,acid soil,酸性土,,,2017-07-20
3159464,active volcano,活火山,,,2017-07-20
3159465,ADB,亞洲開發銀行,,,2017-07-20
3159466,adiabatic cooling,絕熱冷卻,,,2017-07-20
3159467,advanced economies,已開發經濟體　,,,2017-07-20
3159468,aerial photographs,航空照片；像片基本圖,,,2017-07-20
3159469,afforestation,[荒地]造林,,,2017-07-20
3159470,Afro-Asiatic languages,亞非語系　,,,2017-07-20
3159471,AFTA｛ASEAN Free Trade Agreement｝,東協自由貿易協定,,,2017-07-20
3159472,agglomeration economy,聚集經濟　,,,2017-07-20
3159473,aging society,高齡化社會　,,,2017-07-20
3159474,Agreement on Technical Barrier to Trade,技術性貿易障礙協定,,,2017-07-20
3159475,agribusiness,農企業,,,2017-07-20
3159476,agricultural location,農業區位　,,,2017-07-20
3159477,agricultural systems,農業系統 ,,,2017-07-20
3159478,agricultural transformation,農業轉型,,,2017-07-20
3159479,agriculture,農業,,,2017-07-20
3159480,agriculture enterprization,農業企業化,,,2017-07-20
3159481,agriculture specialization,農業專業化,,,2017-07-20
3159482,agri-technologies industry,農業科技產業,,,2017-07-20
3159483,AI｛Amnesty International｝,國際特赦組織,,,2017-07-20
3159484,Ainu,愛奴人　,,,2017-07-20
3159485,air mass,氣團,,,2017-07-20
3159486,air pressure,氣壓　,,,2017-07-20
3159487,air temperature,大氣溫度　,,,2017-07-20
3159488,alfisol,淋餘土,,,2017-07-20
3159489,alkaline soil,鹼性土,,,2017-07-20
3159490,alluvial fan,沖積扇,,,2017-07-20
3159491,alluvial soil,沖積土,,,2017-07-20
3159492,alpine glacier,高山冰河,,,2017-07-20
3159493,alpine tundra,高山苔原,,,2017-07-20
3159494,Altaic languages,阿爾泰語系　,,,2017-07-20
3159495,Amnesty International｛=AI｝,國際特赦組織,,,2017-07-20
3159496,Andean Group,安地諾集團　,,,2017-07-20
3159497,andisol,灰燼土,,,2017-07-20
3159498,angle of gradient,坡角,,,2017-07-20
3159499,annual precipitation,年雨量　,,,2017-07-20
3159500,annual range of temperature,年溫差　,,,2017-07-20
3159501,anticline,背斜[構造]　,,,2017-07-20
3159502,anticyclone,反氣旋,,,2017-07-20
3159503,antidumping duties,反傾銷稅　,,,2017-07-20
3159504,anti-globalization,反全球化　,,,2017-07-20
3159505,APEC｛Asia-Pacific Economic Cooperation｝,亞太經濟合作,,,2017-07-20
3159506,aquaculture fishery,水產養殖業,,,2017-07-20
3159507,aquatic ecosystem,水生生態系,,,2017-07-20
3159508,aquifer,含水層,,,2017-07-20
3159509,arctic tundra,極地苔原,,,2017-07-20
3159510,arete,刃嶺,,,2017-07-20
3159511,arid climate,乾燥氣候　,,,2017-07-20
3159512,aridisol,旱境土,,,2017-07-20
3159513,Armenian,亞美尼亞人　,,,2017-07-20
3159514,arroyo,乾谷,,,2017-07-20
3159515,artesian well,自流井,,,2017-07-20
3159516,artificial irrigation,人工灌溉　,,,2017-07-20
3159517,ASEAN Free Trade Agreement｛=AFTA｝,東協自由貿易協定,,,2017-07-20
3159518,ASEAN｛Association of Southeast Asian Nations｝,東南亞國家協會,,,2017-07-20
3159519,Asian Development Bank｛Asian Development Bank｝,亞洲開發銀行,,,2017-07-20
